Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1.44,1.48,1.34,1.36,38217100,4757,53601626
2010-01-05,1.36,1.38,1.26,1.3,22377100,3595,29562945
2010-01-06,1.55,1.59,1.42,1.55,62927000,8857,94893916
2010-01-07,1.5,2.15,1.5,2.04,147848200,25530,278218078
2010-01-08,2.2,3.55,2.16,2.68,211917600,39327,611359342
2010-01-11,3.25,3.45,2.77,2.86,88882800,20870,271147832
2010-01-12,2.72,2.78,2.11,2.37,50670000,13385,123493373
2010-01-13,2.28,2.76,2.12,2.75,69308500,15043,167030446
2010-01-14,2.9,2.93,2.62,2.65,55542600,11425,153287794
2010-01-15,2.5,2.82,2.39,2.5,26514100,6065,68565045
2010-01-18,2.59,2.65,2.47,2.52,14353000,3726,36670711
2010-01-19,2.5,2.62,2.42,2.5,16854300,5762,42564221
2010-01-20,2.5,2.71,2.46,2.53,48906100,11483,127983406
2010-01-21,2.6,2.63,2.41,2.43,10783200,2831,27118431
2010-01-22,2.42,2.57,2.41,2.42,8986800,2547,22322403
2010-01-26,2.52,2.7,2.46,2.62,22980900,5892,59720637
2010-01-27,2.61,2.64,2.46,2.47,9668200,3499,24471702
2010-01-28,2.55,2.69,2.47,2.59,11642700,3276,30073744
2010-01-29,2.62,2.85,2.55,2.55,48243100,15065,131310787
2010-02-01,2.66,2.72,2.57,2.58,10742200,3382,28293499
2010-02-02,2.63,2.68,2.58,2.61,7180800,3531,18795776
2010-02-03,2.62,2.62,2.52,2.55,5898100,2274,15097218
2010-02-04,2.51,2.54,2.05,2.18,15765000,4524,36508347
2010-02-05,2.1,2.15,1.85,2.0,15222700,3765,30718368
2010-02-08,2.11,2.28,2.06,2.18,28807200,10689,63079996
2010-02-09,2.27,2.33,2.11,2.12,14706500,3570,32890219
2010-02-10,2.15,2.19,2.01,2.05,10309300,2325,21391802
2010-02-11,2.05,2.05,1.91,1.95,15143100,4130,29983795
2010-02-12,1.93,1.95,1.67,1.76,16535900,3578,29786359
2010-02-17,1.78,1.93,1.76,1.81,11285100,2102,20836387
2010-02-18,1.84,1.97,1.79,1.85,21909000,4505,41414398
2010-02-19,2.1,2.26,1.9,1.9,61627000,10527,128441609
2010-02-22,1.95,2.11,1.83,1.92,57785900,10915,115740765
2010-02-23,1.94,1.97,1.87,1.89,16366100,3068,31286520
2010-02-24,1.96,2.02,1.88,1.88,20561400,2988,39849024
2010-02-25,1.88,1.89,1.76,1.89,13827400,3117,25453107
2010-02-26,1.92,1.93,1.86,1.86,7263600,1205,13686408
2010-03-01,1.87,1.89,1.82,1.84,6021300,1100,11124358
2010-03-02,1.84,1.92,1.82,1.84,13012300,1664,24366182
2010-03-03,1.87,1.88,1.77,1.79,7347600,1227,13428323
2010-03-04,1.8,1.81,1.69,1.72,12119800,2011,21025193
2010-03-05,1.74,1.77,1.55,1.6,15879500,2821,26015778
2010-03-08,1.52,1.54,1.23,1.24,35994700,5199,49420862
2010-03-09,1.12,1.45,1.01,1.45,67208500,10634,77122199
2010-03-10,1.7,1.74,1.39,1.39,129745400,17071,202675119
2010-03-11,1.29,1.49,1.23,1.33,113476400,13742,156555992
2010-03-12,1.31,1.72,1.28,1.65,160760100,23415,240957845
2010-03-15,1.85,1.99,1.72,1.73,192069800,29887,357133866
2010-03-16,1.66,1.86,1.6,1.63,129977000,18626,226997596
2010-03-17,1.68,1.78,1.59,1.66,144362900,19059,242516146
2010-03-18,1.69,1.76,1.66,1.71,63509200,7418,108477329
2010-03-19,1.72,1.73,1.6,1.63,25281100,3039,41947909
2010-03-22,1.58,1.62,1.52,1.53,28911800,4457,45443670
2010-03-23,1.55,1.57,1.41,1.43,50393300,7418,73808316
2010-03-24,1.42,1.44,1.37,1.39,29006600,4056,40708452
2010-03-25,1.4,1.43,1.32,1.32,18322100,2101,25261092
2010-03-26,1.33,1.34,1.26,1.29,33213300,3957,42584115
2010-03-29,1.3,1.65,1.3,1.65,77180900,9415,111673042
2010-03-30,1.59,1.63,1.45,1.45,70997200,8994,109626736
2010-03-31,1.42,1.63,1.39,1.5,104022300,15006,157870305
2010-04-01,1.55,1.58,1.46,1.5,40917500,4585,61691273
2010-04-05,1.51,1.58,1.47,1.48,37357300,4380,56831048
2010-04-06,1.5,1.53,1.46,1.47,39966600,5619,59742659
2010-04-07,1.47,1.48,1.41,1.43,28496400,3069,41270215
2010-04-08,1.61,1.63,1.49,1.53,79408700,8685,124707570
2010-04-09,1.53,1.54,1.47,1.47,19147900,2562,28616457
2010-04-12,1.47,1.47,1.42,1.42,14750600,2598,21211307
2010-04-13,1.41,1.48,1.39,1.43,33369400,3125,47976234
2010-04-14,1.43,1.44,1.37,1.39,11185000,1485,15748216
2010-04-15,1.38,1.4,1.35,1.37,21172200,3459,29039739
2010-04-16,1.36,1.36,1.3,1.31,15605800,1983,20592766
2010-04-19,1.28,1.37,1.24,1.32,55099300,5605,72085797
2010-04-20,1.34,1.36,1.29,1.29,21208000,2706,28159051
2010-04-22,1.26,1.39,1.26,1.36,39426400,6264,52637751
2010-04-23,1.35,1.37,1.3,1.3,24771900,3213,32927701
2010-04-26,1.31,1.32,1.27,1.27,16545900,3758,21443844
2010-04-27,1.28,1.35,1.16,1.16,42491000,5614,54715800
2010-04-28,1.2,1.24,1.12,1.16,28147500,3401,32834934
2010-04-29,1.2,1.21,1.15,1.18,15068200,1472,17743541
2010-04-30,1.18,1.18,1.14,1.16,7696000,867,8896695
2010-05-03,1.15,1.16,1.08,1.1,15666200,2296,17444188
2010-05-04,1.07,1.15,1.03,1.1,27537300,3694,29869537
2010-05-05,1.07,1.17,1.05,1.09,25739900,2282,28411367
2010-05-06,1.09,1.13,0.95,1.01,28138300,3051,29975009
2010-05-07,1.05,1.05,0.96,0.97,20541300,2168,20404210
2010-05-10,1.05,1.06,1.0,1.02,18709100,1692,19243532
2010-05-11,0.99,1.04,0.98,0.98,15144700,1687,15259493
2010-05-12,1.0,1.01,0.98,1.01,11901000,834,11873162
2010-05-13,1.01,1.03,0.98,0.98,11595400,969,11612827
