Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,8.05044,8.59755,8.05044,8.1286,279000,56,292510
2010-01-05,8.44123,8.44123,7.81596,7.81596,90000,32,93780
2010-01-06,8.05044,8.20676,7.81596,8.1286,165000,40,169600
2010-01-07,7.89412,8.91019,7.89412,8.75387,1447000,211,1598800
2010-01-08,8.75387,9.22283,8.75387,9.14467,1257000,168,1452800
2010-01-11,9.06651,9.14467,8.59755,8.75387,233000,48,266430
2010-01-12,8.75387,8.75387,8.36308,8.36308,147000,49,159700
2010-01-13,8.51939,8.67571,8.44123,8.67571,260000,21,285520
2010-01-14,8.75387,8.75387,8.51939,8.59755,92000,7,101160
2010-01-15,8.51939,8.51939,8.28491,8.51939,50000,11,53420
2010-01-18,8.51939,8.59755,8.36308,8.59755,52000,9,56320
2010-01-19,8.51939,9.30099,8.51939,9.14467,499000,124,570250
2010-01-20,9.22283,9.84811,8.28491,8.51939,1421000,190,1596770
2010-01-21,8.59755,8.59755,8.05044,8.05044,374000,70,392970
2010-01-22,7.97228,8.28491,7.89412,7.97228,215000,45,222320
2010-01-26,7.97228,8.1286,7.89412,8.1286,20000,13,20390
2010-01-27,8.20676,8.20676,7.7378,7.7378,7000,6,7150
2010-01-28,8.05044,8.05044,7.7378,7.81596,161000,26,161760
2010-01-29,7.81596,8.20676,7.81596,8.1286,178000,33,179280
2010-02-01,8.36308,8.36308,7.97228,8.1286,108000,9,113560
2010-02-02,8.36308,8.36308,7.97228,8.20676,73000,18,74970
2010-02-03,8.1286,8.20676,7.97228,8.20676,202000,12,209980
2010-02-04,7.97228,7.97228,7.50332,7.65964,123000,34,122330
2010-02-05,7.50332,7.50332,7.19068,7.50332,72000,12,68910
2010-02-08,7.50332,7.50332,7.50332,7.50332,10000,1,9600
2010-02-09,7.26884,7.89412,7.26884,7.89412,42000,10,41680
2010-02-10,7.89412,7.97228,7.58148,7.97228,61000,13,61870
2010-02-11,8.1286,8.28491,7.65964,8.28491,74000,27,77020
2010-02-12,8.28491,8.44123,8.20676,8.44123,244000,39,259780
2010-02-17,8.28491,8.44123,8.28491,8.44123,6000,3,6400
2010-02-18,8.44123,13.13081,8.44123,12.50553,15024000,2953,21710640
2010-02-19,12.58369,12.81817,10.6297,10.6297,8677000,1297,12741660
2010-02-22,10.94234,11.64578,10.6297,11.64578,3860000,593,5503130
2010-02-23,11.56762,12.11473,11.17682,11.17682,2084000,416,3102290
2010-02-24,11.48946,11.88026,10.6297,11.88026,2929000,408,4279840
2010-02-25,12.11473,12.97449,11.56762,12.27106,9618000,1596,15162630
2010-02-26,12.27106,12.34921,11.33314,11.88026,4154000,556,6285770
