Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1493.21851,1534.26074,1492.01111,1534.26074,2723600,3511,34365667
2010-01-05,1535.46802,1551.16077,1504.08264,1543.91785,2899500,2543,36822684
2010-01-06,1551.16077,1617.55261,1534.26074,1612.72412,4906200,4695,64443371
2010-01-07,1593.41003,1635.65955,1575.30334,1629.62402,4288500,4474,57354817
2010-01-08,1641.69519,1677.90906,1640.48828,1642.90234,3986100,4148,54849773
2010-01-11,1667.04504,1702.05188,1654.97363,1702.05188,4531600,3891,63334850
2010-01-12,1670.6665,1723.78003,1617.55261,1715.33032,3288000,3015,45859718
2010-01-13,1731.02283,1839.66443,1727.40149,1839.66443,7466200,5265,110733499
2010-01-14,1846.90747,1926.57776,1837.25012,1869.84253,6992000,6820,109452778
2010-01-15,1828.80017,1849.32153,1744.30127,1762.4082,5147100,5019,76110353
2010-01-18,1802.24341,1828.80017,1784.1366,1798.62195,1963800,2443,29412777
2010-01-19,1774.47949,1846.90747,1766.02954,1822.76477,2447800,3267,36942513
2010-01-20,1810.69336,1816.72913,1726.19434,1784.1366,2854000,2770,41972553
2010-01-21,1796.20776,1804.65759,1680.32336,1708.0874,3280400,3534,46849708
2010-01-22,1679.11621,1697.22327,1630.83118,1630.83118,3237500,3414,44501130
2010-01-26,1605.48157,1656.18079,1558.40344,1617.55261,4294500,4662,56805530
2010-01-27,1635.65955,1651.35229,1565.64624,1601.86023,2244400,2544,30051662
2010-01-28,1648.93799,1650.14514,1545.125,1575.30334,2894700,2855,38100166
2010-01-29,1592.203,1615.13867,1545.125,1545.125,1932900,2687,25413231
2010-02-01,1568.0603,1605.48157,1511.32532,1559.6106,3218100,3543,41497845
2010-02-02,1593.41003,1639.28113,1570.47473,1639.28113,3629800,3990,48309666
2010-02-03,1641.69519,1728.60852,1632.03809,1728.60852,4708500,4351,66208438
2010-02-04,1709.29456,1720.15881,1593.41003,1593.41003,4085600,4904,55637323
2010-02-05,1527.01807,1619.96704,1520.98242,1610.30994,4128200,3715,53831526
2010-02-08,1650.14514,1658.59509,1621.17419,1638.07397,2329100,2572,31672611
2010-02-09,1665.83789,1724.98718,1665.83789,1711.70886,4489300,4387,63335885
2010-02-10,1744.30127,1759.9939,1683.9447,1733.43713,3944500,4620,56774581
2010-02-11,1733.43713,1786.55066,1698.4303,1782.92944,3437000,3342,50028966
2010-02-12,1731.02283,1883.12109,1731.02283,1871.04968,8662700,7236,132047287
2010-02-17,1946.88611,1972.1897,1894.79041,1972.1897,6210500,6431,80824194
2010-02-18,1979.63196,2033.21594,1923.07092,2010.88928,4857500,4373,64714912
2010-02-19,1993.02808,2091.26538,1964.74744,2080.84595,5282800,5141,72679670
2010-02-22,2098.70752,2134.43018,2016.84302,2043.63501,4367800,4887,60997526
2010-02-23,2031.72742,2031.72742,1930.51343,1940.93225,6034800,6412,79575344
2010-02-24,1960.2821,1991.53943,1942.42078,1949.86304,3909300,3548,51626590
2010-02-25,1909.6748,1958.7937,1893.30212,1952.83984,3047400,3337,39523575
2010-02-26,1972.1897,1984.09705,1929.02466,1949.86304,2204700,2093,28859049
2010-03-01,1978.14331,2012.37769,1942.42078,1958.7937,3004800,2620,39984071
2010-03-02,1982.60876,1997.49316,1967.72437,1987.07422,2545300,2305,33938261
2010-03-03,1994.51624,2021.30835,1923.07092,1929.02466,3878700,3542,51391082
2010-03-04,1949.86304,1991.53943,1912.65186,1973.67822,2979100,2472,39247561
2010-03-05,2007.91223,2098.70752,2000.46997,2083.82324,7187000,6107,99246799
2010-03-08,2082.33447,2106.14966,2028.75061,2037.68115,2679100,2543,37054647
2010-03-09,2018.33154,2110.61523,2003.44702,2076.38062,4157000,4303,57903397
2010-03-10,2094.24219,2121.03418,2037.68115,2121.03418,4382100,3692,61656393
2010-03-11,2103.17285,2158.24536,2088.28833,2147.82617,2279400,2329,32614746
2010-03-12,2188.01416,2188.01416,2062.98462,2088.28833,2695200,2741,38892467
2010-03-15,2068.93848,2080.84595,1987.07422,2022.79688,3297400,3170,44902705
2010-03-16,2043.63501,2098.70752,2031.72742,2098.70752,3896900,3160,54392698
2010-03-17,2119.54565,2134.43018,2042.14673,2051.07715,3467800,3864,48442289
2010-03-18,2060.00781,2071.91553,1979.63196,1998.98181,3692400,4963,49936673
2010-03-19,2018.33154,2039.16968,1964.74744,1964.74744,2713600,2776,36541806
2010-03-22,1942.42078,1987.07422,1908.18652,1952.83984,3101700,3205,40553070
2010-03-23,2001.95862,2061.49658,1972.1897,2061.49658,6049800,5011,82197917
2010-03-24,2024.28528,2060.00781,1994.51624,1994.51624,3442600,3583,46737860
2010-03-25,2033.21594,2037.68115,1952.83984,1978.14331,2989900,3297,40200094
2010-03-26,1990.05103,1994.51624,1923.07092,1958.7937,2786500,2569,36581576
2010-03-29,1985.58582,2048.10059,1973.67822,2048.10059,2996000,5056,40578842
2010-03-30,2054.0542,2065.96167,1981.12036,2024.28528,4378900,3345,59397656
2010-03-31,2009.40076,2021.30835,1987.07422,2013.86609,2708100,3984,36457319
2010-04-01,2039.16968,2043.63501,1955.81689,1975.1665,4163900,3955,55774273
2010-04-05,1996.00488,2007.91223,1955.81689,1970.70117,2590100,2692,34384185
2010-04-06,1952.83984,1973.67822,1936.46704,1949.86304,3410800,5218,44653967
2010-04-07,1934.97852,1949.86304,1920.09412,1936.46704,3307400,3302,42897864
2010-04-08,1926.04773,1978.14331,1921.58264,1978.14331,3447600,4986,45488038
2010-04-09,1978.14331,2006.42371,1930.51343,1930.51343,4806800,9058,63864926
2010-04-12,1942.42078,1976.65503,1939.44373,1976.65503,3732700,4920,49174079
2010-04-13,1981.12036,2086.80005,1979.63196,2068.93848,10676600,9791,147098923
2010-04-14,2089.77686,2112.10352,2064.47339,2065.96167,4931000,5103,69262858
2010-04-15,2077.86914,2092.75391,2043.63501,2058.51953,2852900,3072,39697849
2010-04-16,2042.14673,2065.96167,1996.00488,2022.79688,2337000,3063,31793528
2010-04-19,1979.63196,2010.88928,1967.72437,1991.53943,1673600,2449,22328875
2010-04-20,2009.40076,2027.26208,1957.30518,1982.60876,3506400,4340,46817309
2010-04-22,1954.32837,1998.98181,1949.86304,1967.72437,4305300,5262,56855208
2010-04-23,1970.70117,1985.58582,1954.32837,1957.30518,1903200,3696,25161688
2010-04-26,1973.67822,1979.63196,1940.93225,1946.88611,1599300,3425,21012715
2010-04-27,1942.42078,1952.83984,1836.74121,1836.74121,3527600,5591,45247413
2010-04-28,1897.76746,1917.11731,1853.11414,1917.11731,3828900,5194,48445375
2010-04-29,1949.86304,1996.00488,1923.07092,1964.74744,2956000,4348,38987230
2010-04-30,1964.74744,1964.74744,1890.3252,1890.3252,4010300,7053,51468815
2010-05-03,1893.30212,1936.46704,1875.4408,1923.07092,2790500,2750,35876119
2010-05-04,1882.88293,1903.72119,1798.0415,1817.39136,5018600,6165,61893278
2010-05-05,1806.97229,1839.71802,1757.85376,1830.78748,4052900,4572,49287927
2010-05-06,1824.83374,1842.69507,1607.52063,1726.59631,4590500,4411,54223287
2010-05-07,1731.06152,1745.94592,1595.61304,1614.96301,7594100,8957,83876846
2010-05-10,1765.29578,1766.7843,1662.59302,1693.85046,6736500,6773,77011256
2010-05-11,1664.08154,1674.50061,1619.4281,1629.84729,4224600,4927,46751794
2010-05-12,1667.05835,1702.78113,1655.15076,1698.3158,5180200,7297,58419877
2010-05-13,1704.26941,1716.177,1632.8241,1646.22021,3638000,4921,40838451
2010-05-14,1628.35889,1634.31262,1547.98267,1585.19385,4652400,6395,49314869
2010-05-17,1559.89038,1592.63611,1479.51416,1503.32959,6955100,6446,71504980
2010-05-18,1539.05212,1543.51746,1394.6731,1394.6731,7758800,7486,75680691
2010-05-19,1354.48499,1378.30017,1290.48181,1339.60046,8638900,8374,77241751
2010-05-20,1268.15515,1338.11206,1238.38623,1309.83167,9992700,8228,85642367
2010-05-21,1294.94727,1370.85779,1283.03955,1367.88086,6743000,6163,60802521
2010-05-24,1363.41577,1412.5343,1338.11206,1402.11523,5450200,6293,50989413
2010-05-25,1324.71594,1448.25684,1309.83167,1424.44177,6575900,4435,60394710
2010-05-26,1464.62988,1518.21399,1408.06897,1518.21399,15986400,8796,159199037
2010-05-27,1525.65625,1646.22021,1524.1676,1628.35889,6674500,5534,70685256
2010-05-28,1609.00916,1673.01221,1580.72864,1644.73169,7849000,5454,86748543
2010-05-31,1644.73169,1664.08154,1623.89355,1638.77795,1923300,2592,21235734
2010-06-01,1592.63611,1659.61633,1583.70557,1616.45129,3306000,3072,36045212
2010-06-02,1616.45129,1635.8009,1592.63611,1628.35889,2811000,2324,30584918
2010-06-04,1585.19385,1598.58984,1533.09839,1543.51746,3260500,3168,34301160
2010-06-07,1543.51746,1564.35571,1488.44495,1488.44495,2592800,2605,26653149
2010-06-08,1495.88733,1579.23999,1488.44495,1579.23999,6005700,5111,61928597
2010-06-09,1598.58984,1635.8009,1585.19385,1603.05542,3706800,4179,40242026
2010-06-10,1626.87048,1701.2926,1626.87048,1701.2926,5760600,10340,64688186
2010-06-11,1695.33899,1745.94592,1673.01221,1722.13098,3841100,3866,44374441
2010-06-14,1756.36523,1763.8075,1713.2002,1713.2002,2804700,4095,32798131
2010-06-15,1717.66553,1739.99219,1692.36206,1739.99219,2028300,4386,23504749
2010-06-16,1729.573,1762.31897,1711.71191,1741.48059,3260600,7222,38211540
2010-06-17,1748.92297,1757.85376,1704.26941,1756.36523,3301100,4651,38331794
2010-06-18,1756.36523,1805.48376,1747.43445,1805.48376,4680100,4864,56216021
2010-06-21,1857.57922,1878.4176,1811.43762,1815.90295,3461400,3936,42950689
2010-06-22,1815.90295,1860.55627,1792.08777,1808.46057,2798000,4499,34348333
2010-06-23,1818.87988,1826.32214,1772.73792,1786.13391,3433400,3143,41229614
2010-06-24,1775.71484,1786.13391,1722.13098,1728.08472,2472900,3478,29239071
2010-06-25,1734.03833,1795.0647,1720.64246,1795.0647,1573100,2029,18676834
2010-06-28,1798.0415,1808.46057,1726.59631,1726.59631,3339400,3951,39360367
2010-06-29,1692.36206,1692.36206,1580.72864,1600.07837,6518200,8088,71263404
2010-06-30,1622.40503,1659.61633,1565.84424,1565.84424,5549600,6133,60122130
2010-07-01,1564.35571,1592.63611,1509.28333,1547.98267,7365700,5733,76006318
2010-07-02,1585.19385,1600.07837,1534.58691,1585.19385,2847600,3442,30016875
2010-07-05,1589.6593,1589.6593,1521.1908,1540.54065,2620200,2665,27273770
2010-07-06,1586.68237,1619.4281,1570.30957,1610.49744,4692200,4306,50209823
2010-07-07,1626.87048,1655.15076,1600.07837,1655.15076,4043400,5088,44412391
2010-07-08,1671.52368,1693.85046,1613.47449,1637.28967,4064700,3993,45327099
2010-07-12,1643.24341,1664.08154,1574.77478,1577.75183,4121200,4694,44485475
2010-07-13,1628.35889,1628.35889,1564.35571,1592.63611,3827700,4383,40973462
2010-07-14,1573.28638,1592.63611,1550.95972,1570.30957,3097500,3128,32626202
2010-07-15,1568.82117,1580.72864,1528.63318,1549.47131,2480900,2858,25802707
2010-07-16,1547.98267,1547.98267,1519.70239,1533.09839,2294300,2952,23573029
2010-07-19,1542.02905,1598.58984,1540.54065,1592.63611,2479400,2740,26215243
2010-07-20,1570.30957,1655.15076,1561.37878,1649.19702,5137100,3969,56241342
2010-07-21,1671.52368,1705.75806,1668.54688,1686.4082,6008300,4770,68135094
2010-07-22,1713.2002,1759.34204,1708.73486,1732.55005,4514900,4689,52582317
2010-07-23,1739.99219,1769.76111,1674.50061,1766.7843,3569200,4944,41833905
2010-07-26,1760.83044,1786.13391,1729.573,1751.8999,3612400,5421,42817491
2010-07-27,1771.24963,1778.69165,1716.177,1716.177,3435000,4157,40089555
2010-07-28,1717.66553,1731.06152,1680.45447,1689.38525,3322100,3143,37963619
2010-07-29,1720.64246,1739.99219,1707.24634,1725.10791,4062000,3345,47130441
2010-07-30,1714.68872,1771.24963,1695.33899,1765.29578,2985700,2632,34941955
2010-08-02,1778.69165,1799.53003,1763.8075,1774.22656,3351100,3041,40193684
2010-08-03,1765.29578,1926.04773,1728.08472,1890.3252,10960000,8074,136377046
2010-08-04,1908.18652,2015.35449,1893.30212,1988.56262,11903700,11442,158045833
2010-08-05,1949.86304,2019.81982,1920.09412,1985.58582,7024700,6885,93363548
2010-08-06,1960.2821,2037.68115,1960.2821,1961.77063,3138300,2660,42093674
2010-08-09,2006.42371,2018.33154,1967.72437,1979.63196,2504200,3189,33454308
