Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,46.49209,46.80412,45.55601,45.86803,149900,51,220252
2010-01-05,45.86803,45.86803,44.3079,45.86803,573200,104,830985
2010-01-06,45.86803,49.61236,45.24398,48.67628,5378700,1022,8212704
2010-01-07,49.30034,50.54845,47.11614,47.42817,2565400,628,4005537
2010-01-08,47.74019,48.98831,47.11614,47.74019,481500,130,739303
2010-01-11,48.36425,48.98831,46.18007,47.11614,606000,140,922977
2010-01-12,46.80412,48.05223,46.18007,46.80412,262700,81,395310
2010-01-13,47.11614,47.74019,46.49209,47.42817,426200,64,643917
2010-01-14,47.11614,47.74019,46.18007,46.18007,303300,78,456406
2010-01-15,47.11614,47.11614,45.86803,46.80412,425500,80,631525
2010-01-18,46.80412,48.67628,46.18007,48.05223,1564700,243,2397050
2010-01-19,48.67628,55.85291,48.36425,50.54845,13837300,2649,23251813
2010-01-20,52.10858,52.42061,47.74019,47.74019,2729400,585,4375526
2010-01-21,48.36425,49.92439,45.24398,45.55601,1769900,357,2658805
2010-01-22,45.86803,46.49209,44.61992,44.61992,628800,167,914302
2010-01-26,44.3079,46.18007,44.3079,44.61992,474900,111,682327
2010-01-27,45.55601,49.30034,44.3079,46.80412,2090100,863,3111620
2010-01-28,48.36425,49.92439,46.49209,47.11614,1273700,276,1960119
2010-01-29,47.42817,47.74019,46.18007,47.74019,688600,148,1042224
2010-02-01,47.74019,51.48453,46.80412,50.54845,4588800,804,7302514
2010-02-02,51.48453,53.04467,50.23642,50.54845,2041300,454,3383310
2010-02-03,50.86047,51.48453,49.61236,50.86047,1819500,235,2958543
2010-02-04,50.86047,52.10858,46.80412,48.05223,1495400,271,2374773
2010-02-05,46.80412,48.36425,45.86803,46.80412,787100,164,1181523
2010-02-08,47.11614,48.36425,46.80412,47.42817,145100,57,219939
2010-02-09,47.42817,49.92439,47.11614,48.36425,867700,158,1343729
2010-02-10,48.67628,48.67628,47.11614,47.42817,1070800,88,1629056
2010-02-11,47.42817,49.30034,47.11614,48.36425,405900,87,625565
2010-02-12,47.74019,48.67628,47.42817,47.74019,1636000,92,2533798
2010-02-17,48.67628,48.67628,47.11614,47.11614,379000,73,580353
2010-02-18,47.42817,50.23642,47.42817,48.67628,1318900,284,2073202
2010-02-19,49.30034,49.61236,47.74019,48.05223,434700,139,677594
2010-02-22,48.36425,48.98831,46.80412,47.11614,520800,124,794037
2010-02-23,47.74019,48.05223,45.86803,46.18007,1360600,394,2032221
2010-02-24,46.80412,47.42817,46.18007,46.80412,248100,65,371453
2010-02-25,46.49209,46.80412,45.55601,45.86803,775400,100,1146940
2010-02-26,46.49209,47.74019,45.86803,46.18007,3206800,224,4783445
2010-03-01,46.80412,46.80412,45.24398,45.55601,277400,75,408962
2010-03-02,46.49209,46.80412,44.93195,45.86803,1722400,116,2531645
2010-03-03,46.18007,46.80412,45.55601,46.18007,984500,46,1456736
2010-03-04,45.55601,46.18007,44.93195,45.24398,256300,70,373498
2010-03-05,45.86803,46.49209,44.93195,44.93195,686700,55,1015001
2010-03-08,45.24398,45.24398,44.3079,44.93195,212700,81,304280
2010-03-09,44.93195,44.93195,42.43573,43.68384,496600,102,695019
2010-03-10,44.3079,44.3079,43.05979,43.99586,519500,79,723141
2010-03-11,43.68384,44.3079,43.05979,43.68384,271900,53,380504
2010-03-12,43.68384,43.68384,42.74776,43.68384,170400,49,235170
2010-03-15,43.37181,47.11614,43.37181,44.3079,945300,159,1382631
2010-03-16,45.55601,46.49209,43.99586,44.3079,621600,155,902464
2010-03-17,45.24398,46.49209,44.3079,44.93195,828600,104,1208240
2010-03-18,44.93195,46.18007,43.99586,45.86803,580700,97,847031
2010-03-19,45.55601,45.86803,44.61992,44.93195,205800,62,297308
2010-03-22,45.24398,45.55601,44.61992,45.24398,73000,32,105292
2010-03-23,44.93195,44.93195,43.68384,43.68384,128000,32,182689
2010-03-24,43.99586,44.61992,42.74776,43.37181,983700,57,1395779
2010-03-25,43.68384,43.68384,41.18763,42.43573,190800,56,257516
2010-03-26,42.43573,42.43573,40.87559,42.12371,184000,46,243819
2010-03-29,41.18763,43.37181,41.18763,43.37181,1127200,104,1514800
2010-03-30,43.68384,44.3079,42.43573,43.68384,453300,73,632026
2010-03-31,43.99586,43.99586,42.43573,43.99586,58300,41,81129
2010-04-01,43.37181,43.68384,42.74776,43.68384,167400,34,231203
2010-04-05,43.05979,43.68384,42.43573,43.68384,119900,40,167125
2010-04-06,46.80412,49.92439,45.55601,47.42817,12710900,2291,19605795
2010-04-07,48.3837,51.2298,45.5376,45.5376,13781600,759,7021555
2010-04-08,45.5376,45.5376,42.6915,43.6402,8639400,254,4092724
2010-04-09,44.5889,46.4863,43.6402,43.6402,2606100,185,1238168
2010-04-12,44.5889,44.5889,42.6915,43.6402,1317700,144,603896
2010-04-13,43.6402,43.6402,41.7428,42.6915,1805700,384,813514
2010-04-14,42.6915,45.5376,42.6915,44.5889,5661000,701,2654090
2010-04-15,44.5889,44.5889,41.7428,42.6915,3778700,188,1710629
2010-04-16,43.6402,43.6402,41.7428,42.6915,983200,86,441545
2010-04-19,42.6915,42.6915,41.7428,42.6915,1702500,153,750440
2010-04-20,42.6915,43.6402,41.7428,41.7428,2147400,73,963206
2010-04-22,41.7428,42.6915,40.7941,41.7428,606100,75,266603
2010-04-23,41.7428,41.7428,40.7941,41.7428,1642700,52,711932
2010-04-26,42.6915,42.6915,40.7941,42.6915,607400,52,262188
2010-04-27,41.7428,41.7428,39.8454,40.7941,1434400,111,608958
2010-04-28,39.8454,40.7941,38.8967,38.8967,6529600,97,2765266
2010-04-29,38.8967,40.7941,37.948,39.8454,1256200,153,521570
2010-04-30,39.8454,40.7941,38.8967,38.8967,572900,91,238364
2010-05-03,39.8454,39.8454,37.948,38.8967,1093100,95,445072
2010-05-04,38.8967,39.8454,36.9993,36.9993,633500,103,255029
2010-05-05,37.948,37.948,35.1019,35.1019,1875400,106,714611
2010-05-06,36.0506,39.8454,34.1532,34.1532,4229100,263,1640656
2010-05-07,35.1019,36.0506,32.2558,34.1532,1282000,133,463270
2010-05-10,35.1019,36.9993,34.1532,36.0506,1397000,99,526487
2010-05-11,35.1019,36.0506,34.1532,36.0506,211900,46,78375
2010-05-12,36.0506,36.0506,34.1532,36.0506,1723400,86,637207
