Date,Open,High,Low,Close,Volume,Neg,Fin
2021-02-05,30.99883,38.99853,30.99883,38.99853,25459200,65069,895748267.0
2021-02-08,43.09837,45.98826,39.10852,41.02845,11560500,31921,486713228.0
2021-02-09,41.54843,41.86842,36.69861,37.09859,7592100,20480,289139553.0
2021-02-10,36.82861,38.77853,30.99883,31.34882,7771100,29451,257023137.0
2021-02-11,32.12879,32.84876,29.81887,30.09886,4164700,12216,129250024.0
2021-02-12,30.11886,32.47877,29.1489,31.34882,3062800,8844,95905596.0
2021-02-17,31.89879,32.45877,30.43885,30.49885,1053300,3429,32888545.0
2021-02-18,30.36885,30.48885,27.64895,27.64895,2991800,12283,85916653.0
2021-02-19,27.79895,28.9689,27.15897,28.29893,1268700,3542,36010913.0
2021-02-22,27.34897,28.94891,26.599,28.34893,1003600,3386,28073004.0
2021-02-23,28.21893,31.03883,27.78895,30.99883,1212600,3741,35448037.0
2021-02-24,31.34882,32.19878,30.19886,30.84883,1960200,6603,60980597.0
2021-02-25,30.84883,32.03879,27.99894,29.78888,2226900,8547,66839414.0
2021-02-26,29.99887,30.07886,28.34893,28.88891,1346700,5980,39037337.0
2021-03-01,29.60888,29.83887,28.44893,28.44893,1085800,3908,31346569.0
2021-03-02,28.20893,28.20893,26.70899,27.01898,1618300,5844,44067024.0
2021-03-03,27.22897,27.38896,24.62907,25.29904,2551700,6440,65235334.0
2021-03-04,25.49904,25.99902,24.89906,24.99906,2202200,3987,56088325.0
2021-03-05,25.00905,25.94902,24.20908,25.25905,1719400,3351,42743092.0
2021-03-08,24.74907,26.479,23.8391,23.8391,1335800,3957,33270184.0
2021-03-09,24.49907,24.66907,22.50915,22.59915,1947400,7167,45422863.0
2021-03-10,22.99913,24.19909,22.11917,23.40911,1018500,4813,23484676.0
2021-03-11,24.54907,24.59907,23.41912,24.36908,1417300,5822,34285985.0
2021-03-12,23.97909,25.07905,23.8091,24.84906,1393900,4323,34121957.0
2021-03-15,25.10905,26.599,24.30908,25.09905,1193100,4317,30611167.0
2021-03-16,25.99902,28.88891,25.28905,27.41896,5905100,17932,161991895.0
2021-03-17,27.10898,28.26893,25.70903,26.18901,4892200,15087,129525000.0
2021-03-18,26.00902,26.82899,24.99906,24.99906,1331200,4566,34472184.0
2021-03-19,25.28905,25.57903,23.54911,23.64911,2509500,8756,60651770.0
2021-03-22,23.8391,24.26908,22.89913,23.29912,1279700,4764,30072713.0
2021-03-23,23.19912,24.45907,23.12913,24.20908,1212300,4251,29004635.0
2021-03-24,24.59907,24.86906,23.41912,23.8591,1220500,4280,29470414.0
2021-03-25,23.8991,24.67907,23.35912,23.99909,1345600,4271,32335766.0
2021-03-26,23.43912,23.45911,21.1492,21.1992,6809200,19513,150927941.0
2021-03-29,21.35919,21.77918,19.79925,19.79925,3692700,10971,75363641.0
2021-03-30,19.93925,20.67922,19.89925,19.98924,2476800,7256,49989454.0
2021-03-31,19.98924,20.35923,19.49926,19.49926,2267600,8337,44824751.0
2021-04-01,19.68926,21.54918,19.24927,20.50923,3213400,8932,65728423.0
2021-04-05,20.82921,21.99917,20.61922,21.1392,1319900,4689,28163097.0
2021-04-06,21.1392,21.54918,20.90921,21.1292,1316600,3026,28018335.0
2021-04-07,20.90921,21.50919,20.90921,21.1292,1343800,2659,28436042.0
2021-04-08,21.1492,22.37915,21.1492,22.23916,1326800,3477,28947817.0
2021-04-09,22.01917,22.66914,21.74918,21.81918,740100,2647,16336221.0
2021-04-12,21.81918,22.12916,21.49919,21.89917,619400,2516,13497815.0
2021-04-13,21.80918,22.11917,21.57918,22.04917,782000,2484,17142736.0
2021-04-14,21.98917,22.35916,21.1292,21.49919,1288500,3839,27843601.0
2021-04-15,21.57918,21.71918,21.1392,21.2892,648900,2555,13866169.0
2021-04-16,21.2892,21.78918,20.93921,21.71918,691400,2346,14756334.0
2021-04-19,21.83917,22.89913,21.66918,22.67914,1448900,4076,32551461.0
2021-04-20,22.84914,23.54911,21.71918,21.99917,1867800,6819,42346706.0
2021-04-22,22.40915,22.82914,21.71918,21.89917,1007600,3578,22299326.0
2021-04-23,22.02917,22.12916,21.74918,21.81918,504000,1893,11021115.0
2021-04-26,22.04917,22.04917,21.32919,21.49919,683900,2112,14771732.0
2021-04-27,21.52919,21.71918,20.33923,20.59922,1269100,3563,26384108.0
2021-04-28,20.67922,20.83921,20.12924,20.51922,981600,3900,20183860.0
2021-04-29,20.59922,20.85921,19.99924,20.02924,761900,2587,15394411.0
2021-04-30,20.04924,20.23923,19.82925,20.06924,957800,3236,19179774.0
2021-05-03,20.31,20.5,19.51,19.75,1111200,4275,22020051.0
