Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,526.91949,583.88373,526.91949,569.64276,1603000,241,627827
2010-01-05,569.64276,583.88373,526.91949,526.91949,638800,115,247510
2010-01-06,541.16052,569.64276,541.16052,555.40155,246800,47,95225
2010-01-07,555.40155,598.12482,541.16052,598.12482,1520300,179,621898
2010-01-08,598.12482,626.60699,569.64276,583.88373,852800,118,354831
2010-01-11,583.88373,626.60699,583.88373,583.88373,951700,152,402405
2010-01-12,612.36591,612.36591,583.88373,583.88373,270400,61,112802
2010-01-13,612.36591,655.08911,598.12482,612.36591,2719200,327,1205800
2010-01-14,655.08911,669.33014,598.12482,598.12482,1900500,198,828002
2010-01-15,612.36591,740.53552,598.12482,726.29443,8829000,823,4253467
2010-01-18,726.29443,783.25873,655.08911,726.29443,4740300,645,2421014
2010-01-19,740.53552,840.22296,712.05341,797.49976,9003700,840,4976343
2010-01-20,811.74084,925.66937,769.01764,854.46405,5959800,657,3585458
2010-01-21,882.94617,911.42828,825.98181,882.94617,5162900,637,3161113
2010-01-22,868.7052,1238.9729,868.7052,996.87476,24340500,2802,17828240
2010-01-26,1025.35693,1096.56226,911.42828,925.66937,4224500,631,2994085
2010-01-27,954.15155,968.39252,868.7052,868.7052,1686200,302,1073225
2010-01-28,925.66937,954.15155,840.22296,854.46405,1273400,231,789915
2010-01-29,868.7052,911.42828,811.74084,825.98181,1041300,168,633323
2010-02-01,811.74084,911.42828,740.53552,897.18719,4061200,592,2354305
2010-02-02,954.15155,1011.11572,897.18719,911.42828,8064400,1392,5412777
2010-02-03,925.66937,954.15155,897.18719,911.42828,1802300,639,1169413
2010-02-04,911.42828,911.42828,754.77655,797.49976,2414500,424,1419866
2010-02-05,797.49976,811.74084,754.77655,783.25873,1375100,241,754214
2010-02-08,811.74084,868.7052,797.49976,825.98181,1239000,189,716135
2010-02-09,840.22296,882.94617,825.98181,840.22296,765200,157,460533
2010-02-10,868.7052,882.94617,825.98181,840.22296,913600,164,542767
2010-02-11,854.46405,968.39252,854.46405,911.42828,9356900,2054,6079236
2010-02-12,925.66937,1068.08008,911.42828,968.39252,17314800,1987,12055897
2010-02-17,996.87476,1025.35693,939.91046,954.15155,3493000,343,2386356
2010-02-18,954.15155,954.15155,897.18719,911.42828,3635100,388,2327706
2010-02-19,911.42828,911.42828,868.7052,882.94617,1842500,313,1141965
2010-02-22,882.94617,954.15155,854.46405,911.42828,5022500,1016,3243106
2010-02-23,911.42828,954.15155,882.94617,911.42828,3112400,528,2000087
2010-02-24,925.66937,925.66937,868.7052,882.94617,2316200,275,1454672
2010-02-25,868.7052,882.94617,840.22296,868.7052,2363500,277,1432425
2010-02-26,882.94617,925.66937,854.46405,868.7052,3529700,353,2198793
2010-03-01,882.94617,897.18719,840.22296,854.46405,1222800,188,741457
2010-03-02,868.7052,882.94617,825.98181,840.22296,1434700,227,856982
2010-03-03,854.46405,868.7052,825.98181,840.22296,1311200,162,776956
2010-03-04,840.22296,911.42828,797.49976,897.18719,5287800,646,3233998
2010-03-05,911.42828,925.66937,854.46405,854.46405,4600000,471,2873966
2010-03-08,868.7052,1039.59802,854.46405,1025.35693,44138000,4455,30059055
2010-03-09,1025.35693,1082.32104,882.94617,882.94617,28767300,4891,19530473
2010-03-10,897.18719,925.66937,868.7052,882.94617,5417300,740,3380491
2010-03-11,882.94617,911.42828,868.7052,868.7052,2281900,286,1415389
2010-03-12,882.94617,897.18719,840.22296,854.46405,4811200,495,2899778
2010-03-15,854.46405,897.18719,840.22296,840.22296,3337900,622,2005673
2010-03-16,868.7052,897.18719,825.98181,854.46405,7614300,739,4596817
2010-03-17,854.46405,868.7052,811.74084,825.98181,5209200,396,3070172
2010-03-18,825.98181,840.22296,811.74084,825.98181,1760900,197,1020842
2010-03-19,840.22296,840.22296,811.74084,825.98181,713700,88,413347
2010-03-22,825.98181,825.98181,797.49976,811.74084,840800,145,480501
2010-03-23,825.98181,868.7052,797.49976,825.98181,2961000,259,1719715
2010-03-24,825.98181,840.22296,797.49976,797.49976,1507300,181,858736
2010-03-25,811.74084,825.98181,754.77655,797.49976,2826500,371,1584403
2010-03-26,797.49976,825.98181,769.01764,797.49976,1293300,161,714648
