Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,30.7254,31.00018,30.7254,30.7254,900,7,11107
2010-01-05,30.9752,31.07512,29.7262,30.2258,15100,25,181768
2010-01-06,30.1009,30.57552,29.67624,30.00098,1300,4,15663
2010-01-07,29.6013,31.32492,29.6013,30.2258,600,6,7279
2010-01-08,31.44982,31.9744,30.3507,31.9744,3300,13,41514
2010-01-11,31.225,32.474,31.225,32.474,22400,10,286719
2010-01-12,32.9736,32.9736,31.9744,31.9744,400,2,5240
2010-01-13,31.79954,33.4732,31.79954,33.4732,400,4,5292
2010-01-14,31.9744,33.9728,31.9744,33.9728,1100,6,14841
2010-01-15,33.4732,33.5981,32.5989,32.5989,2400,4,32070
2010-01-18,31.82452,32.79874,31.82452,32.49898,300,3,3888
2010-01-19,34.2226,36.7206,34.2226,35.4716,5200,12,72550
2010-01-20,37.44502,38.74398,37.44502,38.74398,500,5,7652
2010-01-21,38.74398,38.74398,38.74398,38.74398,1000,1,15510
2010-01-29,37.81972,37.81972,37.81972,37.81972,7500,7,113550
2010-02-01,37.81972,39.968,37.47,39.4684,500,5,7694
2010-02-02,39.7182,39.7182,39.7182,39.7182,300,3,4770
2010-02-04,39.4684,39.968,37.9696,39.968,2000,7,31819
2010-02-05,39.61828,39.61828,39.61828,39.61828,100,1,1586
2010-02-08,39.91804,39.91804,37.56992,39.91804,700,5,10902
2010-02-09,39.94302,39.94302,39.94302,39.94302,100,1,1599
2010-02-17,39.91804,39.91804,39.91804,39.91804,1000,1,15980
2010-02-18,39.69322,39.968,39.69322,39.968,1400,3,22375
2010-02-19,38.719,39.7182,38.719,39.66824,300,3,4728
2010-02-22,39.66824,39.968,39.66824,39.968,1300,8,20766
2010-02-23,39.4684,39.91804,39.4684,39.91804,500,3,7948
2010-02-25,39.69322,39.69322,39.69322,39.69322,400,3,6356
2010-02-26,39.4684,39.4684,39.4684,39.4684,10600,4,167480
2010-03-01,39.7182,41.217,39.7182,41.217,1700,9,27160
2010-03-02,39.968,39.968,39.968,39.968,2100,4,33600
2010-03-03,40.81732,40.81732,39.968,39.968,200,2,3234
2010-03-05,37.47,39.5933,37.47,39.5933,400,2,6085
2010-03-09,37.49498,39.94302,37.47,39.94302,4700,10,71727
2010-03-10,39.94302,39.94302,39.94302,39.94302,500,1,7995
2010-03-12,39.8431,39.968,39.8431,39.968,1000,2,15955
2010-03-16,39.7182,39.7182,39.7182,39.7182,1000,1,15900
2010-03-17,37.49498,39.4684,37.47,39.4684,800,5,12331
2010-03-18,37.49498,39.69322,37.49498,39.69322,200,2,3090
2010-03-19,38.719,38.719,37.47,38.69402,3400,9,51545
2010-03-22,39.4684,39.4684,39.4684,39.4684,200,2,3160
