Date,Open,High,Low,Close,Volume,Neg,Fin
2019-07-01,15.91609,16.28425,15.85944,16.01049,59343300,51708,1005674104
2019-07-02,16.18985,16.75626,16.04825,16.68074,15665900,28411,273239116
2019-07-03,16.70906,16.97338,16.52969,16.78458,10741700,11620,191488156
2019-07-04,16.89623,17.01104,16.64747,16.9345,3785600,6719,66684605
2019-07-05,16.9345,16.9345,16.69531,16.9058,3336500,7240,58686082
2019-07-08,16.91537,17.04931,16.80055,17.02061,2872800,3454,50826770
2019-07-10,17.07801,17.40331,16.94406,17.3459,7661000,10457,137316147
2019-07-11,17.36503,17.55639,17.04931,17.17369,2689300,6938,48523944
2019-07-12,17.22152,17.3172,17.04931,17.12585,2351700,3776,42216172
2019-07-15,17.22152,17.25979,16.84839,17.03017,2770900,4380,49673148
2019-07-16,17.10671,17.11628,16.88666,17.11628,4221400,2258,74997756
2019-07-17,17.10671,17.11628,17.02061,17.11628,2578300,4507,45974259
2019-07-18,17.05887,17.21195,17.05887,17.17369,2732400,2470,48970938
2019-07-19,17.13541,17.17369,17.06844,17.15455,1736800,3201,31067628
2019-07-22,17.15455,17.17369,16.69531,16.9345,3546400,5469,62774660
2019-07-23,16.9345,17.07801,16.74314,16.98234,1775300,2774,31395211
2019-07-24,17.23109,17.25979,16.83882,16.9345,6799700,6892,120874922
2019-07-25,16.97277,16.97277,16.67617,16.87709,2382100,2668,41804185
2019-07-26,16.87709,17.01104,16.77185,16.98234,2587900,3905,45843166
2019-07-29,16.97277,17.06844,16.72401,16.98234,3387200,4800,59853478
2019-07-30,16.97277,17.22152,16.75272,17.22152,2394200,5260,42231085
2019-07-31,17.14498,17.50855,17.01104,17.45114,3401400,9603,61524653
2019-08-01,17.47028,18.17828,17.47028,18.06346,6532200,14296,122644592
2019-08-02,18.13044,18.80016,17.99649,18.70448,3449100,6814,66121056
2019-08-05,18.32179,18.65665,18.17828,18.65665,5213100,8985,100897241
2019-08-06,18.65665,19.26897,18.65665,19.03935,3101600,6621,61418170
2019-08-07,19.02021,19.84302,18.82886,19.75691,4156200,7206,83935517
2019-08-08,19.70908,21.02939,19.62297,20.3501,5529800,10002,117841181
2019-08-09,20.17789,20.80934,20.17789,20.57015,2487900,5413,53106231
2019-08-12,20.29269,20.71367,19.71865,20.27356,4321000,10528,91000816
2019-08-13,20.29269,20.47448,20.05351,20.47448,2045500,7031,43405517
2019-08-14,20.33097,20.55102,19.46989,20.16832,3349700,9957,70140800
2019-08-15,20.27356,20.45534,19.556,19.90043,1768600,4938,36724468
2019-08-16,20.28313,20.55102,19.89086,20.33097,2775800,6104,58493971
2019-08-19,20.47448,20.75193,19.90999,20.28313,2737800,7475,57605334
2019-08-20,20.45534,20.52232,19.94827,20.21615,1587200,3785,33443260
2019-08-21,20.28313,20.47448,20.02481,20.09178,2791700,6343,58804396
2019-08-22,20.14918,20.22572,19.66124,19.85259,5396000,6142,111848767
2019-08-23,19.79518,20.01524,19.17329,19.66124,8429100,10045,173144445
2019-08-26,19.88129,19.88129,19.04892,19.59426,1623400,9334,33046581
2019-08-27,19.68994,19.82388,19.16373,19.6134,1569200,6822,31944475
2019-08-28,19.5847,19.6134,19.27854,19.6134,2345100,3581,47740796
2019-08-29,19.70908,19.82388,19.50816,19.79518,5799800,4604,118764736
2019-08-30,19.83345,20.10134,19.51773,19.90999,2309500,4018,47998467
2019-09-02,19.90043,20.04394,19.46989,19.6134,5215300,4609,106592276
2019-09-03,19.51773,19.79518,19.16373,19.51773,2534500,7859,51375918
2019-09-04,19.64211,19.70908,19.43162,19.70908,4812600,5073,98346604
2019-09-05,19.69951,19.92913,19.51773,19.60383,3003000,5639,61751019
2019-09-06,19.74735,19.75691,19.03935,19.27854,3436500,7542,69367217
2019-09-09,19.28811,19.42205,18.02519,18.73319,4926400,11130,95167771
2019-09-10,18.73319,19.01065,18.17828,19.01065,5311000,7599,103036547
2019-09-11,19.11589,19.6134,19.02021,19.6134,3913300,7772,79278283
2019-09-12,19.69951,20.08221,19.43162,19.78562,2384400,6293,49400976
2019-09-13,19.84302,19.84302,19.32638,19.6708,2873200,5258,58544488
2019-09-16,19.69951,19.69951,19.28811,19.33594,1576000,4319,31908398
2019-09-17,19.18286,19.28811,18.96281,19.18286,4958400,6904,99005822
2019-09-18,19.16373,19.18286,18.94367,19.12546,2854500,5438,56867047
2019-09-19,19.32638,19.38378,19.12546,19.38378,4797400,4400,96744573
2019-09-20,19.42205,19.79518,19.28811,19.59426,3211300,5049,65470544
2019-09-23,19.57513,19.57513,19.28811,19.51773,1238000,4811,25123351
2019-09-24,19.50816,19.556,19.202,19.50816,1790500,5044,36274049
2019-09-25,19.38378,19.59426,19.26897,19.59426,938400,4216,19079407
2019-09-26,19.53686,19.70908,19.35508,19.59426,2400800,9681,49145354
2019-09-27,19.556,19.6134,19.38378,19.43162,1191100,3671,24210292
2019-09-30,19.41249,19.79518,19.26897,19.68038,3287600,3750,67146174
2019-10-01,19.66124,19.68038,19.45075,19.51773,893200,2565,18244407
2019-10-02,19.45075,19.45075,19.06805,19.2307,1833200,4968,36750560
2019-10-03,19.24027,19.53686,19.02021,19.51773,3753600,5365,75662718
2019-10-04,19.6134,20.52232,19.34551,20.26399,3341300,12602,69399292
2019-10-07,20.18745,20.25443,19.90999,20.03437,1678600,6317,35161516
2019-10-08,19.9961,20.05351,19.78562,19.90043,1749700,4994,36445656
2019-10-09,19.94827,20.26399,19.72821,20.18745,1266100,4432,26554368
2019-10-10,20.19702,20.22572,19.94827,20.04394,1617600,5974,33965453
2019-10-11,20.09178,20.18745,19.82388,20.18745,1879200,6299,39376351
2019-10-14,20.09178,20.26399,19.9674,19.9674,1564500,4693,32772434
2019-10-15,19.98653,20.11091,18.50357,19.32638,4993500,10588,100983582
2019-10-16,19.29767,19.46032,18.99151,19.37421,3782600,8332,76162174
2019-10-17,19.38378,19.52729,19.28811,19.42205,1248000,3861,25336957
2019-10-18,19.41249,19.56556,19.13503,19.42205,1414100,4891,28583754
2019-10-21,19.66124,19.88129,19.44119,19.6134,1962900,7069,40335645
2019-10-22,19.59426,19.69951,19.36465,19.51773,2614000,5014,53183042
2019-10-23,19.51773,19.68038,19.30724,19.43162,1250300,4347,25438981
2019-10-24,19.46032,19.74735,19.36465,19.556,2171100,6518,44436207
2019-10-25,19.52729,19.74735,19.42205,19.66124,1548800,3762,31813769
2019-10-28,19.62297,20.00567,19.53686,19.84302,1708800,4826,35270729
2019-10-29,19.84302,20.36924,19.84302,20.04394,3000500,11084,63209090
2019-10-30,20.04394,20.33097,19.90999,20.25443,1987600,3592,41867729
2019-10-31,20.24486,20.33097,19.92913,20.05351,2246300,6850,47221522
2019-11-01,20.09178,20.33097,20.09178,20.33097,1073000,4565,22766262
2019-11-04,20.47448,20.83805,20.34053,20.47448,929200,3829,19944926
2019-11-05,20.52232,20.76151,20.00567,20.16832,1189300,3761,25152936
2019-11-06,20.21615,20.57015,19.9674,20.57015,610900,2060,13022754
2019-11-07,20.54145,20.76151,20.38837,20.76151,2064700,3433,44473794
2019-11-08,20.72323,20.72323,20.14918,20.47448,1006400,4933,21562934
2019-11-11,20.46491,20.85718,20.08221,20.85718,695200,3233,14959627
2019-11-12,20.87631,21.03896,20.27356,20.76151,2418700,8545,52134718
2019-11-13,20.56059,20.76151,20.3501,20.49361,1170200,5747,25083994
2019-11-14,20.42664,20.80934,20.39793,20.64669,1352700,7498,29177422
2019-11-18,20.76151,20.82847,20.44578,20.44578,943800,5066,20291194
2019-11-19,20.59885,20.79977,20.42664,20.79977,1624400,6296,34916691
2019-11-21,20.81891,20.96242,20.61799,20.7902,1376300,5593,29893607
2019-11-22,20.7902,20.94328,20.55102,20.80934,1774700,5566,38473917
2019-11-25,20.84761,20.94328,20.66583,20.90502,1180700,5541,25669066
2019-11-26,20.89545,20.89545,20.28313,20.79977,1746600,5697,37699696
2019-11-27,20.7902,21.02939,20.58929,20.58929,1270900,4296,27466598
2019-11-28,20.62756,20.66583,20.33097,20.62756,789100,4422,16947737
2019-11-29,20.63712,20.63712,20.33097,20.3788,3325500,5012,71254722
2019-12-02,20.29269,20.52232,20.21615,20.3788,1468900,5394,31358810
2019-12-03,20.38837,20.57972,20.3501,20.47448,1131300,4095,24214202
2019-12-04,20.52232,21.04853,20.47448,20.88588,1173000,5434,25504507
2019-12-05,20.99112,21.04853,20.83805,20.95285,813400,3752,17830957
2019-12-06,21.03896,21.67042,20.94328,21.47907,4948700,14248,110638251
2019-12-09,21.51734,22.19663,21.33555,21.76609,3369000,8568,77214583
2019-12-10,21.77566,22.1775,21.66085,22.1775,2602700,7449,59584248
2019-12-11,22.1775,22.46452,22.02442,22.28274,1515600,5450,35189593
2019-12-12,22.28274,22.39755,21.75652,22.00528,2107900,9398,48687066
2019-12-13,22.00528,22.38798,21.74696,22.34971,1261000,5727,29295501
2019-12-16,22.45495,22.47409,22.10095,22.10095,1255200,7694,29195567
2019-12-17,22.12966,22.62717,21.81393,22.38798,1865500,7241,43266754
2019-12-18,22.37841,23.01944,22.21576,23.01944,8592900,9150,201911176
2019-12-19,22.83765,22.93333,22.56019,22.86636,2623100,10046,62284970
2019-12-20,22.96203,23.10555,22.47409,22.53149,13558200,11698,320937341
2019-12-23,22.53149,23.24906,22.53149,22.99073,2087500,9237,49974430
2019-12-26,22.98116,23.72743,22.86636,23.58392,2375500,8301,57764107
2019-12-27,23.52651,23.71786,23.07684,23.71786,2647700,9891,64754331
2019-12-30,23.63176,24.03359,23.3543,23.80397,1506700,6100,37320285
2020-01-02,23.77527,24.05273,23.45954,23.53608,1987000,6598,49054639
2020-01-03,23.383,23.47868,22.69414,23.20122,4198100,11947,101837500
2020-01-06,23.20122,23.54565,23.0003,23.34473,2385100,9406,58133186
2020-01-07,23.36634,23.50113,23.01012,23.39523,1186200,5621,28688728
2020-01-08,23.23155,23.94401,23.2123,23.73219,2206200,6862,54048586
2020-01-09,23.78033,23.97289,23.52039,23.67443,5486800,6682,135090824
2020-01-10,23.68406,24.1847,23.47225,23.47225,2425700,8507,59783209
2020-01-13,23.68406,23.93438,23.58778,23.88623,2136800,5382,52757168
2020-01-14,24.02103,24.43501,23.70331,24.06916,1490400,6412,37335364
2020-01-15,24.14618,24.42539,24.07879,24.30985,3520800,5450,88490070
2020-01-16,24.40613,24.93565,24.27134,24.93565,2193800,5240,56004288
2020-01-17,24.88752,24.88752,24.5698,24.82975,2826200,7955,72743824
2020-01-20,24.7431,25.12821,24.62757,25.12821,802800,2884,20768840
2020-01-21,25.00305,25.00305,24.37725,24.93565,1755200,9688,45116297
2020-01-22,25.13784,25.22448,24.52166,24.72384,1731000,6795,44437235
2020-01-23,24.70459,24.73347,24.24246,24.73347,3243800,9365,82550122
2020-01-24,24.73347,24.85863,24.1173,24.37725,1926100,8077,48695739
2020-01-27,24.06916,25.00305,23.59741,24.3965,2132300,7551,53893493
2020-01-28,24.55055,24.82975,24.17507,24.70459,2028700,8505,51643056
2020-01-29,24.69496,25.45555,24.59868,25.42666,1996200,9389,52067163
2020-01-30,25.23411,25.43629,25.00305,25.33039,2178900,9235,57080660
2020-01-31,25.20523,25.38816,24.36762,24.77198,2138900,10397,54999070
2020-02-03,24.7431,25.50368,24.73347,25.50368,1913100,6169,50403155
2020-02-04,25.67698,26.02358,25.56145,25.93693,1126900,3753,30255239
2020-02-05,26.04284,26.50496,25.9947,26.50496,1681400,5736,45929925
2020-02-06,26.74565,26.88044,25.70587,26.33167,2951900,10238,80077048
2020-02-07,26.13911,26.168,25.4748,25.754,1979900,8720,52958473
2020-02-10,25.69624,25.73475,24.10767,24.97417,3954500,9963,101841711
2020-02-11,25.10895,26.11023,24.93565,25.70587,2344200,7691,62581849
2020-02-12,25.72512,25.85991,25.04156,25.46518,1885000,6060,49731717
2020-02-13,25.0897,25.49406,25.0897,25.18597,1280700,3681,33582426
2020-02-14,25.29188,25.57108,25.01267,25.12821,1520900,4275,39777026
2020-02-17,25.18597,25.51331,25.13784,25.32076,3120200,3303,81792624
2020-02-18,25.89842,25.95619,24.64682,24.6757,2952800,7849,76391124
2020-02-19,24.7431,25.16672,24.69496,24.93565,1860500,7078,48213527
2020-02-20,25.0897,25.24374,24.83937,24.9164,1155100,5685,29928390
2020-02-21,24.86826,24.98379,24.4639,24.6757,1358500,5087,34875331
2020-02-26,23.61666,24.02103,22.92347,24.02103,4243200,8669,103924408
2020-02-27,23.58778,23.86698,23.01975,23.35672,3336400,13138,80941562
2020-02-28,23.01975,23.07751,21.90294,22.96198,7142100,16747,166853533
2020-03-02,22.96198,24.45427,22.96198,23.92475,5272800,18873,129370988
2020-03-03,23.92475,24.35799,23.43374,23.93438,4630100,14592,114743586
2020-03-04,24.16544,25.41704,23.81884,25.28225,5240300,10694,133025405
2020-03-05,24.93565,25.21485,23.51076,23.89586,2551600,12250,64140352
2020-03-06,23.11602,23.15454,22.15326,22.63464,2105000,7927,49602926
2020-03-09,21.26751,21.5756,20.35288,21.08459,3330000,15746,72229922
2020-03-10,21.65262,22.29767,20.39139,21.37342,3570800,14572,77896194
2020-03-11,20.87278,21.07496,18.76432,20.34326,3037500,9354,63460475
2020-03-12,18.19629,18.24443,16.17448,16.60772,7200400,11440,125393999
2020-03-13,18.28294,18.58139,16.46331,18.58139,10800300,15240,204787537
2020-03-16,15.42352,18.28294,15.37538,17.52235,3170300,13199,56498707
2020-03-17,17.91709,19.58267,16.65586,19.01464,5795900,26475,108186567
2020-03-18,17.33943,17.34905,13.68091,16.80028,5130500,17515,83578200
2020-03-19,15.76049,16.73288,14.8266,16.36703,4118800,15425,68520823
2020-03-20,17.32017,17.42607,15.49091,16.27076,4952700,11663,83433906
2020-03-23,16.0782,16.27076,14.02751,15.35613,3497200,14446,54373499
2020-03-24,16.06857,16.1456,15.18283,15.21171,3444500,15011,55243092
2020-03-25,15.33687,16.01081,14.1623,15.69309,10571800,20373,164071718
2020-03-26,15.69309,17.11799,15.69309,16.99283,4227500,12816,72601474
2020-03-27,15.98192,16.80028,15.71235,16.0782,3199100,10345,54138167
2020-03-30,16.0782,16.75214,15.69309,16.26113,2642200,11029,44446040
2020-03-31,16.56921,16.94469,16.2515,16.54996,4246400,9662,72938456
2020-04-01,15.78937,16.2515,15.21171,15.68347,4482500,17369,72696873
2020-04-02,15.57756,15.74123,14.83623,15.26948,4267200,12576,67572415
2020-04-03,15.35613,15.35613,14.07565,14.34522,5214300,9226,77533444
2020-04-06,14.86512,15.60644,14.46075,15.60644,12128600,16314,187755292
2020-04-07,16.03006,16.46331,15.46203,15.69309,4931700,11098,81332558
2020-04-08,15.78937,16.72326,14.92288,16.41517,4558100,12332,74523827
2020-04-09,16.57884,17.00246,16.37666,16.55958,3960000,10446,68431396
2020-04-13,16.40554,17.28166,16.08783,17.08911,3074900,8224,53291782
2020-04-14,17.23352,17.40682,16.65586,16.82916,2743400,8202,48188853
2020-04-15,16.51144,16.99283,16.3189,16.73288,1850700,9368,32160149
2020-04-16,16.84841,16.94469,15.89528,16.45368,3268000,14306,55345831
2020-04-17,16.8099,16.8099,15.98192,16.66549,6305600,27032,106705098
2020-04-20,16.11671,16.9832,16.03006,16.84841,5331200,12042,91694275
2020-04-22,16.83879,18.37921,16.54996,18.21554,3672600,14661,67744672
2020-04-23,18.37921,18.50437,17.44533,18.03262,2853900,10409,53319562
2020-04-24,17.51272,17.58012,15.99155,17.05059,2765600,10609,48280065
2020-04-27,17.12762,17.61863,16.72326,17.47421,2999300,10985,54285111
2020-04-28,18.29256,18.57177,17.49347,17.83044,4316600,16603,79726002
2020-04-29,18.08076,18.22517,17.58012,18.08076,3216000,18387,60111933
2020-04-30,17.8882,18.10001,17.00246,17.58974,2088200,8874,37953044
2020-05-04,16.95432,17.31054,16.75214,17.19501,2521900,13111,44782473
2020-05-05,17.42607,17.51272,16.86767,17.04097,1860600,7311,33069560
2020-05-06,17.04097,17.11799,16.1456,16.60772,4110900,9675,70876058
2020-05-07,16.88692,16.88692,15.25022,15.36575,4263500,17914,69028657
2020-05-08,15.58719,15.99155,15.0673,15.59682,5457200,15374,88515587
2020-05-11,15.53905,15.82788,15.18283,15.48129,4126600,10270,66372439
2020-05-12,15.56793,15.78937,15.25022,15.31762,2885300,13118,46249274
2020-05-13,15.36575,15.55831,14.59554,15.09618,3050900,12215,47134386
2020-05-14,14.81698,15.39464,14.36448,15.39464,2982900,10294,46043846
2020-05-15,15.26948,15.54868,14.43187,14.70145,14146800,12929,213887527
2020-05-18,15.14432,15.40427,14.90363,15.18283,3799900,11201,59933711
2020-05-19,15.25022,15.96267,15.09618,15.6257,5369700,15493,87201687
2020-05-20,15.80863,15.84714,15.31762,15.43315,2242800,8674,36214961
2020-05-21,15.48129,15.87602,15.36575,15.76049,1951100,6737,31792096
2020-05-22,15.67384,16.29964,15.5198,15.92416,2435700,7085,40518859
2020-05-25,16.3574,17.12762,16.13597,17.04097,3056500,7276,53409645
2020-05-26,17.23352,17.42607,16.54033,16.83879,3364400,14005,59463264
2020-05-27,17.05059,17.64751,16.94469,17.62826,1562300,7743,28300141
2020-05-28,17.42607,17.71491,17.31054,17.52235,2663400,9893,48563640
2020-05-29,17.5031,17.85932,17.25278,17.85932,3028700,11686,55307081
2020-06-01,17.71491,18.3407,17.61863,18.02299,2067900,10333,38723369
2020-06-02,18.0615,18.27331,17.58012,17.66677,2771200,6001,51140139
2020-06-03,18.01336,18.21554,17.77267,17.95559,2156000,6195,40309149
2020-06-04,17.90746,18.31182,17.58012,17.66677,2076100,6826,38605190
2020-06-05,18.07113,19.21682,18.03262,18.56214,5393300,14378,104350159
2020-06-08,19.05315,19.34198,18.41772,19.02427,3167100,9357,61743122
2020-06-09,18.64879,19.11092,18.17703,18.87022,1364500,4384,26628742
2020-06-10,19.05315,19.23608,18.04224,18.60065,8070200,13031,156612175
2020-06-12,18.10001,18.6873,17.76304,18.48512,2887600,12873,54433304
2020-06-15,17.77267,18.3407,17.55123,18.29256,1385800,5247,25922742
2020-06-16,18.78358,18.94724,18.04224,18.08076,1769100,4424,33518276
2020-06-17,18.14815,18.72581,18.0615,18.61028,2033000,7905,38861397
2020-06-18,18.49474,18.77395,18.3407,18.55251,924400,3110,17766388
2020-06-19,18.78103,19.54939,18.60596,19.19926,4940900,13364,97225795
2020-06-22,19.60775,19.84118,19.3646,19.52994,3267700,9985,65828381
2020-06-23,19.79255,19.92871,19.17008,19.34515,1612600,5934,32122088
2020-06-24,19.26734,19.26734,18.48925,18.81994,2202300,6471,42480732
2020-06-25,18.84912,19.06309,18.42117,18.9172,1789800,10073,34425583
2020-06-26,18.84912,18.84912,18.4309,18.62542,1162600,5664,22199380
2020-06-29,18.71295,18.81994,18.10994,18.52816,2612800,10445,49455214
2020-06-30,18.38227,18.71295,18.29473,18.59624,1826200,8003,34788445
2020-07-01,18.56706,18.80049,18.2461,18.48925,4847700,12552,91626958
2020-07-02,18.66432,18.76158,18.29473,18.62542,2815500,8334,53690747
2020-07-03,18.6546,19.23816,18.56706,19.1409,1016300,4065,19873198
2020-07-06,19.25761,19.93844,19.13117,19.84118,3570500,10700,72058726
2020-07-07,19.64666,19.70501,19.21871,19.30624,2648300,9787,52709573
2020-07-08,19.43268,19.43268,19.02419,19.39378,2123500,9402,42091649
2020-07-09,19.51049,19.67583,19.16035,19.28679,1902800,8431,37798417
2020-07-10,19.28679,19.44241,18.96583,19.17008,1539200,7082,30367820
2020-07-13,19.35487,19.79255,19.35487,19.60775,2043100,6890,41167276
2020-07-14,19.66611,19.92871,19.21871,19.52022,2598300,8060,52069921
2020-07-15,19.64666,19.84118,19.39378,19.73419,1433500,6194,28999027
2020-07-16,19.94816,20.59008,19.68556,19.97734,7203500,18616,148435576
2020-07-17,20.08433,20.91104,20.0357,20.86241,3615300,16301,76175796
2020-07-20,20.98885,22.06845,20.36638,21.49461,3368400,11413,72752133
2020-07-21,21.63077,21.8642,20.44419,21.05693,3923900,20193,84676171
2020-07-22,20.91104,21.31954,20.50255,21.24173,3023900,14202,65611083
2020-07-23,21.13474,21.52378,20.7068,21.05693,3578700,11161,77512488
2020-07-24,20.94995,21.43625,20.58036,21.20282,2548300,8605,55292679
2020-07-27,21.30009,21.34872,20.72625,20.81378,8297500,12896,178230474
2020-07-28,20.81378,21.13474,20.23994,21.04721,2621400,11234,56041651
2020-07-29,21.14447,21.34872,20.68734,20.92077,3122000,8948,66935301
2020-07-30,20.64844,20.97913,20.47337,20.86241,1993300,10202,42454696
2020-07-31,20.86241,21.01803,20.40529,20.57063,2254300,9949,47803446
2020-08-03,20.4831,20.51228,20.15241,20.37611,1395600,6266,29205889
2020-08-04,20.11351,20.42474,19.71474,20.17186,1232000,5871,25505984
2020-08-05,20.19131,20.44419,20.00652,20.09406,1192100,5031,24689817
2020-08-06,20.09406,20.30803,19.7731,20.30803,2798400,9695,58020746
2020-08-07,20.21077,20.21077,19.66611,20.18159,2519200,8110,51766947
2020-08-10,20.26912,20.2983,19.59802,19.96762,1690600,7327,34572173
2020-08-11,20.02597,20.10378,19.4035,19.52994,2014300,9974,40508761
2020-08-12,19.57857,19.59802,19.00473,19.37432,1934500,6471,38233739
2020-08-13,19.37432,19.49104,18.96583,19.08254,1660200,6330,32811509
2020-08-14,19.03391,19.22844,18.62542,19.17008,1891900,9321,36856627
2020-08-17,19.12145,19.22844,18.36281,18.50871,1986300,10902,37947988
2020-08-18,18.7324,19.15063,18.60596,19.07282,1752700,9501,34126562
2020-08-19,19.20898,19.20898,18.38227,18.53788,1916300,8130,36640121
2020-08-20,18.26555,18.44062,18.03213,18.35309,2583000,11783,48571299
2020-08-21,18.2461,19.16035,18.2461,19.16035,3065400,11004,59638143
2020-08-24,19.20898,19.44241,18.89775,19.3646,2382800,6918,47140889
2020-08-25,19.34515,19.34515,18.67405,19.26734,2762700,8889,53933203
2020-08-26,19.29652,19.33542,18.38227,18.38227,2221100,8076,42594667
2020-08-27,18.4698,18.80049,18.18775,18.36281,2299700,7329,43841761
2020-08-28,18.47953,18.84912,18.40172,18.54761,2915500,8266,55610926
2020-08-31,18.41144,18.61569,17.92514,18.12939,2725800,11873,50778812
2020-09-01,18.12939,18.52816,18.12939,18.29473,2198500,9248,41465855
2020-09-02,18.40172,18.57679,18.01268,18.26555,1278700,5582,23979526
2020-09-03,18.27528,18.53788,17.80843,17.94459,8186300,8965,152336727
2020-09-04,18.10021,18.49898,18.01268,18.09048,5277800,8500,99100251
2020-09-08,18.08076,18.63514,17.99322,18.49898,1679200,4922,31734346
2020-09-09,18.64487,18.85884,18.44062,18.63514,1997400,8549,38252554
2020-09-10,18.49898,18.64487,18.03213,18.06131,1706600,6286,31987187
2020-09-11,18.14884,18.17802,17.23459,17.40966,3477900,11422,62600787
2020-09-14,17.50692,17.64309,17.26377,17.54582,2074100,6722,37242915
2020-09-15,17.66254,17.84733,17.30267,17.40966,1933900,6919,34642814
2020-09-16,17.45829,17.64309,17.20541,17.40966,2418800,13466,43227898
