Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,23.92366,24.57294,23.75384,24.47305,1054600,1553,25718606
2010-01-05,24.60291,24.7028,24.09347,24.43309,1139400,2663,27911171
2010-01-06,24.45307,25.08238,24.18337,24.87261,1950500,3085,48471205
2010-01-07,24.42311,24.77272,23.75384,23.95362,3296700,4533,79612820
2010-01-08,23.85373,23.87371,22.95472,23.14451,2720500,3093,63161496
2010-01-11,23.27437,23.55406,22.68502,22.92476,1460100,2579,33513029
2010-01-12,22.67503,23.32432,22.67503,23.02464,1479300,3238,33884073
2010-01-13,23.32432,23.54407,22.85483,22.9747,1464200,2662,34057758
2010-01-14,23.26438,23.44418,23.08458,23.22442,2009100,5231,46739987
2010-01-15,22.9747,23.27437,22.22552,22.23551,1740900,4483,39233326
2010-01-18,22.38535,22.71498,22.30544,22.40533,633300,986,14292776
2010-01-19,22.16559,22.68502,22.16559,22.49523,1340000,3431,30101733
2010-01-20,22.26548,22.42531,21.73606,22.03573,2120200,3142,46693681
2010-01-21,22.09567,22.35538,21.16669,22.32541,2071000,4636,45351434
2010-01-22,22.07569,22.34539,21.82597,22.27547,1704100,2518,37909710
2010-01-26,21.92586,22.32541,21.31653,21.62618,1462300,2184,31661253
2010-01-27,21.6162,21.93584,20.98689,21.17668,2480100,3155,52696151
2010-01-28,21.29655,21.72607,21.07679,21.31653,1048300,3615,22362566
2010-01-29,21.53628,22.17558,21.53628,21.77602,1634700,3160,35776621
2010-02-01,22.0657,22.68502,21.91587,22.31543,1098900,1399,24733405
2010-02-02,22.57514,22.85483,21.99578,22.63507,1146000,2335,25804833
2010-02-03,22.7949,22.98469,22.58513,22.94473,818000,1299,18706792
2010-02-04,22.71498,22.76493,21.45637,21.93584,700000,1555,15616037
2010-02-05,21.91587,22.58513,20.89699,21.40643,1100600,2821,23686153
2010-02-08,21.4264,21.9758,21.1567,21.82597,946900,3776,20490748
2010-02-09,22.39534,22.58513,21.72607,21.82597,1839100,4433,40711325
2010-02-10,22.32541,22.41532,21.75604,22.11564,1904600,3818,42045520
2010-02-11,22.1556,22.37536,21.51631,21.59622,1430800,3455,31094655
2010-02-12,21.66614,21.9758,21.32652,21.47635,1013400,3535,21869332
2010-02-17,21.57624,21.94583,21.49633,21.7061,1000100,3356,21806772
2010-02-18,21.82597,21.9758,21.57624,21.84594,853800,2645,18586934
2010-02-19,21.57624,21.94583,21.57624,21.69611,831500,2023,18108943
2010-02-22,21.87591,22.12564,21.25659,21.47635,1137700,4353,24516968
2010-02-23,21.29655,21.55626,21.07679,21.25659,1235800,2606,26350532
2010-02-24,21.56625,22.50522,21.3365,21.7061,3165400,3838,69740234
2010-02-25,21.35648,22.35538,21.21663,22.22552,933400,2729,20446297
2010-02-26,22.0657,22.36537,21.82597,22.19556,765300,1569,16936395
2010-03-01,22.25549,22.80489,21.9758,22.57514,977300,2094,22080294
2010-03-02,22.57514,23.20445,22.57514,23.09457,2078700,3234,48010703
2010-03-03,23.14451,24.07349,23.14451,23.59402,4411900,5949,105156953
2010-03-04,23.78381,23.93364,23.47415,23.47415,1442400,2422,34269441
2010-03-05,23.78381,24.05351,23.61399,23.92366,1018500,2261,24343153
2010-03-08,23.86372,24.17338,23.56405,23.78381,1209700,1950,28922856
2010-03-09,23.45417,24.16339,23.40423,23.87371,1407700,2886,33653330
