Date,Open,High,Low,Close,Volume,Neg,Fin
2021-05-17,20.0,20.46,18.35,19.25,4125400,9875,80777513
2021-05-18,19.11,19.3,18.35,18.35,934500,3418,17356334
2021-05-19,18.15,18.15,17.12,17.44,479400,1130,8387234
2021-05-20,17.69,18.0,17.27,18.0,465300,922,8243056
2021-05-21,18.01,18.79,17.76,18.75,314300,685,5829790
2021-05-24,18.8,19.39,18.8,19.39,224400,667,4303078
2021-05-25,19.31,19.77,19.31,19.5,201300,805,3932927
2021-05-26,19.75,19.95,19.33,19.75,185800,752,3672376
2021-05-27,19.89,20.2,19.27,20.0,196900,579,3919227
2021-05-28,20.0,20.09,19.5,20.0,546300,359,10886223
2021-05-31,19.96,20.29,19.68,20.0,93700,331,1874824
2021-06-01,20.03,20.03,19.68,19.74,80000,214,1588746
2021-06-02,19.95,19.95,19.3,19.3,36900,172,719405
2021-06-04,19.3,19.5,18.6,19.2,291600,550,5529285
2021-06-07,19.18,19.44,18.7,19.3,33100,121,632683
2021-06-08,19.19,19.94,18.67,18.69,206500,344,3911224
2021-06-09,18.78,19.18,18.65,19.0,63600,106,1204972
2021-06-10,19.0,19.0,18.16,18.41,154500,542,2846608
2021-06-11,18.41,19.15,18.2,19.15,132300,604,2468982
2021-06-14,19.17,19.54,18.85,19.37,200100,816,3852456
2021-06-15,19.45,20.0,18.79,20.0,318700,642,6209108
2021-06-16,20.0,20.09,19.7,19.85,120000,621,2383684
2021-06-17,19.9,19.9,19.14,19.65,132500,460,2577619
2021-06-18,19.18,19.47,18.9,18.9,123400,362,2362477
2021-06-21,19.18,20.39,18.69,20.39,278800,1325,5540475
2021-06-22,20.2,21.84,19.7,21.84,312900,1489,6517773
2021-06-23,23.0,23.75,22.07,23.75,768900,2581,17777351
2021-06-24,23.95,26.33,23.95,25.8,662000,2963,16663225
2021-06-25,26.19,28.78,25.5,27.05,569000,1785,15392173
2021-06-28,26.91,27.55,24.91,26.05,438400,1470,11341498
2021-06-29,26.5,29.0,25.39,26.7,605100,1852,16142881
2021-06-30,26.6,27.5,25.93,26.55,1489300,1964,39600832
2021-07-01,26.15,26.4,24.03,24.03,498500,1678,12480153
2021-07-02,23.74,25.7,23.1,24.91,382400,1106,9379227
2021-07-05,25.48,26.69,23.87,23.87,264600,1083,6607973
2021-07-06,23.45,23.78,22.43,22.43,396500,1287,9078464
2021-07-07,22.29,22.79,21.41,21.41,289000,1028,6342560
2021-07-08,21.0,21.24,20.3,20.95,165800,756,3459482
2021-07-12,20.95,21.84,19.67,20.32,333400,1158,6764191
2021-07-13,20.1,20.78,19.7,20.62,210900,709,4294385
2021-07-14,20.82,21.1,19.42,20.85,472000,973,9508684
2021-07-15,20.32,20.43,19.9,19.99,157200,676,3157690
2021-07-16,19.86,20.3,19.75,20.23,64800,212,1302330
2021-07-19,20.16,20.16,19.01,19.01,205400,778,3950362
2021-07-20,19.1,19.81,18.6,19.81,164000,537,3178933
2021-07-21,19.4,19.75,18.71,18.71,180600,817,3433176
2021-07-22,18.9,21.8,18.7,21.48,786800,2514,16269586
2021-07-23,21.58,22.77,20.73,20.85,574700,2258,12479421
2021-07-26,21.03,21.76,19.63,20.2,332500,1338,6740590
2021-07-27,19.9,20.13,19.11,20.01,258300,821,5083957
2021-07-28,19.98,20.13,19.3,19.3,190800,565,3727124
2021-07-29,19.44,20.26,18.96,19.89,139600,716,2758669
2021-07-30,19.47,19.81,18.15,18.65,284400,1020,5314296
2021-08-02,18.78,19.16,18.15,18.15,298700,563,5468750
2021-08-03,18.1,18.1,17.24,17.34,194200,518,3405788
2021-08-04,17.46,18.18,16.86,17.31,105800,362,1827221
2021-08-05,17.49,17.85,16.56,16.56,92800,273,1574254
2021-08-06,16.56,16.56,15.49,15.49,243500,523,3846511
2021-08-09,15.45,15.45,14.77,14.8,161500,714,2420694
2021-08-10,14.82,15.44,14.25,14.4,141600,554,2110635
2021-08-11,14.44,14.96,14.37,14.89,20600,102,303849
2021-08-12,14.98,15.38,13.98,14.4,38200,159,547652
2021-08-13,14.3,14.4,13.17,13.17,101400,276,1394278
2021-08-16,13.1,13.44,11.9,11.99,164700,715,2049724
2021-08-17,12.0,12.98,11.15,11.41,307500,1215,3639226
2021-08-18,11.6,13.45,11.59,12.0,379600,1350,4628146
2021-08-19,11.79,13.73,11.71,13.73,221400,879,2777681
2021-08-20,13.74,16.5,13.39,16.3,449900,1539,7017908
2021-08-23,16.46,17.68,15.5,16.3,234300,967,3761355
2021-08-24,16.31,17.5,16.1,17.28,271300,1100,4596736
2021-08-25,17.44,18.69,17.06,18.09,162900,749,2920520
2021-08-26,17.95,18.5,16.61,16.93,135700,538,2372079
2021-08-27,17.22,17.48,16.29,16.85,97300,372,1634109
2021-08-30,17.01,17.99,16.76,17.44,96300,552,1662676
2021-08-31,17.38,17.38,16.32,17.05,108900,466,1846383
2021-09-01,17.14,17.58,16.48,16.86,74600,480,1259432
2021-09-02,16.98,16.98,15.3,16.49,179400,467,2899444
2021-09-03,16.82,16.9,15.6,16.08,111500,415,1795815
2021-09-06,15.67,16.19,15.61,16.19,28000,83,443366
2021-09-08,15.76,15.99,14.7,15.5,76900,209,1177408
2021-09-09,15.13,16.12,14.87,15.97,71800,201,1117829
2021-09-10,15.97,16.1,15.1,15.5,57500,300,890148
2021-09-13,15.54,16.1,15.4,15.4,63900,340,994690
2021-09-14,15.15,15.5,14.6,14.64,94100,478,1397776
2021-09-15,14.64,14.84,14.16,14.84,85800,336,1239552
2021-09-16,15.28,15.3,13.91,14.6,129200,637,1866726
2021-09-17,14.6,14.6,13.75,14.0,134600,510,1887623
2021-09-20,13.81,13.98,12.8,13.98,73500,270,980559
2021-09-21,13.99,14.18,13.43,13.87,83000,342,1142826
2021-09-22,13.85,14.28,13.2,13.2,119900,585,1620758
2021-09-23,13.25,13.6,12.77,13.0,152600,417,1993911
2021-09-24,12.83,12.85,12.39,12.4,112000,563,1400715
2021-09-27,12.46,12.85,12.02,12.02,62400,171,777800
2021-09-28,12.04,12.07,11.5,11.7,70500,244,827333
2021-09-29,11.77,11.8,11.33,11.46,50100,258,577248
2021-09-30,11.5,11.85,11.18,11.4,175100,688,2007667
2021-10-01,11.42,11.6,10.89,10.91,115500,497,1280264
2021-10-04,10.95,10.95,9.8,9.8,296200,757,3018643
2021-10-05,10.03,10.03,9.03,9.04,197000,743,1827549
2021-10-06,8.88,8.9,8.35,8.36,288100,996,2466671
2021-10-07,8.6,9.2,8.44,8.93,200800,550,1793507
2021-10-08,9.01,9.47,8.91,9.4,458600,1177,4255836
2021-10-11,9.47,9.52,9.12,9.19,244800,991,2278836
2021-10-13,9.27,9.3,8.77,9.27,126900,308,1164929
2021-10-14,9.2,9.48,8.71,9.14,304500,856,2752285
2021-10-15,9.18,9.4,8.9,9.06,94600,295,868338
2021-10-18,9.0,9.5,8.87,9.1,205200,457,1874336
2021-10-19,9.0,9.16,8.39,8.48,247400,783,2149361
2021-10-20,8.6,9.0,8.53,8.92,358900,487,3157160
2021-10-21,8.66,9.09,8.5,9.0,179500,353,1588207
2021-10-22,8.76,8.99,8.01,8.5,142100,414,1190704
2021-10-25,8.61,9.09,8.5,9.02,123800,295,1085980
2021-10-26,8.75,8.89,8.3,8.41,82900,322,704619
2021-10-27,8.5,8.68,8.17,8.68,45500,224,384021
2021-10-28,8.55,8.74,8.2,8.2,41800,170,349776
2021-10-29,8.24,8.39,7.89,8.03,101200,481,823065
2021-11-01,8.12,8.5,7.91,8.28,68200,378,557870
2021-11-03,8.45,9.16,8.23,9.04,57100,245,502366
2021-11-04,9.17,9.4,8.21,8.21,124400,679,1092973
2021-11-05,8.26,8.53,8.15,8.3,106900,690,885861
2021-11-08,8.67,8.77,8.0,8.55,138100,644,1153647
2021-11-09,8.53,8.77,8.21,8.54,140800,633,1188470
2021-11-10,8.58,8.99,8.15,8.15,248500,991,2123011
2021-11-11,8.17,8.56,8.06,8.24,279700,869,2306074
2021-11-12,8.24,8.25,7.44,7.44,201500,864,1578031
2021-11-16,7.59,7.8,7.01,7.29,175600,744,1279565
2021-11-17,7.4,7.4,7.0,7.0,121300,682,868940
2021-11-18,7.08,7.24,6.58,6.72,159000,786,1106006
2021-11-19,6.72,7.1,6.54,6.56,135000,873,910941
2021-11-22,6.57,6.93,6.06,6.17,233600,1067,1476960
2021-11-23,6.19,6.4,5.88,6.11,204100,795,1255995
