Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,13.56518,14.16974,13.56518,14.14361,717700,1903,27073367
2010-01-05,14.29288,14.59889,13.91597,13.96449,496200,1859,18853281
2010-01-06,14.0951,14.3302,14.0018,14.13615,402700,1993,15282143
2010-01-07,13.99434,14.23691,13.55025,13.65847,1268400,3744,46693733
2010-01-08,13.71445,13.73684,13.12856,13.43457,1259400,3163,44967008
2010-01-11,13.56891,13.62116,13.13602,13.16587,724900,2698,25743783
2010-01-12,13.12109,13.5092,13.01287,13.47188,1150400,2774,40708924
2010-01-13,13.50174,13.58384,13.28902,13.28902,916100,2463,32921260
2010-01-14,13.28902,13.5092,13.14348,13.24797,1003300,3357,35680575
2010-01-15,13.20693,13.23678,12.95316,13.12109,735900,2789,25752048
2010-01-18,13.24797,13.25543,13.06138,13.0987,351900,1385,12418397
2010-01-19,12.91957,13.46442,12.6994,13.45322,854200,3248,30287819
2010-01-20,13.13602,13.38978,12.91584,13.21066,960500,2998,33995049
2010-01-21,13.21439,13.28529,12.78149,13.06138,583100,2297,20307488
2010-01-22,12.89718,13.24424,12.82255,13.17334,594600,1840,20796877
2010-01-26,13.06511,13.06511,12.46429,12.46429,1032500,3632,35127531
2010-01-27,12.42697,13.05392,12.37099,13.03526,1104100,3755,37692297
2010-01-28,13.0875,13.22932,12.72179,12.87479,655900,2056,22743343
2010-01-29,12.91211,13.05392,12.57998,12.66581,569200,1829,19411516
2010-02-01,12.73298,13.06138,12.63222,12.73671,549300,2576,18988746
2010-02-02,12.85986,13.04272,12.83374,12.96809,430900,2053,14959713
2010-02-03,13.02033,13.35993,12.91211,13.15467,562700,2418,19877667
2010-02-04,13.00167,13.02033,12.32248,12.6882,934800,2840,31596414
2010-02-05,12.50161,13.36366,11.86347,12.35233,970400,3112,31914798
2010-02-08,12.49788,12.50161,11.99781,12.50161,851900,2005,28076744
2010-02-09,12.53893,12.91211,12.32621,12.44563,951200,3105,32164483
2010-02-10,12.50907,12.54639,12.32248,12.38219,425000,1458,14131889
2010-02-11,12.45683,12.65088,12.15082,12.65088,509100,1332,16979571
2010-02-12,12.50161,12.61357,12.15082,12.31502,634400,2317,20915446
2010-02-17,12.64715,13.08377,12.64342,12.93077,958600,4097,33119274
2010-02-18,12.76657,12.90465,12.63595,12.81135,557400,1522,19050300
2010-02-19,12.77777,12.84494,12.65461,12.84494,393900,1327,13440417
2010-02-22,12.85613,13.09497,12.83747,12.96809,457100,2156,15921359
2010-02-23,12.86733,13.02407,12.65088,12.82255,818700,2788,28206450
2010-02-24,12.94943,13.16961,12.68447,12.83747,420700,1662,14482228
2010-02-25,12.6882,12.6882,12.47549,12.61357,498200,1540,16815247
2010-02-26,12.6882,12.72552,12.29636,12.42697,381900,1156,12740620
2010-03-01,12.64715,12.87106,12.61357,12.84121,628700,2052,21515067
2010-03-02,12.88313,13.19297,12.88313,13.02084,464700,2101,15896734
2010-03-03,13.15471,13.4569,12.95198,13.26947,969000,4227,33733540
2010-03-04,13.37658,13.4875,13.17766,13.3498,503800,1639,17577877
2010-03-05,13.44925,13.50281,13.19679,13.34215,408900,1363,14303516
2010-03-08,13.46455,13.49133,13.03614,13.08204,572600,1730,19634400
2010-03-09,12.88313,13.11646,12.8334,13.00553,862300,2991,29366946
2010-03-10,13.12029,13.38423,13.10116,13.10116,548800,1271,18955103
2010-03-11,13.15471,13.35362,13.10116,13.15854,365600,1011,12660968
2010-03-12,13.38805,13.39952,13.00936,13.00936,397000,1081,13689174
2010-03-15,12.92903,13.23504,12.89078,13.17384,424000,1047,14530071
2010-03-16,13.08586,13.32685,13.06291,13.2733,401300,1483,13887695
2010-03-17,13.2733,13.59078,13.2274,13.4875,612900,2115,21575430
2010-03-18,13.51428,13.60608,13.25417,13.38805,598500,1482,21002496
2010-03-19,13.38805,13.57931,13.33067,13.45308,445000,1107,15638509
2010-03-22,13.49898,13.83559,13.30772,13.52193,787000,2034,28119524
2010-03-23,13.67494,13.77439,13.44161,13.52575,616000,1929,21852680
2010-03-24,13.46455,13.72467,13.23887,13.44543,570800,2132,20220889
2010-03-25,13.45308,13.62521,13.36127,13.51046,407000,1795,14379212
2010-03-26,13.51046,13.90827,13.49898,13.73996,725700,2112,26129392
2010-03-29,13.86619,13.96183,13.78969,13.81264,774400,2535,28167937
2010-03-30,13.90827,13.96183,13.60226,13.74379,683500,1268,24770757
