Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,116.41103,118.01321,116.41103,117.84455,426800,133,11869774
2010-01-05,116.79049,120.12134,116.79049,119.53107,167200,133,4703145
2010-01-06,119.53107,120.79592,119.10942,120.37431,630900,244,17996556
2010-01-07,117.97103,119.95268,117.97103,119.95268,279100,137,7918559
2010-01-08,118.47701,119.53107,117.97103,119.53107,219800,94,6197680
2010-01-11,118.01321,118.47701,116.4532,117.84455,340200,122,9498961
2010-01-12,116.49535,119.27808,115.10397,117.42294,38100,142,1052975
2010-01-13,115.73643,117.92886,115.73643,117.38078,34500,120,954811
2010-01-14,115.23048,116.49535,114.0499,116.49535,33500,179,915682
2010-01-15,108.56878,108.56878,95.75134,96.34161,400300,688,9738381
2010-01-18,97.35352,99.88327,89.38477,90.39668,133500,270,2892359
2010-01-19,88.07773,90.31235,87.108,89.59558,261300,941,5492463
2010-01-20,89.59558,91.19778,88.16206,91.19778,38300,106,810265
2010-01-21,89.51126,90.81831,87.31881,88.49936,46000,209,966185
2010-01-22,86.55988,88.28855,86.01176,86.39123,68500,161,1411701
2010-01-26,86.39123,88.54153,83.90363,84.32526,49800,219,1002794
2010-01-27,85.54797,85.59013,83.69283,84.9577,39600,108,792806
2010-01-28,85.59013,85.9696,83.482,85.92744,68900,176,1383145
2010-01-29,84.74688,85.54797,83.22903,85.46365,57100,267,1138506
2010-02-01,85.29501,85.29501,83.27119,84.70473,65300,207,1301259
2010-02-02,85.29501,85.29501,83.52415,83.69283,48500,220,965457
2010-02-03,83.60851,84.1566,83.22903,83.69283,42400,83,841530
2010-02-04,84.2831,84.2831,80.36197,80.4463,42300,144,818398
2010-02-05,78.88628,81.16306,76.35653,80.06683,103700,218,1932836
2010-02-08,80.74144,82.17498,78.12736,80.53063,24900,58,472717
2010-02-09,82.17498,82.17498,78.296,79.01276,51000,127,957053
2010-02-10,78.50682,79.68736,77.19978,79.26574,43800,222,815638
2010-02-11,78.92844,79.39223,77.24194,78.00087,32000,79,594430
2010-02-12,78.42249,79.13926,78.00087,78.84412,707600,75,13095887
2010-02-17,79.51873,79.51873,78.00087,78.71763,47100,116,872938
2010-02-18,78.00087,79.4344,78.00087,79.22359,98000,259,1819886
2010-02-19,77.2841,79.4344,77.2841,79.4344,149800,291,2788558
2010-02-22,78.67547,79.39223,78.6333,79.35007,32200,170,602413
2010-02-23,79.35007,80.109,78.42249,80.109,44800,187,841575
2010-02-24,82.42793,82.42793,79.72953,82.21713,76500,179,1466809
2010-02-25,81.37388,83.01821,80.109,82.84956,22500,151,437332
2010-02-26,82.8074,83.39769,81.7955,83.39769,65800,168,1283908
2010-03-01,83.90363,83.90363,81.92199,83.52415,74700,97,1459100
2010-03-02,81.83766,83.31335,80.95225,81.1209,32900,163,638396
2010-03-03,81.37388,82.17498,79.94034,82.17498,28800,165,550690
2010-03-04,79.9825,82.59659,79.94034,82.59659,16300,46,314991
2010-03-05,83.27119,83.27119,80.61495,82.42793,42100,144,816416
2010-03-08,82.38579,82.8074,81.75334,82.59659,9600,38,187518
2010-03-09,82.17498,83.22903,81.41604,82.8074,25700,70,503624
2010-03-10,83.01821,83.10254,81.58469,83.10254,21600,144,421920
2010-03-11,81.50037,83.22903,80.69927,83.22903,27800,79,541453
2010-03-12,83.06038,83.86147,82.21713,82.93389,11300,68,221928
