Date,Open,High,Low,Close,Volume,Neg,Fin
2021-08-10,18.3,19.62,18.15,19.11,10291800,18549,195531521
2021-08-11,19.1,19.17,18.06,18.6,3471700,9232,64098394
2021-08-12,18.6,19.48,18.6,19.24,977400,4340,18706604
2021-08-13,19.38,19.38,18.05,18.85,1544500,2426,28842154
2021-08-16,18.96,19.06,17.6,17.78,1298300,3175,23197496
2021-08-17,17.78,17.8,15.23,16.2,15252100,8958,247682448
2021-08-18,16.44,16.7,15.65,15.8,1782000,3724,28539282
2021-08-19,15.41,15.77,14.7,15.65,2460400,2737,37526678
2021-08-20,15.45,16.05,15.11,15.68,1434600,3491,22504518
2021-08-23,15.7,15.97,15.51,15.78,522300,1395,8236885
2021-08-24,16.02,17.32,15.8,17.04,2555500,4618,43182341
2021-08-25,17.04,17.49,16.66,17.4,757300,1867,13007029
2021-08-26,17.4,17.69,16.74,17.5,1319100,1355,22714387
2021-08-27,17.5,17.62,17.01,17.22,739600,2395,12789521
2021-08-30,17.22,17.35,16.9,17.0,942300,1454,16064819
2021-08-31,17.0,17.34,16.52,17.0,781700,1807,13230721
2021-09-01,17.15,17.23,16.46,17.2,1389700,2164,23469266
2021-09-02,17.2,17.8,16.81,17.1,1993100,1761,34124841
2021-09-03,17.1,18.19,17.1,18.09,1834600,1554,32139637
2021-09-06,17.99,18.62,17.57,18.59,1987400,1478,36199460
2021-09-08,18.59,18.95,16.78,17.41,2545700,4097,45320982
2021-09-09,17.41,17.41,16.62,16.99,925500,2499,15661774
2021-09-10,16.81,17.18,16.11,16.11,572900,2013,9430989
2021-09-13,16.23,16.38,15.91,15.91,402600,1843,6497160
2021-09-14,15.97,16.21,15.8,16.04,261000,1267,4180257
2021-09-15,16.04,16.14,15.81,16.0,167700,533,2677760
2021-09-16,16.0,16.14,15.37,15.45,442100,1424,6867594
2021-09-17,15.47,15.61,14.65,14.99,487100,1944,7280437
2021-09-20,14.66,14.86,14.24,14.49,639000,2437,9278891
2021-09-21,14.64,15.43,14.43,14.77,400800,1376,5923956
2021-09-22,15.29,15.43,14.85,15.4,321000,1624,4886443
2021-09-23,15.45,15.92,15.13,15.41,360100,1149,5550620
2021-09-24,15.2,15.39,14.87,15.1,406400,1015,6155374
2021-09-27,15.04,15.08,14.65,15.0,518200,1888,7695198
2021-09-28,14.96,15.08,14.39,14.6,1585100,1430,23293375
2021-09-29,14.71,15.09,14.07,14.21,1649200,2734,23694377
2021-09-30,14.3,14.37,13.38,13.47,668300,2893,9090482
2021-10-01,14.6,14.8,14.28,14.74,4175200,5697,60707176
2021-10-04,14.28,15.32,13.72,14.05,1396100,2223,19844857
2021-10-05,14.2,14.43,13.66,13.8,802300,1180,11092052
2021-10-06,13.68,13.75,12.81,13.26,823300,2389,10742811
2021-10-07,13.42,13.52,13.01,13.36,325900,1183,4305717
2021-10-08,13.5,14.0,13.36,14.0,983200,2385,13500776
2021-10-11,13.65,13.74,12.68,12.86,8705100,1817,111460224
2021-10-13,12.9,12.92,12.34,12.61,2047400,4565,25590460
2021-10-14,12.72,12.74,12.21,12.39,879400,2771,10900061
2021-10-15,12.38,12.47,12.02,12.28,579900,1696,7114204
2021-10-18,12.26,12.5,12.2,12.28,367200,775,4519012
2021-10-19,12.2,12.32,11.5,11.5,1101900,2778,13072544
2021-10-20,11.71,11.84,11.2,11.6,990800,3901,11418413
2021-10-21,11.5,11.54,10.32,10.74,1751000,3011,18701794
2021-10-22,10.82,11.11,10.1,10.61,4361400,7631,45815860
2021-10-25,10.65,11.16,10.62,11.15,358200,1328,3949897
2021-10-26,11.0,11.0,10.38,10.74,419300,1359,4454864
2021-10-27,10.68,10.86,10.52,10.62,271400,1138,2911005
2021-10-28,10.56,10.84,10.2,10.2,547600,1487,5766152
2021-10-29,10.1,10.51,9.83,10.14,571100,2447,5792320
2021-11-01,10.14,10.47,10.0,10.1,394500,1335,4028705
2021-11-03,10.13,10.94,10.04,10.71,1150700,4429,12193450
2021-11-04,10.74,10.83,10.34,10.67,1064300,3866,11279718
2021-11-05,10.66,11.32,10.56,11.32,2235000,6596,24417252
2021-11-08,11.24,11.49,10.91,11.19,1886800,5911,21195670
2021-11-09,11.02,11.47,10.51,10.85,2260700,6200,24608395
2021-11-10,10.95,11.54,10.63,11.18,2313300,6817,25852717
2021-11-11,11.29,11.53,11.0,11.08,865200,3040,9705392
