Date,Open,High,Low,Close,Volume,Neg,Fin
2010-03-22,3000.0,3040.0,2720.04004,2800.0,518900,1941,367816052
2010-03-23,2800.0,2879.59985,2720.0,2872.0,136500,670,96315999
2010-03-24,2855.95972,2955.55981,2855.95972,2948.0,100800,533,73688463
2010-03-25,2967.99976,2967.99976,2880.0,2880.0,42600,161,31278224
2010-03-26,2880.0,2906.0,2826.0,2859.99976,36000,161,25830594
2010-03-29,2928.0,2928.0,2780.04004,2840.0,26300,155,18618418
2010-03-30,2811.99976,2832.0,2771.99976,2832.0,18700,126,13120010
2010-03-31,2820.0,2840.0,2768.0,2800.0,32900,145,23125494
2010-04-01,2800.11987,2811.3999,2771.99976,2800.0,12100,57,8448921
2010-04-05,2800.0,2800.0,2764.04004,2799.95996,18400,82,12852795
2010-04-06,2798.0,2798.0,2724.0,2740.0,11500,60,7909956
2010-04-07,2700.0,2700.0,2420.04004,2640.0,121700,572,77489289
2010-04-08,2596.0,2800.0,2596.0,2800.0,120200,420,82873314
2010-04-09,2746.0,2759.91992,2640.19995,2640.19995,34300,199,23173657
2010-04-12,2659.99976,2659.99976,2408.0,2420.0,60600,375,37198765
2010-04-13,2451.99976,2559.99976,2400.0,2436.04004,68800,392,42659600
2010-04-14,2480.0,2480.0,2420.0,2466.0,35400,124,21740144
2010-04-15,2472.0,2539.95996,2471.95996,2525.99976,30700,152,19243134
2010-04-16,2554.0,2554.0,2460.0,2460.0,11500,80,7125899
2010-04-19,2420.3999,2493.0,2420.0,2443.99976,7200,59,4424997
2010-04-20,2452.03979,2468.0,2428.0,2428.12012,4500,44,2751042
2010-04-22,2412.3999,2424.0,2360.11987,2368.0,7500,67,4474219
2010-04-23,2380.0,2380.0,2272.0,2339.95996,13300,92,7722581
2010-04-26,2308.0,2339.91992,2284.0,2299.95996,5500,48,3167581
2010-04-27,2279.99976,2300.0,2208.0,2227.95972,15000,97,8378096
2010-04-28,2239.95972,2301.99976,2220.0,2239.99976,9400,62,5334628
2010-04-29,2243.99976,2388.0,2243.99976,2304.0,28100,149,16508781
2010-04-30,2340.0,2400.0,2303.08008,2375.95996,37200,142,21986206
2010-05-03,2375.95996,2400.0,2356.0,2384.11987,26300,78,15631386
2010-05-04,2328.0,2335.99976,2239.99976,2284.0,23500,89,13453662
2010-05-05,2243.99976,2300.0,2208.0,2248.0,36300,67,20635552
2010-05-06,2248.0,2279.91968,2120.0,2124.0,29300,75,16271416
2010-05-07,2141.19995,2141.19995,1960.0,1960.0,56800,132,28739787
2010-05-10,2100.04004,2108.0,2020.03992,2048.04004,15900,121,8163130
2010-05-11,2000.0,2040.0,1932.0,1960.03992,21200,166,10456763
2010-05-12,1979.99988,1979.99988,1840.0,1932.04004,21400,160,10205600
2010-05-13,1942.0,2027.99988,1844.03992,1860.0,15700,108,7554162
2010-05-14,1895.99988,1960.0,1848.0,1916.0,23700,96,11208838
2010-05-17,1919.99988,2019.95984,1879.99988,2008.0,13900,121,6827873
2010-05-18,2000.0,2008.0,1879.99988,1879.99988,40000,106,19455706
2010-05-19,1879.99988,1879.99988,1779.99988,1832.0,32600,65,14905241
