Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,46.2075,46.50607,46.02978,46.50607,344800,761,22475184
2010-01-05,46.74066,46.89705,45.57481,45.8094,698300,1291,45640790
2010-01-06,46.56294,46.56294,45.52505,45.83784,670600,1719,43300765
2010-01-07,45.8023,46.89705,45.42552,46.42076,540100,1488,35313026
2010-01-08,46.52029,46.64824,45.63878,45.85206,402200,850,26003639
2010-01-11,46.2075,46.21461,44.80705,45.35443,349800,1211,22349860
2010-01-12,45.4042,46.91839,44.4445,46.88283,561400,1416,36358861
2010-01-13,46.89705,47.06057,45.6459,47.06057,513400,1237,33808803
2010-01-14,47.34491,48.19086,47.3378,48.05581,1573000,2637,105869811
2010-01-15,48.02026,48.44679,47.21695,48.26906,821400,2172,55689041
2010-01-18,48.30461,48.30461,47.62926,47.807,405700,1363,27349850
2010-01-19,47.28802,48.51075,47.21695,48.34725,451800,1545,30682567
2010-01-20,48.29751,48.62452,47.77143,48.47522,856000,2422,57924635
2010-01-21,48.46809,48.66004,45.78096,45.93736,974000,2649,64152533
2010-01-22,45.78807,46.33546,45.14117,45.49661,896000,3237,57409207
2010-01-26,45.12694,46.06532,44.78573,45.14117,533000,1839,33907787
2010-01-27,44.88526,45.42552,44.18148,44.18148,447400,1983,28243422
2010-01-28,44.78573,45.42552,44.18148,44.53691,639500,1736,40047449
2010-01-29,44.77862,45.11984,44.34498,44.96344,722000,1559,45506057
2010-02-01,44.99899,45.30468,44.38764,44.79284,515600,1470,32590105
2010-02-02,45.01322,46.45631,45.01322,46.41365,869000,1577,56177736
2010-02-03,46.02978,46.34257,45.09141,45.21937,667500,1486,42873136
2010-02-04,45.21937,45.35443,42.31185,43.01562,846100,2030,51380507
2010-02-05,42.36872,43.44216,41.58675,42.75971,1071600,2170,63939705
2010-02-08,43.35685,43.90423,42.75971,43.72651,519500,1243,31805619
2010-02-09,44.07484,46.00134,44.00375,45.11984,655100,2186,41646632
2010-02-10,45.17672,46.48474,45.03455,45.35443,358700,1278,23018707
2010-02-11,45.72411,46.06532,44.05352,45.42552,733000,1834,46511295
2010-02-12,45.28335,45.38997,44.39474,44.92079,293200,887,18466129
2010-02-17,45.85206,46.41365,45.55348,46.17907,391100,1475,25293058
2010-02-18,46.2075,46.44919,45.92314,46.44919,439000,1515,28596064
2010-02-19,46.34257,46.70511,45.86628,46.13641,651900,1720,42442151
2010-02-22,46.66248,46.73354,44.64355,44.75018,795600,1685,50477107
2010-02-23,44.70041,45.46818,42.65307,43.96821,1150000,3196,70422300
2010-02-24,43.96821,44.2028,43.24311,43.99665,615800,1328,37888508
2010-02-25,43.12225,44.21702,42.87346,44.21702,496800,1294,30598611
2010-02-26,43.90423,44.21702,42.80236,43.64832,769300,1439,46919599
2010-03-01,43.7194,44.18148,43.64119,43.7194,922600,762,57083702
2010-03-02,43.90423,44.85681,43.89712,44.71464,1198000,1586,75104481
2010-03-03,44.89236,45.57481,44.78573,45.53216,836400,2008,53353416
2010-03-04,45.48951,45.48951,43.54168,44.02507,1437000,2232,89374909
2010-03-05,44.28812,44.62223,42.86634,43.22178,1586800,3393,97174658
2010-03-08,43.26443,43.4848,42.30474,42.58199,100,1,7499
2010-03-09,42.36872,43.07961,41.89243,43.00142,902800,2275,54241023
2010-03-10,43.01562,43.43505,43.01562,43.37818,661000,2141,40278252
2010-03-11,43.36396,43.57724,42.98008,43.36396,405700,923,24710581
2010-03-12,43.81893,43.81893,43.12937,43.22178,480200,1191,29348068
2010-03-15,43.02274,43.22178,42.34029,42.5109,276500,894,16574032
2010-03-16,43.28576,43.28576,42.10569,42.36872,448200,1382,26838616
2010-03-17,42.85212,42.87346,42.43982,42.78103,432500,1263,25997407
2010-03-18,42.66018,42.79524,42.12702,42.29763,696300,1229,41614849
2010-03-19,42.43982,42.54643,41.62229,41.62229,533100,1055,31562148
2010-03-22,41.62229,42.04882,41.33794,41.51565,632400,1592,37046727
2010-03-23,41.97773,42.08437,41.34504,42.01328,506600,1472,29676105
2010-03-24,41.86398,42.01328,41.45879,41.76447,292300,1228,17164814
2010-03-25,42.04882,42.04882,41.60097,41.80002,227800,926,13402351
2010-03-26,41.7929,42.08437,40.99672,41.80002,411000,1101,24106712
2010-03-29,41.72892,42.05593,41.18155,41.2313,394800,1329,23003006
2010-03-30,41.7929,41.80002,39.84507,40.9825,1431700,3801,81373755
2010-03-31,41.01804,42.32606,40.30716,42.13414,1232700,2480,72287445
2010-04-01,41.37349,43.33552,41.37349,43.00852,1238100,2442,74721704
2010-04-05,43.00852,43.15068,42.49668,42.89477,937300,1808,56466323
2010-04-06,42.49668,43.39951,42.29763,43.35685,603400,2158,36753856
2010-04-07,43.18623,45.62457,42.75971,45.57481,2452100,6455,154268092
2010-04-08,45.46107,46.0582,45.21225,45.36155,933400,2259,59758495
2010-04-09,45.07008,45.56059,44.59379,45.14117,822000,1666,52141829
2010-04-12,44.99899,46.68378,44.08906,44.14593,1249900,2551,79763256
2010-04-13,41.97773,42.5891,41.45879,41.9493,3670700,6581,217240045
2010-04-14,42.08437,43.13648,42.04172,42.69573,1024200,2305,61255564
2010-04-15,42.8308,43.50614,42.75971,43.07961,766900,3032,46637076
2010-04-16,43.25732,43.58434,41.97773,41.97773,829300,1854,49723441
2010-04-19,41.97773,42.29763,41.27395,41.30239,502100,1899,29304519
2010-04-20,41.38058,41.81423,41.2313,41.81423,522400,1523,30522482
2010-04-22,41.18865,41.38058,40.80478,41.2313,596800,2043,34488216
2010-04-23,41.51565,41.93507,40.91852,41.78579,903400,2373,52816308
2010-04-26,41.94218,42.26208,41.29529,41.50855,367100,1116,21528200
2010-04-27,41.36637,41.75736,40.29294,40.49199,763400,2553,43775932
2010-04-28,40.89007,41.2313,40.12944,40.52753,958400,3081,54778227
2010-04-29,40.81189,41.32372,40.54174,40.6626,445100,1648,25592984
2010-04-30,40.66289,42.57433,40.49107,42.57433,951000,2227,55610750
