Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,3221.86255,3329.46069,3209.68164,3329.46069,11909000,10252,191747088
2010-01-05,3317.28003,3317.28003,3238.10376,3278.70703,6175700,4989,99325887
2010-01-06,3248.25439,3268.55615,3193.4397,3246.22412,6466000,5264,102844936
2010-01-07,3219.83228,3258.40503,3146.74683,3217.80249,5378800,6016,84315305
2010-01-08,3215.77222,3217.80249,3106.14331,3106.14331,4694500,5871,72513800
2010-01-11,3122.38477,3156.89771,3045.23853,3140.65601,5897400,10942,90302510
2010-01-12,3106.14331,3278.70703,3083.81152,3268.55615,6759200,8717,107634952
2010-01-13,3284.79736,3311.1897,3250.28491,3309.15942,3838000,4778,61993449
2010-01-14,3307.12915,3339.61182,3278.70703,3309.15942,3766000,5956,61330580
2010-01-15,3268.55615,3315.24976,3193.4397,3315.24976,4554400,5163,73701604
2010-01-18,3288.85815,3370.06421,3280.7373,3288.85815,1470900,1414,24030256
2010-01-19,3234.04346,3266.52612,3207.65137,3207.65137,3308100,3811,52732739
2010-01-20,3189.37988,3195.47046,3089.90234,3146.74683,3040900,3342,46851580
2010-01-21,3158.92798,3201.56079,3049.29907,3087.87207,2672200,3511,40661541
2010-01-22,3065.54028,3140.65601,3065.54028,3126.44507,1975100,2177,30202907
2010-01-26,3075.69141,3167.04834,2957.94189,3144.7168,3927100,3181,60200013
2010-01-27,3144.7168,3165.01807,3055.3894,3075.69141,2182700,4122,33197537
2010-01-28,3069.60034,3154.86719,2927.4895,2964.03223,2812100,2380,41414412
2010-01-29,2970.1228,3053.35913,2968.09277,3047.26904,2199000,1650,32648293
2010-02-01,3073.66113,3162.98755,2996.51489,3146.74683,2038200,2247,31059548
2010-02-02,3177.19897,3215.77222,3089.90234,3148.77661,4951600,2820,77041388
2010-02-03,3146.74683,3177.19897,3059.44971,3075.69141,5147300,4305,78251006
2010-02-04,3081.78174,3106.14331,2951.85156,2964.03223,12692200,4189,189143488
2010-02-05,2890.94629,2974.18286,2854.4043,2974.18286,19327200,6736,277864760
2010-02-08,2974.18286,3028.99756,2915.30835,2994.48462,10602900,10932,156164736
2010-02-09,3031.02759,3199.53052,3031.02759,3199.53052,17197400,11982,263862167
2010-02-10,3234.04346,3305.09937,3160.95752,3238.10376,6955200,4648,110866688
2010-02-11,3248.25439,3349.7627,3240.13403,3349.7627,4688900,8351,76406361
2010-02-12,3323.37036,3351.79297,3242.16431,3288.85815,2449800,5920,39849886
2010-02-17,3347.73242,3465.48193,3307.12915,3430.96875,4080100,6127,68933455
2010-02-18,3420.81763,3491.87402,3331.49121,3481.7229,4011400,6056,67967444
2010-02-19,3439.0896,3508.11475,3426.9082,3449.24048,4434800,5107,75443018
2010-02-22,3459.39111,3499.99438,3329.46069,3329.46069,3354800,4762,56029285
2010-02-23,3309.15942,3333.52124,3225.92261,3248.25439,3568600,6473,57534858
2010-02-24,3268.55615,3309.15942,3191.4104,3242.16431,1997600,2553,31967754
2010-02-25,3175.16895,3232.01318,3142.68652,3221.86255,4029200,4407,63081047
2010-02-26,3227.95288,3282.76758,3173.13892,3282.76758,2941200,2919,47044025
2010-03-01,3329.46069,3430.96875,3311.1897,3410.66724,2740200,4489,45813309
2010-03-02,3451.27075,3457.36157,3412.69727,3441.11963,2504500,2087,42457656
2010-03-03,3451.27075,3451.27075,3282.76758,3349.7627,3605800,4607,60394842
2010-03-04,3359.91309,3368.03394,3248.25439,3258.40503,1797200,3196,29139253
2010-03-05,3319.31006,3374.12476,3240.13403,3258.40503,4130600,4532,67444999
2010-03-08,3278.70703,3359.91309,3156.89771,3229.98291,2382700,5146,37774748
2010-03-09,3207.65137,3337.58179,3191.4104,3309.15942,2365800,4252,38384195
2010-03-10,3329.46069,3430.96875,3309.15942,3430.96875,3207300,3228,53597180
2010-03-11,3426.9082,3485.7832,3370.06421,3410.66724,5245400,4170,88729365
2010-03-12,3441.11963,3471.57251,3357.88354,3370.06421,3052400,3060,51198666
2010-03-15,3355.85303,3400.51611,3238.10376,3274.64648,4111500,3864,66329091
2010-03-16,3329.46069,3357.88354,3280.7373,3349.7627,2549900,2573,41766365
2010-03-17,3402.54663,3402.54663,3296.97827,3349.7627,3497300,2720,57685159
2010-03-18,3370.06421,3435.02905,3288.85815,3325.40015,4920000,4605,81081721
2010-03-19,3359.91309,3449.24048,3301.03906,3319.31006,5289600,3709,87341305
2010-03-22,3288.85815,3386.30542,3229.98291,3347.73242,3267600,3942,52957164
2010-03-23,3380.21484,3410.66724,3292.91797,3343.67188,2407600,4018,39670554
2010-03-24,3309.15942,3353.823,3248.25439,3248.25439,2521000,2632,40815150
2010-03-25,3278.70703,3315.24976,3252.31519,3311.1897,2975800,4799,48174492
2010-03-26,3301.03906,3343.67188,3254.34521,3317.28003,3822500,3691,62186270
2010-03-29,3315.24976,3349.7627,3154.86719,3162.98755,4497600,4194,71245334
2010-03-30,3189.37988,3229.98291,3014.78662,3028.99756,5720800,6204,86385146
2010-03-31,3018.84644,3061.48022,2858.46411,3006.66577,9981900,8300,145806573
2010-04-01,3055.3894,3173.13892,3037.11816,3136.59595,4519300,4524,69780712
2010-04-05,3165.01807,3187.34961,3083.81152,3089.90234,3164900,3816,48510330
2010-04-06,3065.54028,3073.66113,2994.48462,3024.93701,5103300,2895,76477534
2010-04-07,3024.93701,3024.93701,2913.27832,2933.57983,4543100,5128,66002704
2010-04-08,2913.27832,3116.29395,2905.15796,3098.02319,4741500,4419,71182966
2010-04-09,3085.84204,3106.14331,2998.54541,3024.93701,2468200,3670,36924112
2010-04-12,3024.93701,3081.78174,3024.93701,3024.93701,3168400,4460,47629992
2010-04-13,3067.57056,3106.14331,3047.26904,3087.87207,4297400,3202,65162925
2010-04-14,3106.14331,3173.13892,3053.35913,3152.83691,7061700,8160,107889360
2010-04-15,3148.77661,3152.83691,3071.63086,3089.90234,3429700,4099,52553438
