Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,48.87806,49.1501,48.06191,49.05942,271000,85,1454603
2010-01-05,48.33396,48.96873,48.1526,48.51532,226100,133,1208262
2010-01-06,48.33396,49.1501,48.06191,48.69669,353300,238,1890839
2010-01-07,48.51532,48.78738,47.51781,47.78986,425500,140,2252063
2010-01-08,47.97123,48.78738,47.15508,48.42464,498400,265,2627471
2010-01-11,48.42464,48.96873,47.69918,47.78986,221000,162,1174658
2010-01-12,47.88055,48.51532,47.33644,47.78986,215600,121,1132614
2010-01-13,47.69918,50.78239,47.69918,49.33147,1045900,666,5728621
2010-01-14,50.96376,52.23332,49.1501,49.42215,912300,600,5092697
2010-01-15,49.33147,49.42215,48.24328,49.24078,856700,222,4605034
2010-01-18,49.1501,49.1501,48.1526,48.1526,154200,98,823271
2010-01-19,48.42464,48.51532,47.51781,48.06191,508700,209,2684808
2010-01-20,48.06191,48.06191,45.79483,48.06191,562900,325,2922923
2010-01-21,48.69669,48.69669,46.24825,46.70167,544800,171,2822907
2010-01-22,46.06689,46.88303,45.52279,45.70415,411200,309,2082606
2010-01-26,45.43211,45.43211,43.07436,43.98118,538300,256,2627562
2010-01-27,44.4346,44.4346,43.07436,43.8905,231900,165,1116120
2010-01-28,44.16254,45.16006,43.61845,44.4346,188200,292,921822
2010-01-29,45.06937,46.24825,43.70914,44.52528,283600,181,1410362
2010-02-01,45.34142,45.34142,44.4346,44.4346,134400,67,662138
2010-02-02,44.88801,45.16006,44.25323,44.70665,179600,202,883308
2010-02-03,44.61596,45.06937,43.52777,44.16254,131800,86,642738
2010-02-04,43.8905,44.16254,40.35387,41.17001,705500,381,3216276
2010-02-05,40.44456,40.62592,38.81226,39.44704,569500,269,2473193
2010-02-08,40.08183,40.35387,38.44952,38.63089,318700,522,1380715
2010-02-09,38.99363,40.62592,38.99363,39.80977,355000,287,1565918
2010-02-10,41.44206,41.62344,39.6284,41.17001,605700,370,2741316
