Date,Open,High,Low,Close,Volume,Neg,Fin
2020-09-02,9.11,10.95,8.8,10.3,15462800,33701,153575926
2020-09-03,10.78,11.3,10.1,10.4,12416100,27694,132689081
2020-09-04,10.7,10.8,10.25,10.4,4048500,10802,42232220
2020-09-08,10.4,10.4,10.0,10.35,1459400,3195,14971912
2020-09-09,10.35,10.44,10.19,10.29,1223400,2259,12578458
2020-09-10,10.25,10.25,10.1,10.1,905400,2022,9196945
2020-09-11,10.08,10.1,9.67,9.9,1523800,3701,15107133
2020-09-14,9.9,10.13,9.77,9.77,1182400,4709,11676639
2020-09-15,9.75,9.83,9.5,9.78,838400,3653,8101675
2020-09-16,9.76,9.87,9.62,9.87,252900,752,2455624
2020-09-17,9.86,9.86,9.59,9.6,517300,924,4990485
2020-09-18,9.59,9.6,9.38,9.38,338200,958,3201238
2020-09-21,9.38,9.38,9.03,9.3,359200,903,3309991
2020-09-22,9.38,9.8,9.2,9.8,418000,1389,4012582
2020-09-23,9.8,9.9,9.56,9.56,285500,862,2763478
2020-09-24,9.57,9.7,9.3,9.6,400200,607,3829813
2020-09-25,9.59,9.59,9.38,9.48,406700,2066,3851227
2020-09-28,9.42,9.52,9.25,9.3,1806300,1283,17119352
2020-09-29,9.24,9.28,9.01,9.24,163100,836,1495981
2020-09-30,9.24,9.33,9.08,9.2,937200,1295,8573761
2020-10-01,9.3,9.3,9.05,9.26,909400,1117,8306321
2020-10-02,9.2,9.5,9.08,9.3,539800,2336,5021994
2020-10-05,9.48,9.48,9.1,9.16,656700,1014,6027050
2020-10-06,9.17,9.34,9.06,9.06,282500,924,2582604
2020-10-07,9.09,9.25,8.95,9.1,408800,1108,3710555
2020-10-08,9.11,9.16,8.95,8.95,496200,2183,4458525
2020-10-09,8.94,9.09,8.8,9.07,524000,1915,4677671
2020-10-13,9.37,9.7,8.88,9.1,2013400,5925,18665347
2020-10-14,9.4,9.52,9.24,9.36,1747800,3149,16336324
2020-10-15,9.6,9.7,9.43,9.6,2068000,7062,19836109
2020-10-16,9.62,9.66,9.42,9.45,674300,2108,6418927
2020-10-19,9.35,9.44,9.02,9.03,2158200,4192,19741149
2020-10-20,9.12,9.15,9.06,9.14,340600,970,3100421
2020-10-21,9.14,9.14,9.06,9.09,346500,963,3148696
