Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,121.4133,122.40041,117.46491,117.95845,2240900,680,5432052
2010-01-05,118.452,133.2585,114.5036,133.2585,8211500,1899,21034987
2010-01-06,130.79076,139.18111,123.88106,130.29721,18327300,6115,49221103
2010-01-07,129.31009,141.64883,127.82944,138.68755,11587200,4702,31885063
2010-01-08,140.66174,169.7812,138.194,157.936,22782300,5920,71362759
2010-01-11,164.35214,174.22314,158.42955,159.41666,12747300,6435,42880330
2010-01-12,153.98759,166.32634,148.55855,162.87151,6974600,4705,22511677
2010-01-13,161.8844,172.24895,161.8844,167.31346,6115300,3376,20861156
2010-01-14,167.80701,186.06834,166.32634,177.67799,15451800,9142,55824002
2010-01-15,173.7296,178.66508,165.83279,168.30055,8215800,2506,28719465
2010-01-18,169.28766,176.19736,168.79411,170.27477,2447200,978,8568634
2010-01-19,171.7554,175.21025,168.30055,168.79411,2041400,573,7064033
2010-01-20,167.80701,168.79411,157.936,164.84569,3345300,1114,11078637
2010-01-21,165.33925,175.7038,157.936,169.7812,4579300,1611,15690150
2010-01-22,169.7812,175.7038,168.79411,173.7296,3457700,679,12055437
2010-01-26,173.23605,184.58771,169.7812,180.6393,5788500,2142,21078250
2010-01-27,182.61351,191.99097,178.66508,180.14575,5422800,1934,20409514
2010-01-28,184.58771,185.08125,174.22314,180.14575,2961800,1273,10845393
2010-01-29,182.61351,183.6006,174.71671,180.14575,1023200,327,3726854
2010-02-01,179.15865,180.6393,175.21025,179.15865,1326100,367,4776365
2010-02-02,179.15865,179.15865,171.26184,174.22314,1505400,513,5317785
2010-02-03,173.23605,184.58771,172.24895,180.14575,1955400,1646,7099947
2010-02-04,180.14575,185.08125,163.8586,177.67799,3494200,2928,12375683
2010-02-05,171.26184,176.19736,165.83279,171.7554,1297500,454,4489390
2010-02-08,174.22314,179.65221,167.80701,171.26184,1775400,1705,6225849
2010-02-09,174.22314,175.7038,169.7812,169.7812,938800,528,3280751
2010-02-10,171.7554,171.7554,163.8586,167.80701,929800,391,3148447
2010-02-11,167.80701,171.7554,167.80701,171.7554,665700,266,2300214
2010-02-12,169.28766,172.24895,167.80701,172.24895,468800,146,1613088
2010-02-17,170.27477,175.7038,169.28766,170.27477,780500,153,2699515
2010-02-18,169.28766,194.45869,168.30055,194.45869,9275400,2807,34112717
2010-02-19,187.549,204.82326,187.549,193.4716,9133900,3619,36437481
2010-02-22,198.4071,199.3942,188.04254,193.96515,1566100,623,6117891
2010-02-23,192.48451,193.4716,189.52319,190.5103,610800,240,2367200
2010-02-24,189.52319,191.99097,180.14575,188.5361,1319900,360,4994389
2010-02-25,188.04254,191.00385,182.11995,189.52319,1359000,386,5186215
2010-02-26,190.01675,198.90067,189.02965,192.48451,1752300,1072,6880786
2010-03-01,192.48451,194.45869,189.52319,190.01675,548900,168,2119713
2010-03-02,192.48451,197.91356,186.56189,194.45869,7136400,2147,28021599
2010-03-03,195.93935,198.4071,188.5361,191.49741,2281500,625,8975279
2010-03-04,192.48451,192.97806,187.05545,188.5361,905500,268,3461158
2010-03-05,188.5361,191.99097,188.04254,191.00385,550400,229,2116576
2010-03-08,191.00385,192.48451,188.04254,190.01675,596100,185,2293558
2010-03-09,188.04254,190.01675,186.56189,186.56189,781400,247,2974953
2010-03-10,186.56189,187.549,180.6393,185.08125,1505000,503,5610177
2010-03-11,183.6006,188.5361,175.7038,186.56189,1030800,378,3810815
2010-03-12,187.549,189.52319,181.13286,187.05545,627700,230,2345516
2010-03-15,182.61351,183.6006,179.15865,180.14575,675400,242,2479007
2010-03-16,180.6393,183.10706,178.66508,183.10706,715100,190,2625250
2010-03-17,185.08125,185.08125,180.6393,182.61351,333000,109,1230589
2010-03-18,182.11995,185.08125,180.14575,183.10706,731800,164,2709301
2010-03-19,182.61351,182.61351,177.67799,177.67799,372700,186,1346607
2010-03-22,177.67799,178.17155,172.74249,177.67799,515500,236,1843049
2010-03-23,177.18445,177.18445,174.22314,174.71671,516600,190,1833351
2010-03-24,174.71671,175.21025,167.80701,172.74249,836100,339,2909013
2010-03-25,175.21025,175.21025,169.7812,172.74249,536600,192,1871471
2010-03-26,170.27477,177.18445,169.7812,176.19736,950600,884,3354038
2010-03-29,180.14575,180.14575,173.23605,174.22314,735400,217,2603002
2010-03-30,175.21025,176.19736,169.28766,169.28766,667800,378,2320250
2010-03-31,168.30055,169.7812,158.42955,167.31346,739100,362,2489215
2010-04-01,165.33925,169.28766,162.37796,163.36504,1370400,328,4564093
2010-04-05,165.33925,165.33925,155.46826,157.936,1540900,583,4973496
2010-04-06,157.936,157.936,150.53275,152.0134,1736200,767,5393325
2010-04-07,152.50694,157.936,152.0134,154.97472,1545600,971,4838750
