Date,Open,High,Low,Close,Volume,Neg,Fin
2020-09-17,9.43017,9.71211,9.13852,9.13852,14077200,15336,135494597
2020-09-18,9.13852,9.21629,8.36077,8.74965,6292000,5319,56407193
2020-09-21,8.39966,8.43855,8.06912,8.26355,2249700,2935,19064844
2020-09-22,8.25383,8.4191,7.99134,8.34133,1926100,1658,16185369
2020-09-23,8.31216,8.7302,8.283,8.65243,2828200,2069,24749342
2020-09-24,8.65243,8.98297,8.47744,8.92464,1642100,2251,14924403
2020-09-25,8.92464,9.02186,8.70104,8.79825,2064400,3089,18652167
2020-09-28,8.87603,9.14824,8.44827,8.74965,1240300,2718,11177461
2020-09-29,8.74965,9.0413,8.46771,8.54549,1015700,1501,8984922
2020-09-30,8.5941,8.99269,8.39966,8.99269,2047100,1796,18245405
2020-10-01,8.94408,9.58572,8.71076,9.58572,699900,1924,6613415
2020-10-02,9.4399,9.52739,9.16768,9.18713,730400,2974,6941289
2020-10-05,9.18713,9.38156,9.00241,9.38156,886900,1630,8399728
2020-10-06,9.24546,9.52739,9.24546,9.46906,493200,969,4787214
2020-10-07,9.46906,9.46906,9.07047,9.13852,867500,1043,8175435
2020-10-08,9.28435,9.31351,8.79825,9.03158,1335900,1388,12208970
2020-10-09,8.86631,9.18713,8.86631,9.08991,220100,983,2056522
2020-10-13,9.08991,9.20657,9.08991,9.11908,160800,596,1512139
2020-10-14,9.07047,9.27462,8.82742,9.27462,639200,832,5981437
2020-10-15,9.1288,9.38156,9.1288,9.23574,232400,527,2211765
2020-10-16,9.25518,9.27462,8.93436,9.27462,512900,1163,4829627
2020-10-19,9.27462,9.33296,9.0413,9.18713,222100,893,2099924
2020-10-20,9.17741,9.36212,9.10935,9.36212,313400,935,3002157
2020-10-21,9.38156,9.50795,9.24546,9.28435,231500,1061,2228591
2020-10-22,9.42045,9.52739,9.27462,9.52739,150700,451,1467931
2020-10-23,9.43017,9.44962,9.17741,9.37184,326600,909,3128179
2020-10-26,9.45934,9.46906,9.23574,9.38156,171400,732,1654153
2020-10-27,9.25518,9.47878,9.23574,9.39129,255100,902,2457007
2020-10-28,9.08991,9.56628,8.96353,9.33296,256800,817,2454256
2020-10-29,9.33296,9.33296,9.0413,9.0413,460500,1197,4318566
2020-10-30,9.08991,9.32323,8.45799,8.45799,444800,1091,3917959
2020-11-03,8.53577,8.74965,7.99134,8.02051,374800,1098,3154489
2020-11-04,8.20522,8.20522,7.7483,7.98162,1085200,1227,8916254
2020-11-05,7.98162,8.36077,7.68997,7.68997,648500,1137,5214925
2020-11-06,7.68997,8.62326,7.59275,8.62326,324900,774,2660673
2020-11-09,8.65243,8.99269,8.17606,8.26355,252000,763,2162817
2020-11-10,8.40938,8.5066,8.06912,8.45799,251300,683,2161141
2020-11-11,8.4191,8.4191,8.08856,8.16634,440900,1173,3710784
2020-11-12,8.21494,8.22467,7.84552,8.01079,421000,1918,3451563
2020-11-13,8.1955,8.35105,7.94273,8.24411,187900,747,1581223
2020-11-16,8.25383,8.39966,7.92329,7.92329,539700,1758,4435233
2020-11-17,7.87468,8.02051,7.68024,7.77746,538900,2003,4316063
2020-11-18,7.80663,7.84552,7.49553,7.53442,279200,879,2179090
2020-11-19,7.55386,7.73858,7.32054,7.40803,1019600,1757,7776670
2020-11-20,7.40803,7.9719,7.35942,7.9719,242300,899,1931666
2020-11-23,7.84552,7.96218,7.63164,7.63164,227300,862,1812788
2020-11-24,7.6608,8.0594,7.58303,8.0594,147700,566,1199653
2020-11-25,8.03023,8.16634,7.82607,8.16634,307300,856,2546643
2020-11-26,8.15661,8.33161,7.93301,8.21494,343300,1259,2887138
2020-11-27,8.29272,8.55521,8.01079,8.5066,499500,1814,4309468
2020-11-30,8.49688,8.49688,8.16634,8.29272,317600,1230,2713086
2020-12-01,8.32189,8.74965,8.15661,8.74965,291800,482,2560145
2020-12-02,8.61354,8.9052,8.55521,8.74965,191900,804,1728366
2020-12-03,8.69131,8.83714,8.39966,8.39966,379600,1123,3351993
2020-12-04,8.4191,8.54549,8.21494,8.26355,268900,617,2297818
2020-12-07,8.26355,8.39966,8.13717,8.22467,199500,921,1693220
2020-12-08,8.31216,8.37049,8.06912,8.06912,168100,768,1408662
2020-12-09,8.06912,8.08856,7.78719,7.94273,461200,2481,3732762
2020-12-10,7.94273,7.98162,7.64136,7.72885,408200,1347,3239673
2020-12-11,7.72885,7.86496,7.51497,7.86496,443600,1765,3496806
2020-12-14,7.91357,8.00106,7.55386,7.76774,889100,2923,7028109
2020-12-15,7.69969,7.96218,7.48581,7.48581,800000,1343,6308296
2020-12-16,7.60247,7.73858,7.49553,7.64136,379300,1080,2960613
2020-12-17,7.64136,7.68024,7.48581,7.62191,466100,1207,3636883
2020-12-18,7.5733,7.84552,7.53442,7.84552,444600,1299,3524520
2020-12-21,7.67052,7.81635,7.60247,7.81635,360300,1050,2862318
2020-12-22,7.72885,8.02051,7.64136,7.72885,843200,2133,6727434
2020-12-23,7.73858,8.02051,7.59275,8.02051,639900,1267,5129451
2020-12-28,8.00106,8.11773,7.72885,7.72885,555100,1709,4466664
2020-12-29,7.76774,7.77746,7.53442,7.53442,724400,2281,5662379
2020-12-30,7.63164,7.63164,7.38859,7.38859,967700,3411,7420331
2021-01-04,7.47609,7.6608,7.20388,7.24276,827200,3149,6309369
2021-01-05,7.29137,7.32054,7.05805,7.13582,583000,2134,4281229
2021-01-06,7.10666,7.1261,6.69834,6.69834,896000,3495,6316314
2021-01-07,6.75667,6.82472,6.3678,6.41641,906200,3183,6053617
2021-01-08,6.49418,6.99,6.44557,6.80528,2136500,3292,14927844
2021-01-11,7.07749,7.09694,6.68862,6.74695,2601700,5006,18355407
2021-01-12,6.815,6.89278,6.77611,6.85389,574900,1865,4038395
2021-01-13,6.88305,6.88305,6.73723,6.86361,518800,1543,3638476
2021-01-14,6.84417,7.19415,6.82472,6.99972,799000,2611,5784135
2021-01-15,6.99972,7.08721,6.87333,6.87333,401600,610,2865428
2021-01-18,6.89278,6.98027,6.77611,6.89278,228900,423,1620087
2021-01-19,6.99,7.00944,6.70806,6.75667,465400,1662,3257955
