Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,104.21688,105.77235,102.35031,105.77235,514700,849,3469637
2010-01-05,105.15018,109.8166,105.15018,106.70565,1098100,1187,7589881
2010-01-06,106.239,108.41666,105.77235,107.32784,836200,643,5789506
2010-01-07,107.32784,108.26112,106.70565,107.32784,470200,496,3248120
2010-01-08,107.79447,112.61645,107.32784,111.52763,1818800,1044,12918692
2010-01-11,112.30536,113.0831,108.88331,110.28324,847200,557,6036912
2010-01-12,109.19441,109.19441,107.63893,109.19441,581600,349,4065005
2010-01-13,110.12769,110.12769,106.239,108.57222,1078200,553,7498517
2010-01-14,108.88331,108.88331,106.55009,108.10557,459700,317,3181538
2010-01-15,107.32784,111.21652,107.32784,108.88331,1538000,434,10765373
2010-01-18,109.03886,110.90543,108.88331,109.19441,761700,878,5370568
2010-01-19,109.66105,109.97215,108.26112,109.34996,663100,467,4654127
2010-01-20,108.88331,108.88331,106.239,108.57222,645100,315,4466791
2010-01-21,108.88331,112.61645,104.83907,106.55009,4789900,2107,33561286
2010-01-22,106.55009,108.72776,104.99462,107.48338,1611400,745,11031480
2010-01-26,106.55009,107.48338,104.99462,105.46127,765200,688,5211082
2010-01-27,106.39455,106.55009,101.72812,103.43914,1115200,481,7417456
2010-01-28,104.83907,105.92791,102.81696,103.43914,1312000,721,8771624
2010-01-29,104.99462,105.77235,103.59469,103.59469,1759800,1326,11785665
2010-02-01,105.61681,105.92791,103.12804,103.75024,890600,497,5972963
2010-02-02,104.83907,104.83907,102.66142,104.06133,1418700,582,9478427
2010-02-03,104.37244,104.99462,103.28359,103.28359,446300,261,2982807
2010-02-04,102.9725,104.06133,95.03957,98.61717,1659900,808,10549095
2010-02-05,96.28396,99.3949,92.39527,95.50622,1735400,777,10626369
2010-02-08,96.1284,99.23936,94.88403,96.43951,955400,540,5919682
2010-02-09,98.77272,101.57257,98.15053,99.08381,2087900,754,13382299
2010-02-10,101.10593,104.99462,98.61717,104.21688,2544900,1264,16681535
2010-02-11,106.55009,111.06097,106.08346,110.74989,3924200,2713,27505141
2010-02-12,109.5055,115.26076,107.95002,109.34996,2835300,1849,20250953
2010-02-17,111.52763,111.99426,108.88331,109.8166,855300,396,6061799
2010-02-18,110.43878,110.43878,107.63893,109.34996,1014300,1431,7113622
2010-02-19,108.10557,112.61645,108.10557,111.06097,2410000,1645,17156087
2010-02-22,111.68316,113.3942,110.28324,112.92755,3140000,2829,22583738
2010-02-23,111.83871,118.21616,111.06097,117.90508,6887000,5763,51388585
2010-02-24,120.39383,121.32712,117.12734,119.46055,5369100,2759,41371096
2010-02-25,117.59397,127.70457,115.72741,127.54902,7329100,4771,58030293
2010-02-26,130.81552,131.74881,123.66033,128.32677,6596000,4753,54459583
2010-03-01,129.10449,129.41559,123.50478,123.66033,2656700,1989,21383066
2010-03-02,123.81588,123.81588,119.6161,120.08274,4772500,2880,37242989
2010-03-03,120.86047,121.94932,117.43843,118.83836,2922300,1290,22453604
2010-03-04,119.77164,123.97142,117.74953,123.03813,3414700,2763,26725082
2010-03-05,125.06026,126.77127,122.41594,124.43806,2606300,1951,20913587
2010-03-08,124.59361,127.08237,124.28252,124.28252,1452400,1060,11716309
2010-03-09,124.28252,124.28252,121.01603,123.50478,1712900,754,13591299
2010-03-10,123.03813,126.46019,121.32712,124.59361,1792900,1033,14326091
2010-03-11,126.30464,128.7934,121.79376,124.12698,5001600,3012,40329929
2010-03-12,124.74917,125.37136,118.06062,119.77164,3899000,2259,30172580
2010-03-15,118.37171,118.9939,111.06097,111.37208,3812400,2371,27795720
2010-03-16,112.46091,116.19405,107.79447,114.32747,5127800,3159,37106062
2010-03-17,114.94966,115.57186,111.68316,112.772,1734500,1061,12659825
2010-03-18,113.23865,114.63857,111.06097,113.3942,1250200,880,9068531
2010-03-19,113.3942,113.54974,109.5055,113.54974,1395400,593,10040103
2010-03-22,112.46091,114.48302,111.06097,111.99426,987000,505,7141818
2010-03-23,112.61645,112.61645,109.66105,110.28324,1424200,595,10144067
2010-03-24,109.34996,110.43878,105.30571,107.32784,2987000,1734,20646066
2010-03-25,107.32784,109.5055,105.61681,106.55009,1347300,901,9295633
2010-03-26,106.55009,108.88331,105.30571,108.88331,1205800,720,8324026
2010-03-29,109.5055,110.43878,106.86119,108.41666,1227300,755,8533847
2010-03-30,108.41666,109.66105,102.66142,104.37244,2294800,1775,15595533
2010-03-31,104.21688,106.08346,103.12804,104.21688,1064200,617,7160592
