Date,Open,High,Low,Close,Volume,Neg,Fin
2010-10-25,24.10097,24.40098,22.10168,23.34093,503900,1628,590900469
2010-10-26,22.80112,23.40094,22.5009,22.5009,144000,704,163944504
2010-10-27,22.5009,23.20093,22.20329,22.70091,73700,350,84097094
2010-10-28,22.71091,22.71091,22.10088,22.5009,58100,223,65018526
2010-10-29,22.60091,22.90092,22.4009,22.74091,16500,96,18752345
2010-11-01,22.84092,23.78075,22.84092,23.50094,18200,143,21344495
2010-11-03,23.76095,24.20097,23.40434,23.90096,40200,171,47945795
2010-11-04,23.90096,24.20077,23.80135,23.96096,27700,87,33227415
2010-11-05,23.96056,24.44098,23.96056,24.40098,110200,258,133375186
2010-11-08,24.40098,24.40098,24.00096,24.00096,19800,81,23887850
2010-11-09,24.00116,24.60099,23.60094,23.60094,30000,171,36160468
2010-11-10,24.20097,24.20097,23.22133,23.70095,9300,55,10941008
2010-11-11,23.20093,23.84096,23.20093,23.60094,21700,124,25561646
2010-11-12,23.60074,23.70075,23.31313,23.40094,6900,50,8121916
2010-11-16,23.00092,23.20093,22.20089,22.24189,24900,121,28393909
2010-11-17,22.24189,22.74071,22.24109,22.60091,21000,134,23706112
2010-11-18,22.90092,24.08096,22.90092,24.00116,26000,151,30805265
2010-11-19,23.50094,24.10097,23.50094,24.00096,29100,55,34890871
2010-11-22,24.04116,24.04116,23.80095,24.02096,16300,84,19536060
2010-11-23,24.00096,24.40098,23.90096,24.20097,20800,87,24984634
2010-11-24,24.60099,27.00108,24.60099,27.00108,21100,137,27497657
2010-11-25,27.6011,27.6011,26.60106,27.00108,11700,69,15741033
2010-11-26,26.62107,28.70115,26.62107,27.80112,29000,156,40636567
2010-11-29,27.80112,28.36114,27.4211,27.70111,21300,169,29655072
2010-11-30,27.20109,28.00112,26.65147,27.08108,10200,72,13861080
2010-12-01,27.08128,28.00092,27.00128,28.00092,19900,119,27327096
2010-12-02,28.00112,29.9472,27.80112,29.60118,31600,210,45005135
2010-12-03,29.9812,31.80107,29.30317,31.23325,52900,222,80677101
2010-12-06,31.10144,32.6013,31.10144,32.5009,113600,219,181783827
2010-12-07,32.5013,33.98116,32.00128,32.00128,29700,200,49425359
2010-12-08,32.5013,33.36113,32.20149,32.80132,40800,155,67044036
2010-12-09,33.10133,33.10133,31.60127,32.00128,60600,264,97028172
2010-12-10,32.30129,32.30129,30.42122,30.60123,41800,176,64814530
2010-12-13,30.70143,31.20125,30.64203,31.20125,22000,84,34124723
2010-12-14,31.10085,31.10085,30.64123,30.80123,30700,88,47298186
2010-12-15,30.60123,31.00124,30.40561,30.93624,31900,84,49218096
2010-12-16,31.00144,31.14125,30.92124,31.10125,14600,66,22668321
2010-12-17,31.10125,33.00132,31.10125,33.00132,24400,79,39549587
2010-12-20,33.00152,33.00152,32.20129,32.20129,16400,110,26727121
2010-12-21,32.10128,32.4013,31.60147,32.00088,6300,52,10124398
2010-12-22,32.00128,32.4013,31.40126,31.50226,16500,87,26429607
2010-12-23,32.20129,32.20129,31.80127,31.80127,1600,15,2554419
2010-12-27,31.60147,32.6013,31.60127,32.20129,4300,38,6922763
2010-12-28,32.70131,32.70131,32.20129,32.20129,800,8,1298802
2010-12-29,32.5913,32.6013,31.74147,31.74147,1700,16,2736751
2010-12-30,32.00128,32.20129,31.60127,31.80127,2300,17,3676862
2011-01-03,31.80147,33.10133,31.60127,32.80132,15600,79,25351440
2011-01-04,33.00132,33.80135,32.90132,33.60135,5600,50,9358161
2011-01-05,33.60074,33.60135,32.4213,32.4213,8600,63,14217595
2011-01-06,32.4013,32.4013,30.90124,31.50126,13000,77,20359655
2011-01-07,32.00128,32.00128,31.00124,31.60127,12700,67,19932111
2011-01-10,31.88048,32.70131,31.60127,32.70131,22100,89,35747495
2011-01-11,33.19713,33.40113,32.4013,33.10133,33100,209,54923203
2011-01-12,33.10173,34.74139,33.10173,34.00136,49300,214,83564458
2011-01-13,34.20137,36.00144,34.20137,35.62143,58200,179,101722880
2011-01-14,36.00144,36.54707,35.1062,35.70143,19000,120,34216440
2011-01-17,36.20145,36.40146,35.40141,36.26145,7200,53,12993441
2011-01-18,36.30146,36.40146,35.80144,36.00144,16200,99,29303569
2011-01-19,35.82163,35.82163,34.60238,35.30141,9900,70,17466573
2011-01-20,35.40141,35.40141,34.60138,34.60138,28300,61,49357316
2011-01-21,34.60138,34.60138,34.20137,34.20137,8300,49,14277904
2011-01-24,34.00136,36.00144,34.00136,35.60143,11600,76,20579311
2011-01-26,36.00144,36.50126,35.30221,35.90123,24800,132,44497174
2011-01-27,36.00124,36.40146,35.70163,36.20145,21900,147,39608708
2011-01-28,36.40126,36.68407,35.60182,36.50146,61200,186,111147486
2011-01-31,36.50146,36.60167,36.04144,36.36146,49700,200,90432987
2011-02-01,36.40166,37.20149,36.30185,36.90148,36500,204,67300133
2011-02-02,36.90148,37.6013,36.80168,37.00148,15300,106,28436303
2011-02-03,37.00129,37.00169,36.10145,36.60147,15800,106,28893284
2011-02-04,36.56126,37.4015,36.56126,36.82127,21900,138,40505609
2011-02-07,36.80168,37.40129,35.68143,36.50146,10800,87,19872698
2011-02-08,36.80148,36.80148,34.50118,34.50118,39100,211,68289473
2011-02-09,34.8014,35.60122,33.00152,33.30133,29700,179,51439433
2011-02-10,34.00136,34.00136,32.4015,33.30133,26700,174,44541820
2011-02-11,34.00136,35.50142,34.00136,34.60138,70000,405,122252933
2011-02-14,34.60138,36.20124,34.60138,35.88144,48000,359,85498710
2011-02-15,35.80163,35.96164,35.0564,35.60143,56500,216,100723459
2011-02-16,36.00144,36.00144,35.20141,35.80144,33300,197,59339631
2011-02-17,35.90123,37.40129,35.88124,36.60147,36300,218,66382740
2011-02-18,37.60151,38.85915,36.80188,38.30154,41300,292,78101277
2011-02-21,38.10173,39.40138,38.10152,39.20037,16500,89,32277696
2011-02-22,39.20157,39.80119,38.60194,38.90136,27100,235,53163642
2011-02-23,39.20157,39.20157,36.72167,38.00152,24100,164,46127786
2011-02-24,38.00152,38.00152,36.00144,36.80128,85500,359,156781086
2011-02-25,35.0014,36.00144,34.10157,36.00144,151000,850,265740163
2011-02-28,36.00064,37.5013,35.82143,37.5013,465900,1471,863281627
2011-03-01,37.00108,37.75131,36.60147,37.10109,47800,261,88668463
2011-03-02,37.10109,38.37374,36.60147,38.04153,83200,453,155097409
2011-03-03,38.40154,38.50094,37.4015,37.80151,53400,330,101054230
2011-03-04,38.00152,40.0014,38.00152,39.56178,37200,241,72799451
2011-03-09,39.50158,41.40145,39.50158,40.54162,17500,122,35298951
2011-03-10,40.54162,41.00164,39.60159,40.60102,17900,133,35969976
2011-03-11,39.60159,40.58142,39.00156,40.56143,21600,91,43588252
2011-03-14,40.74163,41.90168,40.60183,41.50166,12100,91,25105793
2011-03-15,40.68163,41.20185,39.76159,41.00144,24700,88,50137392
2011-03-16,41.10145,42.80172,40.70163,42.4417,28600,238,59467225
