Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.00737,6.00737,5.88722,5.96982,30000,24,238080
2010-01-05,5.87971,6.04492,5.87971,5.99235,13400,24,106715
2010-01-06,5.89473,5.96231,5.8722,5.93228,12200,37,96127
2010-01-07,5.85718,5.93228,5.85718,5.86469,28900,42,225862
2010-01-08,5.87971,5.89473,5.707,5.89473,314600,55,2412352
2010-01-11,5.80462,6.00737,5.78209,6.00737,111500,33,884108
2010-01-12,5.85718,6.23265,5.85718,6.23265,146200,69,1175820
2010-01-13,6.21763,6.23265,6.05242,6.23265,216700,35,1789870
2010-01-14,6.30774,6.30774,6.22514,6.26268,45400,63,379475
2010-01-15,6.27019,6.27019,6.12752,6.21012,15800,18,130116
2010-01-18,6.15755,6.30774,6.15755,6.27019,52600,34,438792
2010-01-19,6.29272,6.29272,6.18008,6.21763,94700,22,789872
2010-01-20,6.23265,6.24015,6.04492,6.08246,144300,105,1175592
2010-01-21,6.15004,6.15004,5.93228,5.96982,93600,86,743936
2010-01-22,5.99986,5.99986,5.93228,5.96982,30300,54,240241
2010-01-26,5.8722,6.00737,5.83466,5.83466,65400,22,515860
2010-01-27,5.89473,5.92477,5.85718,5.85718,12000,13,93784
2010-01-28,5.85718,5.96982,5.78209,5.89473,21700,15,169835
2010-01-29,5.96231,5.96231,5.92477,5.93228,3400,4,26937
2010-02-01,5.93228,5.9548,5.86469,5.93228,5800,18,45770
2010-02-02,5.9473,6.00737,5.93228,5.96982,18800,32,149272
2010-02-03,5.96231,5.99986,5.96231,5.99235,17300,25,137971
2010-02-04,5.93228,5.9473,5.76707,5.85718,93000,41,726540
2010-02-05,5.74455,5.75956,5.59436,5.75956,54900,153,417520
2010-02-08,5.69949,5.89473,5.69949,5.89473,538600,35,4094520
2010-02-09,6.05993,6.05993,5.85718,5.85718,10500,8,82370
2010-02-10,5.85718,5.92477,5.7896,5.87971,43100,25,335856
2010-02-11,5.89473,5.96982,5.89473,5.91726,4300,15,33968
2010-02-12,5.93228,5.93228,5.74455,5.91726,52000,20,401824
2010-02-17,5.90975,6.00737,5.75206,6.00737,35300,38,276391
2010-02-18,6.00737,6.00737,5.93228,5.93228,11700,10,92672
2010-02-19,5.99235,5.99235,5.89473,5.9473,12600,5,99643
2010-02-22,5.96982,5.96982,5.89473,5.9473,700,7,5539
2010-02-23,5.93228,5.93228,5.8722,5.93228,9700,16,76238
2010-02-24,5.92477,5.96982,5.81213,5.96231,31600,41,249325
2010-02-25,5.85718,5.98484,5.81213,5.93228,42900,113,334546
2010-02-26,5.93228,5.93228,5.81964,5.90224,166000,96,1300036
2010-03-01,5.90975,5.90975,5.78209,5.84968,2400,9,18634
2010-03-02,5.7896,5.8722,5.63191,5.63191,105500,109,802154
2010-03-03,5.78209,5.84968,5.71451,5.74455,170600,123,1310928
2010-03-04,5.81964,5.81964,5.76707,5.76707,2300,3,17691
2010-03-05,5.72202,5.78209,5.64693,5.64693,57000,24,433035
2010-03-08,5.63191,5.63191,5.60938,5.63191,35800,20,268283
2010-03-09,5.55682,5.63191,5.48172,5.59436,56800,98,422141
2010-03-10,5.66195,5.66195,5.59436,5.6244,13600,18,101973
2010-03-11,5.63191,5.63191,5.59436,5.63191,37500,18,280677
2010-03-12,5.61689,5.63191,5.45169,5.48172,139500,46,1021161
2010-03-15,5.48172,5.56433,5.41414,5.5418,84800,29,623372
2010-03-16,5.61689,5.6244,5.57934,5.57934,33500,12,250615
2010-03-17,5.59436,5.59436,5.41414,5.49674,118100,39,864494
2010-03-18,5.51176,5.51176,5.44418,5.51176,101300,14,739502
2010-03-19,5.51927,5.51927,5.4592,5.49674,45100,12,329259
2010-03-22,5.51176,5.51176,5.40663,5.50425,1000,7,7263
2010-03-23,5.51927,5.51927,5.49674,5.50425,6700,32,49127
2010-03-24,5.51927,5.51927,5.4592,5.48172,12400,5,90723
2010-03-25,5.48172,5.48172,5.40663,5.48172,18800,11,136415
2010-03-26,5.48172,5.48172,5.36158,5.36158,7900,7,57220
2010-03-29,5.36909,5.47422,5.36909,5.47422,9000,11,64453
2010-03-30,5.51927,5.51927,5.40663,5.46671,14400,14,103907
2010-03-31,5.4592,5.47422,5.44418,5.46671,9500,25,69146
2010-04-01,5.51927,5.51927,5.40663,5.44418,30800,14,222889
2010-04-05,5.44418,5.44418,5.25645,5.32403,49600,26,351151
2010-04-06,5.36158,5.36158,5.14381,5.16634,115900,251,805044
2010-04-07,5.20388,5.2189,5.14381,5.19637,14700,18,101147
2010-04-08,5.25645,5.25645,5.12128,5.18136,56500,45,387854
2010-04-09,5.19637,5.36909,5.14381,5.33154,52600,27,365561
2010-04-12,5.3766,5.3766,5.17385,5.2189,38800,19,269010
2010-04-13,5.25645,5.25645,5.2189,5.25645,7100,10,49370
2010-04-14,5.28649,5.28649,5.14381,5.25645,35000,14,242178
2010-04-15,5.32403,5.32403,5.18136,5.30901,24000,15,167166
2010-04-16,5.33154,5.34656,5.14381,5.34656,14200,19,98488
2010-04-19,5.34656,5.34656,5.14381,5.2189,4400,10,30484
2010-04-20,5.25645,5.27898,5.15883,5.15883,14300,30,99229
2010-04-22,5.24143,5.24143,5.12128,5.24143,11100,16,76954
2010-04-23,5.25645,5.25645,5.15132,5.18136,12700,10,87224
2010-04-26,5.18136,5.24894,5.14381,5.2189,27200,16,188214
2010-04-27,5.19637,5.25645,5.12128,5.25645,2300,11,15898
2010-04-28,5.24894,5.24894,5.18136,5.24894,6800,7,47478
2010-04-29,5.33154,5.33154,5.21139,5.21139,4300,8,29896
2010-04-30,5.27147,5.27147,5.14381,5.25645,900,7,6247
2010-05-03,5.25645,5.25645,5.2189,5.2189,9800,13,68115
2010-05-04,5.25645,5.25645,5.12128,5.18136,61500,39,423577
2010-05-05,5.11377,5.25645,5.11377,5.24894,40700,16,283005
2010-05-06,5.25645,5.25645,5.06872,5.18136,31800,20,219207
2010-05-07,5.2189,5.2189,5.00864,5.18136,46200,25,311990
2010-05-10,5.25645,5.31652,5.18136,5.18136,41000,16,284813
2010-05-11,5.24894,5.24894,5.07623,5.2189,4800,8,32926
2010-05-12,5.24894,5.24894,5.24143,5.24894,1100,3,7684
