Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,0.945007665,0.9516552325,0.931693725,0.931693725,34200,10,48732
2010-01-05,0.931693725,0.9516552325,0.8984182775,0.9516552325,11100,10,15086
2010-01-06,0.931693725,0.9516552325,0.918379785,0.9516552325,19400,13,27175
2010-01-07,0.9516552325,0.9516552325,0.931693725,0.938350695,25100,8,35359
2010-01-08,0.9516552325,1.00490159,0.945007665,1.00490159,73800,29,107744
2010-01-11,1.0315200675,1.0381770375,0.9716261425,0.9716261425,93500,38,141736
2010-01-12,0.99824462,1.0315200675,0.98493068,0.99824462,13300,8,19936
2010-01-13,1.0182061275,1.12468944,1.0182061275,1.044824605,213300,74,343229
2010-01-14,1.0315200675,1.0315200675,0.98493068,1.0248630975000002,57600,30,87787
2010-01-15,1.0381770375,1.0381770375,1.01155856,1.01155856,2100,3,3196
2010-01-18,1.0381770375,1.0381770375,1.01155856,1.0381770375,56500,9,86140
2010-01-19,1.0182061275,1.2245157825,1.0182061275,1.2245157825,666200,294,1160957
2010-01-20,1.2844097075,1.430816035,1.10471853,1.11803247,2103700,800,4035621
2010-01-21,1.1978879025000002,1.1978879025000002,1.0381770375,1.0980709625,241200,122,393719
2010-01-22,1.171269425,1.171269425,1.064795515,1.10471853,65400,43,107952
2010-01-26,1.0781000525,1.0781000525,1.0248630975000002,1.044824605,53800,29,85019
2010-01-27,1.044824605,1.13134641,1.0315200675,1.13134641,148700,67,244633
2010-01-28,1.1513079175,1.2178588125,1.1379939775,1.171269425,229500,94,405282
2010-01-29,1.171269425,1.191240335,1.1379939775,1.1446509475,65700,16,115305
2010-02-01,1.1446509475,1.1646218575,1.1113755,1.1113755,100600,25,169084
2010-02-02,1.12468944,1.1379939775,1.10471853,1.1113755,44300,21,73973
2010-02-03,1.1113755,1.13134641,1.0980709625,1.13134641,87500,26,148234
2010-02-04,1.12468944,1.1579648875,1.064795515,1.1579648875,165500,57,273181
2010-02-05,1.13134641,1.1579648875,1.13134641,1.13134641,165300,66,281072
2010-02-08,1.1446509475,1.1513079175,1.11803247,1.1446509475,61400,18,104977
2010-02-09,1.13134641,1.2245157825,1.13134641,1.1646218575,102200,42,179024
2010-02-10,1.24447729,1.2710957675,1.1978879025000002,1.2710957675,144600,99,271598
2010-02-11,1.2710957675,1.2777527375000002,1.2112018425000002,1.2644387975,40000,35,75324
2010-02-12,1.2710957675,1.2710957675,1.2245157825,1.2644387975,18000,7,33234
2010-02-17,1.2644387975,1.2777527375000002,1.2378203200000002,1.2511342600000002,13700,19,25875
2010-02-18,1.23116335,1.24447729,1.171269425,1.2378203200000002,21400,93,38780
2010-02-19,1.24447729,1.24447729,1.177926395,1.1978879025000002,33800,27,60849
2010-02-22,1.23116335,1.2644387975,1.1978879025000002,1.24447729,96600,20,178661
2010-02-23,1.2112018425000002,1.25779123,1.2045448725,1.24447729,35600,30,65879
2010-02-24,1.24447729,1.5306423775,1.2112018425000002,1.4374730050000002,1522200,667,3255720
2010-02-25,1.3908836175,1.4640914825,1.297714245,1.311028185,758400,360,1572385
2010-02-26,1.3443036325,1.36426514,1.2378203200000002,1.2378203200000002,389500,179,759680
2010-03-01,1.2378203200000002,1.304371215,1.191240335,1.25779123,262700,166,493477
2010-03-02,1.2844097075,1.297714245,1.2178588125,1.23116335,171400,85,320729
2010-03-03,1.2378203200000002,1.2644387975,1.2112018425000002,1.2112018425000002,328500,118,607367
2010-03-04,1.2045448725,1.311028185,1.2045448725,1.2844097075,674000,253,1282372
2010-03-05,1.311028185,1.311028185,1.23116335,1.2378203200000002,139600,73,261702
2010-03-08,1.2378203200000002,1.297714245,1.191240335,1.24447729,364400,140,679570
2010-03-09,1.24447729,1.24447729,1.2112018425000002,1.24447729,198900,73,366470
2010-03-10,1.2511342600000002,1.25779123,1.23116335,1.23116335,56700,27,105625
2010-03-11,1.25779123,1.25779123,1.1978879025000002,1.2045448725,49700,44,90449
2010-03-12,1.2112018425000002,1.23116335,1.2045448725,1.2112018425000002,67100,43,123183
2010-03-15,1.2045448725,1.2178588125,1.1579648875,1.191240335,229300,93,408202
2010-03-16,1.184583365,1.23116335,1.184583365,1.2045448725,30000,24,54146
2010-03-17,1.2112018425000002,1.23116335,1.1978879025000002,1.2112018425000002,110900,59,201605
2010-03-18,1.2112018425000002,1.2112018425000002,1.184583365,1.2045448725,8900,11,15906
2010-03-19,1.184583365,1.2245157825,1.1646218575,1.1978879025000002,83700,47,150255
2010-03-22,1.191240335,1.191240335,1.1579648875,1.177926395,83700,41,146864
2010-03-23,1.1978879025000002,1.2112018425000002,1.184583365,1.184583365,57100,24,102485
2010-03-24,1.191240335,1.1978879025000002,1.177926395,1.184583365,13800,12,24656
2010-03-25,1.171269425,1.2112018425000002,1.1646218575,1.1646218575,58300,35,103099
2010-03-26,1.1978879025000002,1.1978879025000002,1.11803247,1.1446509475,46600,30,80322
2010-03-29,1.1579648875,1.184583365,1.1379939775,1.1579648875,29100,25,50158
2010-03-30,1.1646218575,1.177926395,1.1113755,1.13134641,45100,28,77018
2010-03-31,1.1446509475,1.1978879025000002,1.071452485,1.1978879025000002,67500,41,116155
2010-04-01,1.191240335,1.191240335,1.11803247,1.1379939775,19100,30,32659
