Date,Open,High,Low,Close,Volume,Neg,Fin
2011-06-29,7.52288,8.66705,7.44851,8.60984,10092400,3324,141035713
2011-06-30,8.68421,8.68421,8.3524,8.52403,807400,454,12000959
2011-07-01,8.2952,8.69565,8.24943,8.58123,351100,505,5215710
2011-07-04,8.47254,8.51831,8.3524,8.43822,358600,192,5281001
2011-07-05,8.3238,8.58123,8.3238,8.51831,206200,510,3047457
2011-07-06,8.59268,8.59268,8.3238,8.3524,473300,148,6949491
2011-07-07,8.3238,8.51831,8.2952,8.4897,4600,16,68149
2011-07-08,8.35812,8.43822,8.23798,8.43822,73100,20,1066986
2011-07-11,8.34668,8.3524,8.15218,8.28948,967900,58,13801229
2011-07-12,8.06636,8.19794,7.89474,7.89474,491600,269,6918797
2011-07-13,8.00915,8.0778,7.96339,7.96911,57700,35,805171
2011-07-14,7.95194,7.98055,7.89474,7.98055,607800,31,8448449
2011-07-15,7.95194,8.06636,7.87758,8.06636,63400,129,886547
2011-07-18,8.00915,8.00915,7.82037,7.99771,49200,18,679596
2011-07-19,7.72883,8.00343,7.72883,7.98055,125100,38,1727567
2011-07-20,7.83753,7.99771,7.71739,7.86613,638700,34,8734592
2011-07-21,7.86041,8.23798,7.86041,8.23798,17100,147,237098
2011-07-22,8.23798,8.43822,8.23798,8.43822,313600,202,4547995
2011-07-25,8.43249,8.43249,8.23227,8.40961,471100,58,6844292
2011-07-26,8.3524,8.43822,8.11785,8.43822,11900,15,173087
2011-07-27,8.42677,8.49542,8.39245,8.46682,1202700,68,17699242
2011-07-28,8.34668,8.43822,8.13501,8.40961,997800,17,14711050
2011-07-29,8.54691,8.58123,8.2952,8.2952,326000,217,4798258
2011-08-01,8.30092,8.30664,8.0492,8.2952,14900,23,214780
2011-08-02,8.05492,8.55835,8.01487,8.43249,985800,40,14001843
2011-08-03,8.23798,8.23798,8.00915,8.23798,22100,13,318113
2011-08-04,8.2952,8.31808,8.00343,8.00915,747000,155,10467949
2011-08-05,8.01487,8.01487,7.44279,7.44279,977300,38,13580966
