Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1.6550736772038257,1.6961376225978997,1.6544776838018798,1.6901776885784403,41100,111,1165912
2010-01-05,1.680661660594037,1.680661660594037,1.6074538043883464,1.6491137431843663,159400,200,4399182
2010-01-06,1.6663776853940668,1.713391631584234,1.622333772990263,1.665781691992121,48600,194,1355407
2010-01-07,1.6776816935843075,1.6776816935843075,1.6366177481902335,1.6544776838018798,131200,176,3662546
2010-01-08,1.6544776838018798,1.6937536489901162,1.6544776838018798,1.683631694380401,729900,57,20561179
2010-01-11,1.6961376225978997,1.7288675935880966,1.6753076531998894,1.7288675935880966,286300,69,8161789
2010-01-12,1.7294635869900423,1.737787628170554,1.724099646372529,1.7372015679919734,230700,46,6727669
2010-01-13,1.725887626578367,1.7836195207801953,1.725887626578367,1.779447566966574,318600,159,9494387
2010-01-14,1.785407500986033,1.786003494387979,1.7705275323841163,1.779447566966574,104700,48,3135145
2010-01-15,1.786003494387979,1.838371447972294,1.7318376273744602,1.7729015727685344,19700,34,587274
2010-01-18,1.7729015727685344,1.77647753318021,1.7020876233939932,1.743151568788067,113300,124,3348359
2010-01-19,1.7437475621900134,1.7538595835763622,1.71398762498618,1.725291633176421,79600,70,2322525
2010-01-20,1.7729015727685344,1.7729015727685344,1.7020876233939932,1.7074416307881406,82100,77,2353706
2010-01-21,1.725291633176421,1.725887626578367,1.6544776838018798,1.665781691992121,68600,57,1959704
2010-01-22,1.6961376225978997,1.6961376225978997,1.652093710194096,1.6782776869862537,20300,37,573408
2010-01-26,1.665781691992121,1.6663776853940668,1.60983777799613,1.6324557275999778,31500,81,869419
2010-01-27,1.606857810986401,1.6241217531961007,1.5681778392001102,1.5949578093942136,93900,336,2510366
2010-01-28,1.606857810986401,1.621737779588317,1.5473478698021,1.577107807005933,79700,374,2131872
2010-01-29,1.6181717524000074,1.63066774739414,1.5830578078020263,1.606857810986401,57400,165,1547868
2010-02-01,1.606857810986401,1.6782776869862537,1.5830578078020263,1.6776816935843075,49900,121,1366900
2010-02-02,1.6610236779999192,1.7074416307881406,1.6610236779999192,1.694349642392062,77800,73,2214472
2010-02-03,1.7199376257822736,1.7443435555919589,1.6782776869862537,1.7443435555919589,119100,72,3406485
2010-02-04,1.737787628170554,1.741959581984175,1.617575758998061,1.6782776869862537,124400,104,3542469
2010-02-05,1.6663776853940668,1.6663776853940668,1.6187677458019534,1.6366177481902335,96600,76,2651705
2010-02-08,1.642567748986327,1.684227687782347,1.606857810986401,1.684227687782347,102400,180,2829201
2010-02-09,1.71398762498618,1.725887626578367,1.67589371337847,1.725887626578367,122000,357,3484511
2010-02-10,1.7199376257822736,1.725887626578367,1.6770857001823618,1.725291633176421,94500,111,2721495
2010-02-11,1.7169675919959098,1.725887626578367,1.642567748986327,1.725887626578367,99100,129,2831471
2010-02-12,1.713391631584234,1.7199376257822736,1.684823681184293,1.6955416291959535,64100,58,1826357
2010-02-17,1.7020876233939932,1.7199376257822736,1.65149771679215,1.7169675919959098,24900,82,716523
2010-02-18,1.7074416307881406,1.725887626578367,1.6961376225978997,1.7110076579764504,53500,69,1541469
2010-02-19,1.6854196745862389,1.7229175927920033,1.6854196745862389,1.7080376241900863,75100,221,2155355
2010-02-22,1.6961376225978997,1.7217256059881114,1.6889956349979145,1.71398762498618,92400,81,2652024
2010-02-23,1.71398762498618,1.71398762498618,1.6181717524000074,1.6181717524000074,64600,69,1830932
2010-02-24,1.6229297663922089,1.6961376225978997,1.6229297663922089,1.6663776853940668,74800,62,2088380
2010-02-25,1.6663776853940668,1.714583618388126,1.6324557275999778,1.6544776838018798,171600,152,4773008
2010-02-26,1.6663776853940668,1.6663776853940668,1.639597715199963,1.6544776838018798,117400,65,3259923
2010-03-01,1.6663776853940668,1.6663776853940668,1.6366177481902335,1.653285696997988,149300,40,4140755
2010-03-02,1.7008956365901011,1.7199376257822736,1.6812576539959834,1.71398762498618,159800,158,4588830
2010-03-03,1.7169675919959098,1.7199376257822736,1.6878036481940224,1.7110076579764504,672900,79,19345277
2010-03-04,1.71398762498618,1.71398762498618,1.7008956365901011,1.71398762498618,427100,33,12221808
2010-03-05,1.7169675919959098,1.7169675919959098,1.6663776853940668,1.6961376225978997,45600,32,1303165
2010-03-08,1.6961376225978997,1.7110076579764504,1.687207654792077,1.7110076579764504,12600,13,360445
2010-03-09,1.709825604395924,1.725887626578367,1.6812576539959834,1.71398762498618,150700,96,4332814
2010-03-10,1.71398762498618,1.725887626578367,1.702683616795939,1.7229175927920033,80000,250,2317463
