Date,Open,High,Low,Close,Volume,Neg,Fin
2010-12-20,24.8025,26.31049,24.8025,25.89381,11725400,13278,301211317
2010-12-21,25.90373,26.18152,25.30847,25.7946,2386100,2441,61724592
2010-12-22,25.63586,26.28073,25.48705,25.88389,931500,976,24244102
2010-12-23,25.7946,25.88389,25.11005,25.11005,80900,296,2079205
2010-12-27,24.991,25.07037,24.8025,24.8521,310800,1014,7808380
2010-12-28,24.8025,25.00092,24.5644,24.8521,185100,610,4638238
2010-12-29,24.8025,24.94139,24.64376,24.8025,228100,834,5702335
2010-12-30,24.57432,25.23903,24.57432,25.23903,143000,327,3589936
2011-01-03,25.00092,25.29855,25.00092,25.19934,50300,135,1280958
2011-01-04,25.30847,25.38784,24.8025,25.14973,77400,257,1954647
2011-01-05,25.10013,25.19934,24.82234,25.19934,224300,165,5660409
2011-01-06,25.19934,25.56642,24.90171,25.56642,39400,107,1001953
2011-01-07,25.29855,25.29855,24.73305,24.73305,44900,188,1131982
2011-01-10,24.71321,24.87195,24.47511,24.65368,30300,141,754886
2011-01-11,24.70329,24.95131,24.45527,24.45527,88400,297,2190474
2011-01-12,24.30645,24.67353,23.95922,24.10803,251300,593,6151230
2011-01-13,24.01874,24.8025,24.01874,24.70329,579100,358,14241986
2011-01-14,24.69337,25.29855,24.52471,25.14973,129000,414,3230813
2011-01-17,25.16958,25.54658,25.14973,25.39776,94100,172,2401855
2011-01-18,25.24895,25.49697,25.19934,25.49697,544300,121,13912895
2011-01-19,24.8025,26.57836,24.8025,26.37002,347800,465,9086142
2011-01-20,26.08231,26.24104,25.99302,26.04263,74200,48,1953978
2011-01-21,25.83429,26.04263,25.7946,25.7946,106600,29,2777112
2011-01-24,25.81444,26.48907,25.39776,26.48907,354400,519,9334250
2011-01-26,26.13191,26.87599,26.13191,26.7867,912400,919,24562602
2011-01-27,26.64781,26.9752,25.80452,26.63789,729400,394,19657563
2011-01-28,26.68749,26.7867,25.30847,25.89381,460700,672,12160174
2011-01-31,25.80452,26.28073,25.34815,25.99302,241300,319,6348066
2011-02-01,26.10215,26.77678,25.81444,26.04263,928200,605,24589604
2011-02-02,25.90373,25.90373,25.44736,25.46721,63700,54,1643801
2011-02-03,25.29855,25.29855,24.05843,24.05843,381600,517,9517362
2011-02-04,24.0485,24.40566,23.86,23.90961,95700,263,2308847
2011-02-07,24.10803,24.22708,23.37387,23.51277,332600,192,7907771
2011-02-08,23.50285,23.65166,22.84806,23.14569,269700,247,6358702
2011-02-09,23.18538,23.21514,22.32225,22.69925,283700,221,6478611
2011-02-10,22.33217,22.8183,21.89565,22.42146,1052800,366,23845025
2011-02-11,22.66949,22.79846,22.40162,22.5802,185400,131,4203438
2011-02-14,22.70917,23.0564,22.63972,22.8183,76300,171,1759772
2011-02-15,22.95719,22.96712,22.19328,22.37185,179700,117,4123598
2011-02-16,22.47107,23.07625,22.40162,22.40162,143000,752,3276741
2011-02-17,22.67941,23.1953,22.02462,22.57027,272900,771,6238418
2011-02-18,22.69925,23.17546,22.54051,23.17546,207200,236,4765114
2011-02-21,23.17546,23.95922,23.17546,23.37387,266400,384,6307252
2011-02-22,22.97704,23.40364,22.5802,22.5802,71400,187,1647072
2011-02-23,22.8183,23.8104,22.4413,22.8183,149700,520,3497645
2011-02-24,22.94727,23.25482,22.73893,22.73893,309300,72,7175832
2011-02-25,22.89767,23.51277,22.88775,22.91751,9100,17,210687
2011-02-28,23.51277,23.7608,22.8679,23.51277,257700,168,6127431
2011-03-01,23.61198,23.80048,23.01672,23.16553,60500,125,1427023
2011-03-02,23.17546,23.9989,23.17546,23.56237,233900,181,5506329
2011-03-03,23.40364,24.8521,23.40364,24.50487,133000,173,3295729
2011-03-04,24.89179,24.89179,23.32427,23.32427,130400,246,3225847
2011-03-09,23.90961,24.49495,23.11593,23.11593,65200,114,1572293
2011-03-10,22.93735,23.6219,22.93735,23.41356,88100,131,2072466
2011-03-11,23.55245,24.29653,22.83814,22.83814,86600,143,2054612
2011-03-14,23.01672,24.76282,23.01672,24.00882,337600,786,8193277
2011-03-15,23.91953,24.8521,23.8104,24.8521,205300,671,5114836
2011-03-16,24.72313,25.49697,23.83024,23.83024,211700,465,5302226
2011-03-17,24.95131,25.18942,24.20724,24.20724,134900,274,3334343
2011-03-18,24.68345,24.98108,24.00882,24.57432,633000,429,15704250
2011-03-21,24.55448,24.94139,24.53463,24.65368,76600,308,1911313
2011-03-22,24.59416,25.10013,24.32629,24.81242,97700,232,2435002
2011-03-23,25.01084,25.745,25.01084,25.44736,138800,203,3569809
2011-03-24,25.75492,25.80452,25.29855,25.80452,52900,119,1365530
2011-03-25,25.64579,26.19144,25.6061,25.78468,37700,73,981706
2011-03-28,25.76484,25.99302,25.745,25.7946,83100,143,2170130
2011-03-29,25.99302,25.99302,25.11005,25.49697,84500,85,2169006
2011-03-30,25.78468,25.7946,25.29855,25.30847,89100,64,2288172
2011-03-31,25.39776,25.64579,25.29855,25.29855,121300,99,3116428
2011-04-01,25.78468,25.7946,25.39776,25.49697,129600,542,3342691
2011-04-04,25.68547,26.09223,25.40768,25.61602,130200,167,3373180
2011-04-05,25.78468,25.89381,25.4176,25.54658,98800,86,2549579
2011-04-06,25.65571,25.78468,25.01084,25.01084,61500,239,1585504
2011-04-07,25.28863,25.78468,25.2291,25.54658,112100,164,2883408
2011-04-08,25.53665,25.70531,25.48705,25.49697,174800,240,4515486
2011-04-11,25.76484,25.76484,25.39776,25.45728,245700,62,6305342
2011-04-12,25.39776,25.51681,25.34815,25.4176,8500,13,217688
2011-04-13,25.2291,25.44736,24.95131,25.13981,178400,78,4544303
2011-04-14,24.96124,25.53665,24.65368,24.65368,200100,112,5043075
2011-04-15,24.34613,25.0406,24.34613,24.8025,100800,63,2511438
2011-04-18,25.35808,25.35808,24.34613,24.70329,66700,80,1657783
2011-04-19,24.60408,25.78468,24.60408,25.39776,226400,255,5810384
2011-04-20,25.29855,25.68547,24.71321,25.29855,215000,820,5446704
2011-04-25,25.29855,25.34815,24.90171,24.98108,187000,182,4723991
2011-04-26,25.27871,25.27871,24.70329,24.70329,142800,95,3596572
2011-04-27,25.28863,25.28863,24.40566,24.46519,57900,46,1434091
2011-04-28,24.72313,24.8025,24.25685,24.614,11300,30,280469
2011-04-29,24.59416,24.60408,24.00882,24.00882,99400,107,2439563
2011-05-02,24.10803,25.05053,23.95922,24.51479,241300,603,5935331
2011-05-03,24.50487,25.08029,24.39574,24.50487,67200,97,1673818
2011-05-04,24.614,25.50689,24.614,25.14973,136600,396,3476704
2011-05-05,25.07037,25.7946,25.03068,25.10013,46400,139,1185407
2011-05-06,25.58626,26.29065,25.19934,25.59618,74200,154,1910271
2011-05-09,25.59618,25.59618,25.01084,25.19934,212500,229,5426225
2011-05-10,25.23903,25.28863,24.8521,24.8521,77200,64,1951006
2011-05-11,24.8025,24.97116,24.41558,24.90171,202600,110,5057166
2011-05-12,24.614,26.29065,24.33621,25.7946,386100,585,9983246
2011-05-13,25.7946,26.67757,25.63586,26.29065,131900,225,3492882
2011-05-16,25.7946,26.7867,25.7946,26.29065,152200,301,4060421
2011-05-17,25.62594,26.76686,25.62594,26.38986,97600,275,2602559
2011-05-18,26.77678,26.77678,26.00294,26.00294,145100,115,3850181
2011-05-19,26.75694,26.75694,24.83226,25.10013,78200,241,2041194
2011-05-20,25.48705,26.19144,24.91163,25.19934,128100,311,3272579
2011-05-23,25.44736,25.44736,24.8025,25.28863,179200,122,4555024
2011-05-24,25.49697,25.50689,25.01084,25.49697,52700,127,1348992
2011-05-25,25.19934,26.19144,25.19934,25.99302,86000,265,2242604
2011-05-26,25.72515,26.57836,25.72515,26.14184,107800,115,2839143
2011-05-27,26.18152,26.67757,25.29855,25.7946,64600,105,1692248
2011-05-30,26.27081,26.38986,25.7946,26.09223,30000,49,791858
2011-05-31,26.48907,27.76888,26.23112,27.76888,449800,711,12332545
2011-06-01,27.29267,27.66967,27.12401,27.43156,279400,506,7731359
2011-06-02,27.74904,27.87801,26.93551,27.44149,107700,309,2994404
2011-06-03,26.98512,27.36212,26.80654,26.98512,147200,106,4019802
2011-06-06,27.10417,27.22322,26.7867,26.7867,37700,120,1025969
2011-06-07,27.2133,27.28275,26.7867,26.7867,47900,141,1302164
2011-06-08,27.27283,27.27283,26.48907,26.88591,74200,63,2004964
2011-06-09,27.22322,27.23315,26.31049,27.23315,63200,99,1719824
2011-06-10,27.42164,27.68951,26.63789,27.20338,243900,502,6704943
2011-06-13,27.73911,27.73911,26.81646,27.03473,230600,282,6303619
2011-06-14,27.03473,27.57046,26.7867,27.07441,195400,206,5343440
2011-06-15,26.81646,27.12401,26.7867,26.8363,90200,127,2445901
2011-06-16,26.64781,27.20338,25.81444,26.19144,77000,154,2040928
2011-06-17,26.09223,26.48907,25.61602,25.61602,143600,132,3740120
2011-06-20,25.69539,26.29065,25.29855,25.29855,139000,304,3592500
2011-06-21,25.29855,25.99302,25.02076,25.7946,144400,278,3722345
2011-06-22,26.14184,26.14184,25.01084,25.01084,110300,81,2850922
2011-06-24,25.64579,26.18152,25.29855,25.7946,143300,185,3702876
2011-06-27,25.4176,25.96326,25.40768,25.40768,1851400,136,47490048
2011-06-28,25.44736,25.97318,25.05053,25.49697,196200,392,5045888
2011-06-29,26.12199,26.13191,24.47511,25.5565,262300,226,6743835
2011-06-30,25.6061,25.85413,25.59618,25.7946,211800,76,5495875
2011-07-01,25.59618,26.58828,25.59618,26.28073,97100,184,2577877
2011-07-04,26.46923,26.62796,26.15176,26.48907,38900,33,1038836
2011-07-05,26.45931,27.03473,26.30057,26.7867,143400,317,3858698
