Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,54.53462,56.21614,53.84221,56.21614,600,2,3810
2010-01-05,56.51289,60.96402,56.28208,60.07379,300,1,1920
2010-01-06,59.64517,61.29373,57.40311,57.93066,400,3,2620
2010-01-07,58.02958,58.02958,56.24911,57.13935,400,2,2652
2010-01-08,56.87557,58.22739,56.47991,57.69985,1900,6,5333
2010-01-11,58.22739,58.98574,56.87557,57.04042,632842,2453,0
2010-01-12,56.21614,56.28208,55.22701,56.01831,1600,6,9519
2010-01-13,56.11723,56.51289,54.46866,56.05129,900,6,5310
2010-01-14,53.31466,53.87517,52.42444,53.11684,3443560,8705,0
2010-01-15,52.919,54.30379,52.58929,53.41358,1285839,4009,0
2010-01-18,53.41358,53.57843,52.98495,53.21575,562327,2208,0
2010-01-19,52.75415,54.56757,51.46827,54.23787,2400,3,6335
2010-01-20,53.44655,54.60054,52.95198,53.08387,100,1,275
2010-01-21,53.14981,53.61141,50.84181,51.63313,1400,6,8617
2010-01-22,50.5121,51.46827,48.83056,49.42405,100,1,547
2010-01-26,49.09434,51.13856,48.30302,50.01753,500,3,2654
2010-01-27,49.68782,50.94073,49.48999,49.78673,1100,2,2673
2010-01-28,50.44616,50.64399,48.10519,49.95159,200,2,1061
2010-01-29,50.11645,50.54507,48.83056,49.78673,200,1,482
2010-02-01,50.31427,52.39146,49.45702,51.92987,400,3,2360
2010-02-02,52.39146,52.75415,51.4353,52.75415,500,3,2950
2010-02-03,53.08387,54.23787,52.09473,53.74329,1400,2,3500
2010-02-04,53.21575,53.67736,49.5889,51.10558,15800,10,38638
2010-02-05,50.11645,51.73204,49.48999,51.60016,7000,5,17070
2010-02-08,51.60016,52.58929,49.85267,49.95159,2700,3,6619
2010-02-09,51.10558,51.4353,49.12731,49.45702,1000,3,2490
2010-02-10,49.95159,50.41319,49.22623,49.65485,5600,9,13736
2010-02-11,49.65485,50.38021,49.25919,49.95159,300,2,1601
2010-02-12,49.81971,51.4353,49.39107,51.4353,100,1,240
2010-02-17,52.09473,52.919,50.47913,50.94073,1300,4,7179
2010-02-18,51.07262,51.60016,49.95159,51.10558,100,1,252
2010-02-19,51.10558,52.25958,50.70993,52.09473,700,5,3952
2010-02-22,52.45741,52.45741,51.40232,51.99582,600,2,1524
2010-02-23,51.50124,53.2817,51.46827,52.65524,500,2,2900
2010-02-24,53.08387,53.71032,51.03964,51.92987,700,3,4046
2010-02-25,50.84181,52.29256,50.34725,51.73204,1000,3,2486
2010-02-26,51.50124,53.14981,50.61102,53.14981,200,2,1188
2010-03-01,53.38062,54.23787,52.49038,54.23787,500,1,3005
2010-03-02,54.79837,54.9962,53.44655,54.27083,200,1,1200
2010-03-03,54.56757,54.56757,51.76501,52.919,400,4,2370
2010-03-04,52.75415,52.88604,51.4353,52.55632,100,1,575
2010-03-05,53.21575,53.71032,52.85307,53.34764,100,1,605
2010-03-08,53.57843,55.72157,52.85307,55.68859,700,5,4231
2010-03-09,54.9962,57.69985,54.17191,56.6118,3300,16,21195
2010-03-10,56.71071,57.04042,55.42482,55.68859,1700,6,11848
2010-03-11,55.52375,55.85346,53.80923,54.30379,2000,3,13960
2010-03-12,54.83136,55.16106,53.80923,54.93026,4500,16,28195
2010-03-15,54.60054,54.96324,53.21575,53.67736,900,5,5404
2010-03-16,53.34764,54.53462,53.34764,53.71032,100,1,600
2010-03-17,53.87517,54.27083,52.3585,53.14981,4200,3,24360
2010-03-18,53.2817,53.90815,52.19364,53.08387,1800,4,9760
2010-03-19,53.31466,54.2049,53.08387,53.90815,100,1,262
2010-03-22,53.38062,53.87517,52.78712,53.74329,700,6,4010
2010-03-23,53.74329,54.79837,53.74329,54.40273,300,1,1710
2010-03-24,53.80923,54.89729,53.41358,53.80923,800,3,4560
2010-03-25,54.53462,54.96324,53.2817,53.74329,1900,6,10830
2010-03-26,53.77626,54.2049,52.49038,53.24872,100,1,260
2010-03-29,53.47953,54.50164,53.41358,54.40273,200,2,1110
2010-03-30,54.86432,54.86432,53.87517,54.23787,592531,3000,0
2010-03-31,53.74329,54.56757,52.88604,53.74329,400,4,2240
2010-04-01,54.23787,54.53462,52.78712,53.41358,3500,7,9624
2010-04-05,53.57843,53.74329,51.53421,52.09473,6300,15,32870
2010-04-06,52.09473,52.42444,51.46827,52.3585,100,1,526
2010-04-07,52.29256,52.42444,51.86392,52.02878,100,1,540
2010-04-08,52.52336,53.44655,52.09473,53.44655,100,1,540
2010-04-09,53.47953,53.9741,52.62227,53.0509,1100,3,6055
