Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,24.20912,24.38478,23.98325,24.15892,2680600,4196,77611266
2010-01-05,24.25931,24.46844,23.75739,23.75739,1618400,2932,46562304
2010-01-06,23.6821,24.13383,23.64864,23.92469,3720300,3468,106417471
2010-01-07,23.74066,23.90797,23.38932,23.67374,2577300,5290,72889078
2010-01-08,23.55662,23.64027,23.19692,23.35586,1787300,4153,49872053
2010-01-11,23.56499,23.65701,22.85394,23.24711,1129600,2128,31329801
2010-01-12,22.6699,22.82048,22.48587,22.63644,1434300,3216,38849358
2010-01-13,22.68663,22.87904,22.02577,22.10943,1846000,2815,48944864
2010-01-14,22.22654,22.23491,21.90867,22.08434,1434400,2371,37796956
2010-01-15,21.8752,22.21818,21.33146,21.51549,2287500,3731,59328184
2010-01-18,21.75809,22.05924,21.63261,21.89193,785500,1186,20555652
2010-01-19,21.50713,22.26837,21.49876,21.98395,1888900,3273,49517898
2010-01-20,21.79155,21.79155,20.8881,21.14742,2193000,3649,55573668
2010-01-21,21.18088,21.40675,20.70406,21.08887,1959000,4430,49334406
2010-01-22,21.10559,22.12616,20.74589,22.12616,2038900,3503,52569149
2010-01-26,21.69117,23.15509,21.62424,22.6699,2557400,5157,69274219
2010-01-27,22.67827,22.92086,22.17635,22.17635,1194500,2814,32092965
2010-01-28,22.25164,22.45241,21.58242,22.36039,1132200,2605,29779673
2010-01-29,22.55279,23.04634,21.79992,22.04251,1476200,3322,39529314
2010-02-01,22.16799,22.57789,21.43184,22.16799,1811400,4638,47738041
2010-02-02,22.17635,23.08817,21.95049,22.79538,1841700,5074,49839415
2010-02-03,22.61971,22.96269,22.46914,22.58625,1118300,4765,30420748
2010-02-04,22.42731,22.92086,21.62424,21.84174,2243600,6419,59798625
2010-02-05,21.79155,22.02577,20.94666,21.53222,2902800,5475,74740381
2010-02-08,21.53222,21.6577,20.81281,20.91319,2081000,4354,52319442
2010-02-09,21.04704,21.32309,20.84628,20.91319,2572400,6104,64861344
2010-02-10,21.0805,21.11396,20.70406,20.87137,1888800,4076,47245810
2010-02-11,20.92992,21.13069,20.74589,21.0805,1535100,2763,38410562
2010-02-12,21.01358,21.12233,20.87137,21.0805,2199900,4479,55153519
2010-02-17,21.24781,21.48203,20.82118,20.82118,3341900,5852,84261303
2010-02-18,20.87137,21.64097,20.863,21.64097,3067100,5603,77332917
2010-02-19,21.33982,21.80828,21.24781,21.58242,1398200,2248,35978620
2010-02-22,21.7079,21.90867,21.44021,21.79155,1876800,3477,48709024
2010-02-23,21.66607,21.97559,21.49876,21.49876,1724700,3761,44793843
2010-02-24,21.54059,21.90867,20.91319,21.90867,2167600,3975,55591664
2010-02-25,21.39001,22.04251,21.33146,22.00068,1692000,2938,43983843
2010-02-26,21.88357,22.03414,21.77482,22.00068,1283300,2689,33616954
2010-03-01,22.12616,22.82884,21.93376,22.82884,1536400,2376,41201192
2010-03-02,22.82884,22.91249,22.5026,22.71173,1062800,2798,28863704
2010-03-03,22.56116,22.89577,22.46077,22.67827,1850900,2879,50218322
2010-03-04,22.83721,23.0798,22.24327,23.00451,1348800,1878,36516713
2010-03-05,23.2722,23.40605,22.92086,23.40605,1345600,2080,37277981
2010-03-08,23.40605,23.50643,22.82048,22.93759,1872300,2502,51968584
2010-03-09,22.72846,23.38095,22.58625,22.93759,1790900,2787,49355832
2010-03-10,23.00451,23.59008,22.89577,23.41441,848500,2019,23744326
2010-03-11,23.38932,23.58172,23.1049,23.42278,1179300,1973,32912306
2010-03-12,23.65701,23.65701,22.70336,23.18018,574000,1168,15873968
2010-03-15,22.93759,23.49806,22.67827,23.02961,1078800,2449,29736032
2010-03-16,22.82048,23.42278,22.82048,23.42278,1645500,3622,45792106
2010-03-17,23.49806,23.58172,23.04634,23.42278,1175700,2450,32883629
2010-03-18,23.46461,25.42208,23.09653,24.90343,3923100,5461,115237434
2010-03-19,24.71103,25.76505,24.59392,25.43044,2156900,4070,65287812
2010-03-22,25.13766,26.18332,24.6943,26.05784,1468700,3042,45334607
2010-03-23,25.89054,26.04111,25.31333,25.43044,1837200,3695,56082976
2010-03-24,25.12093,26.3088,24.94526,26.14149,3672600,3785,114197114
2010-03-25,25.97419,27.01148,25.97419,26.60158,3500500,6229,111575401
2010-03-26,26.51793,26.81908,26.20842,26.55976,1323300,2759,41935715
2010-03-29,26.60158,26.7438,25.98255,26.20005,1746700,2846,54926658
2010-03-30,26.09967,26.93619,26.00765,26.85254,834400,2180,26537640
2010-03-31,26.81071,27.85637,26.70197,27.52176,2641200,4521,86967184
2010-04-01,27.77272,28.60925,27.53849,28.19098,3139900,4403,105623388
2010-04-05,27.86474,28.35829,27.0784,27.35446,8413100,4023,278456729
2010-04-06,27.2708,27.60542,26.0662,26.09967,3459700,5679,109830865
2010-04-07,26.16659,26.30043,25.13766,25.40535,3824500,4371,117782678
2010-04-08,25.40535,26.09967,25.054,25.489,3279900,9058,99901624
2010-04-09,25.98255,25.98255,24.68593,24.92853,3390800,5574,101227478
2010-04-12,24.85324,25.15439,24.05854,24.25931,2192100,4857,64013466
2010-04-13,24.25931,25.25477,24.1171,25.04564,2046400,5946,60638814
2010-04-14,25.26314,25.63958,25.01218,25.02891,1826600,4735,55527746
2010-04-15,25.09583,25.22131,24.46844,24.54373,863000,2030,25460233
2010-04-16,24.35969,24.74449,23.91633,24.17565,1397200,3763,40597551
2010-04-19,24.17565,24.77795,23.75739,24.60228,1107600,3156,32203541
2010-04-20,24.75286,25.01218,24.48517,24.67757,1665100,3255,49215017
2010-04-22,24.25094,25.38026,24.20912,25.33006,2684900,4574,79714877
2010-04-23,25.38453,25.52324,24.88169,25.29784,1808300,3156,52680732
2010-04-26,25.47989,25.52324,24.93371,25.27183,938200,2142,27296499
2010-04-27,25.07243,25.27183,24.56092,24.75165,1711000,3323,49323885
2010-04-28,24.96839,25.0811,24.31817,24.75165,1679400,3811,47979324
2010-04-29,24.81234,25.66196,24.65629,25.61861,937900,2429,27494280
2010-04-30,25.48857,25.78333,24.88169,24.88169,2299000,4615,66654061
2010-05-03,24.75165,25.49723,24.75165,25.26316,1254100,3980,36543564
2010-05-04,24.83834,25.91338,24.41354,24.9077,2896000,7402,84106829
2010-05-05,24.53491,25.8787,24.50023,25.37586,2716100,5643,79972166
2010-05-06,25.22848,25.91338,24.96839,25.31517,1699300,4161,49813352
2010-05-07,25.54925,26.05209,25.01174,26.00874,2760400,6038,81641985
2010-05-10,26.44222,27.12712,25.57526,25.92204,1606900,3395,48751444
2010-05-11,25.57526,25.85269,25.37586,25.40187,1912700,4126,56568975
2010-05-12,25.56659,25.81801,25.29784,25.61861,1583300,3272,46605653
2010-05-13,25.77466,26.57226,25.74865,26.57226,3470500,3406,105473326
2010-05-14,26.23415,26.52024,25.58393,26.24282,888700,2109,26823159
2010-05-17,26.33818,27.48256,26.00007,27.48256,1823500,3007,56829182
2010-05-18,27.52592,27.52592,24.30951,24.52624,5532400,7505,162191200
2010-05-19,24.98573,25.66196,23.85002,24.63028,3402100,8938,97167558
2010-05-20,24.26615,24.69963,23.33851,23.798,1951000,6217,53772770
2010-05-21,24.00607,24.35285,23.33851,23.94538,1343200,3376,36862666
2010-05-24,23.84134,24.58693,23.61594,23.84134,486600,1693,13411880
2010-05-25,23.26915,23.7113,22.86168,22.93104,1151500,3488,30749761
2010-05-26,23.14778,23.67662,22.38485,23.53791,2898700,4678,77359109
2010-05-27,23.66795,24.27482,23.61594,23.84134,1229000,2901,34024667
2010-05-28,23.41654,23.58993,22.62761,23.33851,1867100,3932,49609174
2010-05-31,23.66795,23.84134,23.14778,23.84134,697400,1545,18990142
2010-06-01,23.40787,24.20547,23.26915,23.49456,1350400,2992,36989583
2010-06-02,23.52057,23.78933,23.40787,23.50323,941500,2121,25642807
2010-06-04,23.40787,23.58126,22.72297,23.2258,824700,2857,22048781
2010-06-07,23.06975,23.75465,23.06975,23.20847,824800,2895,22331832
2010-06-08,23.40787,23.56392,23.14778,23.33851,1650600,2479,44497336
2010-06-09,23.58126,23.58993,22.85301,22.97439,514500,1807,13817327
2010-06-10,23.0004,23.81533,23.0004,23.7113,1107100,2570,30162967
2010-06-11,23.41654,24.07543,23.30383,24.07543,696900,1682,19006180
2010-06-14,23.98873,24.21413,23.87602,24.18813,761100,2249,21139278
2010-06-15,24.21413,24.50023,23.58126,23.97139,1396400,4789,38923335
2010-06-16,23.97139,25.22848,23.67662,24.92505,3082800,7951,87668081
2010-06-17,24.74298,25.52324,24.74298,25.14178,1747800,2800,50785968
2010-06-18,25.05508,25.05508,24.5956,24.795,674700,1065,19339550
2010-06-21,25.19321,25.19321,23.86861,24.1976,1061000,2320,29910675
2010-06-22,24.25265,24.51203,23.91545,24.03649,1088900,3117,30577257
2010-06-23,24.27918,24.27918,23.58845,24.08059,717700,1853,19838074
2010-06-24,24.04933,24.04933,23.28189,23.52333,667000,2146,18192971
2010-06-25,23.58221,24.27302,23.47859,24.27302,436000,1567,12057802
2010-06-28,24.3421,24.368,23.65993,23.76355,482800,1527,13306349
2010-06-29,23.65993,23.65993,22.89141,23.22818,885500,2315,23781296
2010-06-30,23.02094,23.40088,21.94157,22.01928,3154800,5529,82255598
2010-07-01,22.1229,22.36468,21.46664,21.56162,2614200,5163,66375391
2010-07-02,21.67388,21.70842,21.21622,21.21622,1121800,2644,27826758
2010-07-05,21.44073,21.44073,20.89673,21.19896,1237800,2821,30292815
2010-07-06,21.50118,22.10563,21.39756,21.84658,2844400,6794,71418335
2010-07-07,21.96747,22.95186,21.84658,22.53738,2258200,4112,58689980
2010-07-08,22.71871,23.47859,22.3215,23.31453,1652600,4135,43889171
2010-07-12,23.18501,23.48723,22.90869,23.34044,949200,3218,25560926
2010-07-13,23.30589,24.14349,23.27999,24.14349,1080000,2583,29781562
2010-07-14,23.96216,24.17803,23.59085,23.96216,1293300,2331,35842742
2010-07-15,23.91898,23.96216,23.1332,23.27136,1357700,2561,36759751
2010-07-16,23.46132,23.46132,22.58919,22.58919,919700,2622,24496992
2010-07-19,22.52874,23.05548,22.52874,23.01231,640000,1804,16996056
2010-07-20,22.88278,22.96913,22.45103,22.51148,1363900,4041,35806361
2010-07-21,22.71008,22.80506,22.1229,22.45103,1184700,3300,30741024
2010-07-22,22.58919,23.01231,22.33014,22.36468,1942700,4231,50974519
2010-07-23,22.52011,22.53738,21.72569,22.01064,2764400,5772,70462973
2010-07-26,22.08836,22.49421,21.84658,21.88975,1406800,3423,35986808
2010-07-27,22.16607,22.33878,21.67388,21.88975,1734400,3820,44345475
2010-07-28,21.84658,22.08836,21.58753,21.82931,1773900,3684,44777275
2010-07-29,21.9502,22.45967,21.67388,22.45967,2376300,5781,60685578
2010-07-30,22.23516,23.59948,22.01928,22.93459,4245500,5669,112727819
