Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,13.39592,13.7978,13.39592,13.6564,7600,13,137687
2010-01-05,13.61918,13.76059,13.48523,13.56709,14600,44,266230
2010-01-06,13.75315,13.75315,13.02381,13.38848,373200,90,6554404
2010-01-07,13.39592,13.39592,13.38103,13.39592,2200,8,39589
2010-01-08,13.50756,13.50756,13.24708,13.24708,34400,27,616977
2010-01-11,13.24708,13.25452,12.94195,13.02381,185600,36,3253786
2010-01-12,13.02381,13.32894,12.80055,12.91218,356000,69,6201151
2010-01-13,12.91218,12.91218,12.66659,12.83032,14400,18,248439
2010-01-14,12.46565,12.82287,12.46565,12.75589,11500,22,196525
2010-01-15,12.6517,12.82287,12.57728,12.6517,122600,18,2084289
2010-01-18,12.86008,12.91218,12.57728,12.86753,10800,35,186411
2010-01-19,12.90474,12.91218,12.68147,12.91218,2300,15,39698
2010-01-20,13.20987,13.38848,12.68147,12.82287,29800,37,516528
2010-01-21,12.87497,12.87497,12.80799,12.82287,25700,17,443003
2010-01-22,12.87497,12.87497,12.31681,12.6517,54800,71,923838
2010-01-26,12.95683,12.96427,12.50286,12.6517,6900,30,117816
2010-01-27,12.65915,12.86753,12.50286,12.60705,17800,22,302406
2010-01-28,12.39867,12.66659,12.39867,12.6517,77200,24,1304321
2010-01-29,12.64426,12.85264,12.42844,12.56984,128000,110,2169556
2010-02-01,12.36146,12.6517,12.35402,12.62937,7700,14,129552
2010-02-02,12.57728,12.64426,12.31681,12.62937,9100,12,154105
2010-02-03,12.62937,12.62937,12.50286,12.50286,3900,20,65722
2010-02-04,12.60705,12.60705,12.35402,12.49542,2700,12,45264
2010-02-05,12.31681,12.31681,11.31211,11.53538,123600,57,1927381
2010-02-08,11.49072,11.53538,11.23769,11.53538,52100,26,801938
2010-02-09,11.31211,11.53538,11.31211,11.53538,61100,63,946426
2010-02-10,11.68422,11.68422,11.52794,11.53538,45100,18,699069
2010-02-11,11.53538,11.53538,11.53538,11.53538,20500,25,317750
2010-02-12,11.52794,11.53538,11.43118,11.53538,35800,15,554784
