Date,Open,High,Low,Close,Volume,Neg,Fin
2021-05-05,14.45,16.7,14.33,15.61,10450400,28591,159878154
2021-05-06,15.99,16.45,15.61,16.0,1642600,4220,26269644
2021-05-07,16.15,16.9,15.52,16.6,2297900,7101,36692806
2021-05-10,16.85,16.9,15.86,15.88,1031400,3445,16541417
2021-05-11,15.68,16.15,15.15,16.15,1700500,8156,26836888
2021-05-12,15.94,16.37,15.72,15.94,352400,734,5618264
2021-05-13,15.79,15.92,15.43,15.75,603200,1585,9472638
2021-05-14,15.79,16.21,15.4,16.0,2403400,4984,38243200
2021-05-17,15.99,16.34,15.7,16.34,1352500,8114,21863622
2021-05-18,16.35,16.6,15.92,15.92,407500,1065,6552609
2021-05-19,15.88,16.1,15.52,15.6,1232900,905,19432458
2021-05-20,15.66,15.83,15.2,15.75,359300,1078,5580537
2021-05-21,15.71,15.75,15.59,15.7,258200,720,4051889
2021-05-24,15.75,15.91,15.55,15.65,320800,759,5037719
2021-05-25,15.63,15.84,15.55,15.6,204600,469,3204308
2021-05-26,15.67,15.73,15.3,15.31,516200,1174,7982820
2021-05-27,15.46,15.73,15.26,15.51,570100,611,8827925
2021-05-28,15.74,15.96,15.56,15.85,392400,760,6210192
2021-05-31,15.84,16.15,15.74,16.1,1153500,1878,18429510
2021-06-01,16.15,16.32,16.05,16.29,707900,2542,11484282
2021-06-02,16.2,16.44,15.96,16.28,741800,890,12064921
2021-06-04,16.45,16.79,16.07,16.79,649100,1100,10673660
2021-06-07,16.67,16.75,16.3,16.42,412500,2490,6792665
2021-06-08,16.57,16.58,16.11,16.16,196800,536,3196643
2021-06-09,16.22,16.24,15.98,16.17,875800,2100,14103650
2021-06-10,16.25,16.71,16.25,16.71,726900,1937,11982771
2021-06-11,16.7,16.88,16.39,16.7,1006900,1440,16769910
2021-06-14,17.0,17.46,16.94,17.3,1538200,6095,26458697
2021-06-15,17.41,18.4,17.4,18.01,1488800,8497,26720981
2021-06-16,18.4,18.8,18.09,18.53,778100,3266,14316044
2021-06-17,18.57,18.97,18.2,18.7,1155900,5892,21454012
2021-06-18,18.62,18.9,18.32,18.5,709700,2137,13148314
2021-06-21,18.52,19.34,18.52,19.29,706900,3059,13488283
2021-06-22,19.29,19.5,18.88,18.95,791000,4599,15127911
2021-06-23,19.04,19.3,18.46,18.94,372600,2142,7026110
2021-06-24,19.02,20.28,18.88,19.86,1164300,3762,22788279
2021-06-25,19.8,20.08,19.25,19.59,1115000,1849,21773413
2021-06-28,19.59,19.88,19.08,19.3,346200,1128,6671796
2021-06-29,19.31,19.88,19.26,19.64,842500,2309,16421116
2021-06-30,19.64,19.85,19.38,19.75,1208500,3886,23691124
2021-07-01,19.86,20.12,19.4,19.52,1474500,987,28786444
2021-07-02,19.64,20.44,19.63,20.24,527600,1289,10617975
2021-07-05,20.27,20.8,19.8,20.68,1001300,2024,20502093
2021-07-06,20.65,20.78,19.91,20.36,768700,1595,15637590
2021-07-07,20.5,20.53,20.01,20.2,722600,778,14645558
2021-07-08,19.87,19.87,19.25,19.25,710300,1620,13836407
2021-07-12,19.25,19.66,19.0,19.41,405800,1159,7856394
2021-07-13,19.26,19.44,19.12,19.2,376000,1456,7245604
2021-07-14,19.4,19.7,19.03,19.31,279400,1007,5411525
