Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,0.14,0.14,0.13,0.13,99000,7,12950
2010-01-05,0.14,0.14,0.14,0.14,20000,3,2800
2010-01-06,0.14,0.14,0.13,0.14,186000,8,24200
2010-01-07,0.14,0.15,0.14,0.14,718000,34,101550
2010-01-08,0.15,0.15,0.13,0.13,356000,21,47020
2010-01-11,0.14,0.14,0.14,0.14,24000,5,3360
2010-01-12,0.14,0.15,0.13,0.14,348000,30,48820
2010-01-13,0.14,0.15,0.14,0.14,101000,6,14150
2010-01-14,0.14,0.14,0.14,0.14,6000,2,840
2010-01-15,0.14,0.25,0.14,0.24,12984000,512,2548670
2010-01-18,0.24,0.36,0.23,0.24,37808000,2078,10881990
2010-01-19,0.26,0.27,0.21,0.23,13675000,710,3285120
2010-01-20,0.24,0.24,0.2,0.23,4059000,270,889390
2010-01-21,0.23,0.23,0.2,0.21,2059000,161,433850
2010-01-22,0.21,0.23,0.2,0.2,3074000,232,653140
2010-01-26,0.22,0.26,0.22,0.22,10676000,502,2559190
2010-01-27,0.24,0.24,0.22,0.23,1600000,117,370920
2010-01-28,0.23,0.23,0.21,0.22,2349000,92,517930
2010-01-29,0.22,0.22,0.21,0.21,955000,74,205740
2010-02-01,0.22,0.22,0.21,0.21,1746000,76,368040
2010-02-02,0.21,0.22,0.2,0.21,1319000,84,275840
2010-02-03,0.21,0.25,0.2,0.25,5156000,281,1226510
2010-02-04,0.26,0.27,0.21,0.21,10067000,658,2476190
2010-02-05,0.22,0.24,0.21,0.22,2812000,198,636940
2010-02-08,0.23,0.23,0.21,0.22,1075000,99,238660
2010-02-09,0.23,0.28,0.22,0.27,18690000,757,4815140
2010-02-10,0.28,0.29,0.23,0.24,13764000,716,3522880
2010-02-11,0.24,0.25,0.23,0.23,3015000,202,697690
2010-02-12,0.24,0.24,0.21,0.22,5592000,248,1249110
2010-02-17,0.22,0.23,0.22,0.23,1786000,110,395020
2010-02-18,0.23,0.23,0.22,0.22,3810000,183,840040
2010-02-19,0.22,0.25,0.22,0.22,11710000,368,2751580
2010-02-22,0.23,0.24,0.22,0.22,2883000,195,663320
2010-02-23,0.23,0.24,0.22,0.23,3377000,164,776070
2010-02-24,0.23,0.26,0.23,0.25,11641000,472,2867910
2010-02-25,0.25,0.25,0.23,0.23,3147000,140,752800
2010-02-26,0.24,0.25,0.22,0.23,5667000,243,1323300
2010-03-01,0.23,0.25,0.23,0.24,6984000,360,1668560
2010-03-02,0.24,0.24,0.23,0.24,4734000,214,1109550
2010-03-03,0.24,0.24,0.22,0.22,6767000,308,1523160
2010-03-04,0.22,0.23,0.21,0.22,3590000,206,791270
2010-03-05,0.23,0.23,0.21,0.22,3597000,174,794820
2010-03-08,0.22,0.22,0.21,0.21,1141000,75,243970
2010-03-09,0.22,0.22,0.21,0.21,1343000,87,286520
2010-03-10,0.21,0.22,0.2,0.21,3087000,171,641300
2010-03-11,0.21,0.22,0.21,0.21,593000,60,124660
2010-03-12,0.22,0.22,0.21,0.21,1812000,101,384190
2010-03-15,0.21,0.22,0.2,0.21,1585000,107,330500
2010-03-16,0.21,0.21,0.2,0.2,941000,61,192740
2010-03-17,0.21,0.22,0.21,0.21,2246000,81,472750
2010-03-18,0.2,0.22,0.2,0.2,248000,24,51780
2010-03-19,0.21,0.21,0.2,0.2,2057000,109,414050
2010-03-22,0.2,0.2,0.19,0.19,1578000,106,312430
2010-03-23,0.2,0.2,0.19,0.19,290000,24,56110
2010-03-24,0.2,0.2,0.19,0.2,716000,37,136400
2010-03-25,0.19,0.2,0.19,0.19,747000,41,142250
2010-03-26,0.19,0.19,0.18,0.19,1127000,77,209160
