Date,Open,High,Low,Close,Volume,Neg,Fin
2011-06-28,0.35707,0.35707,0.35707,0.35707,100,1,1843
2011-07-01,0.35707,0.35707,0.35707,0.35707,600,1,11058
2011-08-02,0.35707,0.35707,0.35707,0.35707,1000,1,18430
2011-10-17,0.36205,0.36205,0.36205,0.36205,1000,2,740
2011-10-18,0.36205,0.41586,0.36205,0.41586,24300,30,19118
2011-10-19,0.42565,0.4599,0.42075,0.42075,33100,80,29750
2011-10-20,0.4599,0.46479,0.3914,0.455,17100,39,14777
2011-10-21,0.455,0.485,0.455,0.475,46400,34,43139
2011-10-24,0.475,0.475,0.425,0.445,5800,13,5153
2011-10-25,0.425,0.44,0.4,0.43,12500,9,10117
2011-10-26,0.43,0.435,0.34,0.39,15100,24,11203
2011-10-27,0.395,0.395,0.33,0.355,31600,38,21321
2011-10-28,0.325,0.37,0.3,0.325,59800,41,37702
2011-10-31,0.315,0.325,0.29,0.29,30100,28,18444
2011-11-01,0.3,0.31,0.285,0.29,17500,18,10358
2011-11-03,0.29,0.36,0.29,0.355,50700,98,34338
2011-11-04,0.36,0.42,0.33,0.415,328500,322,250487
2011-11-07,0.415,0.435,0.375,0.405,126000,190,99758
2011-11-08,0.385,0.41,0.35,0.35,105600,100,76726
2011-11-09,0.35,0.37,0.33,0.345,226000,129,155353
2011-11-10,0.345,0.345,0.285,0.29,137900,129,83064
2011-11-11,0.305,0.315,0.28,0.29,73800,106,43924
2011-11-14,0.305,0.305,0.305,0.305,100,1,61
2011-11-16,0.3,0.305,0.27,0.27,230400,115,129424
2011-11-17,0.265,0.265,0.17,0.175,967500,156,378090
2011-11-18,0.2,0.22,0.195,0.22,199500,105,80232
2011-11-21,0.205,0.215,0.19,0.19,21200,42,8506
2011-11-22,0.195,0.205,0.14,0.15,1145500,181,352527
2011-11-23,0.16,0.16,0.13,0.14,1107900,162,319558
2011-11-24,0.135,0.15,0.12,0.14,2793600,590,737159
2011-11-25,0.135,0.14,0.09,0.09,8706100,1024,2157710
2011-11-28,0.1,0.11,0.085,0.085,6121500,526,1166128
2011-11-29,0.09,0.135,0.085,0.135,13095500,841,2767145
2011-11-30,0.155,0.185,0.14,0.15,29295400,1727,9343068
2011-12-01,0.145,0.15,0.12,0.125,10898600,847,2926344
2011-12-02,0.135,0.14,0.12,0.14,7662300,452,2028926
2011-12-05,0.135,0.165,0.13,0.155,9494600,644,2870162
2011-12-06,0.16,0.165,0.14,0.14,8590500,634,2565017
2011-12-07,0.14,0.14,0.13,0.13,5962300,266,1595136
2011-12-08,0.13,0.135,0.12,0.12,4236600,238,1056546
2011-12-09,0.12,0.14,0.115,0.125,9828800,548,2488179
2011-12-12,0.13,0.135,0.12,0.125,3290800,188,828596
2011-12-13,0.125,0.13,0.12,0.12,4305900,240,1055582
2011-12-14,0.12,0.125,0.115,0.115,836200,82,195931
2011-12-15,0.12,0.135,0.115,0.12,8175900,419,2036282
2011-12-16,0.12,0.13,0.115,0.12,2483700,231,604701
2011-12-19,0.12,0.12,0.105,0.11,4791300,321,1069491
2011-12-20,0.11,0.12,0.095,0.12,7317900,347,1546116
2011-12-21,0.115,0.125,0.105,0.12,6265800,467,1449801
2011-12-22,0.115,0.115,0.105,0.105,3379300,194,746478
2011-12-23,0.11,0.115,0.105,0.105,1190300,85,258946
2011-12-26,0.105,0.11,0.1,0.105,3413300,155,724187
2011-12-27,0.11,0.11,0.1,0.105,628100,61,131772
2011-12-28,0.105,0.11,0.1,0.105,1496900,103,307859
2011-12-29,0.105,0.105,0.095,0.1,2755600,100,555058
2012-01-02,0.1,0.1,0.09,0.095,1839600,119,352131
2012-01-03,0.095,0.1,0.09,0.095,1294600,119,244360
2012-01-04,0.095,0.105,0.095,0.095,2447800,180,480837
2012-01-05,0.115,0.12,0.105,0.105,11010000,965,2482702
2012-01-06,0.11,0.135,0.1,0.11,17605100,1525,4101189
2012-01-09,0.115,0.13,0.115,0.12,9806800,874,2387610
2012-01-10,0.125,0.13,0.11,0.115,9139900,475,2185078
2012-01-11,0.12,0.13,0.115,0.125,9074400,1107,2244457
2012-01-12,0.125,0.13,0.115,0.125,8155200,606,1996816
2012-01-13,0.125,0.125,0.115,0.115,3827000,192,908148
2012-01-16,0.115,0.12,0.11,0.115,3975000,370,900734
2012-01-17,0.115,0.115,0.105,0.11,4056200,263,862231
2012-01-18,0.11,0.11,0.1,0.1,2972000,180,608110
2012-01-19,0.1,0.105,0.095,0.105,3909300,208,783081
2012-01-20,0.105,0.105,0.095,0.1,1402300,96,280553
2012-01-23,0.105,0.11,0.1,0.11,4076500,450,848229
2012-01-24,0.11,0.11,0.1,0.105,1037900,71,218405
2012-01-26,0.105,0.11,0.1,0.105,3215200,181,675038
2012-01-27,0.1,0.105,0.1,0.1,2403900,95,494050
2012-01-30,0.11,0.12,0.105,0.11,11321000,646,2540273
2012-01-31,0.11,0.115,0.1,0.105,8121100,593,1718808
2012-02-01,0.105,0.11,0.1,0.105,4743400,208,990874
2012-02-02,0.1,0.11,0.1,0.1,3198600,144,665327
2012-02-03,0.105,0.11,0.1,0.105,2150000,124,450347
2012-02-06,0.11,0.12,0.105,0.11,11596100,1295,2580706
2012-02-07,0.11,0.11,0.1,0.1,10150500,370,2084876
2012-02-08,0.1,0.105,0.095,0.1,5578000,244,1115986
2012-02-09,0.1,0.105,0.095,0.1,2519000,213,504768
2012-02-10,0.1,0.105,0.095,0.105,2801200,149,561551
2012-02-13,0.105,0.11,0.1,0.105,7116100,540,1493070
2012-02-14,0.105,0.105,0.1,0.1,2658500,133,535257
2012-02-15,0.105,0.105,0.1,0.1,2592300,153,521116
2012-02-16,0.1,0.105,0.095,0.1,3092700,140,616860
2012-02-17,0.1,0.1,0.095,0.095,2765800,90,526915
2012-02-22,0.1,0.1,0.09,0.095,1519200,99,288819
2012-02-23,0.095,0.1,0.095,0.095,301900,32,57608
2012-02-24,0.1,0.1,0.095,0.095,380900,32,72629
