Date,Open,High,Low,Close,Volume,Neg,Fin
2014-10-06,15.69991,16.78267,14.79762,15.15853,16880900,14389,73317140
2014-10-07,15.19463,15.55554,14.8698,15.15853,6486900,7849,27126287
2014-10-08,15.44727,16.24129,14.4367,14.97808,3371500,10236,14265023
2014-10-09,15.26681,15.69991,14.29233,14.68934,4457000,8345,18090515
2014-10-10,14.4367,14.4367,13.02912,13.24567,8755900,14156,33283705
2014-10-13,13.5705,13.89532,12.63211,13.28176,6139000,14266,22869860
2014-10-14,13.02912,13.93142,12.99303,13.17349,8971200,6530,33506891
2014-10-15,12.99303,13.24567,12.63211,12.84866,1693100,5552,6038181
2014-10-16,12.63211,13.28176,12.30729,12.99303,2556500,4299,8927530
2014-10-17,13.02912,13.89532,12.95694,13.89532,1175800,2715,4362474
2014-10-20,13.42613,13.75096,12.99303,13.17349,1798400,3452,6663890
2014-10-21,12.92085,12.99303,12.16292,12.34338,4105700,6016,14188677
2014-10-22,12.37947,12.74039,11.51327,12.09073,2478700,3491,8332283
2014-10-23,11.98246,11.98246,11.22453,11.54936,4056700,7497,13007733
2014-10-24,11.33281,12.81257,11.08017,12.81257,3265800,8364,10853486
2014-10-27,11.26063,12.99303,11.22453,12.88475,1215400,6809,4045298
2014-10-28,13.10131,14.03969,12.84866,14.03969,1867900,2136,6921822
2014-10-29,13.89532,14.79762,13.53441,14.22015,2048700,7473,8131290
2014-10-30,14.58107,14.58107,13.64268,13.89532,1235600,2369,4771699
2014-10-31,13.89532,14.97808,13.5705,14.97808,1003200,3931,4022501
2014-11-03,14.97808,14.97808,14.0036,14.18406,871200,1466,3417162
2014-11-04,14.03969,14.36452,13.89532,14.25624,1189700,2911,4656595
2014-11-05,14.07578,14.68934,13.82314,14.25624,2809400,4303,11059257
2014-11-06,14.0036,14.54498,13.31786,13.5705,2879200,5900,11027903
2014-11-07,13.46222,13.71487,12.92085,13.71487,1532300,4198,5601958
2014-11-10,13.71487,14.03969,13.5705,13.96751,1207600,4078,4613004
2014-11-11,13.75096,14.03969,13.60659,13.71487,473600,1403,1795207
2014-11-12,13.64268,14.0036,13.60659,13.89532,494900,1429,1893289
2014-11-13,13.75096,14.03969,13.5705,13.5705,878400,2098,3349014
2014-11-14,13.42613,13.64268,13.02912,13.35395,1340000,2595,4921052
2014-11-17,13.39004,13.42613,12.92085,12.95694,913900,1172,3602278
2014-11-18,12.95694,13.06521,12.7043,12.99303,647600,2042,2321068
2014-11-19,13.06521,13.46222,12.88475,13.17349,1559900,2455,5648073
2014-11-21,13.35395,13.89532,12.92085,13.60659,2764600,5247,10166879
2014-11-24,13.75096,13.89532,12.84866,12.84866,1618500,2932,5931866
2014-11-25,12.88475,13.17349,12.45165,12.45165,2583600,3949,9088632
2014-11-26,12.55993,12.7043,11.83809,12.01855,3091900,3623,10544290
2014-11-27,12.09073,12.55993,12.09073,12.30729,1509700,2367,5183726
2014-11-28,12.2351,12.63211,12.19901,12.52384,727000,1098,2513714
2014-12-01,12.37947,12.41556,11.76591,11.91028,805800,2890,2679230
2014-12-02,11.91028,11.91028,11.11626,11.40499,1221700,1977,3860696
2014-12-03,11.47718,11.47718,10.86362,11.11626,3454200,5240,10603681
2014-12-04,11.18844,11.18844,10.68316,10.68316,1430000,3556,4303908
2014-12-05,10.64707,10.89971,10.28615,10.5027,1582100,4031,4600855
2014-12-08,10.64707,10.64707,9.60041,9.74477,2702800,3469,7442654
2014-12-09,9.49213,10.25006,9.41995,9.74477,1507100,3459,4076234
2014-12-10,9.74477,10.0696,9.60041,9.92523,3979200,2880,10901064
2014-12-11,9.92523,10.25006,9.60041,10.25006,770500,2528,2138136
2014-12-12,9.96132,10.35833,9.92523,10.28615,2138900,2934,5986824
2014-12-15,10.28615,10.28615,9.85305,9.99742,1358100,4678,3870193
2014-12-16,9.81696,10.28615,9.67259,10.25006,1922700,3154,5309651
2014-12-17,10.32224,10.39442,9.96132,10.28615,2828000,6797,8009497
2014-12-18,10.21396,10.35833,9.81696,10.28615,799100,2925,2237225
2014-12-19,10.0696,10.21396,9.67259,9.92523,6127900,3768,16769877
2014-12-22,9.88914,10.25006,9.88914,10.25006,431600,1112,1213035
2014-12-23,10.10569,10.28615,9.99742,10.25006,441900,1320,1241300
2014-12-26,10.14178,10.21396,9.96132,10.10569,304800,1151,853159
2014-12-29,10.03351,10.35833,9.85305,10.28615,908700,2137,2568135
2014-12-30,10.35833,10.39442,10.03351,10.32224,1070700,1627,3043325
2015-01-02,10.14178,10.75534,9.92523,10.57488,2672600,5047,7774694
2015-01-05,10.39442,10.64707,9.60041,9.74477,1170700,1847,3278782
2015-01-06,9.74477,9.81696,9.23949,9.45604,1188800,2898,3125914
2015-01-07,9.49213,9.92523,9.34776,9.56431,1091300,3000,2919865
2015-01-08,9.52822,9.6365,9.27558,9.56431,962700,1445,2527697
2015-01-09,9.6365,9.74477,9.2034,9.34776,772000,1863,2021318
2015-01-12,9.56431,9.56431,8.95075,8.95075,475300,1257,1189259
2015-01-13,8.98685,9.02294,8.40938,8.58984,1176200,3364,2811138
2015-01-14,8.51765,8.66202,8.01237,8.22892,1945600,6314,4437333
2015-01-15,8.26501,8.58984,8.19283,8.48156,1412500,2302,3277038
2015-01-16,8.55374,8.80639,8.33719,8.62593,555700,1651,1325095
