Date,Open,High,Low,Close,Volume,Neg,Fin
2010-07-13,110.27968,110.27968,104.03049,110.27968,362800,289,5357877
2010-07-14,108.44168,110.13264,107.70648,110.13264,90000,74,1336675
2010-07-15,108.14759,108.8828,108.07407,108.07407,39200,43,579156
2010-07-16,108.66224,108.66224,102.9277,102.9277,26500,41,378179
2010-07-19,101.08971,102.9277,100.86915,102.9277,83400,46,1160359
2010-07-20,102.78065,103.58938,102.78065,103.00121,16400,21,229998
2010-07-21,103.00121,103.51585,102.9277,102.9277,5600,11,78553
2010-07-22,103.58938,105.05977,103.58938,104.47161,8600,11,122110
2010-07-23,102.9277,106.67722,102.9277,106.67722,3900,15,56272
2010-07-26,106.01553,106.53016,103.95697,106.45664,25700,10,371311
2010-07-27,106.60368,106.60368,104.39809,104.39809,500,3,7130
2010-07-28,104.39809,104.76569,104.39809,104.76569,5200,6,73878
2010-07-29,104.83923,105.50089,104.76569,105.50089,4900,9,70192
2010-07-30,103.00121,104.69218,102.9277,104.69218,500,4,7048
2010-08-02,105.13329,105.13329,104.76569,104.76569,5500,7,78453
2010-08-03,105.13329,105.13329,105.13329,105.13329,1800,5,25740
2010-08-04,106.60368,107.63297,104.76569,107.63297,9500,17,138110
2010-08-05,107.55944,108.80928,106.01553,106.67722,19200,14,281403
2010-08-06,109.54447,109.54447,104.76569,104.76569,1300,7,18708
2010-08-09,104.83923,104.83923,104.76569,104.83923,2000,7,28504
2010-08-10,104.76569,104.76569,98.8841,104.25105,5200,16,71962
2010-08-13,99.25171,99.25171,99.25171,99.25171,2800,1,37800
2010-08-16,99.98691,102.70714,99.98691,99.98691,2100,7,28664
2010-08-17,98.8841,99.61932,98.8841,99.47227,1300,8,17554
2010-08-18,99.25171,102.85416,99.03114,102.85416,2200,11,30202
2010-08-20,102.85416,110.57375,102.78065,110.57375,31800,30,463396
2010-08-23,107.33887,107.33887,106.60368,106.60368,1400,3,20360
2010-08-24,108.07407,110.64728,108.07407,110.64728,22900,44,343667
2010-08-25,110.27968,110.42672,107.78,110.42672,8900,8,133405
2010-08-26,110.27968,112.19118,110.27968,112.19118,23800,39,359952
2010-08-27,112.11767,112.11767,111.52952,111.67654,900,3,13697
2010-08-31,110.20615,118.36685,110.20615,118.36685,43300,44,675036
2010-09-01,117.55814,117.63166,109.69152,109.69152,7900,32,122179
2010-09-02,112.11767,113.7351,112.11767,113.7351,1500,9,23079
2010-09-03,110.64728,110.64728,109.17687,109.17687,300,2,4475
2010-09-13,106.60368,108.73576,106.60368,108.73576,800,3,11658
2010-09-14,104.03049,110.20615,104.03049,104.17753,1500,10,21471
2010-09-17,104.17753,104.17753,104.17753,104.17753,600,1,8502
2010-09-20,104.17753,104.17753,103.29529,103.29529,200,2,2822
2010-09-22,103.29529,108.66224,103.29529,108.66224,400,4,5832
2010-09-23,108.80928,108.80928,108.07407,108.07407,800,8,11786
2010-09-24,108.66224,108.66224,105.20682,106.60368,1400,5,20139
2010-09-27,106.60368,106.60368,106.60368,106.60368,200,2,2900
2010-09-28,106.60368,106.60368,105.86849,105.86849,400,2,5770
2010-09-29,106.53016,106.53016,106.53016,106.53016,100,1,1449
2010-09-30,106.60368,107.33887,103.36881,106.60368,9400,9,136893
2010-10-01,106.60368,108.80928,106.45664,108.80928,1100,5,16002
2010-10-04,110.27968,110.27968,109.17687,109.54447,2300,8,34440
2010-10-05,112.11767,112.85287,110.64728,110.64728,13000,15,197996
2010-10-06,113.80862,113.80862,109.54447,109.54447,1400,8,21178
2010-10-07,103.73641,109.54447,103.73641,107.85352,900,3,13170
2010-10-08,108.07407,109.02983,108.07407,108.8828,500,5,7398
2010-10-11,111.75007,111.75007,111.75007,111.75007,9300,3,141360
2010-10-13,112.41175,114.69086,112.41175,114.69086,18000,17,278609
2010-10-14,114.69086,115.42606,113.95567,114.69086,9500,23,148222
2010-10-15,116.82294,117.63166,114.8379,115.72014,45700,23,719813
