Date,Open,High,Low,Close,Volume,Neg,Fin
2020-11-12,20.65,22.38,20.25,20.9,2078600,4125,44088073
2020-11-13,21.0,21.35,20.8,20.8,470000,771,9832056
2020-11-16,21.15,21.25,20.97,21.0,175800,344,3703786
2020-11-17,20.94,20.99,20.65,20.99,256600,319,5377028
2020-11-18,20.99,21.07,20.9,20.9,96600,147,2021766
2020-11-19,21.0,21.04,20.82,20.9,84300,186,1763914
2020-11-20,20.98,21.34,20.9,20.9,50400,171,1061347
2020-11-23,20.96,21.35,20.96,21.02,77700,263,1646964
2020-11-24,21.15,21.5,21.15,21.32,1043300,256,22405467
2020-11-25,21.6,23.24,21.6,23.12,467200,454,10484521
2020-11-26,23.21,23.8,23.21,23.8,71400,281,1694007
2020-11-27,24.0,24.5,23.0,24.0,70500,256,1670953
2020-11-30,24.0,24.2,23.85,23.95,69500,381,1666286
2020-12-01,24.06,24.1,23.96,24.0,91500,390,2195626
2020-12-02,24.0,24.2,24.0,24.05,37600,136,907529
2020-12-03,25.0,26.5,24.04,24.5,477900,840,12063637
2020-12-04,24.76,26.39,24.7,25.24,801800,703,20050129
2020-12-07,25.24,26.69,24.67,26.43,73200,358,1915162
2020-12-08,26.6,27.65,26.6,27.4,123700,389,3392483
2020-12-09,27.56,28.89,27.33,27.92,208300,662,5810351
2020-12-10,28.75,28.89,27.89,28.11,100600,322,2832891
2020-12-11,28.15,30.9,27.57,29.46,105800,479,3081314
2020-12-14,31.95,35.0,31.27,32.0,294200,1647,9451154
2020-12-15,32.93,35.35,32.22,34.34,868700,1611,28718767
2020-12-16,34.98,35.84,33.4,34.0,368700,1782,12663358
2020-12-17,34.98,35.0,32.92,33.4,252700,1228,8484831
2020-12-18,34.8,34.8,32.96,34.05,346800,1436,11897174
2020-12-21,33.15,34.68,30.3,33.48,250800,1234,8380523
2020-12-22,34.55,34.82,33.91,34.5,163900,749,5646569
2020-12-23,34.53,37.23,34.52,36.0,442200,2154,15807418
2020-12-28,37.0,38.14,37.0,37.67,442100,1989,16670695
2020-12-29,38.0,38.56,37.4,37.55,329900,1317,12462147
2020-12-30,37.53,38.1,37.0,37.2,181500,920,6798612
2021-01-04,38.0,38.1,36.39,36.41,324700,1272,12058264
2021-01-05,36.88,37.79,36.0,37.59,321000,1840,11915826
2021-01-06,37.59,38.06,36.82,37.14,393100,2529,14599453
2021-01-07,37.14,37.63,36.29,36.5,1172200,1936,42919012
2021-01-08,36.58,37.2,35.51,35.51,359300,1924,12919580
2021-01-11,35.25,35.25,33.5,33.5,440400,2205,15027720
2021-01-12,34.49,35.0,33.99,34.03,317900,1768,10972335
2021-01-13,34.25,35.62,34.25,34.8,202100,1041,7062247
2021-01-14,34.92,36.0,34.85,36.0,248500,1215,8863370
2021-01-15,36.01,36.46,34.5,35.31,313000,1238,11057669
2021-01-18,35.49,35.9,34.62,35.42,115100,701,4071461
2021-01-19,36.55,37.35,35.6,35.6,712300,2840,25794455
2021-01-20,36.0,36.71,35.02,35.5,351600,1515,12581148
2021-01-21,35.5,35.66,34.73,35.0,188200,847,6607681
2021-01-22,34.53,34.8,33.85,34.28,215600,805,7399296
2021-01-26,34.99,35.36,31.93,32.29,657900,2567,22064276
2021-01-27,32.05,33.01,30.56,32.69,751400,2866,23689018
2021-01-28,32.31,34.21,32.31,33.5,160800,739,5363759
2021-01-29,33.31,34.31,32.0,32.5,178000,987,5834051
2021-02-01,34.0,34.45,32.94,33.06,597300,2784,20169911
2021-02-02,35.0,35.01,33.26,33.95,569700,2781,19520954
2021-02-03,33.97,34.8,33.5,34.26,425500,2151,14534328
2021-02-04,34.4,35.49,33.75,34.0,456700,2239,15785758
2021-02-05,34.0,34.73,33.84,34.57,539200,1488,18394357
2021-02-08,34.57,36.0,34.57,36.0,443400,1842,15812040
2021-02-09,36.41,37.45,35.2,35.69,486700,2359,17724718
2021-02-10,35.82,36.76,35.61,36.24,182200,977,6584979
2021-02-11,36.24,36.73,35.15,35.18,125500,706,4493103
2021-02-12,35.03,35.92,33.99,35.79,213500,1322,7507406
2021-02-17,35.93,37.7,35.93,37.7,432500,2048,16025209
2021-02-18,37.84,38.89,37.15,38.5,647300,2414,24777925
2021-02-19,38.9,39.0,37.3,37.87,274100,1440,10466395
2021-02-22,36.9,39.41,35.95,39.2,580700,2336,22002286
2021-02-23,39.2,39.86,37.7,38.37,371300,1680,14386234
2021-02-24,38.41,41.0,38.06,39.46,579400,2803,22894050
2021-02-25,39.7,40.48,37.81,38.02,392600,2059,15413378
2021-02-26,38.01,38.71,35.11,35.97,401200,2209,14711880
2021-03-01,37.29,40.88,36.71,38.91,2112300,7824,82641475
2021-03-02,38.91,41.88,38.53,41.59,1039800,4461,42008744
2021-03-03,41.4,44.37,39.6,40.6,1525200,6610,63745732
2021-03-04,41.2,42.99,40.9,41.51,483700,2547,20357456
2021-03-05,42.22,44.37,42.22,44.3,700400,3041,30439196
2021-03-08,45.31,46.4,42.35,43.6,990900,4409,44287740
2021-03-09,44.0,45.26,41.5,45.26,551400,2792,24308895
2021-03-10,45.6,46.7,45.13,46.5,416300,1998,19202245
2021-03-11,46.6,49.0,46.6,49.0,666000,2763,31938539
2021-03-12,49.05,50.99,47.01,47.5,934000,4038,45477749
2021-03-15,47.5,48.6,46.0,46.32,345700,1913,16332808
2021-03-16,46.3,47.01,44.48,44.48,549100,3450,24901387
2021-03-17,44.2,45.84,42.92,45.69,627400,2947,27877273
2021-03-18,45.79,46.84,42.21,42.54,560300,2875,24918059
2021-03-19,43.13,45.95,43.13,44.0,625500,2724,27633908
2021-03-22,43.98,44.57,42.8,42.8,248300,1499,10799989
2021-03-23,42.5,42.6,40.95,40.95,325400,1761,13598644
2021-03-24,41.61,42.35,40.41,41.2,448400,2116,18540474
2021-03-25,40.71,41.98,40.1,40.6,408500,1687,16755934
2021-03-26,41.57,42.6,39.08,39.4,822000,3915,33226183
2021-03-29,39.43,40.49,38.41,38.85,572000,3271,22632884
2021-03-30,38.86,40.6,37.75,39.3,926200,4812,36564892
2021-03-31,39.0,39.6,37.7,38.2,2760600,11277,105472771
2021-04-01,38.51,38.72,37.18,37.87,1816800,10240,68828986
2021-04-05,38.51,38.51,36.51,37.12,1068400,6522,39914103
2021-04-06,37.3,38.83,36.74,38.4,1603900,8696,60919642
2021-04-07,38.87,40.34,38.17,39.85,1944300,9239,76317555
2021-04-08,40.31,41.0,39.1,40.37,1489700,7510,59969640
2021-04-09,40.23,40.54,38.55,39.82,1060500,4760,41813206
2021-04-12,39.91,40.35,39.57,40.07,707100,3344,28251304
2021-04-13,40.29,40.29,39.77,39.96,956100,3869,38233984
2021-04-14,40.07,42.88,40.07,41.7,1783300,7958,74105080
2021-04-15,42.3,43.19,41.1,42.0,1276200,7186,53923235
2021-04-16,42.2,42.9,41.2,41.6,918200,4458,38320567
2021-04-19,42.01,43.94,41.83,43.0,1754500,7989,75790288
2021-04-20,43.0,44.89,43.0,43.65,1912900,9472,84222627
2021-04-22,44.3,44.5,42.7,44.08,1150600,5543,50646025
2021-04-23,44.55,46.1,44.09,45.87,1858700,8240,84183923
2021-04-26,45.87,47.15,45.05,45.15,1233900,6410,56376140
2021-04-27,45.15,46.1,44.78,45.5,1121500,7182,51028817
2021-04-28,45.64,46.46,42.57,45.8,1769700,8967,79743491
2021-04-29,46.16,47.42,45.11,45.73,1171800,6684,54075317
2021-04-30,45.73,46.29,43.15,43.67,3825400,13221,167675305
2021-05-03,43.69,43.84,41.7,42.0,1468800,7234,61883935
2021-05-04,42.26,42.7,40.56,41.0,1448700,7185,59856962
2021-05-05,41.5,42.28,40.65,41.35,3572400,10528,147577037
