Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,348.37073,355.15717,342.26294,355.15717,2469800,4395,38087417
2010-01-05,354.47852,355.15717,343.84647,348.14456,3079300,5181,47588221
2010-01-06,349.50183,360.13391,346.10858,352.89505,2468000,4253,38758943
2010-01-07,349.50183,359.00287,344.97754,346.10858,2430000,5057,37926563
2010-01-08,348.37073,351.08533,339.5484,342.71539,1291800,2723,19623431
2010-01-11,346.10858,348.37073,332.53571,332.53571,2578900,4071,38552830
2010-01-12,331.17844,337.28622,327.10657,337.28622,2985500,5567,43853804
2010-01-13,341.1319,341.1319,332.98816,337.06,1995600,3291,29681815
2010-01-14,334.79791,338.64355,328.23764,329.82117,2081600,2523,30501687
2010-01-15,329.14252,331.63086,321.22498,328.91626,1396800,3675,20165835
2010-01-18,328.91626,334.79791,326.88034,330.27356,964900,1012,14126612
2010-01-19,327.33276,331.85706,324.39203,325.74924,2055600,5648,29732275
2010-01-20,322.12985,323.48718,306.52103,311.72397,5139600,5906,71112030
2010-01-21,313.3075,315.11722,296.11514,296.11514,2383200,3792,31749865
2010-01-22,291.81705,304.71133,287.51898,302.44916,2857800,3861,37683457
2010-01-26,296.34137,304.25888,291.81705,301.54428,2077100,3404,27296277
2010-01-27,297.92487,306.52103,295.88895,305.38995,2465200,2979,33079269
2010-01-28,307.6521,312.17636,294.30542,295.2103,2947300,3258,39288534
2010-01-29,298.60352,303.80646,296.11514,296.34137,2869600,5729,37980160
2010-02-01,298.60352,309.91425,293.853,305.38995,2515700,3161,33444587
2010-02-02,311.49774,329.82117,308.10452,329.14252,4371200,6263,62192118
2010-02-03,329.36874,329.82117,317.83176,328.01141,1801300,2537,25852055
2010-02-04,320.54633,324.39203,301.77051,302.90158,2582800,3967,35627628
2010-02-05,298.15106,303.12781,285.25684,303.12781,4162500,7308,54211489
2010-02-08,309.00937,316.70071,300.18704,305.38995,2232300,4217,30565930
2010-02-09,313.53366,321.22498,309.91425,319.86771,1605100,2627,22386027
2010-02-10,319.86771,325.29688,312.40262,315.56958,1454800,1931,20572156
2010-02-11,316.47446,321.45123,312.40262,318.51041,1560300,3298,21921941
2010-02-12,314.21234,316.70071,306.97345,308.33072,1248000,2458,17177932
2010-02-17,316.24823,326.42792,314.43854,322.35608,2365200,4508,33656382
2010-02-18,320.99872,329.36874,320.32013,329.36874,1521900,2986,21921734
2010-02-19,326.42792,327.10657,321.6774,326.42792,2734700,3449,39251243
2010-02-22,327.55896,333.89307,325.74924,329.14252,1740000,3410,25394378
2010-02-23,325.07065,325.74924,315.56958,316.92688,1914500,2821,27124563
2010-02-24,317.15314,322.12985,309.2356,316.70071,862700,1348,12067856
2010-02-25,305.38995,313.98611,303.12781,311.04529,2177400,3439,29681108
2010-02-26,312.17636,319.41528,305.61618,319.41528,1619200,2052,22433441
2010-03-01,322.35608,327.55896,320.09393,323.48718,1379300,3010,19820426
2010-03-02,325.74924,328.91626,323.48718,325.74924,1033200,1929,14892717
2010-03-03,325.97549,329.36874,318.73663,319.86771,1551900,2370,22154917
2010-03-04,321.6774,323.71335,309.2356,316.70071,861000,1945,12059353
2010-03-05,320.99872,325.74924,314.43854,316.70071,1691400,2680,23989465
2010-03-08,317.37933,319.18906,309.46182,310.5929,994300,1656,13731117
2010-03-09,311.04529,320.99872,307.6521,317.83176,1695500,3082,23721661
2010-03-10,317.60556,327.10657,316.02203,326.42792,2432600,3304,34722719
2010-03-11,323.48718,332.08328,322.12985,328.01141,2465900,2970,35744276
2010-03-12,331.85706,331.85706,321.45123,321.90366,1632100,2297,23553885
2010-03-15,318.73663,324.84442,309.91425,311.04529,1001700,1285,13971393
2010-03-16,317.83176,320.77255,313.75989,316.70071,1112800,1832,15565923
2010-03-17,319.18906,320.77255,313.53366,315.56958,1522000,1577,21363904
2010-03-18,315.56958,323.93954,312.62881,322.35608,1360400,2233,19258370
2010-03-19,323.48718,325.52307,314.43854,320.54633,1203400,2731,17021694
2010-03-22,316.02203,321.45123,313.53366,321.22498,1126700,1784,15884676
2010-03-23,325.07065,325.07065,309.2356,310.5929,3209400,2839,44572277
2010-03-24,309.91425,313.3075,298.82971,301.31808,5010100,3940,67398368
2010-03-25,305.38995,306.52103,299.28217,302.90158,2407600,3238,32186770
2010-03-26,304.25888,307.4259,291.13843,292.04327,2485100,3168,32427477
2010-03-29,295.88895,295.88895,285.48306,289.5549,2081600,2918,26753371
2010-03-30,294.07922,296.11514,280.50635,280.73254,4078500,8498,51767932
2010-03-31,282.08981,282.31601,274.62473,280.28012,3574000,5409,43891369
2010-04-01,284.12573,293.40054,283.89957,293.40054,2487700,3022,31861022
2010-04-05,294.75784,299.28217,294.07922,297.24622,1582600,2266,20804505
2010-04-06,294.07922,297.47241,288.42383,294.53168,1508400,1706,19647980
2010-04-07,292.94812,293.853,283.89957,285.70926,2924200,3056,37195281
2010-04-08,282.76846,295.66272,280.95877,295.2103,3132300,6489,40265883
2010-04-09,296.34137,296.79376,289.5549,292.94812,1733300,2639,22371760
2010-04-12,291.13843,294.98407,287.29276,289.5549,1282800,1927,16478255
2010-04-13,292.2695,293.40054,287.29276,291.36462,1818100,1957,23347233
2010-04-14,293.62677,293.62677,285.48306,288.87628,2214600,5704,28294170
2010-04-15,288.42383,292.72189,286.16168,289.78116,1576700,2016,20188314
2010-04-16,288.19763,288.19763,277.1131,281.41116,2122600,3800,26472682
2010-04-19,279.60147,282.54224,273.49368,282.08981,2240800,3471,27623661
2010-04-20,286.16168,289.5549,285.03064,287.74521,5108200,3613,65073400
2010-04-22,283.89957,292.49573,282.08981,291.81705,4187700,5213,52746719
2010-04-23,291.13843,293.17438,286.84033,290.23358,2387900,5055,30655480
2010-04-26,292.2695,292.49573,287.74521,287.97141,1073600,3135,13780959
2010-04-27,285.25684,290.45978,277.33932,280.73254,1536400,2305,19218244
2010-04-28,283.67334,284.80441,273.49368,279.60147,1051700,1868,13009685
2010-04-29,281.185,289.10248,278.2442,284.80441,1602500,2739,20129009
2010-04-30,282.31601,297.47241,280.95877,290.686,3490700,2816,44551015
2010-05-03,295.26257,304.22385,290.89682,301.46655,2785700,5100,36267668
2010-05-04,297.56033,307.90027,295.03278,298.93896,4219600,5381,55110062
2010-05-05,296.41144,305.83228,291.12659,305.83228,3323300,4642,43211505
2010-05-06,301.46655,308.3598,264.24277,280.32712,3403400,5274,43121406
2010-05-07,284.92261,287.90973,270.90628,279.86755,3819800,4994,46558016
2010-05-10,296.41144,307.6705,289.05859,307.6705,2059200,5245,26785721
2010-05-11,302.38562,313.64468,298.0199,303.30472,2013100,3125,26905386
