Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,13.2154,13.79495,13.2154,13.54191,500,4,8208
2010-01-05,13.54191,13.54191,13.22356,13.22356,91200,3,1512384
2010-01-06,12.99117,13.25579,12.99117,13.23926,4200,11,66468
2010-01-07,13.23099,13.39638,13.23099,13.23926,3500,5,56028
2010-01-08,13.23099,14.04138,13.23099,14.04138,5400,6,88386
2010-01-11,13.88427,13.88427,13.33849,13.33849,1800,5,29262
2010-01-12,13.33849,13.39638,13.33849,13.39638,24100,2,388768
2010-01-13,13.43772,13.43772,13.43772,13.43772,1300,2,21125
2010-01-14,13.43772,13.43772,13.43772,13.43772,200,1,3250
2010-01-15,13.57003,13.57003,13.57003,13.57003,1600,4,26256
2010-01-18,13.33022,13.33022,13.07387,13.07387,19200,18,307035
2010-01-19,13.3881,13.47906,13.19791,13.19791,400,3,6464
2010-01-20,13.22272,13.29714,13.14829,13.29714,13300,10,211786
2010-01-21,13.23099,13.27233,13.18964,13.27233,4200,5,67215
2010-01-22,13.47906,13.47906,13.47906,13.47906,500,2,8150
2010-01-26,13.14829,13.14829,13.14829,13.14829,1100,2,17490
2010-01-27,13.14829,13.55349,13.14829,13.55349,300,2,4819
2010-01-28,13.11522,13.47906,13.11522,13.47906,700,4,11146
2010-01-29,13.36329,13.37983,13.35503,13.35503,2200,8,35561
2010-02-01,13.47906,13.57003,13.47906,13.57003,300,2,4901
2010-02-02,13.60311,13.60311,13.56176,13.56176,200,2,3285
2010-02-03,13.56176,13.56176,13.23099,13.55349,2500,7,40198
2010-02-04,13.23099,13.23099,13.08214,13.08214,600,4,9528
2010-02-05,13.08214,13.08214,12.73482,12.73482,56400,22,878712
2010-02-08,12.82579,12.82579,12.73482,12.81752,11100,4,172032
2010-02-10,13.31368,13.33022,13.31368,13.33022,200,2,3222
2010-02-11,12.99944,12.99944,12.99944,12.99944,500,2,7860
2010-02-17,13.37983,13.37983,13.37983,13.37983,100,1,1618
2010-02-18,13.23099,13.23099,13.23099,13.23099,900100,2,14401600
2010-02-19,13.23099,13.30541,13.14829,13.30541,176600,9,2825569
2010-02-22,13.14829,13.60311,13.14829,13.60311,3500,8,55934
2010-02-23,13.60311,13.60311,13.47906,13.47906,700,2,11425
2010-02-25,13.09868,14.04965,13.09868,14.04965,6200,17,102508
2010-03-01,14.01658,14.01658,14.0083,14.01658,2100,3,35594
2010-03-05,13.33022,13.93388,13.33022,13.39638,9200,17,152390
2010-03-08,13.36329,13.85119,13.35503,13.85119,1700,4,27816
2010-03-09,13.47906,13.56176,13.25579,13.25579,3700,8,60078
2010-03-11,13.2806,13.2806,13.2806,13.2806,100,1,1606
2010-03-12,13.28887,13.28887,13.28887,13.28887,200,1,3214
2010-03-15,13.94215,13.94215,13.94215,13.94215,100,1,1686
2010-03-16,13.63618,13.63618,13.63618,13.63618,100,1,1649
2010-03-17,13.28887,13.56176,13.14829,13.14829,3200,9,51266
2010-03-18,13.61965,13.63618,13.61965,13.63618,300,3,4944
2010-03-23,13.23099,13.23099,13.23099,13.23099,300,1,4800
2010-03-24,13.62791,13.97523,13.62791,13.97523,300,2,4986
2010-03-25,13.28887,13.28887,13.28887,13.28887,1200,2,19284
2010-03-26,13.23926,14.05792,13.23099,13.31368,5400,13,89492
2010-03-29,14.0083,14.0083,13.84292,13.84292,800,5,13472
2010-03-31,13.4956,13.80157,13.39638,13.78503,4300,8,71570
2010-04-01,13.64445,14.03311,13.64445,14.02485,7600,6,127717
2010-04-05,13.80984,14.05792,13.80984,14.05792,10100,11,170643
2010-04-06,14.05792,14.05792,13.64445,14.04138,7000,11,118105
2010-04-07,13.97523,14.05792,13.97523,14.04965,60600,6,1024179
2010-04-08,14.01658,14.47139,14.01658,14.47139,9800,15,167482
2010-04-09,14.14062,14.14062,14.14062,14.14062,3300,3,56430
2010-04-12,14.38869,14.61197,14.38869,14.61197,500,3,8727
2010-04-14,14.1985,14.22331,14.05792,14.14062,8400,10,143689
2010-04-15,14.47139,14.86005,14.47139,14.86005,2100,10,37651
2010-04-16,14.86005,14.87659,14.86005,14.87659,25000,3,449740
2010-04-20,14.47139,14.47139,14.46312,14.46312,1200,3,20990
2010-04-22,14.46312,14.51274,14.46312,14.51274,6200,3,108588
2010-04-23,14.55408,14.55408,14.55408,14.55408,900,1,15840
2010-04-26,14.55408,14.86832,14.55408,14.86832,3200,8,56600
2010-04-29,14.86005,14.86005,14.86005,14.86005,300,1,5391
2010-04-30,15.02544,15.02544,15.02544,15.02544,1100,6,19987
2010-05-05,14.15252,14.15252,13.8946,13.8946,4800,9,81173
2010-05-06,13.9362,13.9362,13.8946,13.8946,2200,4,36840
2010-05-07,13.86964,14.1442,13.54515,13.54515,134900,5,2248777
2010-05-10,14.1442,14.56021,14.061,14.061,2700,9,45890
2010-05-11,14.93462,14.93462,14.93462,14.93462,100,1,1795
2010-05-14,14.061,14.061,13.7282,13.7282,24800,14,413906
2010-05-17,13.7282,13.7282,13.7282,13.7282,2800,2,46200
2010-05-18,12.86528,13.67738,12.86528,13.67738,6200,5,99010
2010-05-19,12.42931,13.67738,12.42931,13.67738,300,3,4624
2010-05-20,12.90802,13.84834,12.88238,13.84834,5600,12,90137
2010-05-21,14.10479,15.03656,14.10479,14.10479,600,5,10009
2010-05-24,13.72012,13.72867,13.59189,13.59189,16900,11,269356
2010-05-25,13.20722,13.97657,13.03625,13.46367,21800,32,335615
2010-05-26,13.30979,13.30979,12.18141,12.18141,141900,165,2123116
