Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-05,15.98186,15.98186,15.98186,15.98186,1600,1,36560
2010-01-06,15.61117,16.08678,15.61117,16.08678,2600,4,59256
2010-01-07,15.76504,16.08678,15.38735,15.38735,5500,3,123476
2010-01-08,16.08678,16.44349,15.38735,15.39435,13000,24,291526
2010-01-11,16.08678,16.08678,15.86996,16.08678,94900,33,2181931
2010-01-12,15.94689,15.94689,15.94689,15.94689,100,1,2280
2010-01-14,15.73707,15.94689,15.73707,15.94689,5600,2,127080
2010-01-15,16.08678,16.08678,16.08678,16.08678,2300,4,52900
2010-01-18,15.73707,16.08678,15.73707,16.08678,5100,4,115049
2010-01-20,16.08678,16.08678,15.38735,15.52724,126700,6,2819320
2010-01-21,15.4503,16.08678,15.38735,16.08678,26200,14,576527
2010-01-22,15.73707,16.08678,15.38735,16.08678,140200,9,3088100
2010-01-26,16.07978,16.08678,16.07978,16.08678,14000,3,321885
2010-01-27,16.08678,16.08678,16.08678,16.08678,21300,6,489900
2010-01-28,16.08678,16.08678,16.08678,16.08678,32700,1,752100
2010-02-02,16.03082,16.08678,16.03082,16.08678,3300,2,75868
2010-02-05,15.03764,16.08678,15.03764,16.08678,5900,8,133297
2010-02-08,15.31741,15.73707,15.31741,15.73707,4500,12,100138
2010-02-10,15.89793,16.08678,15.89793,16.08678,1900,3,43626
2010-02-11,16.08678,16.08678,16.07978,16.07978,13200,5,303490
2010-02-17,16.07978,16.07978,15.73707,15.73707,83600,3,1881049
2010-02-18,16.07978,16.07978,15.73707,16.07978,55000,6,1239955
2010-02-22,15.91192,15.91192,15.73707,15.73707,313200,12,7047025
2010-02-25,15.91192,16.08678,15.91192,16.08678,6700,6,152613
2010-02-26,15.52724,16.08678,15.52724,16.08678,15100,7,347094
2010-03-01,16.07978,16.07978,16.07978,16.07978,4300,1,98857
2010-03-02,16.01683,16.01683,16.01683,16.01683,2600,2,59540
2010-03-03,16.08678,16.08678,16.08678,16.08678,300,1,6900
2010-03-04,16.01683,16.08678,16.01683,16.08678,2800,2,64160
2010-03-08,16.08678,16.08678,16.08678,16.08678,2800,1,64400
2010-03-09,16.08678,16.26163,16.08678,16.26163,4500,5,104025
2010-03-10,16.43649,16.43649,16.43649,16.43649,100,1,2350
2010-03-15,16.08678,16.22666,15.80701,16.07978,236400,17,5443398
2010-03-16,16.08678,16.43649,16.08678,16.43649,800,4,18650
2010-03-17,16.08678,16.22666,16.08678,16.22666,69200,9,1591769
2010-03-18,16.05181,16.05181,16.05181,16.05181,300,3,6885
2010-03-19,16.00984,16.00984,16.00984,16.00984,300,1,6867
2010-03-22,15.98186,16.08678,15.98186,16.08678,3000,2,68970
2010-03-23,16.07978,16.07978,16.07978,16.07978,400,3,9196
2010-03-24,16.08678,16.08678,16.08678,16.08678,1200,3,27600
2010-03-25,16.08678,16.36655,16.08678,16.36655,400,2,9240
2010-03-26,16.36655,16.36655,16.36655,16.36655,200,1,4680
2010-03-29,16.08678,16.43649,15.73707,16.43649,1500,5,34302
2010-03-30,16.43649,16.43649,16.43649,16.43649,800,2,18800
2010-03-31,16.7862,16.7862,16.7862,16.7862,2100,3,50400
2010-04-01,16.7862,16.7862,16.7862,16.7862,163900,7,3933600
2010-04-05,16.4295,16.77921,16.2966,16.77221,515400,7,12161526
2010-04-06,16.77258,16.77258,16.33269,16.66615,17200,5,406251
2010-04-08,16.66615,16.67325,16.66615,16.67325,2400,4,56398
2010-04-09,16.55264,16.66615,16.3185,16.66615,400,4,9327
2010-04-12,15.78638,16.66615,15.78638,16.48878,1300,8,29673
2010-04-13,16.3185,16.66615,16.31141,16.66615,2900,7,67140
2010-04-14,16.59521,16.59521,16.59521,16.59521,200,1,4678
2010-04-15,16.3256,16.3256,16.3185,16.3185,3400,3,78201
2010-04-16,16.3185,16.3185,16.3185,16.3185,200,1,4600
2010-04-19,16.3185,16.3185,16.3185,16.3185,5100,1,117300
2010-04-20,16.31141,16.31141,16.31141,16.31141,200,1,4598
2010-04-22,16.3185,16.3185,16.3185,16.3185,300,1,6900
2010-04-23,16.3185,16.3185,16.3185,16.3185,200,1,4600
2010-04-26,16.31141,16.31141,16.31141,16.31141,200,1,4598
2010-04-27,16.31141,16.31141,16.31141,16.31141,300,1,6897
2010-04-28,16.1766,16.1766,16.1766,16.1766,200,1,4560
2010-04-29,16.1766,16.31141,16.1766,16.31141,1100,2,25251
2010-04-30,16.31141,16.31141,16.31141,16.31141,300,2,6897
2010-05-03,16.30431,16.30431,16.1766,16.28303,8200,3,188070
2010-05-04,16.24755,16.24755,16.24755,16.24755,200,1,4580
2010-05-05,16.24755,16.24755,16.24755,16.24755,500,2,11450
2010-05-06,15.43163,16.21208,15.43163,16.21208,5500,8,125455
2010-05-10,15.96375,16.14112,15.96375,16.14112,4600,7,103845
2010-05-11,16.24046,16.24046,16.24046,16.24046,900,2,20601
2010-05-12,15.8928,16.14112,15.8928,16.14112,6100,6,138040
