Date,Open,High,Low,Close,Volume,Neg,Fin
2020-10-07,12.18,12.35,11.85,12.2,8363200,10626,101180473
2020-10-08,12.05,12.59,12.0,12.45,1970100,2936,24122679
2020-10-09,12.5,12.51,12.12,12.4,1530100,2498,18868718
2020-10-13,12.41,12.5,12.34,12.39,284500,1305,3535545
2020-10-14,12.36,12.54,12.28,12.4,398800,1165,4952833
2020-10-15,12.28,12.58,12.21,12.4,185500,427,2303120
2020-10-16,12.4,12.8,12.36,12.41,254500,878,3169347
2020-10-19,12.42,12.49,12.31,12.38,484100,865,5987920
2020-10-20,12.4,12.64,12.3,12.3,332000,849,4117364
2020-10-21,12.3,12.42,12.3,12.36,62700,150,777260
2020-10-22,12.37,12.46,12.11,12.3,508500,791,6270308
2020-10-23,12.31,12.45,12.31,12.45,186200,245,2308398
2020-10-26,12.4,12.44,12.3,12.4,515000,568,6386067
2020-10-27,12.32,12.45,12.3,12.45,66900,118,830744
2020-10-28,12.32,12.45,12.25,12.4,1139700,1689,14115606
2020-10-29,12.31,12.63,12.31,12.63,171000,176,2148999
2020-10-30,12.41,13.03,12.39,13.0,421400,862,5359550
2020-11-03,12.99,13.8,12.86,13.35,152100,468,2027860
2020-11-04,13.52,13.8,12.83,13.0,564300,1489,7343147
2020-11-05,13.15,13.63,12.95,13.5,68900,317,927632
2020-11-06,13.6,14.45,13.22,14.45,183200,825,2541459
2020-11-09,14.85,14.85,13.86,14.47,291200,1099,4161878
2020-11-10,14.9,14.9,13.74,14.4,887000,1883,12468334
2020-11-11,15.15,16.35,14.53,15.17,869000,3947,13168714
2020-11-12,15.0,15.69,14.75,15.69,500300,1746,7659862
2020-11-13,16.0,16.3,15.69,16.0,353100,929,5650210
2020-11-16,16.85,16.85,15.63,16.4,1139900,3120,18363899
2020-11-17,16.42,16.55,15.92,16.55,519900,2250,8457273
2020-11-18,16.55,17.09,15.85,16.3,1171800,4437,18907962
2020-11-19,16.2,16.91,16.12,16.91,560700,2108,9196690
2020-11-20,16.88,17.99,16.7,17.0,629100,1904,10669731
2020-11-23,17.19,17.29,16.97,17.11,1096400,1731,18739889
2020-11-24,17.2,17.71,17.04,17.15,629000,1823,10807555
2020-11-25,17.15,17.4,16.93,17.3,426300,1604,7329052
2020-11-26,17.15,18.74,17.15,18.08,492400,1520,8869751
2020-11-27,18.51,20.35,18.38,18.66,404900,1375,7699828
2020-11-30,18.97,20.39,18.97,19.55,710600,2732,13950052
2020-12-01,19.81,20.42,19.14,19.31,453000,1596,8849915
2020-12-02,19.32,19.74,18.52,18.56,427600,1596,8030132
2020-12-03,18.7,18.82,18.13,18.46,439900,1871,8113336
2020-12-04,18.46,18.82,18.3,18.54,229000,1145,4233690
2020-12-07,18.53,19.36,18.31,18.93,255800,1306,4853012
2020-12-08,18.81,19.9,18.81,19.32,418900,2109,8132865
2020-12-09,19.4,19.69,18.72,18.85,318000,1737,6057135
2020-12-10,18.81,19.45,18.67,19.3,187700,1061,3616702
2020-12-11,19.45,20.34,19.4,19.97,869800,2491,17344365
2020-12-14,20.0,21.48,20.0,20.21,702800,3197,14540330
2020-12-15,20.41,20.55,20.01,20.48,392400,1212,7966767
2020-12-16,20.48,20.7,20.41,20.41,160500,755,3291574
2020-12-17,20.47,20.9,19.91,20.2,340600,2130,6891995
2020-12-18,20.03,21.29,20.03,20.95,440600,2492,9144247
2020-12-21,20.68,21.85,20.47,21.31,788500,2259,16555948
2020-12-22,21.31,22.29,21.09,22.29,745000,1937,16374625
2020-12-23,22.57,22.99,21.9,22.26,409000,1547,9103405
2020-12-28,22.46,23.25,22.33,22.99,731100,2606,16631522
2020-12-29,22.99,23.67,22.49,22.49,416000,2180,9550118
2020-12-30,23.0,23.0,22.24,22.79,321500,1391,7260964
2021-01-04,23.0,23.23,22.0,22.0,316300,1517,7049737
2021-01-05,22.05,22.41,21.12,21.99,1002100,2543,21907151
2021-01-06,21.97,23.23,21.75,22.27,1103900,3078,24970403
2021-01-07,22.41,22.8,21.94,22.28,522000,1298,11626237
2021-01-08,22.33,23.12,22.24,22.94,473000,1971,10734033
2021-01-11,22.78,24.32,22.64,24.0,1014700,2990,23866258
2021-01-12,24.3,24.98,24.0,24.1,486800,2179,11880926
2021-01-13,24.85,27.08,24.75,27.07,2739900,6730,71454494
2021-01-14,27.05,29.18,26.72,27.63,1353100,5815,37880429
2021-01-15,27.57,29.99,27.11,28.73,1735500,5806,50168728
2021-01-18,28.8,29.86,28.8,29.19,486600,2816,14210309
2021-01-19,29.42,29.96,27.91,28.65,639400,3137,18298988
2021-01-20,28.77,29.95,28.28,28.86,1097500,4635,31759810
2021-01-21,28.87,29.45,28.2,29.45,833700,4845,23861933
2021-01-22,29.3,29.49,27.46,28.2,1407500,5242,39977911
2021-01-26,28.69,30.87,28.42,29.0,2535200,9090,74524542
2021-01-27,28.76,29.34,26.18,26.93,1288700,5006,35371327
2021-01-28,26.88,28.63,24.8,28.59,1771400,7584,48699675
2021-01-29,29.05,29.26,26.84,27.97,1025900,4811,28592345
2021-02-01,28.36,29.44,28.12,29.02,846800,3001,24399956
2021-02-02,29.15,31.29,28.3,28.97,1372300,6868,40424040
2021-02-03,29.55,29.95,28.71,28.87,1725400,4298,50314554
2021-02-04,29.55,30.7,29.33,30.29,1271200,5424,38109866
2021-02-05,30.41,31.78,29.2,29.65,1755300,5735,52837737
2021-02-08,29.29,30.03,28.5,29.57,695800,3796,20428083
2021-02-09,29.55,30.42,29.3,29.89,1172200,3440,35035986
2021-02-10,29.89,30.29,28.63,29.27,875700,4062,25742965
2021-02-11,29.65,29.65,28.69,28.87,420100,2337,12174663
2021-02-12,28.78,28.8,27.77,28.46,484000,2439,13713193
2021-02-17,28.46,29.27,28.0,28.79,423100,2405,12227092
2021-02-18,28.9,29.79,28.4,29.48,480800,2779,14079310
2021-02-19,29.47,31.31,29.36,31.25,583400,2797,17875832
2021-02-22,30.53,31.3,29.42,30.62,647600,3435,19741993
2021-02-23,31.24,31.95,28.72,29.54,1012300,4458,29987584
2021-02-24,29.54,31.34,29.22,30.45,645000,3020,19684397
2021-02-25,30.75,31.79,29.91,30.94,866000,4257,26721508
2021-02-26,31.25,31.25,28.95,30.13,967300,4944,29074700
2021-03-01,30.14,30.68,29.44,30.38,468500,2543,14042386
2021-03-02,30.19,30.35,28.86,29.65,822200,3678,24234176
2021-03-03,29.75,30.5,29.29,29.55,464200,2257,13869850
2021-03-04,29.92,30.22,29.3,29.51,540300,1957,16043467
2021-03-05,29.88,29.99,28.3,28.84,365200,1743,10583642
2021-03-08,28.5,28.6,27.07,27.43,536400,2828,14997288
2021-03-09,27.45,28.28,26.66,27.39,540700,1876,14804920
2021-03-10,27.41,28.26,26.97,27.4,446300,2361,12286333
2021-03-11,27.55,28.47,27.32,27.58,422100,2023,11687202
