Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.62434,2.67294,2.60004,2.66322,138300,91,751033
2010-01-05,2.69238,2.69238,2.57574,2.57574,103400,66,559178
2010-01-06,2.62434,2.65836,2.57574,2.65836,271900,59,1467021
2010-01-07,2.65836,2.79444,2.62434,2.79444,261900,167,1468238
2010-01-08,2.81388,2.86248,2.67294,2.80902,219300,90,1257836
2010-01-11,2.81874,2.81874,2.72154,2.76042,89100,53,505746
2010-01-12,2.79444,2.79444,2.67294,2.6778,59300,44,330148
2010-01-13,2.6778,2.6778,2.6292,2.67294,61000,45,334064
2010-01-14,2.67294,2.77986,2.67294,2.76042,45800,28,255287
2010-01-15,2.7507,2.81388,2.67294,2.76528,326700,109,1870818
2010-01-18,2.72154,2.77014,2.72154,2.74584,182300,34,1028883
2010-01-19,2.73126,2.76528,2.7021,2.76042,48300,53,272780
2010-01-20,2.7507,2.7507,2.6535,2.66322,53900,71,297945
2010-01-21,2.69724,2.69724,2.57574,2.61948,62700,89,337561
2010-01-22,2.64378,2.71182,2.55144,2.57574,39800,46,211698
2010-01-26,2.57574,2.60004,2.5563,2.59518,85900,37,457994
2010-01-27,2.56602,2.56602,2.52714,2.55144,47600,48,249520
2010-01-28,2.57574,2.57574,2.50284,2.52228,113900,46,592442
2010-01-29,2.52228,2.55144,2.4834,2.49798,298000,43,1561459
2010-02-01,2.49312,2.59032,2.48826,2.5563,17600,20,91347
2010-02-02,2.59032,2.59032,2.52228,2.59032,3900,7,20721
2010-02-03,2.55144,2.57574,2.52714,2.52714,73600,24,386770
2010-02-04,2.61948,2.61948,2.37649,2.44939,153900,91,785911
2010-02-05,2.40565,2.47368,2.33275,2.33275,82800,72,405176
2010-02-08,2.42995,2.46882,2.35705,2.42995,43700,30,218131
2010-02-09,2.50284,2.50284,2.42509,2.47368,15100,23,76123
2010-02-10,2.47854,2.47854,2.42509,2.42509,45400,37,227705
2010-02-11,2.44453,2.44939,2.42023,2.42995,50200,20,251093
2010-02-12,2.43967,2.44453,2.38135,2.42995,39100,31,195603
2010-02-17,2.43481,2.57088,2.43481,2.57088,70700,34,360467
2010-02-18,2.57574,2.57574,2.54172,2.55144,41900,45,220387
2010-02-19,2.55144,2.58546,2.52228,2.56116,98700,57,521147
2010-02-22,2.58546,2.60004,2.52714,2.52714,146500,64,763307
2010-02-23,2.52714,2.52714,2.45911,2.45911,130900,132,667232
2010-02-24,2.54658,2.54658,2.42995,2.42995,54900,51,279093
2010-02-25,2.42023,2.44939,2.33761,2.44939,70200,76,345299
2010-02-26,2.47368,2.47854,2.45424,2.46882,34700,20,176454
2010-03-01,2.47854,2.52714,2.45911,2.45911,14000,11,71724
2010-03-02,2.52228,2.52228,2.47368,2.47368,41800,25,213904
