Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,18.17123,18.40222,17.90174,18.36372,101600,134,478435
2010-01-05,18.40222,18.8257,18.20973,18.28672,170000,244,816780
2010-01-06,18.17123,18.63321,18.17123,18.20973,185000,80,887166
2010-01-07,18.24822,19.78816,18.24822,19.05669,782100,283,3842561
2010-01-08,19.48017,20.36563,19.48017,20.01915,640300,367,3327956
2010-01-11,20.40413,20.40413,19.28768,19.74966,232000,167,1193894
2010-01-12,19.82666,19.82666,19.01819,19.24918,140100,103,706725
2010-01-13,19.24918,20.17314,19.24918,19.63417,218600,114,1115477
2010-01-14,19.94215,19.94215,18.8642,19.05669,228000,164,1136192
2010-01-15,19.05669,19.48017,18.55621,18.8642,180100,86,888334
2010-01-18,19.24918,19.48017,18.67171,18.94119,239400,154,1178542
2010-01-19,19.24918,19.63417,18.71021,19.48017,352200,145,1763528
2010-01-20,19.63417,20.01915,19.24918,19.36468,466300,171,2374555
2010-01-21,19.44168,19.94215,19.09519,19.55717,268900,150,1353513
2010-01-22,19.48017,19.48017,19.09519,19.24918,104500,76,522944
2010-01-26,19.24918,19.44168,18.8642,19.40318,107800,62,538680
2010-01-27,19.17219,19.21068,18.8642,18.9027,63400,47,313191
2010-01-28,18.9027,19.40318,18.9027,18.94119,98700,57,489322
2010-01-29,19.21068,19.55717,19.21068,19.28768,69200,44,347948
2010-02-01,19.24918,19.74966,19.24918,19.74966,54900,37,277353
2010-02-02,19.63417,19.94215,19.55717,19.86516,270800,75,1389566
2010-02-03,19.63417,19.78816,19.59567,19.63417,143000,63,730751
2010-02-04,19.78816,19.82666,18.8642,19.05669,225200,68,1117599
2010-02-05,18.94119,18.94119,18.36372,18.7872,164700,79,802345
2010-02-08,18.7872,18.8642,18.47922,18.67171,36800,25,178255
2010-02-09,19.01819,19.44168,18.8642,19.44168,105700,37,523277
2010-02-10,19.59567,20.21164,19.44168,20.21164,219000,115,1125178
2010-02-11,20.32714,22.02106,20.32714,21.90557,789600,571,4412931
2010-02-12,21.55908,22.21356,20.98161,21.75158,506800,467,2873221
2010-02-17,21.94407,22.21356,21.2511,21.90557,209600,109,1192207
2010-02-18,21.94407,23.63799,21.94407,23.44551,1528700,1097,9217609
2010-02-19,23.561,24.83144,23.09902,23.86899,1363800,960,8508262
2010-02-22,24.06148,24.44646,23.36851,23.67649,350000,185,2163553
2010-02-23,23.86899,24.02298,23.13752,23.484,121500,83,736011
2010-02-24,23.5225,23.86899,23.09902,23.33001,47800,49,289174
2010-02-25,23.40701,23.79199,22.05956,23.484,176300,116,1058422
2010-02-26,23.484,23.75349,23.25301,23.484,99600,103,606158
2010-03-01,23.79199,24.33097,23.40701,24.17698,228900,166,1430076
2010-03-02,24.25397,25.13943,24.06148,24.48496,566300,452,3618089
2010-03-03,24.21547,25.02394,23.79199,24.13847,146200,193,915966
2010-03-04,24.56196,24.56196,23.13752,23.484,253100,153,1566998
2010-03-05,23.94598,23.94598,22.90653,23.06052,244200,120,1477856
2010-03-08,23.484,23.484,22.52154,22.86803,156400,223,927428
2010-03-09,22.86803,23.71499,22.71404,23.09902,79900,60,477589
2010-03-10,22.90653,23.25301,22.82953,23.25301,88800,60,531659
2010-03-11,22.82953,23.25301,22.71404,23.09902,27600,25,163669
2010-03-12,22.82953,23.09902,22.05956,22.29055,453000,97,2627435
2010-03-15,22.71404,22.71404,21.59758,22.17506,389500,101,2229175
2010-03-16,22.17506,23.06052,21.67458,22.67554,38600,36,224563
2010-03-17,22.63704,22.79103,22.40605,22.79103,161700,23,946816
2010-03-18,23.06052,23.17602,22.40605,22.40605,58400,55,347315
2010-03-19,22.40605,23.29151,22.32905,23.29151,56900,43,337587
2010-03-22,22.90653,23.44551,22.52154,22.52154,41700,26,248203
2010-03-23,22.79103,23.09902,22.48305,22.52154,26400,34,155726
2010-03-24,22.56004,22.71404,22.32905,22.32905,30600,27,178743
2010-03-25,22.32905,22.52154,21.55908,21.55908,102400,60,581062
2010-03-26,21.36659,21.94407,20.21164,21.52059,146200,142,806854
