Date,Open,High,Low,Close,Volume,Neg,Fin
2011-04-13,14.80702,14.94627,14.76061,14.85344,3930500,1009,62814860
2011-04-14,14.85344,14.89057,14.59351,14.79774,542000,222,8627941
2011-04-15,14.66777,14.80702,14.57494,14.71419,529300,114,8373520
2011-04-18,14.58422,14.78846,14.38927,14.38927,494800,449,7764872
2011-04-19,14.66777,14.81631,14.49139,14.57494,223100,197,3521071
2011-04-20,14.63064,14.63992,14.43569,14.57494,41200,39,646682
2011-04-25,14.56565,14.57494,14.25002,14.25002,313500,85,4856280
2011-04-26,14.50995,14.50995,14.19432,14.19432,156200,43,2402834
2011-04-27,13.9251,13.9251,13.47021,13.61875,440600,85,6499840
2011-04-28,13.91582,13.91582,13.60018,13.83227,127300,55,1877174
2011-04-29,13.9251,13.9251,13.90653,13.9251,187200,58,2807989
2011-05-02,13.94367,14.15719,13.73943,13.73943,88400,95,1315903
2011-05-03,13.60018,13.94367,13.60018,13.94367,559200,484,8374793
2011-05-04,13.73943,13.95295,13.69302,13.69302,27100,70,402617
2011-05-05,13.9251,13.9251,13.71158,13.71158,4700,8,70380
2011-05-06,13.69302,14.15719,13.69302,13.9251,127500,80,1902233
2011-05-09,14.15719,14.15719,13.89725,13.91582,117800,15,1767146
2011-05-10,13.9251,14.19432,13.90653,14.19432,329900,39,4948441
2011-05-11,13.93438,14.06435,13.9251,14.06435,11400,27,171481
2011-05-12,13.9251,14.10148,13.9251,13.93438,5200,9,78065
2011-05-13,13.93438,14.06435,13.9251,13.9251,10200,24,153157
2011-05-16,13.9251,14.06435,13.9251,14.06435,47700,17,715545
2011-05-17,14.11077,14.11077,13.9251,14.10148,6500,12,98091
2011-05-18,14.08292,14.08292,14.08292,14.08292,200,2,3034
2011-05-19,13.9251,14.01793,13.9251,14.01793,48600,14,733330
2011-05-20,13.9251,13.9251,13.9251,13.9251,193300,13,2899500
2011-05-23,13.56305,13.56305,13.46093,13.50735,102200,71,1487173
2011-05-24,13.90653,13.90653,13.51663,13.69302,116800,25,1729264
2011-05-25,13.69302,13.69302,13.3681,13.3681,41000,33,600358
2011-05-26,13.3681,13.41451,13.27526,13.3681,100600,137,1443504
2011-05-27,13.3681,13.46093,13.32168,13.46093,74400,37,1074193
2011-05-30,13.41451,13.41451,13.27526,13.28455,2300,7,33012
2011-05-31,13.46093,13.9251,13.46093,13.9251,63400,50,934010
2011-06-01,13.9251,13.97152,13.83227,13.9251,166300,65,2491648
2011-06-02,13.6466,13.90653,13.19171,13.3681,36700,65,532415
2011-06-03,13.758,13.82298,13.60018,13.73943,9000,28,133024
2011-06-06,13.3681,13.78585,13.3681,13.55377,59300,19,865799
2011-06-07,13.41451,13.55377,12.99676,13.52591,7200,18,103647
2011-06-08,13.46093,13.46093,13.27526,13.27526,700,4,10049
2011-06-09,13.26598,13.27526,12.43976,12.81109,165800,163,2349225
2011-06-10,13.23813,13.23813,12.40262,12.85751,52400,80,725322
2011-06-13,12.99676,13.18243,12.81109,12.99676,58200,58,818451
2011-06-14,12.85751,13.22885,12.85751,13.22885,19500,54,273481
2011-06-15,12.99676,13.00604,12.99676,13.00604,60700,30,849821
2011-06-16,12.99676,13.26598,12.61614,12.82037,380600,45,5301928
2011-06-17,12.76467,12.94106,12.08699,12.81109,179300,56,2473837
2011-06-20,12.43976,12.90392,12.43976,12.63471,72700,35,1002286
2011-06-21,12.81109,12.99676,12.81109,12.99676,258000,23,3580710
2011-06-22,13.35881,13.35881,12.81109,12.81109,48400,9,668163
2011-06-24,12.81109,12.99676,12.81109,12.98748,500,5,6947
2011-06-27,12.99676,13.32168,12.99676,13.32168,31100,38,438664
2011-06-28,13.32168,13.34953,12.99676,13.3124,91200,244,1301052
2011-06-29,13.3124,13.3124,12.81109,13.13601,128400,111,1798604
2011-06-30,13.2567,13.2567,12.99676,13.04318,49100,40,691585
2011-07-01,13.13601,13.21028,12.95034,12.99676,95700,41,1348661
2011-07-04,12.99676,13.23813,12.98748,13.23813,15400,26,215644
2011-07-05,13.18243,13.18243,12.99676,12.99676,782800,21,10959257
2011-07-06,13.08959,13.18243,12.90392,13.18243,4700,23,66168
2011-07-07,13.17314,13.21956,12.86679,12.97819,47700,83,667065
2011-07-08,12.95034,13.07103,12.70897,13.07103,16500,46,228664
2011-07-11,12.68112,12.97819,12.68112,12.69041,600,6,8295
2011-07-12,12.98748,12.98748,12.62542,12.76467,6400,23,87808
2011-07-13,12.81109,12.81109,12.55116,12.78324,22000,30,300600
2011-07-14,12.98748,12.98748,11.97558,12.76467,35700,50,484777
2011-07-15,12.76467,12.90392,12.62542,12.89464,32300,107,445567
2011-07-18,12.89464,12.99676,12.62542,12.99676,15600,90,216709
2011-07-19,12.97819,12.98748,12.75539,12.76467,43200,152,595890
2011-07-20,12.99676,13.18243,12.67184,12.99676,141300,60,1977007
2011-07-21,13.01533,13.01533,12.75539,12.99676,413900,54,5793343
2011-07-22,13.08959,13.18243,12.99676,13.18243,190000,71,2664814
2011-07-25,13.17314,13.17314,12.82037,12.99676,26400,132,369675
2011-07-26,13.17314,13.18243,12.53259,12.99676,62500,228,876147
2011-07-27,13.17314,13.18243,12.81109,12.99676,208200,91,2914086
2011-07-28,12.78324,13.18243,12.77396,13.18243,194500,149,2723652
2011-07-29,13.00604,13.46093,12.92249,13.46093,120600,47,1716615
2011-08-01,13.27526,13.55377,13.22885,13.55377,19200,98,276841
2011-08-02,13.54448,13.54448,13.201,13.46093,322100,124,4663381
2011-08-03,13.09888,13.33096,12.85751,13.27526,359900,83,5139554
2011-08-04,13.49806,13.49806,12.63471,12.82966,71300,109,994222
2011-08-05,12.99676,12.99676,12.71826,12.73682,18200,57,250021
2011-08-08,12.62542,12.62542,11.61353,12.43976,373000,191,4992422
2011-08-09,12.53259,12.53259,12.17054,12.53259,64800,80,872509
2011-08-10,12.98748,12.98748,12.52331,12.54187,161100,46,2176535
2011-08-11,12.54187,13.13601,12.54187,13.13601,258500,145,3569065
2011-08-12,12.99676,13.21956,12.90392,12.99676,88300,158,1234763
2011-08-15,13.201,13.41451,12.93178,13.41451,159900,65,2287947
2011-08-16,13.27526,13.27526,12.95034,13.01533,55300,98,776294
2011-08-17,13.3124,13.3124,13.14529,13.27526,12000,35,170737
2011-08-18,13.26598,13.55377,13.13601,13.55377,19900,66,287301
2011-08-19,13.17314,13.3681,13.00604,13.3681,24300,44,348172
2011-08-22,13.46093,13.6466,13.32168,13.55377,4300,33,62013
