Date,Open,High,Low,Close,Volume,Neg,Fin
2010-04-22,1.5887423296413403,1.6066182366777133,1.5291692069137948,1.5887423296413403,3200400,582,25610201
2010-04-23,1.590727438695907,1.5986678749141736,1.590727438695907,1.5927125477504738,378500,234,3037657
2010-04-26,1.5887423296413403,1.5946976568050404,1.5490202974594611,1.590727438695907,453800,150,3630346
2010-04-27,1.5887423296413403,1.5887423296413403,1.5708664226049676,1.578816784368507,928000,94,7397255
2010-04-28,1.5887423296413403,1.5887423296413403,1.568881313550401,1.578816784368507,232700,56,1850604
2010-04-29,1.5808018934230736,1.6622211412961256,1.5808018934230736,1.6622211412961256,369600,112,2977600
2010-04-30,1.5986678749141736,1.654280705077859,1.5887423296413403,1.654280705077859,329900,116,2679261
2010-05-03,1.6383899070960526,1.6383899070960526,1.6046331276231467,1.6066182366777133,297900,201,2419006
2010-05-04,1.60860334573228,1.60860334573228,1.5808018934230736,1.5887423296413403,1352200,64,10831945
2010-05-05,1.5887423296413403,1.5887423296413403,1.578816784368507,1.5808018934230736,511900,19,4086643
2010-05-06,1.5827870024776405,1.5827870024776405,1.5490202974594611,1.5490202974594611,692000,53,5467630
2010-05-07,1.5490202974594611,1.5510054065140282,1.539094752186628,1.5490202974594611,380000,18,2959044
2010-05-10,1.5867572205867737,1.6562658141324256,1.5867572205867737,1.6284643618232193,288300,198,2363218
2010-05-11,1.6284643618232193,1.6284643618232193,1.60264801856858,1.60264801856858,2400,7,19429
2010-05-12,1.5887423296413403,1.6383899070960526,1.5887423296413403,1.6383899070960526,18900,28,154039
2010-05-13,1.6046331276231467,1.6383899070960526,1.60264801856858,1.6284643618232193,29200,18,240404
2010-05-14,1.60860334573228,1.6224991091142469,1.568881313550401,1.60860334573228,301200,47,2430901
2010-05-17,1.624494143714086,1.6284643618232193,1.590727438695907,1.6185288910051132,103500,80,841955
2010-05-18,1.5887423296413403,1.6185288910051132,1.5887423296413403,1.6185288910051132,75800,44,607764
2010-05-19,1.6185288910051132,1.6185288910051132,1.5887423296413403,1.5887423296413403,322800,20,2582475
2010-05-20,1.5887423296413403,1.5887423296413403,1.578816784368507,1.578816784368507,882000,18,7030329
2010-05-21,1.5808018934230736,1.5808018934230736,1.5490202974594611,1.5490202974594611,44600,17,348285
2010-05-24,1.5490202974594611,1.5808018934230736,1.5490202974594611,1.5589557682775677,51400,4,401001
2010-05-25,1.5093081908228552,1.5093081908228552,1.465615940531843,1.4894471747319158,59400,21,448638
2010-05-26,1.5291692069137948,1.5291692069137948,1.459660613368143,1.499372720004749,112700,13,845572
2010-05-27,1.499372720004749,1.5192337360956885,1.4894471747319158,1.4894471747319158,396100,28,2972229
2010-05-28,1.4695861586409762,1.4695861586409762,1.4695861586409762,1.4695861586409762,600,5,4440
2010-05-31,1.4795117039138097,1.568881313550401,1.4795117039138097,1.568881313550401,10800,9,84210
2010-06-01,1.5668962044958343,1.568881313550401,1.545050079350328,1.545050079350328,35500,9,280433
2010-06-02,1.568881313550401,1.568881313550401,1.5589557682775677,1.5589557682775677,700,5,5520
2010-06-04,1.5589557682775677,1.6105884547868463,1.5510054065140282,1.5986678749141736,63500,41,500385
2010-06-07,1.5887423296413403,1.5986678749141736,1.5887423296413403,1.5986678749141736,105300,25,847383
2010-06-08,1.568881313550401,1.5708664226049676,1.5589557682775677,1.5589557682775677,10100,51,79586
2010-06-09,1.568881313550401,1.6066182366777133,1.568881313550401,1.6066182366777133,344600,9,2757598
2010-06-10,1.5887423296413403,1.5887423296413403,1.5887423296413403,1.5887423296413403,1000,1,8000
2010-06-11,1.6066182366777133,1.6066182366777133,1.539094752186628,1.539094752186628,2300,12,17940
2010-06-14,1.5887423296413403,1.5986678749141736,1.5887423296413403,1.5986678749141736,5100,7,41050
2010-06-15,1.5887423296413403,1.6046331276231467,1.5887423296413403,1.6006629095140132,9700,15,78268
2010-06-16,1.6006629095140132,1.6006629095140132,1.6006629095140132,1.6006629095140132,400,1,3224
2010-06-17,1.578816784368507,1.578816784368507,1.578816784368507,1.578816784368507,396200,7,3149790
2010-06-18,1.578816784368507,1.578816784368507,1.578816784368507,1.578816784368507,243500,13,1935825
2010-06-21,1.6006629095140132,1.6006629095140132,1.578816784368507,1.578816784368507,4600,4,36582
2010-06-22,1.6006629095140132,1.6006629095140132,1.578816784368507,1.5887423296413403,360500,31,2900958
2010-06-23,1.5887423296413403,1.690022593605332,1.5887423296413403,1.6781119392779318,53800,45,438141
2010-06-24,1.6781119392779318,1.6781119392779318,1.60860334573228,1.6284643618232193,278400,76,2283926
2010-06-25,1.648315452368886,1.648315452368886,1.6284643618232193,1.6284643618232193,14800,9,121990
2010-06-28,1.6463303433143193,1.648315452368886,1.6284643618232193,1.648315452368886,12700,10,104904
2010-06-29,1.648315452368886,1.648315452368886,1.5927125477504738,1.60264801856858,1000,7,8173
2010-06-30,1.6284643618232193,1.648315452368886,1.6105884547868463,1.6284643618232193,476200,25,3923591
2010-07-01,1.6105884547868463,1.7873326394601898,1.6105884547868463,1.6781119392779318,64900,57,545346
2010-07-02,1.727759516732644,1.7873326394601898,1.6741417211687986,1.727759516732644,96700,47,822106
2010-07-05,1.688037484550765,1.688037484550765,1.6582509231869922,1.6582509231869922,37900,14,319902
2010-07-06,1.6920077026598983,1.6979729553688712,1.6840672664416318,1.6920077026598983,50500,18,431703
2010-07-07,1.6781119392779318,1.6959779207690318,1.6781119392779318,1.6781119392779318,109000,17,921106
2010-07-08,1.6959779207690318,1.7257744076780774,1.688037484550765,1.6979729553688712,202600,21,1732091
2010-07-12,1.672146686568959,1.717824045914538,1.672146686568959,1.717824045914538,15600,11,133968
2010-07-13,1.727759516732644,1.727759516732644,1.7078985006417045,1.7078985006417045,14100,19,122080
2010-07-14,1.7078985006417045,1.7078985006417045,1.690022593605332,1.690022593605332,126100,2,1084433
2010-07-15,1.6781119392779318,1.6781119392779318,1.6781119392779318,1.6781119392779318,10000,1,84500
2010-07-16,1.7078985006417045,1.7575460780964167,1.6701615775143923,1.6781119392779318,2300,10,19586
2010-07-19,1.7078985006417045,1.7078985006417045,1.6959779207690318,1.6959779207690318,1200,4,10283
2010-07-20,1.688037484550765,1.688037484550765,1.6701615775143923,1.6701615775143923,72500,13,615891
2010-07-21,1.7078985006417045,1.7078985006417045,1.6781119392779318,1.6781119392779318,4500,6,38046
2010-07-22,1.6781119392779318,1.7078985006417045,1.6681764684598257,1.6781119392779318,177800,32,1511142
2010-07-23,1.6781119392779318,1.7078985006417045,1.6661913594052589,1.6840672664416318,25900,21,219502
2010-07-26,1.7059133915871378,1.7059133915871378,1.6681764684598257,1.6979729553688712,160800,9,1371810
2010-07-27,1.7138538278054043,1.7257744076780774,1.6681764684598257,1.6761268302233652,80000,17,674830
2010-07-28,1.688037484550765,1.688037484550765,1.6681764684598257,1.6761268302233652,124500,22,1049678
2010-07-29,1.688037484550765,1.688037484550765,1.6383899070960526,1.6383899070960526,42300,25,351075
2010-07-30,1.648315452368886,1.648315452368886,1.6284643618232193,1.6284643618232193,205500,88,1692191
2010-08-02,1.6284643618232193,1.6383899070960526,1.60860334573228,1.60860334573228,97500,29,798435
2010-08-03,1.6284643618232193,1.6284643618232193,1.626479252768653,1.626479252768653,15200,11,124637
2010-08-04,1.626479252768653,1.6284643618232193,1.6185288910051132,1.62051400005968,2400,4,19618
2010-08-05,1.6503104869687255,1.6503104869687255,1.6165437819505466,1.6165437819505466,261200,16,2154465
2010-08-06,1.6522955960232923,1.6522955960232923,1.61455867289598,1.6324345799323527,100900,25,823718
2010-08-09,1.6324345799323527,1.654280705077859,1.6324345799323527,1.654280705077859,122500,17,1015908
2010-08-10,1.6443452342597529,1.6642062503506925,1.60860334573228,1.6383899070960526,637700,155,5182397
2010-08-11,1.5986678749141736,1.727759516732644,1.5986678749141736,1.688037484550765,153200,112,1287442
2010-08-12,1.7376850620054776,1.7376850620054776,1.688037484550765,1.688037484550765,3200,14,27363
2010-08-13,1.7059133915871378,1.733714843896344,1.688037484550765,1.688037484550765,328000,144,2806996
2010-08-16,1.688037484550765,1.785347530405623,1.688037484550765,1.7317297348417775,109100,66,947765
2010-08-17,1.7595311871509836,1.7595311871509836,1.7039282825325712,1.7039282825325712,90900,36,781463
2010-08-18,1.7059133915871378,1.7078985006417045,1.6681764684598257,1.6681764684598257,14000,9,119991
2010-08-19,1.7078985006417045,1.7078985006417045,1.6681764684598257,1.6681764684598257,104400,11,885860
2010-08-20,1.5609408773321345,1.6681764684598257,1.5609408773321345,1.642360125205186,80600,35,668101
2010-08-23,1.648315452368886,1.785347530405623,1.648315452368886,1.688037484550765,62900,50,531193
2010-08-24,1.7317297348417775,1.7833624213510564,1.688037484550765,1.7218041895689442,107500,68,918056
2010-08-25,1.7476205328235834,1.7476205328235834,1.688037484550765,1.688037484550765,62400,20,531760
2010-08-26,1.688037484550765,1.7257744076780774,1.6781119392779318,1.688037484550765,198300,115,1682615
2010-08-27,1.688037484550765,1.688037484550765,1.688037484550765,1.688037484550765,15200,8,129200
2010-08-30,1.6681764684598257,1.672146686568959,1.660236032241559,1.660236032241559,15900,21,133564
2010-08-31,1.6979729553688712,1.6979729553688712,1.6840672664416318,1.688037484550765,78800,29,672779
2010-09-01,1.7376850620054776,1.7376850620054776,1.7078985006417045,1.7237892986235108,249200,59,2167937
2010-09-02,1.727759516732644,1.7456354237690168,1.7078985006417045,1.7257744076780774,177200,14,1541558
2010-09-03,1.727759516732644,1.7456354237690168,1.7098836096962713,1.7098836096962713,57800,19,502851
2010-09-06,1.7456354237690168,1.7456354237690168,1.7257744076780774,1.7257744076780774,18500,10,160775
2010-09-08,1.6959779207690318,1.6959779207690318,1.688037484550765,1.688037484550765,68400,29,583466
2010-09-09,1.6979729553688712,1.6979729553688712,1.6582509231869922,1.688037484550765,112600,23,955260
2010-09-10,1.6840672664416318,1.6840672664416318,1.648315452368886,1.6781119392779318,31600,8,264596
2010-09-13,1.660236032241559,1.6979729553688712,1.660236032241559,1.688037484550765,2200,3,18691
2010-09-14,1.7436403891691774,1.7436403891691774,1.6860523754961985,1.7098836096962713,26500,30,225635
2010-09-15,1.7456354237690168,1.7456354237690168,1.7078985006417045,1.717824045914538,372400,39,3215224
2010-09-16,1.717824045914538,1.7515907509327169,1.7158389368599711,1.7376850620054776,59900,47,522621
2010-09-17,1.7535758599872835,1.7595311871509836,1.7138538278054043,1.7138538278054043,258700,46,2250003
2010-09-20,1.7575460780964167,1.7575460780964167,1.717824045914538,1.717824045914538,3500,8,30433
2010-09-21,1.727759516732644,1.727759516732644,1.7078985006417045,1.717824045914538,94600,33,818905
2010-09-22,1.727759516732644,1.7416552801146108,1.717824045914538,1.717824045914538,723000,72,6297022
2010-09-23,1.75556096904185,1.75556096904185,1.7078985006417045,1.717824045914538,35100,37,302825
2010-09-24,1.727759516732644,1.727759516732644,1.688037484550765,1.688037484550765,6100,14,52207
2010-09-27,1.7257744076780774,1.7257744076780774,1.690022593605332,1.690022593605332,19600,48,169135
2010-09-28,1.7078985006417045,1.7138538278054043,1.6920077026598983,1.6920077026598983,6500,20,55595
2010-09-29,1.688037484550765,1.7078985006417045,1.6582509231869922,1.688037484550765,115900,78,975037
2010-09-30,1.672146686568959,1.672146686568959,1.630449470877786,1.630449470877786,106800,33,886655
2010-10-01,1.6582509231869922,1.6582509231869922,1.648315452368886,1.6582509231869922,27700,30,231129
2010-10-04,1.660236032241559,1.6781119392779318,1.6562658141324256,1.6781119392779318,106400,42,888557
2010-10-05,1.6860523754961985,1.6860523754961985,1.6562658141324256,1.6642062503506925,72400,25,604731
2010-10-06,1.6622211412961256,1.6622211412961256,1.6562658141324256,1.6582509231869922,52500,54,438384
2010-10-07,1.6562658141324256,1.6741417211687986,1.648315452368886,1.6681764684598257,272200,113,2274903
2010-10-08,1.6741417211687986,1.727759516732644,1.6741417211687986,1.717824045914538,56600,106,481718
2010-10-11,1.7575460780964167,1.7575460780964167,1.7237892986235108,1.733714843896344,22300,13,193862
2010-10-13,1.74960564187815,1.74960564187815,1.727759516732644,1.727759516732644,528400,208,4636014
2010-10-14,1.727759516732644,1.727759516732644,1.7158389368599711,1.7257744076780774,76700,133,666610
2010-10-15,1.717824045914538,1.717824045914538,1.7078985006417045,1.711868718750838,204600,93,1763421
2010-10-18,1.717824045914538,1.7575460780964167,1.717824045914538,1.727759516732644,1111800,28,9626629
2010-10-19,1.7376850620054776,1.7674716233692502,1.6939928117144651,1.7476205328235834,272900,356,2399377
2010-10-20,1.74960564187815,1.8866277943696144,1.7356999529509107,1.797268110278296,386100,336,3478600
2010-10-21,1.797268110278296,1.803223437441996,1.7654865143146834,1.7873326394601898,46600,274,417364
2010-10-22,1.7774070941873563,1.791302857569323,1.7754219851327897,1.7774070941873563,211500,88,1903029
2010-10-25,1.7476205328235834,1.7793922032419232,1.7376850620054776,1.7793922032419232,86700,81,772545
2010-10-26,1.7774070941873563,1.7774070941873563,1.7436403891691774,1.7476205328235834,70900,15,624320
2010-10-27,1.8052085464965624,1.8052085464965624,1.7078985006417045,1.7078985006417045,107900,83,941427
2010-10-28,1.7674716233692502,1.7674716233692502,1.7218041895689442,1.7218041895689442,5200,18,45520
2010-10-29,1.75556096904185,1.8071936555511288,1.727759516732644,1.7674716233692502,225200,71,2005163
2010-11-01,1.7376850620054776,1.7515907509327169,1.7078985006417045,1.7476205328235834,48600,62,426000
2010-11-03,1.75556096904185,1.8270546716420688,1.75556096904185,1.7873326394601898,415000,117,3733446
2010-11-04,1.7873326394601898,1.7932879666238897,1.7774070941873563,1.7873326394601898,698600,1008,6287526
2010-11-05,1.7873326394601898,1.8071936555511288,1.7774070941873563,1.8071936555511288,140000,95,1261357
2010-11-08,1.836980216914902,1.866776703823948,1.8012383283874294,1.8568412330058417,67000,137,618180
2010-11-09,1.8568412330058417,1.872732030987648,1.8171192008239627,1.836980216914902,111700,97,1039942
2010-11-10,1.8389653259694687,1.846915687733008,1.8270546716420688,1.846915687733008,163400,78,1518566
2010-11-11,1.8568412330058417,1.9263498265514936,1.846915687733008,1.862796560169541,375700,244,3521530
2010-11-12,1.8647816692241084,2.0157194361880846,1.8647816692241084,1.9561363879152665,674800,558,6667427
2010-11-16,1.9581214969698328,1.9660718587333723,1.91642428127866,1.9541512788607,144000,416,1408469
2010-11-17,1.9581214969698328,1.9859229492790391,1.946210842642433,1.9859229492790391,793000,299,7826071
2010-11-18,1.9859229492790391,2.025644981460918,1.9660718587333723,1.9839378402244725,587800,225,5903658
2010-11-19,2.001813747260845,2.0057839653699787,1.9899030929334447,1.9938733110425788,258300,161,2597973
2010-11-22,1.9958584200971448,1.997843529151712,1.946210842642433,1.948195951697,789200,70,7745900
2010-11-23,1.9362753718243269,1.9362753718243269,1.860811451114975,1.904503701405988,94700,44,911182
2010-11-24,1.866776703823948,1.9561363879152665,1.866776703823948,1.9362753718243269,310600,66,3017673
2010-11-25,1.9561363879152665,1.9561363879152665,1.9263498265514936,1.92833493560606,221200,81,2146411
2010-11-26,1.9263498265514936,1.9859229492790391,1.9263498265514936,1.9859229492790391,172400,62,1683704
2010-11-29,1.9859229492790391,1.9859229492790391,1.9521661698061328,1.9660718587333723,166300,79,1655135
2010-11-30,1.9859229492790391,2.0832429206791696,1.9640867496788057,2.0832429206791696,535300,211,5409065
2010-12-01,2.055431542824691,2.065367013642797,2.0157194361880846,2.043520888497291,218500,384,2239368
2010-12-02,2.0633819045882307,2.0633819045882307,1.9859229492790391,1.9938733110425788,135800,102,1370237
2010-12-03,1.9938733110425788,2.0236598724063515,1.9859229492790391,2.0236598724063515,337100,81,3390263
2010-12-06,2.025644981460918,2.0693372317519305,2.025644981460918,2.0693372317519305,289000,146,2965167
2010-12-07,2.045505997551857,2.1726026047704883,2.045505997551857,2.0852280297337367,121400,111,1283141
2010-12-08,2.067352122697364,2.077277667970197,2.0057839653699787,2.0057839653699787,131400,268,1354872
2010-12-09,2.0157194361880846,2.0494762156609907,2.001813747260845,2.0157194361880846,179100,142,1818657
2010-12-10,2.0494762156609907,2.0494762156609907,1.9998286382062784,2.025644981460918,308300,182,3131523
2010-12-13,2.0494762156609907,2.134875607188449,2.0276300905154847,2.134875607188449,43300,55,450463
2010-12-14,2.1547366232793883,2.1547366232793883,2.087213138788303,2.1547366232793883,131300,93,1402423
2010-12-15,2.1666472776067884,2.2838183395525857,2.126925245424909,2.2718977596799133,360900,414,4066802
2010-12-16,2.27388286873448,2.27388286873448,2.224235291279768,2.224235291279768,89900,123,1016227
2010-12-17,2.281833230498019,2.2838183395525857,2.1448011524612824,2.1448011524612824,194600,124,2187178
2010-12-20,2.259987105352513,2.259987105352513,2.184523184643161,2.234170762097873,162800,103,1822065
2010-12-21,2.234170762097873,2.24806652547984,2.164662168552222,2.164662168552222,295500,153,3273512
2010-12-22,2.1666472776067884,2.184523184643161,2.0852280297337367,2.184523184643161,34700,96,375910
2010-12-23,2.184523184643161,2.192463620861428,2.180552966534028,2.192463620861428,31400,76,345811
2010-12-27,2.1944487299159947,2.202399091679534,2.174587713825056,2.192463620861428,599100,271,6617814
2010-12-28,2.192463620861428,2.214309746006934,2.190478511806861,2.214309746006934,229400,67,2536914
2010-12-29,2.2580019962979465,2.2580019962979465,2.204384200734101,2.2162948550615007,39800,68,445000
2010-12-30,2.214309746006934,2.224235291279768,2.1944487299159947,2.214309746006934,183900,92,2049456
2011-01-03,2.218279964116068,2.327510589843598,2.2162948550615007,2.263957323461647,91000,84,1040801
2011-01-04,2.26197221440708,2.323540371734465,2.2520466691342467,2.323540371734465,2724400,137,31330233
2011-01-05,2.307649573752659,2.311619791861792,2.25601688724338,2.311619791861792,52400,53,602779
2011-01-06,2.311619791861792,2.311619791861792,2.281833230498019,2.2838183395525857,138900,121,1611623
2011-01-07,2.333465917007298,2.333465917007298,2.265942432516213,2.3036793556435256,8600,13,99062
2011-01-10,2.3036793556435256,2.3036793556435256,2.27388286873448,2.3036793556435256,119000,222,1375491
2011-01-11,2.2838183395525857,2.2937438848254192,2.2838183395525857,2.2838183395525857,29700,204,341795
2011-01-12,2.2838183395525857,2.363252478371072,2.2838183395525857,2.3036793556435256,244700,36,2829794
2011-01-13,2.2838183395525857,2.2937438848254192,2.269912650625346,2.269912650625346,152100,197,1746564
