Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,826.0983500000001,838.7403499999999,817.83275,824.1533999999999,61400,146,2085799
2010-01-05,830.2315,830.2315,802.03025,819.2912,185600,119,6266206
2010-01-06,829.0156000000001,829.0156000000001,819.2912,824.1533999999999,28400,43,961203
2010-01-07,824.1533999999999,826.5848500000001,817.5895,824.1533999999999,16800,31,569687
2010-01-08,828.7727,829.0156000000001,819.77735,829.0156000000001,100300,16,3414413
2010-01-11,829.0156000000001,863.0517,829.0156000000001,848.46475,39600,84,1368605
2010-01-12,850.89585,862.5655499999999,825.6122,850.89585,37500,52,1303816
2010-01-13,853.3273,861.83615,847.49245,860.6206,23400,66,823562
2010-01-14,860.37735,874.9643,858.1895,862.80845,27400,142,975240
2010-01-15,862.80845,887.36305,855.7584,884.9316,70500,97,2525457
2010-01-18,876.4231,926.01775,876.4231,906.81185,15500,33,576482
2010-01-19,916.5366,921.3988,900.00505,900.00505,35800,41,1340820
2010-01-20,901.94965,901.94965,875.4504499999999,899.27565,35700,78,1303861
2010-01-21,901.94965,906.81185,875.2072,875.2072,23100,44,837969
2010-01-22,875.2072,879.8264999999999,874.72105,878.8542,9600,45,345882
2010-01-26,878.61095,895.8719000000001,867.9139,875.2072,48800,91,1756740
2010-01-27,887.1198,887.36305,865.4828,867.9139,16400,34,585991
2010-01-28,867.9139,867.9139,843.6025500000001,843.6025500000001,19000,31,665890
2010-01-29,847.2492,854.54285,836.3092499999999,838.7403499999999,38400,28,1325331
2010-02-01,838.7403499999999,863.2946,824.1533999999999,858.1895,34900,52,1201412
2010-02-02,875.9366,875.9366,863.0517,875.2072,23800,22,846557
2010-02-03,875.2072,886.3904,875.2072,880.0697500000001,21400,57,772054
2010-02-04,879.8264999999999,880.0697500000001,857.70335,868.88655,127600,51,4593055
2010-02-05,847.0063,847.73535,816.8601,816.8601,17700,28,605861
2010-02-08,821.7223,831.44705,819.2912,831.44705,17800,34,601333
2010-02-09,838.4970999999999,848.46475,827.3139000000001,841.17145,68600,154,2367052
2010-02-10,848.46475,875.2072,848.46475,863.0517,92500,114,3284512
2010-02-11,851.1391,887.36305,851.1391,875.2072,129600,82,4614448
2010-02-12,875.2072,882.50085,874.9643,874.9643,29700,174,1073122
2010-02-17,875.4504499999999,884.6887,872.7761,877.3954,13400,23,483607
2010-02-18,879.8264999999999,879.8264999999999,854.54285,855.7584,30200,41,1070679
2010-02-19,831.68995,870.345,831.68995,860.6206,65600,130,2315025
2010-02-22,876.4231,876.4231,868.88655,875.2072,42100,30,1507639
2010-02-23,874.72105,874.72105,852.35465,853.3273,22700,20,798050
2010-02-24,862.80845,862.80845,856.24455,858.1895,6600,7,232874
2010-02-25,857.94625,866.6983500000001,828.0433,850.89585,120000,127,4153120
2010-02-26,862.80845,862.80845,848.46475,853.3273,102800,80,3601951
2010-03-01,850.89585,880.0697500000001,850.89585,875.2072,63800,132,2287819
