Date,Open,High,Low,Close,Volume,Neg,Fin
2021-07-14,29.02,31.86,28.6,31.0,31978100,66283,942998911
2021-07-15,30.79,33.19,29.36,31.95,9410000,22667,297464065
2021-07-16,32.0,32.24,30.35,32.2,2654500,10097,83618423
2021-07-19,31.22,32.19,30.28,30.7,1528300,4863,47155838
2021-07-20,30.81,30.87,29.53,30.57,1404000,5275,42279188
2021-07-21,30.89,31.4,29.72,29.99,1305200,6287,39301976
2021-07-22,30.0,30.31,29.15,30.0,885100,4051,26155987
2021-07-23,29.99,30.42,29.42,29.5,1799300,5657,53308426
2021-07-26,29.5,29.75,28.77,28.77,2070200,3097,60364551
2021-07-27,28.49,28.65,27.78,28.4,2151100,8062,60737964
2021-07-28,28.64,28.64,27.84,27.84,1086300,2631,30614308
2021-07-29,27.72,28.2,27.01,28.0,3683000,4040,102837672
2021-07-30,28.0,28.0,26.51,27.49,1461600,4644,40193021
2021-08-02,27.54,28.73,27.5,27.8,581700,2754,16225240
2021-08-03,27.89,28.57,27.0,28.04,591600,1068,16327198
2021-08-04,28.04,28.87,27.8,28.4,636700,1874,18005848
2021-08-05,28.3,29.5,27.68,27.8,750700,2039,21220848
2021-08-06,27.95,28.25,27.84,28.2,738200,2049,20759130
2021-08-09,28.25,28.49,27.65,28.0,421000,1582,11753889
2021-08-10,27.82,28.59,27.82,27.9,198600,1318,5576663
2021-08-11,27.92,28.0,27.49,28.0,563900,1158,15614449
2021-08-12,27.85,27.85,27.0,27.0,882100,2125,24032904
2021-08-13,26.98,27.59,26.18,27.15,1034800,3712,27909255
2021-08-16,26.53,27.09,25.39,25.65,1278000,3255,32986399
2021-08-17,25.58,27.24,24.66,26.66,2939000,7214,78195075
2021-08-18,26.65,27.14,25.82,26.52,607500,4063,15965785
2021-08-19,25.93,28.0,25.22,27.65,1678300,3718,44554327
2021-08-20,27.21,29.85,27.02,28.1,1118400,3376,31839049
2021-08-23,28.9,29.03,27.03,27.74,546500,2803,15135676
2021-08-24,28.08,28.49,27.6,28.0,537000,2039,15048709
2021-08-25,27.87,28.17,27.13,27.4,18195500,4005,498685793
2021-08-26,27.35,27.39,26.5,27.09,723700,3273,19489407
2021-08-27,27.18,27.53,26.51,27.1,1333300,3083,36047684
2021-08-30,26.86,27.5,26.37,27.0,1228700,4200,33181093
2021-08-31,26.98,27.06,26.56,27.0,1044800,2792,28041249
2021-09-01,27.24,27.4,26.56,27.0,628600,2471,17047769
2021-09-02,26.83,26.99,26.11,26.15,548100,2248,14520669
2021-09-03,26.3,26.49,25.32,25.95,1040800,5499,26829043
2021-09-06,25.67,26.53,25.67,26.09,272400,964,7115924
2021-09-08,25.91,26.0,24.88,25.0,1110700,2372,27849566
2021-09-09,25.0,25.23,24.7,25.0,1292700,2814,32314028
2021-09-10,24.96,26.09,24.95,26.07,726600,2031,18663512
2021-09-13,26.31,27.43,26.1,27.29,927800,3074,25063050
2021-09-14,27.26,27.26,26.4,26.91,798500,3107,21478279
2021-09-15,26.76,26.76,26.0,26.53,460100,1523,12180373
2021-09-16,26.25,26.5,25.31,26.5,1307500,4811,33876085
2021-09-17,26.26,26.64,25.53,26.5,857100,4031,22505480
2021-09-20,26.0,26.25,25.12,25.5,905000,5406,23045278
2021-09-21,25.51,26.26,25.31,25.9,1262400,3880,32721948
2021-09-22,26.24,26.41,25.96,26.25,637700,3598,16674635
2021-09-23,26.01,26.6,26.01,26.5,752900,2862,19811402
2021-09-24,26.19,26.44,25.85,26.3,1022700,3928,26761403
2021-09-27,26.02,26.16,25.27,25.47,768100,2933,19615802
2021-09-28,25.21,25.31,24.53,25.22,2480100,3923,62445777
2021-09-29,25.04,25.5,24.5,25.0,629800,3001,15798096
2021-09-30,25.19,25.6,25.01,25.6,844000,3284,21418913
2021-10-01,25.57,25.79,25.06,25.79,663500,2406,16953949
2021-10-04,25.64,25.64,24.66,24.66,1127000,2545,28191640
2021-10-05,24.7,24.95,23.65,24.95,1206900,2469,29611350
2021-10-06,24.67,24.67,23.4,24.11,1901800,7673,45399664
2021-10-07,24.2,24.98,24.03,24.48,758600,1172,18595556
2021-10-08,24.7,25.2,24.6,24.6,583200,1496,14481714
2021-10-11,24.6,24.7,23.97,24.4,418400,1856,10207449
2021-10-13,24.3,24.7,24.21,24.3,563100,2762,13744972
2021-10-14,24.3,24.57,24.22,24.25,332200,1529,8077509
2021-10-15,24.13,24.54,23.78,24.49,724000,4036,17590538
2021-10-18,24.16,24.37,23.74,23.74,438800,1478,10530718
2021-10-19,23.51,23.66,23.06,23.5,1775100,3845,41366014
2021-10-20,23.51,23.53,23.18,23.4,622200,2399,14540010
2021-10-21,23.05,23.05,21.77,22.17,889800,3434,19802085
2021-10-22,22.01,22.21,19.93,20.91,2655700,10821,55377357
2021-10-25,20.92,23.24,20.92,23.24,1243600,5935,28346028
2021-10-26,22.91,22.92,21.31,21.7,914200,3341,19968940
2021-10-27,21.78,22.5,21.44,21.69,774700,3121,16853613
2021-10-28,21.48,21.63,20.74,20.9,675300,2589,14160021
2021-10-29,20.52,21.0,20.06,20.17,980800,2117,20027567
2021-11-01,20.5,21.15,20.37,20.81,641100,2439,13338765
2021-11-03,20.53,21.54,20.53,21.01,1659100,4430,34797067
2021-11-04,21.15,21.35,20.59,20.98,653600,2091,13724821
2021-11-05,21.3,21.3,20.15,20.72,1890800,3997,38949148
2021-11-08,20.78,20.79,20.19,20.31,427500,1777,8774831
2021-11-09,20.35,21.14,20.35,20.45,1448700,2468,29894730
2021-11-10,20.48,22.35,20.47,21.86,1473200,3261,31846681
2021-11-11,22.3,23.24,22.01,23.17,3378200,3794,75996245
2021-11-12,22.99,24.53,22.62,22.95,902300,4574,21104770
2021-11-16,23.42,23.44,21.8,22.15,712100,3736,15762144
2021-11-17,22.42,22.42,21.5,21.59,1612100,3296,35240695
2021-11-18,21.57,22.21,21.1,21.6,1695800,4906,36413749
2021-11-19,21.76,23.44,21.61,22.72,3704600,3249,83754512
2021-11-22,22.74,23.41,21.61,21.91,764600,3816,16965554
2021-11-23,22.01,22.21,20.45,21.06,1820400,6829,37830376
2021-11-24,20.92,21.41,19.95,20.63,1428800,4381,29486275
2021-11-25,20.61,21.53,20.41,21.28,500100,2227,10610761
2021-11-26,20.73,20.8,19.45,19.45,944400,4351,18808805
2021-11-29,20.0,20.2,18.79,18.87,1620000,4825,31460540
2021-11-30,18.87,19.17,17.54,18.09,7708300,9435,138833307
2021-12-01,18.34,18.53,16.91,17.0,1612700,6640,28197949
2021-12-02,17.19,17.78,16.9,17.42,2257400,5457,38756510
2021-12-03,17.48,18.93,17.48,18.24,945700,4691,17337660
2021-12-06,18.41,19.42,18.14,18.69,912300,4642,17177250
2021-12-07,18.88,19.04,18.48,18.49,413400,1623,7731252
2021-12-08,18.52,19.63,18.25,19.41,837300,3617,16099812
2021-12-09,19.27,19.74,18.64,19.35,996000,5063,19101855
2021-12-10,19.58,19.72,19.17,19.36,647700,3265,12563747
2021-12-13,19.55,19.57,18.91,19.03,749900,3118,14335620
2021-12-14,18.83,19.21,17.78,17.78,768500,3581,14113040
2021-12-15,17.78,17.82,16.85,17.33,1502400,5198,25903627
2021-12-16,17.84,17.86,16.92,17.65,1675300,8486,29060259
2021-12-17,17.34,18.36,16.9,17.42,6209900,8772,109089584
2021-12-20,16.92,17.34,16.76,17.1,1167800,3792,19859209
2021-12-21,16.89,17.57,16.39,17.57,1755200,3703,29918535
2021-12-22,17.2,17.43,16.6,17.0,511300,2413,8692505
2021-12-23,17.08,17.1,16.35,16.62,718700,3548,11868975
2021-12-27,16.62,16.92,16.45,16.6,259900,1097,4315618
2021-12-28,16.6,17.04,16.33,17.0,586200,2552,9846275
2021-12-29,16.98,17.23,16.37,16.37,407000,1581,6754683
2021-12-30,16.5,16.69,16.0,16.0,1390100,3210,22459461
