Date,Open,High,Low,Close,Volume,Neg,Fin
2013-04-29,10.12272,10.72341,10.12272,10.23396,14324600,11271,332832240
2013-04-30,10.23396,10.45644,9.74451,10.23841,2470900,3736,56086019
2013-05-02,10.10048,10.41194,9.85575,10.41194,298600,1296,6864544
2013-05-03,10.40749,10.61217,10.29181,10.61217,1011000,1151,23681039
2013-05-06,10.63442,10.74566,10.51428,10.67447,176900,698,4245076
2013-05-07,10.67892,11.05713,10.66112,10.72341,450900,1411,10881132
2013-05-08,10.74566,10.93254,10.67892,10.74566,496700,819,11979875
2013-05-09,10.67892,10.94144,10.36745,10.72341,496000,433,11971584
2013-05-10,10.58103,10.76346,10.23841,10.63442,170200,339,4047814
2013-05-13,10.46534,10.94589,10.10048,10.36745,678000,2667,15724758
2013-05-14,10.41194,10.41194,9.98924,10.23396,911200,2125,20876170
2013-05-15,10.18502,10.54543,10.10048,10.46979,645300,1151,15037772
2013-05-16,10.48313,10.8124,10.16722,10.67892,779600,705,18281536
2013-05-17,10.69226,10.75901,10.36745,10.58548,396200,1726,9389964
2013-05-20,10.54098,10.66557,10.32295,10.41194,307200,1797,7185218
2013-05-21,10.3897,10.67002,10.27846,10.65222,210600,900,4986371
2013-05-22,10.51428,11.35524,10.51428,11.11052,517300,1832,12712752
2013-05-23,10.98149,11.3419,10.96814,11.3419,237300,314,5985337
2013-05-24,11.25736,11.56438,11.22176,11.43534,291800,571,7490523
2013-05-27,11.42644,11.43089,11.17282,11.39085,97200,145,2478142
2013-05-28,11.3953,11.43089,11.21731,11.2796,166400,463,4224070
2013-05-29,11.22176,11.43534,10.72786,11.12387,154700,472,3857824
2013-05-31,11.13722,11.13722,10.87025,11.07938,188700,874,4675637
2013-06-03,11.04823,11.3063,10.93254,11.3063,218800,877,5479302
2013-06-04,11.19506,11.2974,11.05268,11.12387,497000,390,12438086
2013-06-05,11.11942,11.61332,11.11942,11.3241,845300,1360,21582935
2013-06-06,11.25291,11.51988,11.15057,11.39085,523000,293,13151174
2013-06-07,11.33745,11.34635,11.19951,11.3152,227600,196,5743599
2013-06-10,11.18172,11.39085,11.07938,11.07938,437200,123,11025775
2013-06-11,10.77681,11.03043,10.57213,11.03043,151500,603,3663164
2013-06-12,10.95924,11.07048,10.79015,10.90139,61100,136,1496862
2013-06-13,10.68781,11.12832,10.68781,11.05713,211600,404,5262867
2013-06-14,11.2796,11.34635,10.91029,11.19506,57500,91,1432700
2013-06-17,11.18616,11.69786,11.12387,11.69786,859000,1612,22040596
2013-06-18,11.69786,11.96928,11.58662,11.7913,190800,418,5028240
2013-06-19,12.10277,12.10277,11.48428,11.7913,448500,883,11885799
2013-06-20,11.45759,11.84025,11.21731,11.81355,372400,495,9677531
2013-06-21,11.67561,11.7913,11.40864,11.56882,464600,450,12090136
2013-06-24,11.28405,11.47983,10.99038,11.03488,628100,1303,15714910
2013-06-25,11.15947,11.15947,10.51428,10.99928,365600,1244,8844783
2013-06-26,11.00373,11.03933,10.71896,10.83465,251900,1006,6148904
2013-06-27,10.8302,11.12387,10.50983,11.12387,416800,1496,10170396
2013-06-28,10.97259,10.98149,10.70116,10.90139,490100,1356,11949606
2013-07-01,10.74121,11.05713,10.59437,10.87915,375700,1908,9087935
2013-07-02,10.72341,10.83465,10.58992,10.58992,426200,871,10215322
2013-07-03,10.76791,10.76791,10.24731,10.39414,3219900,1652,75924340
