Date,Open,High,Low,Close,Volume,Neg,Fin
2021-04-29,13.9,15.32,13.51,14.5,7817700,18802,113727519
2021-04-30,15.1,17.88,15.0,16.2,7654100,19464,125473644
2021-05-03,17.2,17.2,15.49,16.04,3088000,10596,51289692
2021-05-04,16.21,16.62,15.7,15.9,1238100,4158,19835648
2021-05-05,16.09,16.1,15.61,15.62,832000,1957,13186002
2021-05-06,15.85,15.85,15.21,15.27,637000,2325,9911917
2021-05-07,15.35,15.52,14.81,15.3,804900,3269,12206678
2021-05-10,15.3,15.46,15.11,15.11,601800,2409,9189338
2021-05-11,15.0,15.15,14.75,15.0,383600,1759,5753545
2021-05-12,14.9,15.4,14.85,15.05,531400,2043,8044521
2021-05-13,15.3,16.82,15.05,16.18,3053300,8261,49664536
2021-05-14,16.38,17.14,16.3,16.7,2071600,6335,34711709
2021-05-17,16.89,17.6,16.51,16.88,1907100,5946,32643480
2021-05-18,17.05,17.2,16.52,16.72,843700,3029,14237493
2021-05-19,16.63,16.84,16.13,16.28,763800,2447,12583282
2021-05-20,16.0,16.0,15.5,15.8,1061900,3684,16714395
2021-05-21,15.8,16.28,15.8,15.96,509200,1782,8171827
2021-05-24,16.18,16.93,16.09,16.21,987400,2678,16256855
2021-05-25,16.18,16.47,16.0,16.02,516400,1535,8387522
2021-05-26,16.14,16.32,16.01,16.03,363500,972,5872028
2021-05-27,16.09,16.24,15.88,15.9,445500,1607,7120361
2021-05-28,15.95,16.08,15.65,15.73,745100,1954,11782378
2021-05-31,15.76,15.95,15.23,15.55,682100,2344,10643373
2021-06-01,15.72,16.09,15.51,16.0,594300,1729,9413284
2021-06-02,16.0,16.08,15.56,15.64,568100,2278,8956258
2021-06-04,15.68,15.98,15.52,15.67,437400,1745,6859630
2021-06-07,15.53,15.79,15.33,15.41,628400,1864,9764378
2021-06-08,15.33,15.38,15.0,15.03,690500,2437,10414333
2021-06-09,15.13,15.38,15.13,15.37,430500,1604,6568104
2021-06-10,15.48,15.7,15.36,15.64,457700,1993,7103874
2021-06-11,15.69,15.69,15.4,15.51,282900,993,4393255
2021-06-14,15.62,15.7,15.3,15.3,376500,1444,5846938
2021-06-15,15.48,15.62,15.34,15.39,304300,1282,4708838
2021-06-16,15.49,15.56,15.3,15.42,252400,990,3896212
2021-06-17,15.41,15.53,15.2,15.35,298200,1111,4577294
2021-06-18,15.26,15.39,15.15,15.28,347300,1375,5288819
2021-06-21,15.35,15.41,15.07,15.11,439000,1580,6676582
2021-06-22,15.11,15.29,14.76,14.97,740300,1904,11123505
2021-06-23,15.0,15.08,14.62,14.62,866200,1933,12879027
2021-06-24,14.75,15.11,14.75,14.89,318200,1111,4761207
2021-06-25,14.99,15.0,14.6,14.87,328700,1075,4865245
2021-06-28,14.9,15.0,14.65,14.7,403500,1123,5968001
2021-06-29,14.55,15.3,14.55,15.3,511300,1608,7641290
2021-06-30,15.2,15.46,15.01,15.46,513900,1194,7853134
2021-07-01,15.42,15.58,15.11,15.11,391800,1464,6010373
2021-07-02,15.11,15.39,15.08,15.08,420700,1381,6400981
2021-07-05,15.16,15.27,15.01,15.01,177200,615,2685513
2021-07-06,15.06,15.09,14.8,14.92,266600,1130,3985036
2021-07-07,14.98,15.15,14.9,14.9,194900,1018,2923101
2021-07-08,14.8,15.28,14.7,14.9,400200,1344,6016862
2021-07-12,15.0,15.14,14.75,14.75,285200,1147,4238029
2021-07-13,14.75,14.86,14.55,14.6,411900,1427,6034739
2021-07-14,14.6,14.79,14.6,14.61,225500,968,3311376
2021-07-15,14.61,14.84,14.5,14.53,305600,1710,4464304
2021-07-16,14.57,14.69,14.36,14.62,314600,975,4577304
2021-07-19,14.5,14.52,13.93,14.05,529400,2086,7531135
2021-07-20,14.1,14.33,13.73,13.9,977800,2700,13589292
2021-07-21,13.92,14.09,13.26,13.26,1159900,2645,15704683
2021-07-22,13.37,13.7,12.86,13.0,1455100,4602,18993913
2021-07-23,13.0,13.48,12.94,13.11,667000,2218,8837482
2021-07-26,13.12,13.47,13.12,13.47,491700,1624,6557712
2021-07-27,13.5,13.85,13.35,13.64,563500,2073,7681089
2021-07-28,13.72,13.9,13.54,13.7,817300,1111,11201257
2021-07-29,13.69,13.83,13.3,13.65,426900,1452,5789570
2021-07-30,13.53,14.4,13.4,13.94,927400,2427,12894650
2021-08-02,14.02,14.4,14.02,14.38,386300,1267,5513185
2021-08-03,14.4,14.41,13.8,14.31,222100,902,3138928
2021-08-04,14.31,14.31,13.82,13.83,310200,1180,4335394
2021-08-05,13.99,14.08,13.53,13.53,204700,764,2834324
2021-08-06,13.62,14.0,13.54,13.96,188100,808,2603524
2021-08-09,14.04,14.53,14.0,14.5,416100,1559,5971629
2021-08-10,14.55,14.79,14.4,14.4,333200,986,4862988
2021-08-11,14.51,14.51,14.14,14.35,249100,1065,3577536
2021-08-12,14.43,14.78,14.26,14.58,230200,940,3336906
2021-08-13,14.49,15.23,14.34,15.1,441200,1414,6543189
2021-08-16,15.1,15.1,13.77,14.18,748900,2595,10818819
2021-08-17,14.3,14.4,13.67,13.81,426200,1780,5956054
2021-08-18,13.98,14.89,13.9,14.53,450700,1451,6547742
2021-08-19,14.0,14.8,13.94,14.6,286100,1146,4125575
2021-08-20,14.56,14.64,14.34,14.6,307600,826,4476895
2021-08-23,14.75,14.96,14.43,14.48,327100,1060,4809124
2021-08-24,14.5,14.88,14.21,14.38,252100,1225,3668761
2021-08-25,14.38,14.5,14.3,14.3,133800,556,1923536
2021-08-26,14.3,14.46,14.03,14.16,181100,749,2575378
2021-08-27,14.34,14.36,13.71,14.2,352000,1294,4947316
2021-08-30,14.32,14.45,13.95,13.98,176200,647,2485784
2021-08-31,14.11,14.11,13.75,13.76,319700,1410,4427330
2021-09-01,13.9,14.05,13.71,13.91,312000,1897,4349586
2021-09-02,13.95,14.04,13.51,13.99,325500,2162,4496678
2021-09-03,13.71,14.0,13.52,13.6,443100,1950,6057833
2021-09-06,13.7,14.16,13.6,14.02,138000,444,1922889
2021-09-08,13.9,14.09,13.51,14.06,308500,1459,4265629
2021-09-09,13.91,13.97,13.5,13.75,433800,2055,5945781
2021-09-10,13.89,14.04,13.74,14.0,206600,1004,2874587
2021-09-13,14.0,14.3,13.77,13.98,414600,1233,5812353
2021-09-14,13.9,14.29,13.85,14.13,276400,1372,3886370
2021-09-15,14.13,14.3,13.99,14.0,285700,1031,4037680
2021-09-16,14.0,14.14,13.9,14.0,195200,840,2740770
2021-09-17,14.0,14.01,13.65,13.75,155100,688,2139408
2021-09-20,13.6,14.06,13.35,13.85,508900,1727,6958331
2021-09-21,13.86,14.1,13.69,13.9,207700,821,2886550
2021-09-22,14.12,14.55,13.99,14.27,379500,1224,5434221
2021-09-23,14.2,14.9,14.17,14.9,362600,863,5302665
2021-09-24,14.9,15.0,14.48,14.55,357400,1504,5254343
2021-09-27,14.55,14.69,14.35,14.35,197000,962,2855427
2021-09-28,14.32,14.6,14.18,14.42,268000,1246,3854486
2021-09-29,14.49,14.53,14.02,14.37,177400,862,2534821
2021-09-30,14.42,14.42,13.9,14.05,250900,1067,3549187
2021-10-01,14.2,14.2,13.75,14.0,221000,1403,3097024
2021-10-04,14.0,14.3,13.77,14.3,203800,944,2848319
2021-10-05,14.3,14.5,13.76,13.76,195200,996,2743131
2021-10-06,13.77,14.04,13.5,13.74,411400,2052,5628087
2021-10-07,13.83,13.92,13.62,13.68,129800,706,1779919
2021-10-08,13.81,13.98,13.74,13.77,97400,540,1348080
2021-10-11,13.82,14.17,13.82,14.0,146700,679,2055044
2021-10-13,13.99,14.53,13.99,14.52,165700,850,2380154
2021-10-14,14.51,14.52,14.27,14.41,91700,429,1318693
2021-10-15,14.4,14.6,14.3,14.6,243600,1080,3529592
2021-10-18,14.59,14.76,14.4,14.69,252900,1066,3695677
2021-10-19,14.62,14.84,14.41,14.58,239000,928,3499382
2021-10-20,14.51,14.73,14.16,14.23,123000,606,1763134
2021-10-21,14.1,14.3,13.78,14.3,188600,936,2638727
2021-10-22,14.2,14.27,13.44,13.8,746400,1890,10383998
2021-10-25,13.91,15.0,13.85,15.0,306400,1170,4454249
2021-10-26,14.79,14.8,14.3,14.8,299700,1128,4377686
2021-10-27,14.75,14.79,14.3,14.55,200500,869,2913132
2021-10-28,14.5,14.56,14.0,14.0,327500,846,4660445
2021-10-29,14.0,14.16,13.8,13.8,487000,820,6795772
2021-11-01,13.89,14.07,13.72,13.9,1203000,662,16795187
2021-11-03,13.89,14.51,13.81,14.5,122200,724,1745982
2021-11-04,14.5,14.59,14.17,14.22,207100,688,2974989
2021-11-05,14.27,14.4,13.4,13.85,524200,1286,7286177
2021-11-08,13.81,14.15,13.74,14.11,325500,1027,4540977
2021-11-09,14.11,14.55,13.96,14.55,186700,694,2676160
2021-11-10,14.55,14.77,14.33,14.77,280400,1169,4098864
2021-11-11,14.77,14.77,14.59,14.72,402700,1284,5938448
2021-11-12,14.66,14.77,14.35,14.35,224700,604,3266076
2021-11-16,14.37,14.7,14.11,14.69,272300,1235,3940518
2021-11-17,15.0,15.12,14.26,14.55,502700,1756,7378999
2021-11-18,14.55,15.05,14.5,14.89,373100,1588,5539892
2021-11-19,14.88,15.08,14.6,14.92,191600,982,2860912
2021-11-22,14.92,15.76,14.92,15.68,737800,2638,11399626
2021-11-23,15.74,16.1,15.28,15.45,709500,2406,11138850
2021-11-24,15.49,15.57,15.02,15.02,158400,756,2424235
2021-11-25,15.25,15.49,14.95,15.49,147900,590,2253909
2021-11-26,15.3,15.3,14.55,15.3,367100,2099,5494568
2021-11-29,15.4,15.68,14.92,15.3,323000,1471,4938662
2021-11-30,15.21,15.21,14.37,14.94,354800,1569,5226975
2021-12-01,14.94,15.2,13.9,13.9,526700,2300,7561773
2021-12-02,14.19,14.27,13.5,13.58,617400,3083,8535887
2021-12-03,13.69,14.09,13.58,13.99,255900,1333,3539796
2021-12-06,13.92,14.43,13.89,14.21,287300,1130,4090332
2021-12-07,14.36,14.6,14.23,14.5,292400,1196,4234633
2021-12-08,14.5,14.93,14.36,14.77,194100,932,2861609
2021-12-09,14.76,14.8,14.48,14.8,197900,1408,2897971
2021-12-10,14.81,14.93,14.63,14.85,162700,663,2409677
2021-12-13,14.85,15.24,14.77,14.88,244800,1517,3680725
2021-12-14,15.03,15.13,14.64,14.8,240800,1491,3584269
2021-12-15,14.88,15.15,14.55,15.15,221600,1417,3283901
2021-12-16,15.15,15.17,14.87,15.01,239700,1382,3595514
2021-12-17,15.0,15.63,14.8,15.63,471100,1659,7219247
2021-12-20,15.3,15.89,15.3,15.77,337700,1684,5285831
2021-12-21,15.77,15.77,15.04,15.36,217600,938,3324489
2021-12-22,15.36,15.48,15.01,15.48,102200,625,1555188
2021-12-23,15.47,15.52,15.14,15.5,1226700,1182,18685590
2021-12-27,15.5,15.85,15.41,15.8,183900,980,2896621
2021-12-28,15.8,15.9,15.6,15.8,202900,1015,3208370
2021-12-29,15.9,16.15,15.75,15.8,257700,1049,4095620
2021-12-30,15.95,16.1,15.82,15.86,294300,1517,4687810
