Date,Open,High,Low,Close,Volume,Neg,Fin
2020-07-31,11.0,11.68,10.5,11.03,38704200,50286,425306726
2020-08-03,11.05,11.5,10.61,11.5,4445000,8544,49540853
2020-08-04,11.37,11.37,10.95,11.0,2458400,6881,27300226
2020-08-05,11.02,11.21,11.02,11.1,1357400,2793,15115406
2020-08-06,11.19,11.36,11.03,11.25,1430200,2404,15982163
2020-08-07,11.19,11.76,11.18,11.75,2301800,8610,26639875
2020-08-10,11.75,11.84,11.53,11.6,987400,2500,11530422
2020-08-11,11.83,11.9,11.4,11.66,1451400,1703,16853175
2020-08-12,11.6,11.65,11.03,11.46,1613100,1533,18431040
2020-08-13,11.46,11.66,11.18,11.6,1356200,1346,15555813
2020-08-14,11.52,11.59,11.16,11.59,1574800,1400,17958491
2020-08-17,11.57,11.57,10.55,11.34,2059300,2181,22925892
2020-08-18,11.34,11.59,11.23,11.59,686300,1282,7892167
2020-08-19,11.57,11.57,11.33,11.45,561600,1394,6419623
2020-08-20,11.21,11.4,11.14,11.3,621800,1461,7008367
2020-08-21,11.29,11.52,11.18,11.38,1478500,3742,16770864
2020-08-24,11.39,11.5,11.08,11.25,1569700,3225,17641605
2020-08-25,11.26,11.46,11.14,11.4,678200,2840,7688486
2020-08-26,11.3,11.48,10.93,10.93,1359600,3013,15144601
2020-08-27,11.1,11.1,10.52,10.78,1437000,3183,15513377
2020-08-28,10.78,11.0,10.65,10.8,1936300,3857,20964782
2020-08-31,10.78,10.86,10.5,10.62,813300,2309,8640157
2020-09-01,10.63,10.88,10.62,10.85,3548800,2224,38264999
2020-09-02,10.73,10.99,10.7,10.89,698600,2943,7584274
2020-09-03,10.89,11.14,10.43,11.14,965600,3898,10473260
2020-09-04,11.02,12.0,10.9,12.0,901000,3177,10370645
2020-09-08,11.68,11.68,11.15,11.15,1254200,3520,14140861
2020-09-09,11.36,11.42,10.82,10.84,937400,3229,10243395
2020-09-10,10.84,10.89,10.6,10.65,469800,1431,5026923
2020-09-11,10.7,10.7,10.25,10.65,970500,2228,10133812
2020-09-14,10.6,10.6,10.13,10.39,2360500,2611,24284522
2020-09-15,10.31,10.59,9.99,10.59,2453300,4536,24926635
2020-09-16,10.49,10.7,10.26,10.59,660900,2624,6952832
2020-09-17,10.57,10.66,10.34,10.59,471700,1459,4985834
2020-09-18,10.42,10.69,10.37,10.45,737700,1538,7720699
2020-09-21,10.28,10.31,9.91,10.19,926900,3080,9355923
2020-09-22,10.13,10.2,9.7,10.13,4368300,3348,43369467
2020-09-23,10.13,10.21,9.93,10.0,1757700,1344,17577237
2020-09-24,10.0,10.23,9.94,10.0,1439000,3401,14424681
2020-09-25,9.91,10.09,9.8,10.05,1986900,1551,19680135
2020-09-28,10.13,10.13,9.65,9.65,695700,2676,6815678
2020-09-29,9.66,9.76,9.35,9.69,1161400,2960,11065464
2020-09-30,9.68,9.84,9.46,9.75,1748200,5085,16956899
2020-10-01,9.65,10.15,9.51,10.04,1132500,3872,11260739
2020-10-02,9.97,10.2,9.75,10.2,1056000,2705,10531173
2020-10-05,10.18,10.24,9.93,10.02,758700,2044,7644754
2020-10-06,10.2,10.2,9.82,9.91,580500,1581,5789249
2020-10-07,9.92,10.0,9.7,9.7,626500,1875,6163150
2020-10-08,9.82,9.84,9.69,9.84,444300,1233,4353596
2020-10-09,9.82,10.09,9.54,9.79,5309700,6683,51336562
2020-10-13,9.81,9.81,9.5,9.55,1003800,3002,9602158
2020-10-14,9.52,9.52,9.23,9.25,773800,1968,7199649
2020-10-15,9.18,9.18,8.97,9.14,1013900,2493,9217868
2020-10-16,9.24,9.4,9.06,9.24,6692700,2781,61182077
2020-10-19,9.24,9.51,9.21,9.3,1402500,1594,13071109
2020-10-20,9.38,9.49,9.18,9.3,3434000,2766,31824946
2020-10-21,9.32,9.4,9.28,9.4,896000,2395,8385283
2020-10-22,9.37,9.37,9.09,9.12,1552800,4276,14204748
2020-10-23,9.17,9.17,8.6,8.89,3557800,6968,31199968
2020-10-26,9.3,10.2,9.3,9.85,5514900,6888,53830668
2020-10-27,9.94,10.4,9.91,10.1,2200700,5214,22197419
2020-10-28,9.97,10.06,9.65,9.7,2125400,3780,20822742
2020-10-29,9.68,10.01,9.56,9.85,2743400,3320,26814769
2020-10-30,9.85,10.0,9.41,9.71,1600300,2761,15580149
2020-11-03,9.72,9.86,9.5,9.5,1135100,1801,10943883
2020-11-04,9.56,9.95,9.5,9.81,953300,3044,9356831
2020-11-05,10.0,10.0,9.78,9.78,819800,2852,8074110
2020-11-06,9.7,10.12,9.61,10.12,433300,1991,4302292
2020-11-09,10.37,11.12,10.24,10.84,4371700,3910,46550166
2020-11-10,10.87,11.32,10.51,11.29,7277500,5507,79412962
2020-11-11,10.92,11.48,10.85,11.4,4521700,4399,50836059
2020-11-12,11.3,11.3,10.74,11.0,1394800,3044,15316331
2020-11-13,11.49,11.49,11.0,11.2,4762000,5468,53318452
2020-11-16,11.3,11.78,11.3,11.62,2094700,3143,24212600
2020-11-17,11.53,11.65,11.28,11.55,2127100,5346,24502848
2020-11-18,11.44,11.8,11.15,11.7,5254800,4658,59468897
2020-11-19,11.64,11.71,11.39,11.51,902800,3455,10436491
2020-11-20,11.51,11.87,11.41,11.87,1180000,3343,13779004
2020-11-23,11.88,12.15,11.65,12.0,1437200,5011,17180516
2020-11-24,12.0,12.5,11.82,12.5,2889000,3659,35097544
2020-11-25,12.42,12.69,12.32,12.51,1537000,4640,19087262
2020-11-26,12.6,13.07,12.42,12.86,895900,2498,11439122
2020-11-27,12.8,13.11,12.72,13.0,1246600,3265,16199763
2020-11-30,12.99,13.3,12.85,12.91,5717000,7229,73990467
2020-12-01,13.19,13.19,12.68,12.8,1028200,3779,13203071
2020-12-02,12.79,13.21,12.65,13.1,701100,2995,9101276
2020-12-03,13.21,13.21,12.74,12.79,891900,3934,11531245
2020-12-04,12.93,12.97,12.54,12.92,962200,3907,12278458
2020-12-07,12.96,13.1,12.65,12.9,1122700,3168,14505707
2020-12-08,12.99,13.44,12.87,13.16,723000,2495,9570234
2020-12-09,13.16,13.28,12.81,13.01,719800,2887,9345697
2020-12-10,13.01,13.33,12.61,13.0,1215000,3982,15875044
2020-12-11,13.08,13.18,12.85,13.05,656700,2725,8547299
2020-12-14,13.16,13.3,12.75,13.23,813000,3746,10642833
2020-12-15,13.1,13.76,13.03,13.63,1871800,6763,25210158
2020-12-16,13.7,13.87,13.34,13.8,1599500,3501,21688762
2020-12-17,13.83,13.89,13.49,13.89,1532000,6554,21015556
2020-12-18,13.89,13.9,13.12,13.12,6581700,7478,87043338
2020-12-21,12.85,13.36,12.2,13.19,1580500,5865,20579142
2020-12-22,13.25,13.44,12.92,13.05,861800,3420,11229646
2020-12-23,13.15,13.52,12.92,13.52,795000,3323,10501811
2020-12-28,13.52,13.62,13.22,13.55,1014000,3608,13623695
2020-12-29,13.6,13.6,13.25,13.41,829700,3294,11144921
2020-12-30,13.44,13.59,13.31,13.39,1546600,4065,20748946
2021-01-04,13.69,13.69,12.85,13.15,879400,3578,11568960
2021-01-05,13.28,13.29,12.75,13.15,1346500,3450,17571155
2021-01-06,12.93,12.99,12.42,12.75,1769000,4976,22456121
2021-01-07,12.76,13.02,12.55,12.8,1537200,6723,19596911
2021-01-08,12.86,13.04,12.56,12.69,2103600,6017,26740141
2021-01-11,12.69,13.0,12.56,12.85,1537700,6068,19578804
2021-01-12,12.94,13.3,12.61,13.3,1414500,4835,18324013
2021-01-13,13.3,13.4,12.7,13.34,1925800,5692,25198702
2021-01-14,13.38,14.07,13.22,13.84,2387100,4102,32464108
2021-01-15,13.84,14.63,13.49,14.55,2562000,3760,35824870
2021-01-18,14.63,15.27,14.52,15.09,2952800,6272,44202298
2021-01-19,15.1,15.67,14.9,15.63,3362700,4805,51667843
2021-01-20,15.63,15.82,15.33,15.71,1387900,5602,21699448
2021-01-21,15.7,15.89,15.28,15.5,1864500,5424,29057719
2021-01-22,15.26,15.4,14.65,14.99,2687700,7047,40345721
2021-01-26,14.99,15.95,14.87,15.73,1523000,5960,23861702
2021-01-27,15.72,15.73,14.91,15.4,1747900,6280,26721954
2021-01-28,15.4,15.93,15.14,15.41,1427900,4790,22150593
2021-01-29,15.37,15.5,14.52,14.97,1932200,7004,28747246
2021-02-01,15.19,15.5,14.84,15.27,627800,2368,9569542
2021-02-02,15.19,15.65,15.11,15.33,750400,3497,11516168
2021-02-03,15.43,16.21,14.96,15.13,1556600,4086,23708930
2021-02-04,15.17,15.3,14.85,15.16,643800,2779,9715378
2021-02-05,15.22,15.24,14.68,14.72,955900,4196,14212561
2021-02-08,14.78,15.3,14.7,15.0,2473800,4021,37120612
2021-02-09,14.91,15.5,14.91,15.37,827300,4099,12658750
2021-02-10,15.54,15.54,14.6,15.0,2796900,5134,41881315
2021-02-11,15.09,15.34,14.91,15.13,1345000,3452,20336493
2021-02-12,15.0,15.22,14.65,14.76,980100,4031,14549653
2021-02-17,14.75,14.8,14.38,14.5,802300,2884,11679700
2021-02-18,14.45,14.74,14.34,14.66,749700,4055,10930382
2021-02-19,14.65,14.69,14.41,14.5,488500,2711,7101040
2021-02-22,14.3,14.49,13.81,14.2,791800,3748,11193330
2021-02-23,14.31,14.49,13.75,14.32,1046000,4292,14810255
2021-02-24,14.29,14.33,13.8,14.06,1283300,5901,17925585
2021-02-25,14.0,14.34,13.65,13.85,1145300,5279,16011651
2021-02-26,13.85,14.06,13.29,13.41,796700,3510,10764031
2021-03-01,13.57,13.86,13.13,13.29,658200,2491,8774363
2021-03-02,13.03,13.74,12.65,13.56,862300,4662,11376803
2021-03-03,13.36,13.7,12.67,13.27,1630700,4073,21490957
2021-03-04,13.26,13.45,12.87,13.0,1037100,4139,13597145
2021-03-05,12.87,13.4,11.96,13.15,4140400,12028,52289664
2021-03-08,12.85,13.18,12.17,12.37,1436300,5649,18101879
2021-03-09,12.32,12.55,11.75,12.32,1723300,6928,20935678
2021-03-10,12.5,13.11,12.28,12.94,1916700,5707,24382559
2021-03-11,12.96,13.63,12.84,13.45,1875900,5272,24974740
2021-03-12,13.46,13.66,13.0,13.48,901700,3866,12073260
2021-03-15,13.4,14.01,13.35,13.96,1126900,4582,15562871
2021-03-16,13.8,14.2,13.67,13.99,887400,3189,12399657
2021-03-17,13.71,14.68,13.68,14.65,1274100,6063,17998351
2021-03-18,14.66,14.75,13.73,13.73,866900,3110,12084096
2021-03-19,13.85,14.31,13.68,14.31,1322100,2593,18594766
2021-03-22,14.07,14.82,14.07,14.51,933900,3981,13486030
2021-03-23,14.58,14.71,14.1,14.24,782900,3303,11196702
2021-03-24,14.44,14.44,13.69,13.94,944800,4016,13181534
2021-03-25,13.94,14.31,13.44,14.0,1563700,6284,21602262
2021-03-26,14.05,14.43,13.73,14.0,949800,4218,13269934
2021-03-29,13.92,14.35,13.67,14.04,965900,4543,13474727
2021-03-30,14.03,14.66,13.95,14.39,2848200,5254,41005490
2021-03-31,14.34,15.05,14.2,14.69,1581500,7374,22932803
2021-04-01,14.83,14.95,14.4,14.57,1586300,4471,23216181
2021-04-05,14.67,15.34,14.44,14.9,1461000,6204,21770357
2021-04-06,14.86,14.98,14.46,14.77,1269800,6658,18725103
2021-04-07,14.7,15.17,14.7,14.89,710200,2966,10591726
2021-04-08,14.89,15.11,14.76,14.9,871700,3117,12993884
2021-04-09,14.85,15.13,14.65,14.95,1630600,4885,24302984
2021-04-12,14.93,15.05,14.75,14.84,741100,3333,11000849
2021-04-13,14.84,14.84,14.46,14.66,749600,3057,10955894
2021-04-14,14.68,14.86,14.27,14.73,967800,4639,14154655
2021-04-15,14.73,15.49,14.61,14.81,3423600,6359,50899957
2021-04-16,14.77,15.43,14.67,14.84,2821600,9564,42376174
2021-04-19,14.87,15.19,14.44,14.61,1435600,4686,21012883
2021-04-20,14.71,14.72,14.22,14.34,1315000,4103,18910244
2021-04-22,14.42,14.44,13.97,14.03,1052700,4359,14857703
2021-04-23,14.14,14.37,13.88,14.1,914100,2697,12874363
2021-04-26,14.79,14.8,12.42,12.67,15448600,34952,199815966
2021-04-27,12.85,12.98,11.63,11.9,13620500,22341,163763973
2021-04-28,12.03,12.13,11.42,12.0,17432800,19455,204210824
2021-04-29,12.02,12.39,11.9,12.15,5028300,13499,60856298
2021-04-30,12.2,12.59,11.93,12.12,9634500,20707,117688071
2021-05-03,12.15,12.25,11.95,12.0,2749100,9350,33273957
2021-05-04,12.02,12.08,11.81,11.94,1645500,7583,19660599
2021-05-05,12.0,12.36,11.85,11.99,3718800,6661,45008159
2021-05-06,12.0,12.07,11.78,12.0,2703300,5571,32222711
2021-05-07,12.05,12.64,11.99,12.64,3688300,6201,45589174
2021-05-10,12.8,12.8,12.39,12.75,2511600,5945,31766967
2021-05-11,12.6,12.78,12.42,12.65,2158100,4219,27224309
2021-05-12,12.65,12.75,12.2,12.4,2748100,4520,33955116
2021-05-13,12.41,12.67,12.26,12.45,3918300,5234,48817704
2021-05-14,12.65,13.28,12.51,13.2,11482500,10743,149788191
2021-05-17,13.19,13.41,13.05,13.08,2698700,4134,35471904
2021-05-18,13.08,13.25,12.96,13.19,4697600,4190,61458788
2021-05-19,13.06,13.24,12.56,12.81,2959200,3761,38030058
2021-05-20,12.85,13.25,12.7,13.13,2548800,4637,33141168
2021-05-21,13.1,13.5,13.03,13.41,2592500,4777,34480910
2021-05-24,13.41,13.45,13.21,13.36,1192600,3899,15915765
2021-05-25,13.39,13.47,13.29,13.3,1026400,3697,13710375
2021-05-26,13.3,13.8,13.29,13.59,3399300,5654,46066550
2021-05-27,13.64,14.7,13.59,14.57,7102400,7861,100250816
2021-05-28,14.51,15.16,14.4,15.0,6296800,9963,92751352
2021-05-31,14.95,15.34,14.67,15.19,2619700,7190,39453890
2021-06-01,15.35,15.53,15.16,15.5,2834300,8848,43709867
2021-06-02,15.53,15.78,15.14,15.53,3614600,9955,55723829
2021-06-04,15.38,15.64,15.31,15.52,2807100,8456,43572960
2021-06-07,15.5,15.62,15.35,15.45,1513700,6617,23414430
2021-06-08,15.43,15.75,15.37,15.65,1888200,8181,29395942
2021-06-09,15.58,15.95,15.48,15.94,2215400,5448,35068393
2021-06-10,15.99,16.26,15.65,16.23,2086600,5642,33489144
2021-06-11,16.25,16.75,16.1,16.53,5535200,9883,90618956
2021-06-14,16.56,17.18,16.49,17.0,3047800,9991,51877980
2021-06-15,17.09,17.09,16.53,16.6,905700,3905,15096136
2021-06-16,16.6,16.84,16.3,16.59,1065700,4854,17691498
2021-06-17,16.23,16.53,15.88,16.34,1711700,7237,28026459
2021-06-18,16.59,17.08,16.36,16.54,2007200,6306,33404231
2021-06-21,16.56,16.81,16.25,16.78,1108800,5306,18447143
2021-06-22,16.84,16.84,16.45,16.55,1030800,5044,17075512
2021-06-23,16.58,16.65,16.21,16.29,695500,2559,11381941
2021-06-24,16.37,16.74,16.25,16.74,779000,2734,12905190
2021-06-25,16.72,16.72,15.69,16.11,1445700,4681,23299389
2021-06-28,16.14,16.42,15.97,16.24,1172700,4992,19007180
2021-06-29,16.29,16.33,15.82,16.0,1531400,4244,24434716
2021-06-30,15.88,16.3,15.61,15.94,3160400,10927,50506774
2021-07-01,16.01,16.12,15.39,15.58,4292600,16029,67420799
