Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-06,13.69335,13.69335,13.69335,13.69335,100,1,381
2010-01-18,16.17325,16.17325,16.17325,16.17325,500,2,2250
2010-01-28,17.97028,19.55167,17.97028,19.55167,400,4,2127
2010-03-22,17.93434,17.93434,17.93434,17.93434,100,1,499
2010-03-23,16.53266,16.60454,16.53266,16.5686,5300,5,24410
2010-03-24,14.73563,14.73563,14.73563,14.73563,7000,5,28700
2010-04-01,14.66375,14.66375,14.66375,14.66375,300,1,1224
2010-04-19,10.4587,10.96187,10.4587,10.96187,2700,12,8145
2010-04-26,10.99781,12.54325,10.99781,12.54325,2100,5,6899
2010-04-27,12.54325,12.54325,12.54325,12.54325,400,1,1396
2010-04-28,12.5792,12.5792,12.54325,12.54325,2600,2,9075
2010-05-24,11.03375,11.03375,11.03375,11.03375,2000,4,6140
2010-06-08,11.06969,11.06969,11.06969,11.06969,1000,2,3080
2010-07-01,11.03375,11.03375,11.03375,11.03375,300,3,921
2010-07-05,11.03375,11.03375,11.03375,11.03375,800,2,2456
2010-09-27,9.77583,9.77583,9.77583,9.77583,3700,5,10064
2010-09-29,9.77583,9.77583,9.77583,9.77583,300,1,816
2010-10-05,9.77583,9.77583,9.77583,9.77583,1000,2,2720
2010-10-06,10.42276,10.42276,10.42276,10.42276,1100,4,3190
2010-11-05,10.38682,10.38682,9.52425,9.52425,500,3,1397
2010-11-16,10.42276,12.65108,10.42276,12.65108,127800,34,374867
2010-11-17,12.5792,16.17325,12.5792,16.17325,33300,75,134577
2010-11-18,16.17325,16.17325,13.47771,14.73563,16400,36,65264
2010-11-19,15.27474,21.56434,14.91533,21.56434,70100,135,333179
2010-11-22,23.54107,24.97869,23.54107,24.43958,19800,72,134396
2010-11-23,24.40364,25.15839,21.02523,22.57067,16200,58,102371
2010-11-24,22.57067,23.00196,19.4079,19.76731,7400,42,42084
2010-11-25,19.76731,22.57067,19.76731,21.60028,13000,48,77621
2010-11-26,21.49245,21.92374,19.0485,20.30642,32000,137,176578
2010-11-29,19.62355,20.12671,18.32969,19.76731,5400,44,29035
2010-11-30,19.65949,20.7377,16.42484,16.42484,8000,42,39994
2010-12-01,17.61087,19.4079,16.92801,17.97028,20900,103,105663
2010-12-02,18.83285,18.83285,16.53266,17.75464,7500,38,36240
2010-12-03,17.8984,17.8984,14.37622,14.69969,55300,130,227962
2010-12-06,15.67008,16.89206,15.45444,15.99355,14500,65,64143
2010-12-07,15.92167,16.60454,15.45444,15.45444,3500,19,15458
2010-12-08,16.13731,17.97028,15.99355,17.97028,45500,106,219970
2010-12-09,17.97028,17.97028,17.25147,17.61087,3200,17,15797
2010-12-10,17.97028,17.97028,16.71236,16.71236,22300,44,109658
2010-12-13,17.57493,17.97028,17.07177,17.07177,14400,36,70046
2010-12-14,17.43117,17.79058,16.35296,17.57493,2100,17,9979
2010-12-15,17.25147,17.82652,16.17325,17.25147,9500,47,43564
2010-12-16,17.28741,17.61087,16.89206,17.53899,2700,11,13009
2010-12-17,17.61087,17.86246,17.61087,17.82652,2300,13,11307
2010-12-20,17.79058,17.97028,17.14365,17.79058,7500,51,37084
2010-12-21,17.8984,17.8984,17.10771,17.57493,1700,15,8269
2010-12-22,17.43117,17.93434,17.25147,17.93434,3500,10,16968
2010-12-23,17.75464,17.75464,16.89206,17.75464,1200,8,5834
2010-12-27,16.53266,17.93434,16.53266,17.82652,2200,9,10373
2010-12-28,17.43117,17.43117,17.43117,17.43117,100,1,485
2010-12-29,17.75464,17.79058,17.75464,17.79058,200,2,989
2010-12-30,17.79058,17.79058,17.79058,17.79058,400,3,1980
2011-01-03,17.97028,22.46285,17.97028,21.49245,191800,325,1055386
2011-01-04,23.07384,26.23661,21.99562,22.24721,191500,414,1278014
2011-01-05,22.46285,22.89414,19.4079,19.65949,83700,205,480205
2011-01-06,19.87513,21.45652,19.76731,20.34236,29000,76,164035
2011-01-07,20.88147,23.28948,20.77364,21.56434,96800,174,593882
2011-01-10,21.38463,21.56434,20.12671,20.62988,28200,55,161779
2011-01-11,20.88147,21.09711,19.58761,20.95335,28000,45,160109
2011-01-12,20.80958,21.52839,20.80958,21.16899,9400,26,55088
2011-01-13,21.56434,21.56434,20.12671,20.12671,3900,12,22451
2011-01-14,20.84553,20.84553,20.12671,20.30642,2800,9,15745
2011-01-17,20.59394,21.02523,20.48612,20.84553,7700,13,44222
2011-01-18,20.80958,20.84553,19.76731,20.45018,6200,15,34783
2011-01-19,20.84553,20.84553,19.4079,19.4079,16400,40,89766
2011-01-20,20.16265,20.16265,18.68909,19.76731,9300,29,49533
2011-01-21,19.73137,19.73137,18.90474,18.90474,600,5,3244
2011-01-24,19.37196,20.62988,15.09503,16.53266,188000,285,902568
2011-01-26,17.21553,17.97028,15.56226,16.24513,45200,83,213480
2011-01-27,15.84979,16.53266,15.56226,15.74197,16900,36,74222
2011-01-28,16.13731,16.13731,14.59187,14.69969,13200,36,55305
2011-01-31,14.95127,15.38256,14.37622,14.62781,12100,20,49169
2011-02-01,14.87939,15.27474,14.87939,15.27474,500,4,2099
2011-02-02,15.27474,17.17959,15.27474,17.17959,28200,56,125488
2011-02-03,17.39523,17.68275,16.17325,16.17325,28400,35,136986
2011-02-04,17.28741,17.28741,15.77791,16.35296,11100,15,49521
2011-02-07,16.67642,16.67642,15.31068,16.35296,2500,5,11297
2011-02-08,16.17325,16.17325,16.17325,16.17325,400,2,1800
2011-02-09,15.56226,16.13731,15.56226,16.13731,1500,5,6551
2011-02-10,15.52632,16.17325,14.80751,15.16692,3700,21,15853
2011-02-11,15.2388,15.2388,15.2388,15.2388,100,1,424
2011-02-14,14.84345,16.35296,14.77157,15.34662,2600,10,11037
2011-02-15,15.27474,15.27474,15.27474,15.27474,100,1,425
2011-02-16,15.09503,16.17325,14.95127,16.17325,500,4,2130
2011-02-17,16.13731,16.17325,15.88573,15.88573,1100,3,4941
2011-02-18,15.45444,15.45444,14.77157,14.77157,2300,9,9678
2011-02-21,15.45444,16.02949,15.27474,15.81385,2900,8,12446
2011-02-22,15.81385,15.81385,15.27474,15.70603,4900,11,20957
2011-02-23,15.99355,17.7187,15.67008,16.89206,9200,20,41236
2011-02-24,16.53266,16.53266,15.84979,15.84979,1800,5,7976
2011-02-25,16.42484,17.25147,16.42484,17.14365,6100,17,28359
2011-02-28,17.21553,17.21553,17.21553,17.21553,100,1,479
2011-03-01,15.88573,16.64048,15.88573,16.17325,1700,5,7618
2011-03-02,15.16692,15.67008,15.16692,15.45444,9700,6,40996
2011-03-03,15.20286,17.14365,15.16692,17.14365,7200,12,31636
2011-03-09,15.52632,17.64681,15.31068,16.71236,15900,30,70677
2011-03-10,17.61087,17.61087,16.20919,16.20919,9900,19,46050
2011-03-11,17.07177,17.07177,15.20286,15.45444,4300,9,18692
2011-03-14,15.49038,15.81385,14.98721,15.74197,6500,12,27704
2011-03-15,15.4185,15.63414,14.37622,15.63414,7800,17,32517
2011-03-16,16.53266,16.53266,15.56226,15.56226,200,2,893
2011-03-17,15.74197,15.74197,15.74197,15.74197,100,1,438
2011-03-18,14.73563,15.31068,14.37622,15.27474,5900,18,24146
2011-03-22,14.55593,14.59187,14.41216,14.59187,3800,5,15282
2011-03-23,14.55593,14.73563,14.55593,14.59187,4500,7,18329
2011-03-25,14.48405,14.73563,14.48405,14.73563,1200,4,4878
2011-03-28,14.48405,15.2388,14.48405,14.66375,7800,15,31992
2011-03-29,15.02315,15.09503,15.02315,15.09503,500,2,2098
2011-03-30,15.09503,16.13731,15.09503,15.09503,2700,6,11432
2011-03-31,15.16692,15.5982,15.05909,15.5982,6700,10,28638
2011-04-01,18.32969,20.12671,17.97028,19.2282,102300,210,541964
2011-04-04,21.60028,28.64462,21.60028,28.64462,220500,432,1513346
2011-04-05,29.11186,37.19848,27.31483,29.6869,442200,903,4110765
2011-04-06,29.83067,31.05265,24.90681,26.95542,160700,322,1241782
2011-04-07,27.53047,29.65096,25.15839,25.33809,66100,177,500235
2011-04-08,26.8476,26.8476,24.72711,24.72711,12300,35,86586
2011-04-11,24.76305,31.08858,24.76305,30.90889,97900,274,798011
2011-04-12,32.59809,34.14353,28.75245,28.75245,71900,180,640533
2011-04-13,29.18373,31.62769,27.818,28.03364,23500,91,194575
2011-04-14,29.86661,30.90889,28.75245,29.43532,19600,50,162010
2011-04-15,30.87294,35.76086,30.87294,34.50294,104800,261,984664
2011-04-18,37.95324,52.1857,37.95324,46.00392,110300,356,1429055
2011-04-19,53.8749,57.5049,46.79461,51.2153,139800,352,2041477
2011-04-20,54.73747,56.24697,43.12867,47.33372,73600,243,1016735
2011-04-25,47.80095,51.35906,43.12867,46.72273,51800,181,672536
2011-04-26,46.65084,49.95738,44.9257,48.51976,42000,112,557041
2011-04-27,46.72273,48.16035,43.12867,43.12867,22500,69,288807
2011-04-28,43.12867,45.64451,37.37818,38.8158,51300,159,587483
2011-04-29,42.76926,43.12867,36.40779,40.25343,80500,239,913371
2011-05-02,43.12867,59.30193,42.40986,49.23857,1105600,452,1622635
2011-05-03,50.31678,50.31678,39.89402,42.05046,559200,245,698354
2011-05-04,42.40986,43.84748,32.3465,32.3465,495600,264,505775
2011-05-05,36.29996,37.73759,32.3465,33.42472,794600,296,776916
2011-05-06,34.50294,35.94056,29.47126,30.19007,367800,155,333089
2011-05-09,29.83066,38.4564,26.23661,37.01878,1774900,619,1613241
2011-05-10,38.8158,41.69105,36.29996,37.01878,1233900,449,1335893
2011-05-11,35.94056,37.73759,33.42472,34.14353,670100,220,665003
2011-05-12,33.78413,35.94056,32.3465,33.06532,476800,176,450345
2011-05-13,35.58116,35.58116,32.70591,33.78413,202800,87,192494
2011-05-16,34.14353,35.22175,32.3465,32.3465,148900,80,138133
2011-05-17,32.3465,33.78413,31.26829,31.62769,208500,92,188437
2011-05-18,30.90888,31.62769,27.67423,28.39304,642300,229,530228
2011-05-19,28.75245,29.83066,27.31483,27.67423,392900,135,312957
2011-05-20,27.67423,28.39304,26.95542,26.95542,262400,95,200641
2011-05-23,27.31483,28.75245,26.59602,27.31483,307500,99,233978
2011-05-24,28.03363,31.62769,28.03363,29.47126,1583600,484,1315715
2011-05-25,29.11186,29.83066,27.67423,27.67423,404200,161,321282
2011-05-26,28.39304,28.75245,27.31483,27.67423,159900,73,123742
2011-05-27,28.03363,28.03363,25.8772,26.59602,300700,114,224256
2011-05-30,26.59602,26.95542,24.43958,24.79899,455300,146,325062
2011-05-31,25.15839,25.8772,23.72077,24.08018,475800,125,326766
2011-06-01,24.79899,27.31483,24.79899,25.5178,669900,185,481557
2011-06-02,26.59602,27.31483,25.5178,25.8772,460500,155,338192
2011-06-03,25.8772,26.59602,25.15839,25.8772,106100,44,76225
2011-06-06,26.23661,26.59602,24.43958,24.79899,108500,45,76441
2011-06-07,24.79899,25.5178,24.43958,24.43958,103000,40,70430
2011-06-08,25.15839,25.15839,23.72077,23.72077,226000,60,152706
2011-06-09,24.08018,24.79899,23.00196,23.00196,93800,39,61336
2011-06-10,23.72077,23.72077,22.64255,22.64255,163400,66,104327
2011-06-13,23.72077,23.72077,21.92374,22.28315,232600,91,145055
2011-06-14,22.64255,22.64255,20.84552,20.84552,270200,100,163732
2011-06-15,21.56434,23.36136,21.56434,22.28315,464500,140,288799
2011-06-16,22.64255,22.64255,20.48612,20.84552,288900,88,170966
2011-06-17,21.20493,21.20493,19.76731,20.84552,250900,71,143321
2011-06-20,20.84552,20.84552,19.76731,19.76731,82000,50,45854
2011-06-21,20.12671,20.48612,18.68909,19.0485,125100,75,67319
2011-06-22,19.0485,20.12671,18.68909,19.0485,92100,55,49275
2011-06-24,19.0485,23.72077,18.32969,23.00196,804600,230,490342
2011-06-27,23.36136,28.03363,23.36136,25.8772,2723000,645,1959857
2011-06-28,29.47126,33.06532,27.67423,28.03363,1909600,569,1629051
2011-06-29,28.75245,28.75245,24.79899,25.8772,645400,200,475746
2011-06-30,25.8772,26.95542,24.43958,25.5178,275700,127,195547
2011-07-01,26.23661,28.03363,25.5178,26.59602,281600,117,212140
2011-07-04,27.31483,30.54948,27.31483,29.83066,755600,184,606057
2011-07-05,30.90888,32.3465,30.54948,31.26829,861400,270,752329
2011-07-06,31.62769,36.29996,31.26829,35.94056,1780400,565,1680821
2011-07-07,37.37818,40.61283,32.3465,32.3465,5300800,1362,5522818
2011-07-08,33.06532,34.14353,30.90888,30.90888,1131400,409,1023664
2011-07-11,28.03363,31.62769,27.31483,31.62769,970100,354,777804
2011-07-12,33.06532,33.42472,29.11186,29.47126,1018500,265,904516
2011-07-13,30.90888,32.3465,29.83066,30.54948,401400,90,344694
2011-07-14,30.54948,30.54948,28.03363,28.75245,211500,92,170108
2011-07-15,28.75245,31.62769,28.75245,30.54948,297600,116,248578
2011-07-18,30.19007,31.26829,29.83066,31.26829,232900,62,197341
2011-07-19,31.9871,32.70591,29.83066,30.19007,466200,143,399538
2011-07-20,30.19007,30.19007,27.67423,28.03363,383300,138,306807
2011-07-21,28.75245,29.11186,27.31483,28.03363,258100,84,199596
2011-07-22,28.39304,28.75245,25.15839,25.8772,207500,115,156627
2011-07-25,26.59602,26.59602,24.79899,25.5178,114400,57,81893
2011-07-26,26.23661,26.59602,24.08018,24.43958,136500,115,96120
2011-07-27,24.43958,24.43958,21.56434,21.92374,270600,71,179351
2011-07-28,23.36136,26.23661,22.64255,25.5178,167200,112,115435
2011-07-29,26.23661,26.23661,24.08018,25.15839,184100,65,128526
2011-08-01,26.23661,26.23661,25.15839,25.15839,63200,23,44559
2011-08-02,25.8772,25.8772,24.08018,24.08018,67100,27,46053
2011-08-03,23.72077,23.72077,22.28315,22.64255,185000,73,118430
2011-08-04,22.64255,22.64255,20.84552,20.84552,209800,53,126267
2011-08-05,21.92374,21.92374,20.84552,21.92374,201100,43,120715
2011-08-08,20.84552,21.56434,19.0485,19.4079,119900,59,67416
2011-08-09,20.48612,20.84552,20.12671,20.48612,99700,46,56421
2011-08-10,20.84552,21.20493,19.76731,19.76731,187600,80,107936
2011-08-11,20.84552,23.00196,20.48612,21.92374,318600,73,195839
2011-08-12,21.56434,21.92374,21.20493,21.56434,193700,44,116255
2011-08-15,26.95542,28.75245,25.15839,25.8772,988300,304,735294
2011-08-16,25.15839,25.8772,23.36136,24.08018,237300,100,161793
2011-08-17,25.15839,25.15839,23.72077,24.43958,57200,21,38243
2011-08-18,23.72077,24.43958,23.00196,23.00196,106300,96,69433
2011-08-19,23.36136,24.08018,22.28315,22.64255,110700,132,70815
2011-08-22,24.08018,24.43958,23.00196,23.72077,139500,101,92103
2011-08-23,24.08018,24.08018,22.28315,23.00196,176700,86,114249
2011-08-24,23.00196,23.36136,21.92374,22.28315,131900,50,82662
2011-08-25,22.64255,23.00196,22.28315,23.00196,43200,36,27348
2011-08-26,23.00196,23.00196,22.28315,22.64255,28200,16,17816
2011-08-29,22.64255,25.15839,22.28315,23.72077,301300,126,200022
2011-08-30,23.36136,23.72077,22.64255,23.72077,229800,88,148491
2011-08-31,24.08018,24.43958,23.36136,23.36136,93300,46,61494
2011-09-01,24.08018,24.43958,23.00196,23.36136,169200,63,111346
2011-09-02,23.36136,23.36136,22.64255,23.00196,70200,24,44914
2011-09-05,23.00196,23.72077,23.00196,23.00196,195900,42,127902
2011-09-06,25.8772,27.31483,25.15839,25.5178,1182800,428,856386
2011-09-08,26.59602,26.95542,25.15839,25.15839,300600,119,216591
2011-09-09,25.5178,25.5178,23.72077,24.43958,108200,55,72773
2011-09-12,25.15839,25.5178,24.43958,24.43958,63900,50,44113
2011-09-13,24.79899,25.15839,24.08018,24.08018,26900,20,18219
2011-09-14,24.08018,24.43958,23.00196,23.00196,150600,71,99081
2011-09-15,23.72077,23.72077,23.36136,23.36136,102700,40,67240
2011-09-16,23.72077,24.43958,23.36136,23.72077,87800,32,57773
2011-09-19,23.36136,23.72077,23.36136,23.36136,52500,20,34410
2011-09-20,23.72077,23.72077,23.36136,23.72077,57600,25,37714
2011-09-21,23.36136,23.72077,23.36136,23.36136,26700,14,17360
2011-09-22,23.36136,23.36136,21.92374,21.92374,143800,43,89929
2011-09-23,22.64255,22.64255,22.28315,22.64255,19000,9,11832
2011-09-26,22.64255,22.64255,22.28315,22.28315,60100,16,37773
2011-09-27,23.00196,23.00196,20.48612,21.92374,212900,61,129773
2011-09-28,21.92374,21.92374,20.84552,20.84552,70000,33,41496
2011-09-29,21.56434,21.56434,20.12671,20.48612,136000,41,77434
2011-09-30,20.48612,21.20493,20.48612,21.20493,65800,23,37750
2011-10-03,20.48612,20.48612,20.12671,20.12671,74300,20,41924
2011-10-04,19.76731,20.12671,18.68909,19.4079,110000,26,59816
2011-10-05,19.4079,19.4079,19.0485,19.4079,45200,15,24405
2011-10-06,20.12671,20.48612,19.4079,20.48612,66500,33,36796
2011-10-07,20.12671,20.48612,19.76731,19.76731,22400,16,12670
2011-10-10,20.48612,20.48612,19.76731,20.48612,27600,20,15503
2011-10-11,20.48612,20.48612,19.76731,20.12671,40200,15,22496
2011-10-13,20.84552,20.84552,19.76731,20.12671,54600,29,30717
2011-10-14,20.12671,20.12671,19.76731,20.12671,21900,10,12226
2011-10-17,20.12671,20.48612,20.12671,20.48612,24600,14,13992
2011-10-18,20.12671,21.56434,20.12671,20.12671,236600,59,137345
2011-10-19,20.84552,20.84552,20.12671,20.48612,111200,23,63710
2011-10-20,20.48612,20.84552,20.12671,20.48612,38100,17,21507
2011-10-21,20.48612,21.92374,20.48612,21.20493,146500,41,85582
2011-10-24,21.20493,25.5178,21.20493,25.5178,1385000,341,924132
2011-10-25,25.8772,26.23661,21.56434,23.00196,1038600,263,682605
2011-10-26,23.36136,24.79899,22.64255,24.43958,409400,258,271340
2011-10-27,24.79899,25.8772,24.79899,24.79899,377400,101,264144
2011-10-28,24.79899,25.5178,24.43958,25.15839,78600,35,54357
2011-10-31,24.43958,25.5178,23.72077,25.5178,89200,49,61485
2011-11-01,24.79899,24.79899,24.08018,24.08018,17600,8,11884
2011-11-03,24.79899,25.15839,23.72077,24.43958,28500,16,19547
2011-11-04,24.08018,24.43958,23.72077,24.43958,52700,28,35465
2011-11-07,23.72077,23.72077,22.64255,23.36136,81100,30,52715
2011-11-08,26.59602,27.31483,25.15839,25.8772,1566900,574,1149714
2011-11-09,25.15839,26.59602,24.79899,25.15839,317000,112,224091
2011-11-10,25.8772,25.8772,24.79899,25.15839,156700,40,109882
2011-11-11,25.15839,25.15839,24.08018,24.43958,141400,31,96135
2011-11-14,24.08018,25.15839,23.72077,25.15839,78900,42,53354
2011-11-16,24.43958,25.8772,23.36136,24.43958,572100,171,386823
2011-11-17,24.79899,25.5178,23.00196,23.00196,129700,61,86998
2011-11-18,23.36136,23.72077,23.00196,23.72077,89100,33,57851
2011-11-21,23.00196,23.00196,22.28315,22.64255,62200,28,39140
2011-11-22,22.28315,22.28315,21.20493,21.56434,180000,64,109069
2011-11-23,21.56434,22.28315,21.56434,21.56434,31600,12,19150
2011-11-24,21.56434,21.56434,20.84552,21.20493,124300,38,73182
2011-11-25,21.20493,21.56434,20.48612,20.84552,86900,20,50453
2011-11-28,21.56434,21.56434,20.84552,20.84552,97700,69,57589
2011-11-29,21.56434,21.56434,20.84552,21.56434,55700,29,33054
2011-11-30,21.56434,22.28315,21.56434,22.28315,78600,26,47842
2011-12-01,22.28315,22.28315,21.56434,22.28315,8900,9,5455
2011-12-02,22.28315,22.28315,21.20493,21.20493,40100,18,24039
2011-12-05,21.20493,21.20493,21.20493,21.20493,9200,3,5428
2011-12-06,21.20493,21.56434,20.84552,20.84552,64000,24,37387
2011-12-07,21.20493,21.56434,21.20493,21.56434,16600,11,9847
2011-12-08,20.84552,21.20493,20.48612,20.48612,119100,29,68718
2011-12-09,20.84552,21.20493,20.48612,20.48612,112700,26,64492
2011-12-12,20.84552,20.84552,20.12671,20.12671,33200,12,18729
2011-12-13,20.12671,21.20493,20.12671,20.48612,45200,18,25606
2011-12-14,20.12671,20.48612,20.12671,20.12671,32600,8,18306
2011-12-15,20.84552,20.84552,20.12671,20.48612,4600,3,2622
2011-12-16,20.48612,20.48612,20.12671,20.12671,8700,5,4904
2011-12-19,20.48612,20.48612,19.0485,19.0485,54300,21,29076
2011-12-20,19.4079,19.76731,19.4079,19.76731,33900,8,18476
2011-12-21,19.76731,20.48612,19.4079,19.4079,26200,6,14462
2011-12-22,19.4079,19.76731,19.4079,19.76731,16100,9,8795
2011-12-23,19.4079,20.12671,19.4079,20.12671,37600,12,20724
2011-12-26,19.0485,19.76731,18.32969,19.76731,23500,14,12402
2011-12-27,19.0485,20.12671,18.32969,20.12671,12800,26,6942
2011-12-28,20.12671,21.56434,19.76731,21.20493,317000,92,182539
2011-12-29,21.20493,23.00196,21.20493,21.56434,221600,112,134503
2012-01-02,21.20493,21.20493,20.48612,20.48612,94100,21,54820
2012-01-03,21.20493,21.20493,20.12671,20.12671,56000,12,31935
2012-01-04,20.48612,20.48612,19.4079,20.12671,148200,34,82198
2012-01-05,20.12671,20.48612,20.12671,20.12671,126500,15,71063
2012-01-06,20.12671,20.12671,19.76731,19.76731,34000,13,18741
2012-01-09,19.76731,19.76731,19.76731,19.76731,8000,6,4400
2012-01-10,19.76731,20.48612,19.76731,20.48612,98400,34,55033
2012-01-11,20.12671,20.12671,19.4079,19.76731,66100,30,36357
2012-01-12,20.12671,21.56434,19.76731,20.48612,259100,84,148924
2012-01-13,20.84552,21.20493,20.48612,20.84552,71000,12,40483
2012-01-16,21.20493,21.20493,20.48612,20.48612,73500,49,42595
2012-01-17,20.84552,22.64255,20.84552,21.20493,87500,45,51755
2012-01-18,21.20493,21.20493,20.84552,20.84552,61500,18,36120
2012-01-19,21.20493,21.20493,20.84552,21.20493,39500,15,23112
2012-01-20,21.20493,21.20493,21.20493,21.20493,2000,1,1180
2012-01-23,21.20493,21.92374,21.20493,21.20493,25500,14,15200
2012-01-24,21.56434,21.92374,21.20493,21.20493,195100,43,117349
2012-01-26,21.20493,21.56434,21.20493,21.20493,30400,13,18026
2012-01-27,21.56434,21.56434,21.20493,21.56434,83000,14,49798
2012-01-30,21.56434,22.64255,21.56434,22.28315,201700,27,125072
2012-01-31,22.64255,24.79899,22.64255,23.36136,464100,104,302869
2012-02-01,23.72077,25.15839,23.72077,24.43958,175500,55,119607
2012-02-02,24.79899,24.79899,24.08018,24.08018,37100,13,24987
2012-02-03,24.08018,24.43958,23.72077,24.08018,57900,17,38783
2012-02-06,24.08018,24.08018,23.72077,23.72077,4500,5,2982
2012-02-07,23.72077,23.72077,23.72077,23.72077,22900,6,15114
2012-02-08,23.72077,25.5178,23.36136,24.08018,290100,179,197299
2012-02-09,24.79899,24.79899,23.72077,24.08018,78200,28,52404
2012-02-10,23.72077,24.43958,23.72077,24.08018,43400,22,28959
2012-02-13,24.43958,24.43958,24.08018,24.43958,4000,4,2710
2012-02-14,26.95542,28.03363,25.8772,28.03363,757500,219,569515
2012-02-15,28.8696,30.1248,27.196,28.0328,251700,87,170059
2012-02-16,28.0328,28.0328,26.3592,27.6144,98000,25,62439
2012-02-17,26.7776,27.6144,25.9408,26.3592,230900,43,146618
2012-02-22,26.7776,26.7776,26.7776,26.7776,32800,7,20992
2012-02-23,27.196,27.196,25.9408,26.7776,53000,12,32995
2012-02-24,26.7776,28.4512,26.7776,28.4512,95200,32,64253
2012-02-27,28.8696,29.288,28.0328,28.8696,255200,69,174831
2012-02-28,28.8696,29.7064,27.196,28.4512,154400,64,104174
2012-02-29,28.0328,29.288,27.196,27.196,203800,60,136046
2012-03-01,27.196,28.0328,27.196,28.0328,116900,28,76799
2012-03-02,28.0328,28.0328,27.196,28.0328,71600,19,47212
2012-03-05,28.0328,28.8696,27.196,28.4512,130200,38,87854
2012-03-06,28.0328,29.288,28.0328,29.288,53300,37,36359
2012-03-07,28.8696,31.38,28.8696,30.9616,278200,107,202049
2012-03-08,31.38,32.6352,30.5432,31.38,117300,64,88756
2012-03-09,30.9616,32.6352,28.8696,29.7064,182400,68,131855
2012-03-12,29.7064,31.7984,29.7064,30.5432,122200,52,89128
2012-03-13,30.9616,31.7984,30.5432,31.7984,205700,55,153451
2012-03-14,31.38,32.2168,30.1248,31.38,123100,42,90258
2012-03-15,31.38,31.7984,30.5432,31.38,32900,24,24759
2012-03-16,31.7984,32.2168,30.5432,30.9616,43900,36,32671
2012-03-19,31.38,31.7984,30.5432,30.5432,20900,25,15575
2012-03-20,31.38,31.7984,30.9616,30.9616,27600,17,20594
2012-03-21,32.2168,32.2168,30.5432,31.38,178700,51,135646
2012-03-22,32.2168,33.0536,30.9616,30.9616,74700,67,57032
2012-03-23,31.38,32.6352,30.9616,31.7984,255700,82,194224
2012-03-26,31.7984,32.6352,30.1248,30.5432,718500,865,547166
2012-03-27,31.38,32.2168,30.9616,31.38,146000,62,109999
2012-03-28,31.7984,31.7984,30.5432,30.9616,428000,74,319535
2012-03-29,31.38,31.7984,30.5432,31.38,148500,55,109945
2012-03-30,31.38,31.38,30.1248,30.5432,95000,16,69304
2012-04-02,29.7064,30.1248,27.6144,29.7064,335300,87,228893
2012-04-03,30.1248,30.1248,28.0328,28.4512,119200,42,81625
2012-04-04,28.4512,28.8696,27.6144,28.0328,54900,20,36782
2012-04-05,28.0328,29.288,28.0328,28.0328,28000,19,18944
2012-04-09,28.0328,28.0328,26.3592,26.3592,116300,33,74387
2012-04-10,26.3592,26.7776,25.9408,26.7776,35600,23,22390
2012-04-11,27.196,27.196,26.7776,26.7776,16000,7,10270
2012-04-12,26.3592,26.7776,25.9408,26.3592,67200,12,41916
2012-04-13,26.3592,26.3592,25.104,25.104,109400,26,66092
2012-04-16,25.104,25.104,24.2672,24.6856,46500,15,27487
2012-04-17,25.104,25.104,23.8488,23.8488,37000,17,21657
2012-04-18,24.6856,24.6856,23.8488,23.8488,122200,29,70412
2012-04-19,24.2672,24.6856,24.2672,24.6856,54200,14,31467
2012-04-20,24.6856,24.6856,23.8488,23.8488,110400,26,63658
2012-04-23,24.2672,24.2672,23.8488,24.2672,97900,11,56089
2012-04-24,24.2672,25.5224,24.2672,25.104,119700,32,71482
2012-04-25,25.104,25.5224,24.6856,24.6856,34600,12,20757
2012-04-26,25.104,25.104,24.2672,24.2672,55700,19,32858
2012-04-27,24.6856,24.6856,23.8488,23.8488,17100,8,9897
2012-04-30,24.6856,24.6856,24.2672,24.6856,22800,8,13427
2012-05-02,24.6856,25.5224,24.6856,25.104,18700,12,11227
2012-05-03,25.104,25.104,24.6856,24.6856,31000,3,18590
2012-05-04,25.104,25.104,24.2672,24.2672,8200,6,4800
2012-05-07,23.8488,24.2672,23.8488,23.8488,75000,15,42754
2012-05-08,23.8488,24.2672,23.8488,24.2672,48200,14,27661
2012-05-09,23.8488,24.2672,23.8488,24.2672,56800,15,32713
2012-05-10,24.2672,25.104,24.2672,24.2672,37000,12,21526
2012-05-11,24.2672,24.2672,24.2672,24.2672,6000,1,3480
2012-05-14,24.2672,24.6856,24.2672,24.2672,26000,6,15090
2012-05-15,23.8488,25.104,23.012,25.104,42400,16,23862
2012-05-16,24.2672,24.2672,23.012,23.012,42000,25,23411
