Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,0.28,0.3,0.28,0.3,37200000,16,10947
2010-01-05,0.3,0.31,0.29,0.3,146200000,23,43871
2010-01-06,0.31,0.31,0.29,0.3,46600000,22,13981
2010-01-07,0.29,0.31,0.29,0.31,93800000,23,28560
2010-01-08,0.31,0.31,0.3,0.3,174100000,28,52349
2010-01-11,0.31,0.35,0.3,0.32,754500000,104,242500
2010-01-12,0.34,0.39,0.32,0.37,1436500000,184,507376
2010-01-13,0.4,0.43,0.38,0.39,1617600000,242,646668
2010-01-14,0.38,0.39,0.35,0.39,383900000,68,143200
2010-01-15,0.38,0.38,0.36,0.37,183700000,32,67435
2010-01-18,0.38,0.39,0.37,0.37,212200000,35,80189
2010-01-19,0.38,0.39,0.38,0.39,123700000,34,47352
2010-01-20,0.38,0.49,0.38,0.44,1835700000,295,802048
2010-01-21,0.45,0.49,0.39,0.39,511100000,90,209086
2010-01-22,0.4,0.4,0.37,0.37,260700000,39,101048
2010-01-26,0.38,0.38,0.37,0.37,81200000,19,30754
2010-01-27,0.38,0.38,0.37,0.37,119300000,17,44427
2010-01-28,0.38,0.38,0.37,0.37,55300000,12,20504
2010-01-29,0.37,0.38,0.37,0.37,83400000,17,30863
2010-02-01,0.37,0.42,0.37,0.41,282300000,57,112913
2010-02-02,0.42,0.43,0.41,0.42,183000000,51,76599
2010-02-03,0.42,0.42,0.4,0.4,154600000,44,63137
2010-02-04,0.42,0.42,0.37,0.37,454500000,62,171423
2010-02-05,0.37,0.39,0.34,0.39,307600000,41,111148
2010-02-08,0.37,0.39,0.37,0.39,19200000,9,7314
2010-02-09,0.39,0.49,0.39,0.49,1144300000,365,511822
2010-02-10,0.57,0.6,0.5,0.53,2664800000,403,1488857
2010-02-11,0.52,0.53,0.47,0.5,459500000,150,228398
2010-02-12,0.54,0.54,0.48,0.52,125600000,52,62591
2010-02-17,0.5,0.51,0.48,0.51,76600000,33,38233
2010-02-18,0.49,0.49,0.45,0.47,196400000,37,91081
2010-02-19,0.47,0.47,0.45,0.46,120700000,22,55539
2010-02-22,0.46,0.47,0.46,0.47,17600000,6,8146
2010-02-23,0.45,0.46,0.42,0.46,161600000,41,71905
2010-02-24,0.46,0.54,0.46,0.48,1195000000,221,610889
2010-02-25,0.49,0.5,0.48,0.5,79700000,50,38803
2010-02-26,0.48,0.49,0.47,0.48,90100000,25,43056
2010-03-01,0.5,0.58,0.5,0.53,1809000000,704,970092
2010-03-02,0.55,0.56,0.5,0.5,857000000,379,440694
2010-03-03,0.51,0.52,0.49,0.49,323900000,59,164248
2010-03-04,0.5,0.5,0.48,0.48,91900000,27,45151
2010-03-05,0.49,0.52,0.48,0.52,225800000,128,111396
2010-03-08,0.52,0.53,0.47,0.47,195100000,105,95358
2010-03-09,0.5,0.5,0.48,0.49,65900000,33,32169
2010-03-10,0.5,0.5,0.48,0.48,215600000,33,104588
2010-03-11,0.49,0.49,0.48,0.49,49800000,12,24294
2010-03-12,0.49,0.49,0.48,0.49,80100000,16,38753
2010-03-15,0.49,0.52,0.48,0.51,361800000,233,180022
2010-03-16,0.51,0.51,0.48,0.51,195700000,215,96494
2010-03-17,0.51,0.57,0.51,0.51,2363400000,473,1296941
2010-03-18,0.53,0.54,0.51,0.51,334900000,55,173454
2010-03-19,0.51,0.52,0.5,0.51,163500000,34,82270
2010-03-22,0.49,0.51,0.49,0.49,116700000,19,57186
