Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,3.208886741178522,3.208886741178522,3.1640647213577897,3.1640647213577897,700,3,8462
2010-01-05,3.1640647213577897,3.187793421592972,3.137695503278727,3.1640647213577897,20800,18,249527
2010-01-06,3.1614293407081577,3.2036159798792583,3.111331422393913,3.1640647213577897,9700,9,116350
2010-01-07,3.113966803043545,3.190428802242603,3.111331422393913,3.1640647213577897,2200,6,26222
2010-01-08,3.1640647213577897,3.2299800607640723,3.1640647213577897,3.2299800607640723,95600,4,1166300
2010-01-11,3.179882142449828,3.2273446801144403,3.177246761800196,3.214162639672033,2100,6,25390
2010-01-12,3.119237564342808,3.2563492788431345,3.119237564342808,3.214162639672033,4000,12,48239
2010-01-13,3.214162639672033,3.2959005373646035,3.214162639672033,3.214162639672033,11600,25,143234
2010-01-15,3.216798020321665,3.216798020321665,3.216798020321665,3.216798020321665,1600,3,19520
2010-01-19,3.216798020321665,3.216798020321665,3.216798020321665,3.216798020321665,300,3,3660
2010-01-20,3.2616200401423976,3.2959005373646035,3.1482421630715023,3.253713898193503,69900,14,861123
2010-01-21,3.2405267205568475,3.253713898193503,3.2405267205568475,3.253713898193503,1400,3,17259
2010-01-22,3.216798020321665,3.274807217779053,3.190428802242603,3.274807217779053,18300,12,222711
2010-01-26,3.248437999699991,3.248437999699991,3.190428802242603,3.2273446801144403,16200,21,196297
2010-01-28,3.243167238400728,3.243167238400728,3.1640647213577897,3.190428802242603,207900,12,2495583
2010-01-29,3.1640647213577897,3.214162639672033,3.1640647213577897,3.214162639672033,160000,4,1921518
2010-02-01,3.2036159798792583,3.2405267205568475,3.190428802242603,3.2405267205568475,2400,8,29115
2010-02-02,3.1614293407081577,3.237891339907216,3.158788822864277,3.216798020321665,41900,17,506004
2010-02-03,3.187793421592972,3.187793421592972,3.187793421592972,3.187793421592972,93500,1,1130415
2010-02-04,3.137695503278727,3.137695503278727,3.0585981234300377,3.1245134628363203,4700,4,55870
2010-02-05,3.032228905350975,3.137695503278727,2.900393089344161,2.900393089344161,796800,32,8766394
2010-02-08,2.874023871265099,2.926762307423223,2.834472612743629,2.9030284699937927,6700,15,73254
2010-02-09,2.863477211472324,3.011135585765425,2.863477211472324,2.9742197078935875,1400,6,15854
2010-02-10,2.953126388308037,2.953126388308037,2.926762307423223,2.926762307423223,1900,7,21122
2010-02-11,2.9241217895793428,2.93994434786563,2.900393089344161,2.93994434786563,11000,15,121796
2010-02-12,2.9135751297865675,2.926762307423223,2.834472612743629,2.926762307423223,299000,20,3249315
2010-02-17,2.93994434786563,2.976855088543219,2.900393089344161,2.976855088543219,7500,13,83265
2010-02-18,2.900393089344161,3.032228905350975,2.900393089344161,3.032228905350975,16800,21,189990
2010-02-19,2.9452151091648937,3.1508826809153825,2.9452151091648937,3.1508826809153825,11600,11,135312
2010-02-22,3.1640647213577897,3.166700102007421,3.0717801638724445,3.166700102007421,4900,8,58353
2010-02-23,3.0875975849644828,3.177246761800196,3.0875975849644828,3.177246761800196,600,2,7128
2010-02-24,3.1640647213577897,3.190428802242603,3.1640647213577897,3.190428802242603,800,3,9629
2010-02-26,3.177246761800196,3.216798020321665,3.1218780821866883,3.216798020321665,5400,7,65745
2010-03-01,3.269531319285541,3.274807217779053,3.1640647213577897,3.208886741178522,700,5,8579
2010-03-02,3.2062513605288903,3.208886741178522,3.2062513605288903,3.208886741178522,400,2,4865
2010-03-03,3.2062513605288903,3.208886741178522,3.2062513605288903,3.208886741178522,10000,4,121698
2010-03-08,3.113966803043545,3.208886741178522,3.113966803043545,3.208886741178522,7500,9,91238
2010-03-09,3.200980599229627,3.208886741178522,3.190428802242603,3.208886741178522,39600,8,480941
2010-03-10,3.1640647213577897,3.274807217779053,3.1640647213577897,3.274807217779053,119500,14,1483796
2010-03-11,3.272166699935173,3.274807217779053,3.2563492788431345,3.2668959386359098,16200,148,200886
2010-03-12,3.237891339907216,3.2668959386359098,3.237891339907216,3.2668959386359098,200,2,2467
2010-03-15,3.2668959386359098,3.2668959386359098,3.193069320086483,3.2668959386359098,400,4,4928
2010-03-16,3.243167238400728,3.269531319285541,3.243167238400728,3.2668959386359098,55200,9,683928
2010-03-17,3.24580261905036,3.24580261905036,3.190428802242603,3.243167238400728,3200,5,39343
2010-03-19,3.243167238400728,3.243167238400728,3.2299800607640723,3.2299800607640723,5900,7,72465
2010-03-22,3.1640647213577897,3.1640647213577897,3.1640647213577897,3.1640647213577897,2000,3,24000
2010-03-23,3.187793421592972,3.2115272590224024,3.187793421592972,3.2115272590224024,1400,6,17010
2010-03-24,3.2273446801144403,3.2273446801144403,3.1640647213577897,3.2273446801144403,3500,4,42123
2010-03-25,3.132424741979464,3.214162639672033,3.132424741979464,3.214162639672033,900,5,10846
2010-03-26,3.214162639672033,3.214162639672033,3.214162639672033,3.214162639672033,1500,1,18285
2010-03-29,3.119237564342808,3.187793421592972,3.0955088641076265,3.187793421592972,1000,4,11933
2010-03-30,3.137695503278727,3.190428802242603,3.0454109457933822,3.187793421592972,105300,13,1248698
2010-03-31,3.1482421630715023,3.187793421592972,3.1482421630715023,3.187793421592972,5700,6,68897
2010-04-05,3.1640647213577897,3.1640647213577897,3.137695503278727,3.1640647213577897,1700,5,20374
2010-04-06,3.1640647213577897,3.1640647213577897,3.1640647213577897,3.1640647213577897,94100,4,1129200
2010-04-08,3.1640647213577897,3.1640647213577897,3.1640647213577897,3.1640647213577897,1200,3,14400
2010-04-09,3.1640647213577897,3.1640647213577897,3.1245134628363203,3.1245134628363203,16500,7,195675
2010-04-12,3.116602183693177,3.137695503278727,3.0849622043148512,3.137695503278727,6900,12,81781
2010-04-13,3.137695503278727,3.137695503278727,3.0480463264430138,3.092873483457995,1700,8,19996
2010-04-14,3.108690904550033,3.108690904550033,3.108690904550033,3.108690904550033,100,1,1179
2010-04-15,3.108690904550033,3.137695503278727,3.0981442447572576,3.137695503278727,119900,9,1413958
2010-04-16,3.137695503278727,3.137695503278727,3.137695503278727,3.137695503278727,93800,4,1116220
2010-04-19,3.137695503278727,3.137695503278727,3.061233504079669,3.1350601226290955,8600,3,102310
2010-04-22,3.1508826809153825,3.1508826809153825,3.0480463264430138,3.111331422393913,4700,27,55086
2010-04-23,3.1350601226290955,3.137695503278727,3.061233504079669,3.0955088641076265,4400,12,51755
2010-04-26,3.158788822864277,3.1640647213577897,3.158788822864277,3.1640647213577897,4900,3,58757
2010-04-28,3.019046864908568,3.111331422393913,3.019046864908568,3.111331422393913,95300,9,1124326
2010-04-29,3.1350601226290955,3.1350601226290955,3.111331422393913,3.111331422393913,200,2,2369
2010-04-30,3.106117170231387,3.106117170231387,3.106117170231387,3.106117170231387,1000,1,11600
2010-05-03,3.055243535585575,3.1837709984961653,3.0525670573819528,3.0900531638154067,1700,9,19486
2010-05-04,3.060596491992819,3.065954585594312,3.0231103855593653,3.0231103855593653,40600,8,464824
2010-05-05,3.0231103855593653,3.039174391975345,3.0231103855593653,3.039174391975345,3700,4,41877
2010-05-06,3.039174391975345,3.0525670573819528,2.99901180733827,3.0525670573819528,4300,7,48700
2010-05-07,3.001688285541892,3.001688285541892,2.99901180733827,2.99901180733827,6200,8,69442
2010-05-10,3.063278107390689,3.065954585594312,3.0123993355506284,3.0123993355506284,3300,5,37223
