Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-05,7.48658,7.9328,7.48658,7.9328,4600,6,35777
2010-01-06,8.03196,8.31952,8.03196,8.15095,4700,10,38607
2010-01-07,8.23028,8.23028,8.23028,8.23028,200,2,1660
2010-01-08,8.32944,8.9244,8.32944,8.9244,16000,22,139750
2010-01-11,8.9244,9.02356,8.9244,8.9244,2100,8,18999
2010-01-13,8.9244,8.9244,8.9244,8.9244,100,1,900
2010-01-15,8.9244,8.9244,8.9244,8.9244,1100,4,9900
2010-01-18,8.82524,8.82524,8.82524,8.82524,300,1,2670
2010-01-19,8.83516,8.83516,8.83516,8.83516,300,1,2673
2010-01-20,8.83516,8.83516,8.83516,8.83516,200,1,1782
2010-01-21,8.83516,8.83516,7.96255,8.32944,700,3,6098
2010-01-22,8.85499,8.88474,8.85499,8.85499,8100,20,72458
2010-01-26,8.85499,8.85499,7.4965,7.54608,5200,19,40147
2010-01-27,7.57582,7.57582,7.23868,7.23868,5600,9,41698
2010-01-28,7.1891,7.1891,6.89162,6.9412,14600,17,103454
2010-01-29,6.9412,7.04036,6.9412,7.04036,600,2,4210
2010-02-01,7.28826,7.6849,7.28826,7.28826,1500,6,11385
2010-02-02,7.04036,7.04036,7.04036,7.04036,100,1,710
2010-02-03,6.9412,7.04036,6.9412,7.04036,800,2,5650
2010-02-04,7.01061,7.04036,6.9412,6.9412,6800,8,47670
2010-02-05,6.9412,6.9412,6.9412,6.9412,500,2,3500
2010-02-08,6.74288,6.84204,6.74288,6.84204,600,2,4130
2010-02-12,6.9412,6.9412,6.9412,6.9412,26500,14,185492
2010-02-17,6.90154,6.90154,6.85196,6.85196,2600,8,18032
2010-02-18,6.85196,6.85196,6.43548,6.45532,39700,44,260995
2010-02-19,6.6338,6.92137,6.54456,6.7528,40900,19,271359
2010-02-22,6.9412,6.9412,6.9412,6.9412,1700,3,11900
2010-02-23,6.93128,6.93128,6.78254,6.78254,1400,4,9767
2010-02-24,6.74288,6.74288,6.55448,6.55448,600,4,4047
2010-02-25,6.74288,6.74288,6.74288,6.74288,100,1,680
2010-03-01,6.53464,6.53464,6.53464,6.53464,800,4,5272
2010-03-02,6.6338,6.6338,6.6338,6.6338,100,1,669
2010-03-03,6.64372,6.64372,6.64372,6.64372,100,1,670
2010-03-05,6.9412,6.9412,6.54456,6.54456,1100,3,7660
2010-03-08,6.55448,6.55448,6.55448,6.55448,300,1,1983
2010-03-09,6.56439,6.59414,6.55448,6.55448,11700,4,77459
2010-03-12,6.64372,6.64372,6.64372,6.64372,2900,3,19430
2010-03-15,6.65364,6.65364,6.65364,6.65364,200,1,1342
2010-03-16,6.65364,6.84204,6.65364,6.84204,1200,4,8260
2010-03-17,6.89162,6.93128,6.89162,6.93128,1300,3,9067
2010-03-18,6.84204,6.84204,6.84204,6.84204,1000,1,6900
2010-03-22,6.84204,6.84204,6.84204,6.84204,100,1,690
2010-03-24,6.84204,6.84204,6.74288,6.74288,1600,3,10900
2010-03-25,6.74288,6.74288,6.74288,6.74288,3400,3,23100
2010-03-26,6.6933,6.74288,6.64372,6.6933,5800,4,39190
