Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,11.62,11.84,11.55,11.84,15900,10,184351
2010-01-05,11.84,12.0,11.84,11.84,95100,7,1126384
2010-01-06,12.0,12.0,12.0,12.0,34400,17,412800
2010-01-07,11.98,12.0,11.98,12.0,4500,4,53956
2010-01-08,12.0,12.0,11.99,12.0,7000,8,83999
2010-01-11,12.0,12.0,12.0,12.0,3700,4,44400
2010-01-12,12.0,12.0,11.5,11.55,900,3,10655
2010-01-13,11.9,11.9,11.7,11.7,200,2,2360
2010-01-14,11.7,12.0,11.7,12.0,500,3,5940
2010-01-18,11.55,12.1,11.55,12.1,200,2,2365
2010-01-19,11.72,12.3,11.72,12.2,800,6,9558
2010-01-20,12.2,12.2,12.2,12.2,100,1,1220
2010-01-26,12.35,12.35,12.3,12.35,1300,8,16028
2010-02-01,12.0,12.3,12.0,12.3,17000,2,204030
2010-02-03,11.77,12.19,11.77,12.19,1200,4,14196
2010-02-04,11.8,11.85,11.5,11.75,9800,11,114820
2010-02-05,11.7,11.7,11.5,11.5,26000,6,304060
2010-02-09,11.7,11.7,11.7,11.7,300,1,3510
2010-02-17,11.89,11.89,11.89,11.89,20000,1,237800
2010-02-18,11.23,12.35,11.23,12.35,13800,3,165803
2010-02-22,12.35,12.35,12.35,12.35,4000,2,49400
2010-02-25,11.7,12.05,11.7,12.05,300,3,3545
2010-03-01,12.0,12.0,11.7,12.0,2200,5,25800
2010-03-04,11.5,11.99,11.5,11.99,200,2,2349
2010-03-08,12.2,12.75,12.2,12.75,181700,54,2313737
2010-03-09,12.51,12.88,12.51,12.88,24000,6,305763
2010-03-10,12.71,12.94,12.71,12.89,11200,5,142793
2010-03-11,12.75,12.75,12.75,12.75,38300,9,488325
2010-03-12,12.7,12.7,12.7,12.7,100,1,1270
2010-03-15,12.7,12.7,12.7,12.7,21000,4,266700
2010-03-16,12.6,12.75,12.6,12.75,2900,4,36888
2010-03-17,12.8,12.85,12.8,12.85,39000,6,500200
2010-03-22,12.85,12.85,12.85,12.85,5000,1,64250
2010-03-23,12.99,12.99,12.99,12.99,1000,1,12990
2010-03-25,12.75,12.75,12.75,12.75,7100,1,90525
2010-03-26,12.8,12.9,12.8,12.81,15800,7,203792
2010-03-29,12.98,12.98,12.98,12.98,100,1,1298
2010-03-30,12.98,13.0,12.85,12.85,32100,5,417074
2010-04-01,12.85,12.85,12.85,12.85,500,1,6425
2010-04-05,12.85,13.0,12.85,13.0,200,2,2585
2010-04-06,12.95,13.09,12.95,13.09,182700,4,2365979
2010-04-07,12.76,13.0,12.76,13.0,200,2,2576
2010-04-08,13.06,13.5,13.06,13.5,545900,14,7369096
2010-04-09,13.64,13.64,13.64,13.64,100,1,1364
2010-04-16,13.01,13.35,13.0,13.0,1500,4,19540
2010-04-19,13.05,13.4,13.05,13.4,200,2,2645
2010-04-20,13.4,13.6,13.0,13.0,5000,6,65980
2010-04-22,12.94,13.2,12.75,13.0,5600,42,71802
2010-04-23,12.66,13.0,12.5,13.0,5000,40,63306
2010-04-26,13.3,13.3,13.3,13.3,700,1,9310
2010-04-27,12.5,12.73,12.5,12.66,8500,77,107616
2010-04-28,12.51,12.8,12.51,12.8,4700,38,59467
2010-04-29,12.64,13.0,12.56,12.8,5800,40,73648
2010-04-30,12.6,13.0,12.6,13.0,6000,40,75684
2010-05-04,12.65,13.0,12.65,13.0,500,2,6360
2010-05-11,13.1,13.5,13.1,13.5,300,2,3970
2010-05-12,13.2,13.49,13.2,13.49,200,2,2669
2010-05-13,13.5,13.5,13.5,13.5,1563900,15,21112650
2010-05-18,12.72,12.73,12.72,12.72,1400,5,17810
2010-05-19,12.71,12.71,12.71,12.71,700,4,8897
2010-05-20,12.71,12.71,12.7,12.71,6500,9,82604
2010-05-25,12.71,12.71,12.71,12.71,3000,1,38130
2010-05-26,12.99,13.6,12.99,13.6,14400,12,194026
2010-05-27,13.84,13.98,13.84,13.98,6900,6,96169
2010-05-31,13.71,13.89,13.71,13.89,17500,9,242130
2010-06-04,13.8,13.8,13.7,13.7,4000,4,55050
