Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,22.74457,23.03476,22.41809,22.74457,53000,51,331790
2010-01-05,22.49064,22.81711,22.34553,22.67201,36500,70,226450
2010-01-06,22.49064,23.10732,22.34553,22.81711,95400,96,596570
2010-01-07,22.78084,23.10732,22.56319,23.10732,43400,56,272540
2010-01-08,23.14359,25.0299,22.85339,24.63087,390200,372,2592503
2010-01-11,24.63087,24.63087,23.86909,24.12302,110500,90,743115
2010-01-12,24.0142,24.0142,23.21614,23.36124,77900,104,506392
2010-01-13,23.57889,23.57889,23.21614,23.21614,29100,50,187571
2010-01-14,23.39752,23.76027,22.85339,23.57889,57200,76,366467
2010-01-15,23.54262,23.54262,22.88966,22.88966,20800,24,132634
2010-01-18,23.21614,23.57889,23.03476,23.03476,30900,39,197945
2010-01-19,22.99849,23.21614,22.85339,22.96222,16000,30,101297
2010-01-20,22.88966,23.21614,22.49064,22.49064,94800,101,594716
2010-01-21,22.85339,22.85339,21.40238,21.76513,280600,187,1723770
2010-01-22,21.76513,21.76513,21.03963,21.40238,92300,133,543503
2010-01-26,22.09161,22.30926,21.40238,21.62003,91000,96,547427
2010-01-27,21.43866,21.76513,21.221,21.221,48700,48,286268
2010-01-28,21.72886,21.76513,20.85825,21.47493,30700,52,180029
2010-01-29,21.221,22.20044,21.221,21.76513,18900,36,112446
2010-02-01,21.76513,21.76513,21.29355,21.40238,17900,28,105554
2010-02-02,21.40238,21.76513,21.32983,21.32983,14700,16,86962
2010-02-03,21.40238,21.76513,21.40238,21.58376,13100,19,78155
2010-02-04,21.58376,21.76513,20.89453,21.40238,32500,49,192024
2010-02-05,21.00335,21.03963,19.91509,20.85825,98200,119,553757
2010-02-08,20.85825,20.93081,20.67687,20.67687,602600,11,3434877
2010-02-09,20.67687,21.221,20.4955,21.03963,19100,57,109576
2010-02-10,21.03963,21.87395,20.3504,21.87395,16900,32,99235
2010-02-11,21.87395,21.87395,21.03963,21.47493,44200,23,261668
2010-02-12,21.3661,21.3661,20.74943,21.14845,64200,22,374645
2010-02-17,21.69258,21.69258,21.11218,21.221,13500,23,79794
2010-02-18,21.29355,21.29355,20.89453,21.29355,31400,38,183498
2010-02-19,21.03963,21.87395,21.03963,21.43866,27000,26,159930
2010-02-22,21.43866,21.94651,21.29355,21.69258,105100,104,625334
2010-02-23,21.76513,22.30926,21.32983,21.32983,78700,80,476417
2010-02-24,21.40238,22.09161,21.40238,21.76513,56700,23,338253
2010-02-25,21.29355,21.58376,21.11218,21.51121,20500,33,120134
2010-02-26,21.32983,21.76513,21.221,21.29355,29800,48,176646
2010-03-01,21.32983,21.43866,20.7857,20.7857,50300,51,291775
2010-03-02,20.82198,20.96708,20.67687,20.7857,55200,45,316704
2010-03-03,20.7857,21.14845,20.3504,20.74943,59000,55,338015
2010-03-04,20.67687,20.85825,20.4955,20.85825,15500,22,88064
2010-03-05,20.82198,21.40238,20.7857,20.82198,27700,34,159835
2010-03-08,21.00335,21.03963,20.4955,20.71315,16500,20,93933
2010-03-09,20.67687,20.96708,20.4955,20.96708,41600,37,237156
2010-03-10,20.96708,21.03963,20.67687,21.03963,7500,19,43063
2010-03-11,21.03963,21.03963,20.45923,20.6406,10200,18,57951
2010-03-12,20.93081,21.03963,20.56805,20.56805,4300,12,24785
2010-03-15,20.7857,20.7857,20.31412,20.67687,6500,13,36704
2010-03-16,20.67687,21.32983,20.38667,21.32983,30500,46,175228
2010-03-17,21.14845,21.14845,20.67687,20.71315,11300,15,64976
2010-03-18,20.71315,21.18473,20.4955,20.71315,11700,17,66763
2010-03-19,20.4955,20.53177,20.31412,20.4955,7100,11,39939
2010-03-22,20.3504,21.00335,20.31412,20.38667,5600,15,31752
2010-03-23,20.71315,20.71315,20.42295,20.6406,4200,7,23927
2010-03-24,20.67687,20.67687,20.2053,20.60432,16600,12,93922
2010-03-25,20.31412,20.6406,19.58862,19.58862,47700,46,263017
2010-03-26,19.69744,20.31412,19.44352,19.91509,19300,22,104876
2010-03-29,19.95138,20.31412,19.58862,19.95138,65800,36,358868
2010-03-30,19.95138,20.24158,19.95138,20.13275,41300,28,228506
2010-03-31,19.66117,20.85825,19.66117,20.85825,28700,40,162615
2010-04-01,20.67687,20.85825,19.95138,20.3504,12200,32,68529
2010-04-05,20.67687,20.67687,19.98765,20.67687,10300,13,58244
2010-04-06,20.45923,20.67687,20.31412,20.31412,60300,18,342589
2010-04-07,20.31412,20.31412,19.69744,19.69744,125100,72,688853
2010-04-08,19.77,20.24158,19.6249,20.13275,10400,28,56999
2010-04-09,20.31412,20.31412,19.69744,20.2053,11700,25,64572
2010-04-12,19.69744,20.42295,19.69744,20.42295,17600,44,97790
2010-04-13,19.98765,21.00335,19.98765,20.89453,70800,48,400670
2010-04-14,21.03963,21.03963,20.4955,21.00335,18900,24,108466
2010-04-15,21.00335,21.18473,20.89453,21.14845,30600,51,178021
2010-04-16,21.14845,21.221,20.3504,20.89453,16300,25,94240
2010-04-19,20.85825,21.03963,20.56805,20.93081,33100,38,190770
2010-04-20,21.0759,21.76513,20.67687,21.40238,87900,105,516662
2010-04-22,21.25728,21.65631,20.93081,21.65631,50600,70,297135
2010-04-23,21.58376,21.83768,21.25728,21.76513,66900,71,399634
2010-04-26,21.87395,22.30926,21.51121,21.72886,66000,66,398650
2010-04-27,21.76513,21.76513,20.89453,20.89453,43500,45,254886
2010-04-28,20.7857,21.03963,20.56805,20.56805,43700,41,249960
2010-04-29,20.56805,21.03963,19.95138,20.67687,75400,84,423628
2010-04-30,20.06019,20.82198,20.02393,20.82198,95000,126,535051
2010-05-03,21.69196,21.77907,21.08214,21.60484,97400,50,478658
2010-05-04,21.56128,21.56128,20.47233,20.90791,22600,30,107958
2010-05-05,20.47233,21.08214,20.29809,21.08214,6500,20,30596
2010-05-06,20.77723,20.77723,19.60116,20.25454,19300,47,88947
2010-05-07,19.90607,19.90607,18.51221,18.73,125300,102,547442
2010-05-10,20.03675,20.25454,19.33982,20.03675,46300,63,211010
2010-05-11,20.03675,20.34165,19.16558,20.03675,1028600,43,4730296
2010-05-12,19.99319,20.25454,19.86251,20.25454,32700,29,150527
2010-05-13,20.03675,20.16742,19.64473,20.03675,244100,22,1122881
2010-05-14,19.60116,19.81895,19.47049,19.47049,5800,20,26062
2010-05-17,19.38338,19.38338,18.29442,18.73,31900,46,136322
2010-05-18,20.03675,20.25454,18.51221,19.55761,2259500,79,10389855
2010-05-19,18.73,19.16558,18.33798,18.33798,56200,41,241693
2010-05-20,18.33798,18.51221,18.25086,18.29442,63100,43,265374
2010-05-21,18.59933,19.55761,18.59933,19.55761,18300,31,80241
2010-05-24,19.51405,19.55761,18.94779,19.55761,8300,19,36852
2010-05-25,19.07847,19.07847,18.29442,18.73,63400,76,268641
2010-05-26,19.03491,19.03491,18.51221,18.51221,38500,25,165273
2010-05-27,18.99135,18.99135,17.85884,18.29442,41500,81,175560
2010-05-28,18.90423,19.38338,18.4251,19.16558,29800,37,129512
2010-05-31,19.16558,19.16558,18.77356,18.86068,11400,26,49402
2010-06-01,18.73,18.81712,18.51221,18.73,58200,22,250716
2010-06-02,18.94779,19.16558,18.73,19.07847,5100,13,22143
2010-06-04,19.07847,19.16558,18.77356,18.77356,3700,10,16189
2010-06-07,18.94779,19.33982,18.77356,19.07847,22000,27,96424
2010-06-08,18.55577,19.12202,18.29442,19.07847,113800,72,481563
2010-06-09,19.03491,19.03491,18.73,18.77356,14300,18,62121
2010-06-10,18.77356,19.2527,18.73,19.2527,311300,41,1346102
2010-06-11,19.16558,19.60116,18.94779,19.47049,36500,28,162064
2010-06-14,19.64473,19.7754,19.51405,19.55761,41700,21,187368
2010-06-15,19.60116,19.94963,19.60116,19.94963,17000,15,76744
2010-06-16,19.99319,20.25454,19.94963,20.16742,61500,32,283500
