Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,9.01748,9.70062,9.01748,9.29074,83500,20,57734
2010-01-05,9.70062,9.83725,9.42736,9.70062,77000,16,54423
2010-01-06,9.70062,9.70062,9.15411,9.29074,38600,17,26703
2010-01-07,9.29074,9.56399,9.29074,9.56399,30700,14,21156
2010-01-08,9.70062,10.52039,9.56399,10.1105,284300,74,209492
2010-01-11,10.24713,10.52039,10.1105,10.1105,112800,40,84817
2010-01-12,10.24713,10.24713,9.97388,10.1105,78300,17,57800
2010-01-13,10.52039,10.52039,10.24713,10.38376,77200,21,58707
2010-01-14,10.1105,10.24713,10.1105,10.24713,9000,5,6670
2010-01-15,10.1105,10.1105,9.97388,9.97388,24100,11,17790
2010-01-18,10.38376,14.75587,10.24713,14.75587,1518900,318,1366484
2010-01-19,14.34599,14.61925,11.88667,12.29656,1683500,405,1599051
2010-01-20,12.70645,12.70645,11.75005,11.88667,374800,100,331118
2010-01-21,12.29656,12.29656,11.61342,11.88667,230900,34,198440
2010-01-22,11.88667,13.11633,11.88667,12.29656,388500,80,357850
2010-01-26,12.0233,12.29656,11.75005,12.29656,224100,42,195964
2010-01-27,12.15993,12.43319,11.88667,12.15993,105000,31,93403
2010-01-28,12.43319,12.70645,12.0233,12.0233,107300,30,97453
2010-01-29,12.29656,12.29656,12.0233,12.0233,113000,25,101060
2010-02-01,12.0233,12.0233,11.88667,12.0233,30400,12,26736
2010-02-02,12.15993,12.29656,12.0233,12.0233,60500,22,53387
2010-02-03,13.38959,13.66285,12.70645,12.9797,620600,160,601866
2010-02-04,13.52622,13.66285,12.0233,12.0233,304000,81,290194
2010-02-05,12.29656,12.29656,11.0669,11.34016,104800,30,89214
2010-02-08,11.75005,12.0233,11.75005,12.0233,28900,9,25284
2010-02-09,12.0233,12.9797,11.75005,11.88667,148000,42,133210
2010-02-10,12.84307,17.35181,12.84307,16.53204,2888200,581,3448038
2010-02-11,17.35181,17.35181,14.48261,15.43901,789000,213,911786
2010-02-12,15.71227,15.71227,14.34599,15.71227,126500,46,139445
2010-02-17,15.71227,15.71227,14.75587,14.75587,85300,24,94171
2010-02-18,15.43901,15.8489,15.16576,15.16576,128000,50,144582
2010-02-19,15.30239,15.71227,14.75587,14.8925,64400,28,71319
2010-02-22,15.30239,17.07856,15.30239,15.98553,411600,233,492924
2010-02-23,16.25879,16.25879,15.16576,15.16576,136100,57,154770
2010-02-24,15.71227,15.71227,15.16576,15.43901,202200,44,226406
