Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,72.54027,73.3693,69.77683,71.84941,73700,262,766832
2010-01-05,71.78033,71.84941,70.12225,71.84941,363700,86,3753632
2010-01-06,70.3986,74.19833,70.3986,74.19833,257800,225,2721904
2010-01-07,74.88919,74.88919,73.92198,74.19833,81700,154,876993
2010-01-08,74.61285,75.09646,72.19483,74.95828,319100,88,3407881
2010-01-11,74.95828,74.95828,72.60934,74.06017,180600,305,1932817
2010-01-12,72.60934,73.99108,72.60934,73.50748,21100,45,224199
2010-01-13,73.23114,74.4056,72.333,73.8529,73300,121,782288
2010-01-14,73.92198,73.92198,71.9185,72.74751,25700,42,270723
2010-01-15,73.23114,73.8529,71.43489,73.23114,23100,95,242835
2010-01-18,71.64214,71.84941,71.64214,71.78033,7100,8,73705
2010-01-19,71.15855,73.50748,70.46769,73.43839,31900,144,332414
2010-01-20,71.22763,73.57655,70.95129,71.50399,173900,99,1808117
2010-01-21,71.08945,71.08945,66.39162,66.66796,212000,291,2100685
2010-01-22,66.32253,67.63516,65.97711,66.32253,35900,35,347218
2010-01-26,64.66447,67.70425,64.38812,65.76984,60600,95,579792
2010-01-27,67.63516,67.63516,64.31904,67.15157,58700,157,558320
2010-01-28,67.77333,67.77333,64.80264,64.87173,351900,188,3315341
2010-01-29,65.97711,65.97711,64.66447,65.28625,18100,94,171065
2010-02-01,64.59538,66.66796,64.59538,66.32253,5900,20,56088
2010-02-02,65.28625,65.63168,64.59538,64.59538,110100,105,1035667
2010-02-03,65.28625,66.18436,64.66447,66.18436,56600,60,537432
2010-02-04,64.59538,65.63168,62.86824,64.24995,127300,58,1175736
2010-02-05,62.86824,64.24995,61.48652,62.17737,57900,53,521958
2010-02-08,61.62469,62.79915,61.62469,62.31556,14000,34,126392
2010-02-09,62.79915,64.9408,62.79915,63.55909,67600,68,622422
2010-02-10,63.90453,64.18086,63.07549,64.18086,29700,24,274140
2010-02-11,63.21366,66.80614,63.0064,66.80614,14800,16,139406
2010-02-12,66.32253,66.87522,64.9408,64.9408,33300,16,319535
2010-02-17,67.70425,68.04969,67.70425,68.04969,25500,24,249973
2010-02-18,68.04969,68.60238,67.70425,68.39511,19900,13,195508
2010-02-19,67.70425,68.39511,67.01339,67.01339,84200,24,825876
2010-02-22,67.01339,67.01339,65.07899,65.07899,17900,101,169734
2010-02-23,66.32253,66.32253,62.86824,63.55909,25800,79,237818
2010-02-24,64.9408,67.01339,63.55909,63.62818,31500,97,294499
2010-02-25,64.24995,65.07899,64.24995,65.07899,24200,48,226431
2010-02-26,65.97711,66.04619,64.04269,64.87173,36800,81,345275
2010-03-01,63.35184,65.83894,63.21366,65.28625,22900,72,215331
2010-03-02,65.63168,66.32253,64.52631,65.63168,52000,96,491990
2010-03-03,65.28625,68.04969,65.28625,68.04969,82500,142,787041
2010-03-04,67.35881,67.35881,66.66796,67.22064,3700,6,35935
2010-03-05,68.39511,68.39511,64.59538,64.59538,94800,77,905600
2010-03-08,63.55909,68.04969,62.86824,67.70425,59300,123,567119
2010-03-09,68.32603,69.08598,66.32253,68.04969,211800,102,2081065
2010-03-10,66.66796,69.08598,66.66796,67.70425,37200,56,365567
2010-03-11,67.70425,70.12225,67.70425,69.08598,76400,129,763658
2010-03-12,70.32952,70.3986,69.08598,69.36233,52600,76,528278
