Date,Open,High,Low,Close,Volume,Neg,Fin
2011-07-01,14.84162,15.53132,14.57971,15.2956,2742900,2230,47172778
2011-07-04,15.27814,15.70592,15.27814,15.70592,390800,210,6927247
2011-07-05,15.3829,15.66227,15.3829,15.5837,126000,66,2239815
2011-07-06,15.54005,15.69719,15.41782,15.61862,40800,42,728606
2011-07-07,15.60989,15.61862,15.3829,15.5837,100100,85,1777626
2011-07-08,15.54878,15.54878,15.27814,15.45274,520700,89,9175089
2011-07-11,15.06861,15.30433,15.05988,15.22576,197800,36,3447250
2011-07-12,15.19083,15.40036,15.05988,15.19956,17700,43,308070
2011-07-13,15.30433,15.30433,15.05988,15.15591,15600,23,270083
2011-07-14,15.1821,15.19083,14.88527,14.92892,772300,77,13203271
2011-07-15,15.00749,15.00749,14.72812,14.84162,532500,134,9091756
2011-07-18,14.71939,14.84162,14.3178,14.84162,71800,75,1208772
2011-07-19,15.1821,15.1821,14.76304,14.83289,149900,45,2564652
2011-07-20,14.82416,15.1821,14.79797,15.0948,88000,32,1517651
2011-07-21,15.1821,15.671,15.14718,15.671,51200,195,901980
2011-07-22,15.54005,15.71465,14.94638,15.71465,10500,49,187764
2011-07-25,15.36544,15.62735,15.36544,15.62735,54900,89,973730
2011-07-26,15.88053,15.88926,15.36544,15.45274,263900,86,4671796
2011-07-27,15.45274,15.45274,15.06861,15.27814,44000,140,770025
2011-07-28,15.19956,15.19956,14.67574,14.84162,123100,21,2115373
2011-07-29,14.76304,15.27814,13.95985,14.84162,718500,131,12223190
2011-08-01,14.41383,14.75431,14.4051,14.4924,180800,50,3022629
2011-08-02,14.4051,14.4051,13.57572,13.95985,40600,57,649733
2011-08-03,13.7154,14.35272,12.22251,13.88128,324700,125,5039361
2011-08-04,12.88602,13.47968,12.83363,13.09554,251400,56,3770979
2011-08-05,13.44476,13.44476,11.78599,12.92094,180500,82,2684964
2011-08-08,12.22251,13.08681,11.7598,12.30981,16300,24,231965
2011-08-09,13.47968,13.48841,12.22251,12.70268,256000,134,3808954
2011-08-10,12.70268,13.00824,12.39712,13.00824,32800,34,486186
2011-08-11,13.38365,13.83763,12.65903,13.3138,243700,57,3654176
2011-08-12,13.27015,13.53206,13.25269,13.53206,95700,62,1460583
2011-08-15,13.55825,13.70667,13.27015,13.27015,574400,34,8897790
2011-08-16,13.0257,13.53206,13.0257,13.53206,64400,39,991089
2011-08-17,13.1392,13.47968,13.1392,13.17412,224200,21,3416870
2011-08-18,12.78998,13.08681,12.23124,13.00824,160900,219,2335099
2011-08-19,12.62411,12.85983,12.22251,12.57172,122000,87,1758231
2011-08-22,12.86855,12.86855,12.3622,12.5368,29200,52,418018
2011-08-23,12.8249,12.87729,12.70268,12.87729,37800,141,556481
2011-08-24,12.86855,12.87729,12.65903,12.87729,8700,8,128260
2011-08-25,12.87729,12.87729,12.23124,12.78998,110200,142,1587373
2011-08-26,12.65903,12.78125,12.09155,12.78125,61500,113,887524
2011-08-29,12.87729,13.57572,12.50188,13.5146,59300,27,884010
2011-08-30,13.74159,14.04715,13.46222,14.04715,26100,70,413662
2011-08-31,14.07335,14.52732,13.83763,14.52732,54700,74,896900
2011-09-01,14.95511,15.05114,14.02096,14.92892,67100,155,1128819
2011-09-02,14.2043,14.83289,14.14319,14.66701,92500,167,1538412
2011-09-05,14.65828,14.65828,14.15192,14.64082,219800,42,3682199
2011-09-06,14.21303,14.84162,14.2043,14.75431,15300,31,254156
2011-09-08,14.71066,14.84162,14.4051,14.57971,208800,66,3486262
2011-09-09,14.57098,14.57971,14.3178,14.3178,66500,19,1090693
2011-09-12,14.57971,15.59243,14.57098,14.75431,202600,634,3464854
2011-09-13,14.92892,14.92892,14.54479,14.82416,86500,194,1454682
2011-09-14,15.53132,15.66227,14.4924,15.16464,127900,402,2212919
2011-09-15,15.16464,15.62735,15.07734,15.36544,206900,368,3621797
2011-09-16,15.28687,15.49639,14.84162,15.49639,417700,203,7387582
2011-09-19,15.1821,15.19083,15.14718,15.19083,24300,37,422712
2011-09-20,15.12972,15.57497,15.12972,15.27814,44500,111,785632
2011-09-21,15.49639,15.49639,14.71066,14.77178,42800,109,729621
2011-09-22,14.66701,14.66701,13.88128,13.88128,106500,59,1710667
2011-09-23,13.70667,14.4924,13.70667,14.4924,96100,134,1526421
2011-09-26,14.3178,14.3178,13.88128,14.05588,330700,52,5341000
2011-09-27,13.94239,14.23049,13.7154,14.05588,135500,167,2163416
2011-09-28,13.8027,14.03842,13.54079,13.70667,119500,58,1876466
2011-09-29,13.30507,14.4051,13.30507,14.4051,160600,55,2529030
2011-09-30,13.97731,14.05588,13.53206,13.75032,113600,191,1786001
2011-10-03,13.53206,13.61937,13.09554,13.09554,433700,37,6559747
2011-10-04,13.52333,13.52333,12.44077,12.44077,74100,135,1071128
2011-10-05,12.43204,12.52807,12.26616,12.26616,41400,54,585648
2011-10-06,12.57172,13.09554,12.22251,12.65903,239000,70,3364238
2011-10-07,12.92094,13.35746,12.22251,12.22251,105700,91,1494241
2011-10-10,12.1614,12.44077,12.0479,12.39712,37600,95,533729
2011-10-11,12.47569,12.87729,12.3622,12.70268,42800,57,614543
2011-10-13,12.49315,12.83363,12.49315,12.83363,27700,96,403801
2011-10-14,12.80744,13.2265,12.65903,12.74633,30100,34,440875
2011-10-17,12.70268,12.70268,12.40585,12.57172,10100,22,145421
2011-10-18,12.61537,12.78998,12.5368,12.57172,16200,22,234937
2011-10-19,12.62411,12.62411,12.57172,12.57172,8200,18,118196
2011-10-20,12.7376,12.7376,12.06536,12.22251,50000,63,700526
2011-10-21,12.47569,13.00824,12.35347,12.35347,24500,31,350992
2011-10-24,12.39712,12.99951,12.30981,12.65903,36400,29,524378
2011-10-25,12.65903,12.99078,12.52807,12.99078,82900,27,1204731
2011-10-26,12.65903,12.75506,12.61537,12.61537,32900,48,477720
2011-10-27,12.92094,12.92094,12.67649,12.74633,134000,61,1956532
