Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1.74026,1.75907,1.72615,1.73085,215100,107,796056
2010-01-05,1.74026,1.74026,1.71674,1.72145,219800,76,805584
2010-01-06,1.72145,1.72145,1.66501,1.69793,414300,210,1488308
2010-01-07,1.69323,1.80611,1.67441,1.77318,612800,213,2267547
2010-01-08,1.77318,1.82963,1.74496,1.77318,674200,332,2571080
2010-01-11,1.80141,1.81081,1.74496,1.76378,377400,197,1429081
2010-01-12,1.76378,1.88136,1.73556,1.88136,791600,369,3083681
2010-01-13,1.91429,1.94721,1.80611,1.83433,769500,434,3059944
2010-01-14,1.83433,1.87196,1.792,1.83433,284200,586,1116587
2010-01-15,1.81081,1.82492,1.76378,1.81552,216900,121,827400
2010-01-18,1.792,1.85785,1.792,1.81081,258100,84,998097
2010-01-19,1.7873,1.86255,1.78259,1.83433,397300,194,1549991
2010-01-20,1.83433,1.88136,1.7873,1.83433,336200,182,1309427
2010-01-21,1.80611,1.84844,1.74496,1.76848,365700,219,1391204
2010-01-22,1.74967,1.81081,1.72145,1.74967,330100,112,1229995
2010-01-26,1.73085,1.78259,1.71674,1.73085,235700,114,870024
2010-01-27,1.72615,1.75437,1.67441,1.68852,403200,320,1451988
2010-01-28,1.74026,1.74496,1.67441,1.68382,355700,133,1290826
2010-01-29,1.68852,1.75437,1.68382,1.74026,464000,173,1691127
2010-02-01,1.71204,1.73556,1.71204,1.73556,54500,41,199188
2010-02-02,1.73556,1.74967,1.71204,1.73085,356400,73,1304522
2010-02-03,1.74026,1.85785,1.71674,1.81081,449200,180,1703596
2010-02-04,1.77789,1.7967,1.68382,1.72615,597700,198,2206540
2010-02-05,1.68382,1.69323,1.62268,1.6603,348300,200,1227314
2010-02-08,1.69323,1.73556,1.67912,1.69323,257400,152,934642
2010-02-09,1.70263,1.77789,1.70263,1.77789,418100,153,1561512
2010-02-10,1.87666,1.87666,1.7873,1.85785,2397700,1366,9377098
2010-02-11,1.90018,1.90018,1.82963,1.87666,1851600,1079,7355951
2010-02-12,1.86255,1.89547,1.81081,1.85785,1020100,802,4019111
2010-02-17,1.87196,1.88136,1.81081,1.81081,537300,515,2087845
2010-02-18,1.83903,1.83903,1.7873,1.792,304000,284,1165351
2010-02-19,1.7873,1.7967,1.74967,1.7967,253800,138,961033
2010-02-22,1.81081,1.82963,1.74496,1.76378,611700,313,2315097
2010-02-23,1.75437,1.82022,1.74967,1.77318,387000,203,1467794
2010-02-24,1.80611,1.80611,1.76378,1.78259,308300,159,1170412
2010-02-25,1.76848,1.77789,1.72145,1.76378,244500,184,911705
2010-02-26,1.74496,1.77789,1.73085,1.76378,120600,88,450031
2010-03-01,1.75437,1.76378,1.70734,1.71204,368100,315,1357020
2010-03-02,1.73556,1.75907,1.67912,1.73556,507800,286,1861284
