Date,Open,High,Low,Close,Volume,Neg,Fin
2017-05-04,7.29369,7.34515,6.6621,6.85391,5090700,7435,75841892
2017-05-05,6.69953,7.18141,6.57321,7.15801,3256800,6497,48430892
2017-05-08,7.16269,7.21415,6.97087,7.02234,1282200,1640,19338494
2017-05-09,6.99427,7.13462,6.83988,7.13462,697100,1155,10422316
2017-05-10,7.46211,7.46211,6.95216,7.27029,2715500,3589,42113183
2017-05-11,7.39193,7.39193,7.10187,7.2048,485300,1780,7485901
2017-05-12,7.27497,7.27497,7.01766,7.06444,461900,1505,6995724
2017-05-15,7.06444,7.13462,6.98023,7.01766,880600,2307,13255412
2017-05-16,7.02702,7.18141,6.87731,7.18141,1054400,2909,15824066
2017-05-17,7.05041,7.18608,7.00362,7.02702,1185000,1605,17918846
2017-05-18,5.89483,6.68081,5.84805,6.17554,1514700,2095,20114947
2017-05-19,6.25507,6.54514,6.25507,6.45625,1956400,2517,26797894
2017-05-22,6.20361,6.43286,6.12876,6.2925,209600,781,2796462
2017-05-23,6.29718,6.40946,6.21765,6.31589,370700,693,4997883
2017-05-24,6.30654,6.30654,6.14747,6.22232,815800,1905,10847114
2017-05-25,6.12876,6.358,6.11004,6.19425,660400,861,8710283
2017-05-26,6.227,6.54982,6.14747,6.54982,3799500,1411,51656165
2017-05-29,6.54514,6.64338,6.40946,6.53578,431800,920,5988750
2017-05-30,6.5966,6.60596,6.37671,6.49367,665100,1934,9174612
2017-05-31,6.47964,6.48432,6.36736,6.45157,530000,1652,7289991
2017-06-01,6.52642,6.52642,6.2925,6.30654,448400,790,6084520
2017-06-02,6.30654,6.40946,6.2925,6.31589,264200,881,3565686
2017-06-05,6.31589,6.37203,6.2925,6.31589,823000,1380,11104277
2017-06-06,6.31121,6.358,6.1849,6.2504,446200,1164,5988407
2017-06-07,6.25975,6.39075,6.19893,6.31589,580200,1400,7821705
2017-06-08,6.31121,6.74163,6.26911,6.61063,2154700,1583,30099880
2017-06-09,6.60596,6.65742,6.38607,6.54982,231600,931,3233234
2017-06-12,6.56853,6.56853,6.44221,6.44221,450100,835,6236190
2017-06-13,6.50303,6.50303,6.39543,6.42818,263000,481,3631135
2017-06-14,6.49835,6.64338,6.48432,6.54982,122700,661,1716762
2017-06-16,6.51707,6.64338,6.51707,6.55449,816500,982,11503655
2017-06-19,6.51707,6.73695,6.43286,6.52642,235700,737,3280902
2017-06-20,6.52642,6.52642,6.40478,6.45157,263500,420,3633129
2017-06-21,6.43286,6.58724,6.38139,6.43286,214600,722,2945095
2017-06-22,6.43286,6.47964,6.32057,6.45625,251400,288,3462852
2017-06-23,6.54514,6.54514,6.32057,6.41414,997500,312,13745475
2017-06-26,6.43286,6.61999,6.41414,6.60596,731400,713,10210560
2017-06-27,6.60596,6.60596,6.50303,6.52642,715000,612,9991823
2017-06-28,6.47964,6.74163,6.47964,6.7042,1602700,844,22587508
2017-06-29,6.61531,6.77906,6.61531,6.7697,340300,1288,4883510
2017-06-30,6.87731,6.92409,6.71824,6.87731,149700,473,2204311
