Date,Open,High,Low,Close,Volume,Neg,Fin
2020-10-26,9.292956462415187,9.32274374982724,9.084455409503544,9.183746367543716,8491100,9063,78613515
2020-10-27,9.13410088852363,9.183746367543716,9.084455409503544,9.183746367543716,681500,2410,6266439
2020-10-28,9.153959080131663,9.153959080131663,8.88589341136864,8.935528931416005,1134900,1963,10253039
2020-10-29,8.895822507172658,8.985174410436091,8.816389740740519,8.985174410436091,837300,1252,7518441
2020-10-30,8.985174410436091,8.985174410436091,8.856106123956588,8.985174410436091,903600,1804,8133580
2020-11-03,9.024890793652162,9.31281465402322,9.024890793652162,9.21352369598305,319200,517,2939812
2020-11-04,9.302885558219206,9.6801613218537,9.183746367543716,9.6801613218537,326100,637,3080240
2020-11-05,9.6801613218537,11.010560569864811,9.6801613218537,11.010560569864811,478800,970,4895480
2020-11-06,10.6233557104263,11.010560569864811,10.454571040730729,10.970844186648742,231500,630,2508097
2020-11-09,11.030418761472848,11.477198195735465,10.970844186648742,11.318342621843906,246500,1002,2807109
2020-11-10,11.427552716715375,12.162256011349053,11.427552716715375,11.914048534194064,143800,356,1720486
2020-11-11,11.963684054241426,12.410463488504044,11.864403055173977,12.112610532328963,153900,502,1867172
2020-11-12,12.112610532328963,12.291324297828558,11.51690461997881,11.51690461997881,195600,439,2329037
2020-11-13,11.616195578018983,11.943825862633393,11.318342621843906,11.318342621843906,157100,358,1827078
2020-11-16,11.794899384545852,11.914048534194064,11.11977066473628,11.11977066473628,102600,335,1177966
2020-11-17,11.11977066473628,11.437481812519392,10.921208666601377,11.308413526039889,70200,320,791926
2020-11-18,11.308413526039889,11.36797814189127,11.020489665668828,11.238909855411766,41400,122,467555
2020-11-19,11.655902002262332,11.655902002262332,10.960915090844724,11.10984156893226,57600,181,651833
2020-11-20,11.10984156893226,11.10984156893226,10.722636709493752,10.921208666601377,69000,144,752932
2020-11-23,10.921208666601377,11.219061622776454,10.821917708561202,10.821917708561202,73600,306,811815
2020-11-24,10.83184680436522,11.318342621843906,10.52407471135885,11.318342621843906,110200,413,1217575
2020-11-25,11.278626238627837,11.626124673823002,10.921208666601377,10.921208666601377,70700,279,799488
2020-11-26,10.941066858209414,11.248838951215784,10.921208666601377,11.060206048884895,103700,456,1149671
2020-11-27,11.159487047952352,11.159487047952352,10.931137762405394,11.139628856344316,173600,262,1928921
2020-11-30,11.139628856344316,11.219061622776454,10.851704995973252,11.219061622776454,104800,339,1163364
2020-12-01,11.219061622776454,11.318342621843906,10.891421379189325,11.209132526972438,184200,768,2042869
2020-12-02,11.209132526972438,11.219061622776454,11.070135144688916,11.219061622776454,74500,371,837987
2020-12-03,11.278626238627837,12.36081800948396,10.970844186648742,11.36797814189127,473100,1243,5546618
2020-12-04,11.467269099931446,11.735334768694472,11.26869714282382,11.34812990925596,141600,375,1634962
2020-12-07,11.487127291539482,11.487127291539482,11.08006424049293,11.33820081345194,126300,600,1423923
2020-12-08,11.34812990925596,11.715476577086436,11.219061622776454,11.715476577086436,57600,229,665973
2020-12-09,11.566550098998896,11.904119438390047,11.536762811586843,11.715476577086436,162800,948,1920666
2020-12-10,11.84454486356594,12.013329533261516,11.497056387343498,11.914048534194064,190200,1281,2258526
2020-12-11,11.725405672890451,11.725405672890451,11.437481812519392,11.566550098998896,178500,620,2078637
2020-12-14,11.427552716715375,11.526833715782828,11.288555334431855,11.318342621843906,191000,1161,2189288
2020-12-15,11.45734000412743,11.904119438390047,11.129699760540298,11.904119438390047,138200,566,1586280
2020-12-16,11.854473959369956,11.914048534194064,11.63605376962702,11.914048534194064,85800,216,1021552
2020-12-17,11.814757576153886,11.914048534194064,11.665831098066349,11.914048534194064,117000,221,1386446
2020-12-18,11.735334768694472,12.132468723937,11.685689289674386,12.013329533261516,146000,237,1754260
2020-12-21,11.645972906458312,12.192033339788384,11.139628856344316,11.824686671957906,82200,279,979149
2020-12-22,11.864403055173977,12.221820627200437,11.6956183854784,11.6956183854784,89900,234,1067228
2020-12-23,11.6956183854784,11.864403055173977,11.477198195735465,11.864403055173977,139900,530,1646054
2020-12-28,12.003400437457495,12.102681436524952,11.665831098066349,11.824686671957906,185200,866,2225762
2020-12-29,12.02325862906553,12.251607914612489,11.84454486356594,12.2019624355924,164100,1202,1991925
2020-12-30,12.053045916477584,12.797668347942556,11.943825862633393,12.797668347942556,486200,942,6086044
2021-01-04,12.728174636287154,12.728174636287154,12.311182489436591,12.70831644467912,229800,424,2894457
2021-01-05,12.688458253071085,12.688458253071085,12.192033339788384,12.211891531396418,238100,894,2944988
2021-01-06,12.311182489436591,12.311182489436591,11.914048534194064,11.914048534194064,220900,346,2684757
2021-01-07,12.003400437457495,12.67852915726707,11.665831098066349,12.49981539176748,325700,249,3967615
2021-01-08,12.539531774983548,12.60902548663895,12.28139520202454,12.509744487571496,71000,206,891316
2021-01-11,12.479957200159443,12.509744487571496,12.162256011349053,12.340959817875923,71400,170,887790
2021-01-12,12.410463488504044,12.509744487571496,12.162256011349053,12.162256011349053,71900,171,891693
2021-01-13,12.122539628132984,12.28139520202454,11.963684054241426,11.963684054241426,70500,156,860473
2021-01-14,12.162256011349053,12.410463488504044,11.943825862633393,12.410463488504044,98600,190,1211220
2021-01-15,12.321111585240608,13.393374260292711,12.211891531396418,12.589177254003635,164500,512,2111297
2021-01-18,12.60902548663895,12.91680753861804,12.311182489436591,12.311182489436591,88200,290,1112199
2021-01-19,12.450179871720112,12.59909639083493,11.973613150045445,11.973613150045445,90800,494,1107794
2021-01-20,12.072894149112894,12.48988629596346,12.06296505330888,12.06296505330888,93000,157,1143974
2021-01-21,12.082823244916916,12.797668347942556,12.082823244916916,12.698387348875109,398500,592,4945166
2021-01-22,12.390605296896007,13.552219875211549,12.331030722071905,12.906878442814028,630600,960,8096539
2021-01-26,12.966453017638129,13.304012398056557,12.628883678246984,13.29408330225254,616100,524,8082040
2021-01-27,13.32387058966459,13.899718310406712,13.204731398989106,13.899718310406712,125000,388,1725023
2021-01-28,13.889789214602697,14.247206786629157,13.492655259360165,13.83021463977859,107700,349,1500029
2021-01-29,13.840143735582606,13.889789214602697,13.512513450968196,13.80043731133926,163700,138,2267701
2021-02-01,13.899718310406712,14.04864478849425,13.631652641643688,13.899718310406712,168900,169,2357009
2021-02-02,13.899718310406712,14.15785488336572,13.681288161691052,13.998999309474163,60000,233,838999
2021-02-03,13.929505597818762,14.128067595953668,13.7110754491031,13.979141117866128,90700,397,1267203
2021-02-04,13.879860118798677,14.038715692690234,13.40330335609673,13.701146353299084,160200,586,2194339
2021-02-05,13.641581737447703,13.79050821553524,13.21466049479312,13.21466049479312,152900,581,2058649
2021-02-08,13.22458959059714,13.304012398056557,12.70831644467912,13.026017633489513,268500,628,3488608
2021-02-09,13.0756631125096,13.155085919969018,12.757951964726487,13.105450399921653,101400,380,1323878
2021-02-10,13.194802303185083,13.353657877076644,12.748022868922469,12.85724292276666,44800,206,587915
2021-02-11,12.867162059597955,13.40330335609673,12.519673583375512,13.40330335609673,134700,401,1752577
2021-02-12,13.40330335609673,13.413222492928025,12.85724292276666,12.85724292276666,779600,444,10416564
2021-02-17,12.85724292276666,13.165015015773037,12.698387348875109,12.906878442814028,38500,101,498992
2021-02-18,12.966453017638129,13.204731398989106,12.618954582442964,13.006159441881476,312600,290,4068263
2021-02-19,12.936665730226078,13.155085919969018,12.837384731158624,13.155085919969018,102000,362,1337073
2021-02-22,13.065734016705582,13.40330335609673,12.60902548663895,13.40330335609673,176600,1354,2304272
2021-02-23,13.32387058966459,13.572078066819582,13.055804920901563,13.264305973813208,586500,315,7877501
2021-02-24,13.264305973813208,13.591936258427618,12.936665730226078,13.591936258427618,548300,168,7347562
2021-02-25,13.353657877076644,13.651510833251718,12.976382113442147,13.105450399921653,107500,281,1424267
2021-02-26,13.165015015773037,13.452938876144094,12.728174636287154,12.847313826962644,176500,233,2288126
2021-03-01,12.867162059597955,13.204731398989106,12.847313826962644,12.936665730226078,331400,2502,4376301
2021-03-02,12.91680753861804,13.045875825097548,12.122539628132984,12.906878442814028,186000,689,2341256
