Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,59.67252,61.21519,59.48933,60.54028,74200,311,4649679
2010-01-05,61.17663,62.38184,59.97141,60.81989,90000,448,5701590
2010-01-06,60.81989,62.13116,60.81989,61.32125,193700,728,12396072
2010-01-07,60.8681,61.69728,59.91356,61.51409,94000,291,5965358
2010-01-08,60.12568,61.43695,60.12568,60.98379,123600,472,7820261
2010-01-11,61.53337,62.20829,60.70418,61.36946,216400,650,13775816
2010-01-12,60.29923,60.81024,59.85572,60.39565,136200,614,8498677
2010-01-13,61.35982,61.89975,59.49897,60.64634,210900,506,13229590
2010-01-14,59.78822,60.17389,59.63395,59.79786,59400,501,3688445
2010-01-15,59.68217,59.68217,56.92464,57.46457,221000,960,13346400
2010-01-18,58.12021,58.12021,56.62574,56.64503,155000,324,9147319
2010-01-19,55.91226,56.57753,54.95773,54.95773,142600,599,8230761
2010-01-20,54.18639,54.9288,52.75942,53.08723,204900,842,11374473
2010-01-21,53.1258,53.76215,51.71811,53.21258,202800,755,11164456
2010-01-22,53.33792,53.76215,51.9688,53.02939,172900,648,9474756
2010-01-26,52.83655,54.16711,52.41232,52.94261,108500,527,5976942
2010-01-27,53.40541,53.62717,52.20984,52.35447,48800,353,2671568
2010-01-28,52.56659,53.51147,52.34482,53.1258,174200,764,9533274
2010-01-29,53.6561,53.6561,52.35447,53.06796,91300,427,5019527
2010-02-01,53.08723,54.62027,52.09414,54.18639,105700,397,5901099
2010-02-02,53.99356,54.36958,52.36411,52.36411,143800,569,7906232
2010-02-03,52.6148,53.34756,52.25805,53.30899,113300,546,6223134
2010-02-04,53.21258,53.21258,51.10104,51.19746,128300,491,6898409
2010-02-05,51.19746,51.19746,48.97987,49.34625,221600,888,11398297
2010-02-08,49.34625,50.80215,49.02808,50.47433,109700,743,5701386
2010-02-09,51.28424,52.23877,49.18234,52.2002,132400,524,7008558
2010-02-10,52.04593,52.19056,50.58039,50.91785,76500,306,4052554
2010-02-11,51.3228,51.94951,50.68645,51.88203,47300,270,2515796
2010-02-12,50.81179,51.70847,50.81179,51.57349,68300,344,3633403
2010-02-17,52.04593,53.01974,51.11068,52.05558,86100,556,4628856
2010-02-18,51.79525,52.03629,51.10104,51.12997,103700,349,5517452
2010-02-19,51.10104,51.86274,50.81179,51.08176,57800,258,3056264
2010-02-22,50.90821,51.03355,49.89583,50.78286,142200,676,7419038
2010-02-23,50.60932,50.60932,49.31733,49.65479,83300,359,4302379
2010-02-24,49.46195,49.94404,49.00879,49.2884,99300,347,5075034
2010-02-25,48.97987,49.94404,48.12175,49.89583,106000,535,5385713
2010-02-26,49.54873,50.03082,48.6617,49.84762,54200,289,2776168
2010-03-01,49.95369,50.11759,49.23055,49.23055,132300,420,6821767
2010-03-02,49.82834,49.84762,48.67133,48.97987,171100,559,8688427
2010-03-03,49.41374,50.50326,49.32697,49.65479,57100,353,2947226
2010-03-04,50.01153,50.60932,48.9413,49.45231,117300,505,6037352
2010-03-05,50.37791,50.79251,49.36554,49.36554,93100,394,4807203
2010-03-08,49.80906,49.95369,48.34352,48.63277,97700,518,4957084
2010-03-09,48.4785,49.80906,48.40136,49.78013,208100,1100,10613564
2010-03-10,49.9344,51.60242,49.23055,51.3903,162400,612,8444761
2010-03-11,51.53492,51.63134,50.84072,51.63134,79800,318,4237811
2010-03-12,51.57349,51.57349,50.73466,51.10104,72600,321,3844182
2010-03-15,50.84072,51.48671,50.25257,50.9757,52300,326,2755807
2010-03-16,50.50326,51.38065,50.38755,51.13961,208400,515,10959631
2010-03-17,51.59277,52.15199,50.13688,50.85036,152000,871,7970478
2010-03-18,50.49362,51.36137,49.1727,50.13688,177100,981,9176324
2010-03-19,49.69336,49.94404,48.70026,49.16306,232600,656,11855966
2010-03-22,48.51707,49.1727,48.31459,48.69062,158600,345,8048313
2010-03-23,48.54599,48.89309,48.30494,48.41101,159700,531,8023856
2010-03-24,48.44957,48.5942,48.30494,48.40136,111600,384,5598647
2010-03-25,49.11485,50.15616,47.61075,47.72644,525900,1955,26822138
2010-03-26,47.61075,48.97023,46.59837,47.05153,139800,585,6829775
2010-03-29,47.43719,48.69062,47.29257,48.69062,76300,377,3782644
2010-03-30,49.07629,49.07629,48.37244,49.02808,144400,396,7293695
2010-03-31,49.02808,49.11485,48.31459,48.31459,248800,645,12566623
2010-04-01,49.27876,49.703,47.7843,49.21127,108500,460,5530662
2010-04-05,50.07902,50.07902,49.22091,49.94404,222400,536,11449759
2010-04-06,49.78013,50.06938,49.20163,49.60658,142800,629,7371472
2010-04-07,49.48124,49.89583,49.01844,49.11485,156700,448,8027821
2010-04-08,49.36554,49.67408,48.88345,49.42339,111900,351,5726861
2010-04-09,49.40411,49.67408,49.057,49.26912,285400,595,14580531
2010-04-12,49.11485,49.34625,48.72919,48.72919,98800,312,5010100
2010-04-13,48.80632,49.50052,48.44957,48.44957,128600,456,6495661
2010-04-14,48.69062,49.64515,48.52671,49.1727,71700,372,3650218
2010-04-15,49.18234,49.18234,48.70026,48.99915,101700,447,5159129
2010-04-16,48.97987,48.97987,47.72644,48.50743,216500,471,10829548
2010-04-19,48.51707,48.51707,46.56944,47.24436,213200,1005,10404790
2010-04-20,47.36971,47.36971,46.13556,47.07081,179400,857,8663430
2010-04-22,46.36697,46.52123,45.44136,46.04879,269800,1119,12817031
2010-04-23,46.05843,46.37661,45.73061,46.28019,77600,326,3711650
2010-04-26,46.38625,46.65622,44.74716,44.74716,176900,422,8311494
2010-04-27,45.09426,45.20996,43.38768,44.00475,176400,584,8080524
2010-04-28,44.72787,44.72787,42.74169,43.28162,101500,427,4555563
2010-04-29,43.00201,43.86013,42.76096,43.14664,158100,548,7086008
2010-04-30,42.90559,44.83393,42.85738,44.83393,217600,668,9975689
2010-05-03,45.60527,45.7499,44.18794,45.31602,167700,506,7884422
2010-05-04,45.28709,45.28709,43.0695,43.38768,172000,578,7788741
2010-05-05,43.39732,44.11081,42.85738,43.38768,78200,438,3535999
2010-05-06,43.86013,43.86013,41.65217,42.55849,175000,1073,7773494
2010-05-07,42.43315,42.90559,41.53647,41.66181,132400,654,5773215
2010-05-10,42.51992,43.37804,41.45934,42.90559,98600,383,4364800
2010-05-11,42.90559,43.38768,42.39458,42.39458,250300,817,11118137
2010-05-12,41.18937,42.57777,41.18937,41.98963,176800,646,7715497
2010-05-13,41.98963,43.61908,41.46898,43.61908,206000,791,9170112
2010-05-14,43.38768,44.83393,43.19484,44.73752,92700,337,4248004
2010-05-17,44.35185,45.47029,43.58051,45.47029,95800,414,4418694
2010-05-18,45.50885,46.01986,44.96892,45.31602,145400,571,6850771
2010-05-19,45.30638,46.08736,44.76645,46.08736,136600,621,6446530
2010-05-20,44.76645,45.30638,44.1783,45.16175,165100,854,7668112
2010-05-21,44.50611,45.22925,43.5323,45.1039,104200,640,4829248
2010-05-24,45.08462,45.72097,43.74442,45.31602,220400,649,10338296
2010-05-25,43.77335,45.30638,43.77335,45.30638,120700,593,5597188
2010-05-26,45.30638,47.96749,44.14938,47.96749,555700,1676,27177900
2010-05-27,47.53361,47.79394,47.06117,47.76501,167000,652,8216481
2010-05-28,47.23472,48.49778,46.63693,48.15068,137100,777,6746208
2010-05-31,48.40136,50.04046,48.40136,50.04046,129400,451,6626687
2010-06-01,49.1727,50.59967,48.97023,50.22365,158200,422,8190778
2010-06-02,49.67408,52.16163,49.67408,52.06522,161200,651,8513902
2010-06-04,50.98534,51.24567,49.7512,49.77049,301700,949,15729553
2010-06-07,49.79942,51.66026,48.61348,50.60932,951900,758,48585455
2010-06-08,50.61896,51.00463,50.07902,50.23328,336000,1646,17623039
2010-06-09,50.83108,51.48671,50.11759,50.57075,198700,785,10468326
2010-06-10,50.57075,51.56384,50.22365,51.29388,252800,420,13393811
2010-06-11,50.57075,52.00736,50.57075,51.95916,75300,542,4010128
2010-06-14,51.72776,53.01974,51.64098,53.01974,148400,469,8063288
2010-06-15,53.02939,54.26352,51.64098,53.60789,102200,530,5667906
2010-06-16,53.14508,53.14508,50.13688,50.13688,338100,1667,17944407
2010-06-17,50.12724,50.20436,48.03498,48.5942,286000,1311,14423339
2010-06-18,48.58456,49.71264,47.93856,49.71264,248900,951,12641693
2010-06-21,50.13688,50.59004,47.80358,48.31459,125000,486,6332034
2010-06-22,48.93166,50.89857,48.93166,50.81179,99600,524,5185961
2010-06-23,50.67681,51.48671,49.41374,51.04319,117200,411,6113538
2010-06-24,50.0983,50.60932,49.04736,49.04736,69200,374,3558897
2010-06-25,49.04736,50.57075,49.04736,49.49088,42000,284,2185389
2010-06-28,49.49088,50.11759,48.08319,48.40136,74300,278,3777031
2010-06-29,48.0157,48.69062,46.95511,46.95511,123500,575,6138615
2010-06-30,47.10938,48.44957,47.10938,47.24436,51900,220,2564925
2010-07-01,47.24436,47.84215,45.90417,46.76228,47100,271,2285316
2010-07-02,47.23472,47.65895,46.77192,46.95511,81500,442,3982513
2010-07-05,46.95511,47.19616,45.77882,47.05153,67800,135,3298065
2010-07-06,47.43719,48.68098,46.78156,48.07355,148700,385,7401230
2010-07-07,48.55563,49.51016,47.62039,47.62039,139100,575,6929773
2010-07-08,47.63003,48.20853,46.78156,47.68788,65000,264,3179701
2010-07-12,48.11212,48.11212,46.94547,46.94547,55600,240,2732967
2010-07-13,46.98404,48.54599,46.98404,48.10247,144800,468,7169853
2010-07-14,47.00332,47.69753,46.78156,47.24436,82800,426,4061968
2010-07-15,47.24436,47.69753,46.52123,46.52123,52500,219,2543406
2010-07-16,46.89726,47.45648,45.94273,45.99094,75900,405,3638280
2010-07-19,46.30912,47.45648,46.28019,47.24436,38800,223,1891032
2010-07-20,47.37935,47.91928,46.78156,47.24436,123500,535,6047065
2010-07-21,46.96475,47.70716,46.50195,46.66586,226400,459,11046325
2010-07-22,47.24436,48.5942,47.12866,48.10247,160100,623,7990809
2010-07-23,47.63967,48.52671,47.52398,48.0639,84500,324,4212494
2010-07-26,47.96749,49.3559,47.19616,49.26912,121200,571,6093877
2010-07-27,49.48124,50.61896,48.81596,50.61896,531500,1194,27455640
2010-07-28,51.10104,52.06522,46.28983,46.28983,539300,744,26796184
2010-07-29,46.38625,47.08045,43.34911,43.96618,237600,1043,11012287
2010-07-30,44.0626,45.2196,43.96618,44.54468,392500,1452,18137008
2010-08-02,45.50885,46.15485,44.35185,44.49648,179700,532,8349713
2010-08-03,44.35185,45.02677,44.15902,44.25544,248000,604,11445514
2010-08-04,45.31602,45.31602,43.51302,44.02403,265900,816,12124883
2010-08-05,43.58051,45.4028,43.4841,45.20996,152000,648,6974708
2010-08-06,44.59289,45.32566,44.59289,44.83393,445700,543,20817649
2010-08-09,44.61217,44.8725,43.76371,43.8312,56000,322,2578639
2010-08-10,43.82156,44.1783,42.52957,42.71276,281300,1437,12503367
2010-08-11,42.69348,43.40696,42.55849,43.20449,189800,334,8461960
2010-08-12,43.00201,44.6411,43.00201,44.6411,108600,404,4958282
2010-08-13,45.78847,45.99094,44.83393,44.9882,136200,511,6417282
2010-08-16,44.53505,45.16175,44.02403,45.16175,63300,348,2935223
2010-08-17,45.23888,45.7981,45.23888,45.7981,152300,550,7200234
2010-08-18,45.78847,46.29947,45.43172,46.29947,166800,800,7937556
2010-08-19,46.42482,46.42482,45.07498,45.22925,173300,672,8264950
2010-08-20,45.29674,47.24436,45.13283,46.75264,579500,292,28309269
2010-08-23,46.17413,47.1383,44.84357,46.17413,124700,574,5924659
2010-08-24,44.89179,45.35459,44.21687,44.76645,72800,309,3366266
2010-08-25,44.73752,45.34494,43.58051,44.01439,62300,270,2845487
2010-08-26,43.65765,44.24579,42.90559,43.57087,83500,516,3765750
