Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,4.00108,4.00108,4.00108,4.00108,200,2,1120
2010-01-05,4.1797,4.20114,4.15113,4.20114,358700,25,2098223
2010-01-06,4.20114,4.30831,4.16542,4.30831,39400,27,234271
2010-01-07,4.30117,4.53695,4.28688,4.42977,22700,31,138975
2010-01-08,4.44406,4.77272,4.44406,4.69413,64800,66,422372
2010-01-11,4.69413,5.0728,4.69413,4.75129,51400,107,352491
2010-01-12,4.82274,4.92991,4.71557,4.92991,134000,138,899363
2010-01-13,4.92276,4.92276,4.71557,4.71557,172000,95,1152367
2010-01-14,4.69413,4.75129,4.50122,4.61554,61700,40,399772
2010-01-15,4.47264,4.77987,4.4655,4.75129,317000,82,2049631
2010-01-18,4.65126,4.99421,4.65126,4.82988,46400,29,312521
2010-01-19,4.76558,5.0728,4.75843,5.0728,53600,47,377057
2010-01-20,5.00136,5.2157,5.00136,5.08709,150100,58,1077433
2010-01-21,5.10853,5.2157,5.01565,5.01565,75100,59,536768
2010-01-22,4.96563,5.00136,4.92991,4.96563,28400,37,197422
2010-01-26,4.92991,4.96563,4.78701,4.96563,106600,35,730044
2010-01-27,4.96563,4.96563,4.71557,4.78701,40600,34,274068
2010-01-28,4.82274,4.82274,4.43692,4.64412,141300,79,924363
2010-01-29,4.65841,5.25142,4.60839,4.64412,108400,50,730804
2010-02-01,4.65126,4.71557,4.4655,4.53695,97100,95,630948
2010-02-02,4.64412,4.75129,4.57267,4.57267,49100,61,322042
2010-02-03,4.61554,4.62268,4.57267,4.57267,7900,9,50869
2010-02-04,4.53695,4.53695,4.39405,4.40834,16500,15,101999
2010-02-05,4.28688,4.5298,4.15827,4.28688,134700,145,806396
2010-02-08,4.35832,4.4655,4.3226,4.4655,13400,19,83024
2010-02-09,4.42977,4.62983,4.42977,4.50122,53600,90,334939
2010-02-10,4.4655,4.65841,4.4655,4.60839,567800,630,3662944
2010-02-11,4.60839,4.64412,4.60125,4.60839,92500,46,597864
2010-02-12,4.53695,4.64412,4.50122,4.60839,89200,74,574448
2010-02-17,4.88704,4.88704,4.56552,4.71557,21800,24,140655
2010-02-18,4.60839,4.75129,4.57267,4.64412,156100,46,1014983
2010-02-19,4.60839,4.74414,4.57267,4.64412,682700,75,4445874
2010-02-22,4.78701,4.78701,4.62983,4.70842,67500,46,442695
2010-02-23,4.70842,4.70842,4.52266,4.52266,175500,65,1135340
2010-02-24,4.57267,4.57267,4.30117,4.3226,236600,132,1452558
2010-02-25,4.28688,4.40834,4.18685,4.29402,232700,83,1400471
2010-02-26,4.21543,4.54409,4.20114,4.4655,204700,60,1265768
2010-03-01,4.62268,4.6727,4.47264,4.64412,99300,49,638907
2010-03-02,4.67984,4.69413,4.57267,4.67984,212200,82,1385736
2010-03-03,4.68699,4.75129,4.57267,4.57267,615700,51,3990586
2010-03-04,4.57267,4.99421,4.40119,4.78701,244000,75,1571360
2010-03-05,4.78701,4.97992,4.78701,4.92991,67900,63,461318
2010-03-08,5.04576,5.05297,4.7286,4.86555,50600,50,341618
2010-03-09,5.00972,5.00972,4.79347,4.92322,11900,15,80578
2010-03-10,4.83672,4.9016,4.79347,4.89439,10000,14,67414
2010-03-11,4.96647,4.96647,4.69256,4.70697,133900,128,890495
2010-03-12,4.72139,4.72139,4.61327,4.6421,166000,184,1073608
2010-03-15,4.4691,4.57002,4.36098,4.36098,273000,129,1667589
2010-03-16,4.46189,4.46189,4.31052,4.31052,212400,324,1276557
2010-03-17,4.31052,4.39702,4.07265,4.07265,445500,370,2590727
2010-03-18,4.07986,4.10148,3.89244,4.00057,639600,143,3563542
2010-03-19,4.00777,4.16636,4.00057,4.04382,576800,340,3227062
2010-03-22,4.07986,4.10869,4.00777,4.01498,157700,100,884608
2010-03-23,4.05823,4.14473,3.96452,4.03661,664600,93,3718284
2010-03-24,4.03661,4.19519,4.03661,4.10869,107500,40,612104
2010-03-25,4.10869,4.14473,3.97173,4.00057,496700,72,2810613
2010-03-26,4.10869,4.10869,3.86361,4.01498,46900,37,258692
2010-03-29,4.02219,4.10869,4.01498,4.03661,95200,37,535545
2010-03-30,4.07265,4.17356,3.96452,3.97173,36100,43,201080
2010-03-31,3.95011,4.09427,3.91407,4.03661,97800,41,545064
2010-04-01,4.03661,4.15915,3.86361,3.95732,183400,95,1009489
