Date,Open,High,Low,Close,Volume,Neg,Fin
2021-07-28,11.0,12.6,10.5,12.6,15257800,21730,169410016
2021-07-29,12.79,14.15,12.01,13.21,11028200,20406,146740609
2021-07-30,12.82,13.42,11.73,12.87,2861800,8508,36174363
2021-08-02,13.15,13.15,11.85,11.95,2561900,6704,31172065
2021-08-03,12.0,12.0,10.8,10.8,4924500,6185,53919790
2021-08-04,10.63,11.33,10.27,10.56,2743000,9296,29296076
2021-08-05,10.72,11.21,10.06,10.7,1581600,4942,16646559
2021-08-06,10.69,11.0,10.42,10.78,714100,1718,7677331
2021-08-09,10.94,11.19,10.61,10.8,904700,1986,9855186
2021-08-10,10.91,11.1,10.6,10.85,793000,2952,8616083
2021-08-11,10.82,11.34,10.53,11.34,2735900,4316,29637421
2021-08-12,11.34,12.38,11.1,12.0,2979900,7308,35211069
2021-08-13,11.8,11.82,10.72,10.99,4543000,6106,49899649
2021-08-16,10.9,10.97,8.97,9.02,5929600,11760,56658818
2021-08-17,8.73,8.73,7.27,7.6,10401000,17220,81709417
2021-08-18,7.73,8.49,7.36,7.9,3507700,6600,27642090
2021-08-19,7.6,7.77,7.37,7.75,1533500,4937,11630612
2021-08-20,7.7,8.47,7.55,8.36,1945000,4999,15914791
2021-08-23,8.44,9.22,8.44,9.1,2426400,5710,21326894
2021-08-24,9.44,9.54,8.8,9.04,2347400,4475,21388393
2021-08-25,9.19,9.58,8.9,9.58,1285900,2861,11905097
2021-08-26,9.49,10.02,9.25,9.36,1661300,4752,16017565
2021-08-27,9.49,9.63,9.26,9.5,1784800,3157,16829700
2021-08-30,9.47,9.55,9.09,9.5,863500,2958,8056498
2021-08-31,9.51,9.51,8.9,8.91,1239200,4054,11270868
2021-09-01,9.11,9.33,8.52,8.67,1126700,3662,9910658
2021-09-02,8.79,8.87,7.88,7.91,1388100,4409,11373031
2021-09-03,8.04,8.2,7.67,8.01,916500,2378,7207755
2021-09-06,8.02,8.27,7.84,8.27,513400,1222,4166270
2021-09-08,8.19,8.19,7.47,7.59,1164700,3081,8956437
2021-09-09,7.57,7.94,7.36,7.75,857700,3002,6571079
2021-09-10,8.13,8.45,7.8,8.0,1169600,3669,9422242
2021-09-13,8.1,8.25,7.7,7.8,1147700,3756,9013704
2021-09-14,7.84,8.15,7.64,7.88,934300,2224,7363287
2021-09-15,7.83,8.06,7.56,7.72,548700,1096,4251989
2021-09-16,7.61,7.75,7.45,7.56,1254300,2643,9498699
2021-09-17,7.57,7.6,6.76,6.94,2682300,5631,18677166
2021-09-20,6.7,6.8,6.06,6.07,2154000,5160,13512766
2021-09-21,6.25,6.67,6.05,6.44,1693200,3555,10784080
2021-09-22,6.58,7.23,6.45,6.95,3451800,5448,23815133
2021-09-23,7.03,7.22,6.78,6.87,2191400,5731,15433931
2021-09-24,6.83,6.87,6.48,6.73,1400900,2648,9337874
2021-09-27,6.72,6.82,6.57,6.66,651800,2180,4362325
2021-09-28,6.59,6.69,6.06,6.06,1466700,3658,9299350
2021-09-29,6.25,6.35,5.97,6.19,1562900,3820,9662325
2021-09-30,6.09,6.4,5.95,6.4,2426100,3496,14812991
2021-10-01,6.83,6.89,6.27,6.88,1952400,3954,12997214
2021-10-04,6.7,6.95,6.19,6.32,1284800,3537,8264387
2021-10-05,6.39,6.42,5.85,5.85,1965600,2736,11993765
2021-10-06,5.67,6.64,5.6,6.19,2845600,6398,17004873
2021-10-07,6.2,6.57,6.12,6.35,1778300,3908,11258429
2021-10-08,6.43,6.62,6.3,6.49,2717600,6045,17429348
2021-10-11,6.44,7.2,6.2,6.83,3209500,3850,21285355
2021-10-13,6.67,7.3,6.67,7.2,2424600,5009,17061762
2021-10-14,7.2,7.48,7.12,7.37,2173900,3931,15856689
2021-10-15,7.34,8.18,7.34,8.18,2902600,4713,22443925
2021-10-18,8.09,8.5,7.87,8.5,1940300,3720,16017906
2021-10-19,8.42,8.68,8.0,8.14,2486400,5819,20693546
2021-10-20,8.22,8.48,7.75,7.95,4296800,12763,34502259
2021-10-21,7.74,8.14,6.8,6.8,4322600,12950,32142179
2021-10-22,6.81,6.82,5.9,6.3,11089900,21876,70858459
2021-10-25,6.46,6.58,6.0,6.0,2887500,4361,17956318
2021-10-26,5.89,6.04,5.32,5.39,8743100,12281,48306464
2021-10-27,5.26,5.57,4.56,5.54,14181600,14547,71362728
2021-10-28,5.3,6.0,5.24,5.95,8506200,11613,48207695
2021-10-29,5.95,6.15,5.54,5.9,5633100,10053,33315563
2021-11-01,5.96,6.3,5.75,6.3,5761700,10211,34840318
2021-11-03,6.2,6.71,6.14,6.58,5302400,11188,34467482
2021-11-04,6.52,6.79,5.92,5.95,5143800,8389,32368036
2021-11-05,5.94,6.2,5.68,5.8,5175700,10093,30677501
2021-11-08,5.8,6.02,5.72,5.89,1534500,2127,9010585
2021-11-09,5.9,6.03,5.81,5.98,1348100,1869,8008185
2021-11-10,5.97,6.13,5.76,5.87,1620700,2390,9652426
2021-11-11,5.92,6.52,5.82,6.38,6180200,8377,37810796
2021-11-12,6.39,6.7,6.06,6.2,3417400,7858,21525873
2021-11-16,6.27,6.38,5.75,6.38,7637800,13930,46714303
2021-11-17,6.4,6.8,6.04,6.55,4616600,6850,29365363
2021-11-18,6.53,6.62,6.24,6.36,3644400,6980,23372450
2021-11-19,6.47,6.67,6.3,6.59,2259700,3551,14751511
2021-11-22,6.59,6.74,6.38,6.5,5215700,7003,34069293
2021-11-23,6.56,6.73,6.43,6.67,5068500,11111,33437084
2021-11-24,6.56,7.41,6.49,7.37,7692800,13760,53533695
2021-11-25,7.38,8.3,7.38,8.3,5058400,7226,39452196
2021-11-26,7.84,8.4,7.6,7.71,5861300,8822,46634250
2021-11-29,8.07,8.21,7.68,7.68,2762700,4570,21879559
2021-11-30,7.63,8.04,7.42,7.89,3312700,6751,25451670
2021-12-01,8.03,8.1,7.0,7.0,3298500,4404,24449583
2021-12-02,7.1,7.55,6.7,6.72,4103700,6030,28813467
2021-12-03,6.83,7.28,6.66,6.7,2972200,5025,20609774
2021-12-06,6.77,6.93,6.36,6.36,2333400,3189,15356352
2021-12-07,6.47,6.66,6.34,6.35,2460500,3298,15918707
2021-12-08,6.44,6.64,6.17,6.4,2685600,4613,17230740
2021-12-09,6.41,6.41,6.06,6.27,1431400,2662,8907379
2021-12-10,6.3,6.55,6.19,6.42,1702400,3021,10812272
2021-12-13,6.46,7.05,6.34,6.9,3035800,5966,20764248
2021-12-14,6.94,7.14,6.11,6.37,2985000,6593,19236006
2021-12-15,6.42,6.87,6.14,6.7,1660300,3146,10841619
2021-12-16,6.8,7.0,6.33,6.41,1829700,3483,12135922
2021-12-17,6.43,6.5,6.22,6.25,1103200,1653,7012759
2021-12-20,6.25,6.35,6.12,6.12,1283400,1990,7986523
2021-12-21,6.16,6.35,5.79,5.83,2232200,3641,13365501
2021-12-22,5.9,6.06,5.65,5.79,1469600,2867,8570208
2021-12-23,5.85,6.04,5.52,5.73,1572700,2892,8978597
2021-12-27,5.81,5.92,5.6,5.82,919100,2284,5272837
2021-12-28,5.79,5.92,5.67,5.7,1017600,2147,5873136
2021-12-29,5.74,5.77,5.44,5.61,1715400,3459,9645258
2021-12-30,5.75,5.98,5.52,5.98,4497000,7568,26135238
